Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.49947223	1.3541145	2.913989	-3.6767335	1000.0	19.85	32.79676	115.0	0.0	-0.003382329	0.074633695	0.1388693	-0.19393913	20000	-5.2154063e-09	80.94664	-0.014073039	-33.713207	0.9189385	0.008285085	0.124749996	99.0	12.167551755905151
1	-0.3852411	1.2043264	2.594833	-3.0600133	1000.0	41.95	89.98192	337.0	0.0	-2.4492695	3.6065936	4.0018063	-12.800797	40000	-5.9604646e-09	17.44181	-0.018597858	-16.94959	0.9364985	0.0064784884	0.11264999	99.0	21.888752937316895
2	-0.8394624	1.551754	2.1692088	-3.0305746	1000.0	61.0	91.143295	329.0	0.0	-0.1419678	0.30386347	1.3399644	-2.0399125	60000	1.1920929e-08	3.1283941	-0.015933156	-1.6321682	0.9205365	0.0063057803	0.106649995	99.0	31.63949418067932
3	-0.78703403	1.0269567	0.97661316	-3.1383097	1000.0	31.2	72.26659	264.0	0.0	-0.56597275	0.62155706	0.7926043	-3.6670675	80000	-8.940697e-09	12.069668	-0.01341781	-10.553373	0.9271517	0.0068527805	0.11389999	99.0	41.59501528739929
4	-0.4294476	1.4837046	2.3910565	-3.7840052	1000.0	47.9	123.07961	472.0	0.0	-0.51229924	1.1506761	0.8855499	-14.605827	100000	1.7881394e-08	30.496197	-0.014202207	-28.410635	0.9297532	0.0029127528	0.1091	99.0	51.24136185646057
5	-1.4163172	2.0942495	1.1818371	-6.8877087	1000.0	17.95	34.582478	132.0	0.0	-0.58625525	1.7700301	0.44804096	-23.311468	120000	8.940697e-09	5.684232	-0.014572324	-4.329375	0.93097484	0.012857124	0.15179999	99.0	60.964359283447266
6	-1.0355002	2.6923964	2.026081	-10.165944	1000.0	10.15	26.569296	115.0	0.0	-0.53303075	1.4621276	2.2119489	-14.121509	140000	-1.1920929e-08	4.3589516	-0.018350232	-2.9976354	0.9229201	0.017931677	0.1704	99.0	71.08328223228455
7	-0.6740445	1.343661	2.108718	-3.2811482	1000.0	7.6	15.75246	58.0	0.0	-0.3515066	0.75418216	0.7146557	-5.1155896	160000	8.940697e-09	1.2499341	-0.016630987	-0.6427913	0.9057102	0.018907828	0.17335	99.0	81.22646284103394
8	-0.09544693	1.345188	2.5687482	-2.1009603	1000.0	46.2	84.99388	329.0	0.0	-0.18225984	0.28152266	1.9477079	-0.8890731	180000	2.9802323e-09	1.0191567	-0.01993881	-0.32174346	0.9008776	0.0076762885	0.1404	99.0	90.88980340957642
9	-1.5811983	2.7867875	1.1260883	-8.550628	1000.0	94.9	150.60077	542.0	0.0	-0.3101588	0.37421477	0.43650383	-1.8827317	200000	-2.0861625e-08	18.666723	-0.019750383	-15.044851	0.8965783	0.004507196	0.109450005	99.0	100.49355006217957
