Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5277261	1.4063827	2.913989	-4.4854116	1000.0	59.8	108.38339	669.0	0.0	0.0042720926	0.07326501	0.2481898	-0.19393913	80000	-8.940697e-09	460.57846	-0.008808127	-120.004715	0.9189385	0.005202345	0.070875004	99.0	23.34781837463379
1	-0.8306729	1.383182	2.7217512	-5.308031	1000.0	64.375	103.279884	445.0	0.0	-4.760851	6.132043	7.8731356	-18.025236	160000	1.7881394e-08	51.689983	-0.011011542	-48.88279	0.92668724	0.0057769837	0.0722125	99.0	44.94547080993652
2	-0.9396411	1.7090102	4.1698794	-5.0682993	1000.0	40.7375	74.73432	306.0	0.0	-0.46839035	0.8347735	0.5838719	-3.2416892	240000	-4.4703485e-09	11.177679	-0.01075839	-1.2977993	0.924518	0.0061792233	0.0866875	99.0	67.03212141990662
3	-0.7943976	1.6533762	3.1421456	-6.1640763	1000.0	41.1	79.34176	348.0	0.0	-1.0675266	0.68396056	0.74224204	-3.0382037	320000	0.0	14.768819	-0.011157349	-3.0043263	0.93354094	0.0061643454	0.083500005	99.0	89.28859448432922
4	-0.5630139	1.3090683	3.1326828	-4.240201	1000.0	32.9875	82.29041	509.0	0.0	-1.1942354	1.3624382	3.4893808	-6.3252344	400000	-2.9802323e-09	21.22307	-0.011070551	-4.9264436	0.93758404	0.0053473483	0.0930375	99.0	111.12700390815735
5	-0.70199096	1.6257372	3.6164105	-3.9693437	1000.0	38.3	80.61179	415.0	0.0	-1.1284139	1.6851318	3.8402832	-7.807491	480000	4.4703485e-09	22.985598	-0.012668312	-8.932596	0.94102633	0.007166826	0.1076375	99.0	133.07185554504395
6	-0.79220766	1.4080547	2.765135	-4.1782827	1000.0	20.1125	53.064816	278.0	0.0	-1.1040621	1.7957013	3.5916057	-8.668668	560000	0.0	17.488144	-0.012625371	-6.4739494	0.9418477	0.008197154	0.11507501	99.0	155.28877067565918
7	-0.6281022	1.4972444	3.1299253	-5.2772264	1000.0	14.05	37.91632	207.0	0.0	-0.8483087	1.6890891	1.5429769	-7.9138045	640000	-2.9802323e-09	8.385008	-0.011585844	-3.4548573	0.93482554	0.008249116	0.097049996	99.0	177.27461957931519
8	-0.642305	1.7501069	2.6779726	-6.653003	1000.0	26.1875	69.22627	391.0	0.0	-0.5152548	0.87590384	1.214251	-8.993706	720000	0.0	10.133551	-0.012932715	-3.4758823	0.9344058	0.008155443	0.1145375	99.0	198.52600479125977
9	-0.6229995	1.7527736	3.2934046	-5.877929	1000.0	18.5125	52.079506	261.0	0.0	-0.61852306	1.2554529	1.3841138	-6.45181	800000	-4.4703485e-09	5.62516	-0.013521215	-1.9154752	0.9404664	0.008488936	0.1185375	99.0	220.64830827713013
10	-0.70598686	1.6278908	3.2294228	-6.3490715	1000.0	14.025	32.429527	199.0	0.0	-0.5339173	1.2223119	1.8192804	-6.9885607	880000	5.9604646e-09	2.656654	-0.014216852	-1.3930575	0.93838584	0.010690908	0.125275	99.0	242.3845977783203
11	-0.50797033	1.5903294	3.5390556	-7.544204	1000.0	17.625	55.302437	341.0	0.0	-0.27496535	0.43600047	1.6410295	-4.036758	960000	-1.4901161e-09	0.8492119	-0.014922435	-0.2637488	0.9303204	0.008144937	0.11875	99.0	264.14625310897827
12	-0.38439634	1.9473686	3.7133207	-7.4356523	1000.0	27.275	71.33845	355.0	0.0	-0.26171187	0.4072523	1.2998749	-3.5906923	1040000	-5.9604646e-09	0.29151237	-0.014939606	-0.21230844	0.92149436	0.0100922575	0.123662494	99.0	285.6363034248352
13	0.32943004	2.2043886	6.282698	-5.0362988	1000.0	25.4375	65.20484	305.0	0.0	-0.051236473	0.21272829	2.9809496	-1.8790555	1120000	-5.9604646e-09	0.13741665	-0.015128669	-0.041251104	0.8999325	0.009619233	0.12398751	99.0	307.77328848838806
14	0.75425214	1.7940387	5.9799333	-2.6099842	1000.0	30.8625	68.15236	366.0	0.0	0.015198007	0.15012978	1.2965603	-1.1353996	1200000	1.4901161e-09	0.10618637	-0.016605541	-0.02201099	0.8839804	0.009033133	0.12111249	99.0	329.3853991031647
15	1.3136848	1.9299004	6.6165996	-2.6028244	1000.0	48.4375	101.62761	484.0	0.0	0.062234193	0.13828436	0.7115476	-1.3707663	1280000	1.4156103e-08	0.14900169	-0.01768907	-0.02532438	0.8723261	0.010637453	0.1334	99.0	352.24180459976196
16	1.5378325	1.9979556	6.636769	-5.0320964	1000.0	41.6625	107.12573	594.0	0.0	0.081101805	0.11575224	0.63718694	-1.076575	1360000	1.4901161e-09	5.673219	-0.013147473	-3.4304137	0.8524624	0.0035192512	0.087362505	99.0	374.7125301361084
17	1.84222	2.1943383	7.6435237	-2.4838588	1000.0	40.7	94.699844	615.0	0.0	-0.426896	1.1858966	1.6343799	-9.793945	1440000	-2.2351743e-09	9.864392	-0.015174763	-4.8345785	0.86729515	0.007826628	0.116125	99.0	396.4153780937195
