Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.20192258	0.6081703	0.6138232	-1.625713	1000.0	15.6	24.009167	58.0	0.0	0.003899263	0.08839447	0.1388693	-0.19393913	10000	-2.9802323e-09	52.330414	-0.015638117	-16.94531	0.9189385	0.012300536	0.1472	99.0	10.269253253936768
1	-0.5348301	1.1939261	0.84031683	-3.3049335	1000.0	48.3	68.38282	209.0	0.0	-1.3618702	2.6304348	0.47416547	-8.175181	20000	2.9802322e-08	7.273656	-0.015563035	-7.081636	0.9311601	0.010200156	0.0904	99.0	19.492370128631592
2	-0.3269183	1.1502697	2.8385947	-1.3485475	1000.0	42.3	61.263443	176.0	0.0	-0.33950403	0.633927	0.44996554	-2.5494573	30000	7.0780515e-09	3.1651404	-0.016933281	-2.0213578	0.92279184	0.010305623	0.1446	99.0	28.72704315185547
3	0.33864388	1.1958836	2.5162923	-2.1393661	1000.0	9.4	16.782131	48.0	0.0	-0.447897	0.8726501	2.8160055	-4.2028456	40000	6.146729e-09	1.8084557	-0.019381694	-1.0392358	0.94834125	0.010884127	0.14159998	99.0	37.983139753341675
4	0.6053594	0.7880234	1.894481	-0.31720316	1000.0	35.3	61.23406	207.0	0.0	-0.2483459	0.2509478	0.26884454	-0.7069935	50000	-5.5879354e-09	0.86365175	-0.01833285	-0.32651216	0.9427438	0.009092603	0.1437	99.0	47.12368297576904
5	0.5353652	1.2971544	3.151289	-1.2066214	1000.0	88.3	158.53204	506.0	0.0	-0.36691236	0.59163177	0.4499299	-2.7794962	60000	-2.3841858e-08	7.6243362	-0.021752372	-3.4426537	0.96823895	0.008386943	0.120000005	99.0	56.75580286979675
6	0.6804409	0.83221346	2.8227708	-0.12566969	1000.0	90.8	104.255264	286.0	0.0	-1.1107712	1.353204	0.8643552	-6.070413	70000	-4.172325e-08	73.25749	-0.021712156	-45.34899	0.9718574	0.0043350193	0.11689999	99.0	65.97073888778687
7	0.6153461	1.0339373	2.616921	-0.8326365	1000.0	57.9	85.83176	249.0	0.0	-3.3381407	4.5679636	0.35414493	-17.046537	80000	-5.9604646e-09	65.85534	-0.022568682	-58.55542	0.9898386	0.012582478	0.1447	99.0	75.2148711681366
8	-0.023935938	1.1902015	3.1308389	-1.3782398	1000.0	8.3	20.928688	70.0	0.0	-1.5388364	3.582871	3.1952333	-30.958263	90000	-1.2479722e-08	18.566624	-0.019766312	-15.266406	1.0054554	0.021451278	0.175	99.0	84.61819839477539
9	0.8878654	1.0566956	2.6422253	-0.30636925	1000.0	67.7	90.78442	240.0	0.0	-0.24912624	0.5396519	1.7823615	-5.210968	100000	-1.4901161e-09	86.38364	-0.021959497	-77.17019	0.97466624	0.00539391	0.12560001	99.0	93.7698769569397
10	0.08667987	0.7959573	1.8676664	-0.9270399	1000.0	77.9	107.05461	273.0	0.0	-3.2778013	5.591031	2.7442777	-26.891901	110000	-1.4901161e-08	170.27716	-0.024022147	-158.60797	0.97146785	0.019109273	0.17390001	99.0	102.96232008934021
11	-0.33358666	1.414005	1.499274	-3.9711108	1000.0	31.7	78.41945	265.0	0.0	-2.6648116	5.983661	2.0420763	-38.62178	120000	1.0058284e-08	67.51815	-0.018517705	-60.732014	0.9664585	0.017677575	0.1951	99.0	112.42699098587036
12	0.7646479	2.0426617	4.36932	-2.0491264	1000.0	10.1	21.082933	64.0	0.0	-1.8055254	4.3979564	3.2518833	-43.952946	130000	-1.1920929e-08	30.636454	-0.018815845	-23.327702	0.9554747	0.016508235	0.18279998	99.0	121.75899839401245
13	0.38122883	0.932889	2.2596087	-1.3478583	1000.0	28.7	57.99319	162.0	0.0	-0.31093735	0.53214455	1.6369746	-2.789069	140000	-4.4703484e-08	52.668495	-0.016462978	-36.577736	0.9478141	0.0014708221	0.1252	99.0	131.26653718948364
14	0.37440652	0.96439296	2.0498648	-0.781834	1000.0	168.8	206.21631	621.0	0.0	-2.3830657	4.4959393	3.687818	-17.20828	150000	-1.1920929e-08	433.83008	-0.024041062	-404.28735	0.95503604	0.005208747	0.12799999	99.0	140.59278011322021
15	0.46398377	1.6277704	4.2687755	-1.8342829	1000.0	87.7	122.81371	340.0	0.0	-3.7232695	7.49962	0.3246392	-53.474865	160000	-7.450581e-09	281.17856	-0.02134032	-250.46158	0.95297825	0.010563978	0.1609	99.0	150.2472107410431
16	0.029147292	2.1944754	4.333786	-3.4560285	1000.0	74.2	150.99522	482.0	0.0	-4.7057834	7.818877	0.33805108	-47.96802	170000	-2.9802322e-08	365.76523	-0.023730515	-309.80606	0.95276225	0.0193806	0.2189	99.0	159.88720870018005
17	0.46522456	0.76855373	2.0442338	-0.3249268	1000.0	19.7	39.859882	112.0	0.0	-1.2163621	3.2621644	3.2116835	-43.977592	180000	5.9604646e-09	46.18448	-0.022649994	-43.369404	0.9416367	0.01574965	0.155	99.0	169.09554147720337
18	-0.85205203	1.3046651	0.4505482	-3.5444002	1000.0	43.0	62.976185	192.0	0.0	-1.6965724	5.001061	1.7124586	-34.583267	190000	-1.7881394e-08	97.144806	-0.024059478	-82.02123	0.9455619	0.0106738275	0.18349999	99.0	178.45800375938416
19	0.6987856	1.8099093	3.7345188	-2.9667308	1000.0	83.3	167.78442	461.0	0.0	-6.810739	6.3242025	1.5469358	-41.856762	200000	-4.4703485e-09	367.7382	-0.02009762	-350.9582	0.93054503	0.00852012	0.1257	99.0	187.85829281806946
20	0.5225045	1.6030444	4.8687115	-0.92825705	1000.0	50.8	80.65457	267.0	0.0	-4.0508485	8.093852	5.774841	-48.93033	210000	-1.9324943e-08	139.94817	-0.02153229	-110.49081	0.9286599	0.018802326	0.18399999	99.0	197.17492198944092
21	0.10382678	0.8742395	2.580025	-0.86302763	1000.0	4.1	12.3	41.0	0.0	-3.98627	6.9102936	2.2485125	-42.38777	220000	-1.1920929e-08	52.82261	-0.019888276	-44.748455	0.93039215	0.01584358	0.16330001	99.0	206.19982433319092
22	-0.22654632	1.7230879	2.2645972	-2.8264313	1000.0	17.4	52.200005	174.0	0.0	-2.0015852	2.8163953	0.70237064	-12.120561	230000	0.0	57.714714	-0.016610434	-30.653728	0.9193226	0.007026495	0.10810001	99.0	215.67538166046143
23	-0.2867605	1.4833978	1.7387042	-3.6569254	1000.0	22.1	40.729473	130.0	0.0	-2.3132915	4.2931767	1.6692035	-16.221418	240000	3.576279e-08	70.08717	-0.020812256	-39.914032	0.93503416	0.02074382	0.19250001	99.0	224.9002869129181
24	0.56509227	1.90289	5.683591	-1.548101	1000.0	56.9	75.70924	219.0	0.0	-1.8308043	2.5149448	3.4159946	-11.631779	250000	-1.4901161e-08	153.92326	-0.024533756	-120.3654	0.9504775	0.0069801523	0.1767	99.0	234.37868642807007
25	-0.09217334	1.4952812	2.303861	-2.705801	1000.0	8.3	16.613548	52.0	0.0	-2.6431599	6.3912754	4.2869616	-30.975399	260000	1.1920929e-08	32.056786	-0.022460986	-29.023907	0.94813013	0.014932118	0.1622	99.0	244.0121989250183
26	-0.13718422	1.6499518	3.5281808	-2.324052	1000.0	3.2	9.599999	32.0	0.0	-0.75303864	1.7442397	1.4775015	-24.036057	270000	1.4901161e-09	5.10268	-0.022413839	-4.2247114	0.9393977	0.017970975	0.20030001	99.0	253.2095925807953
27	-1.1861607	2.139169	1.9584514	-3.810407	1000.0	18.7	40.457508	128.0	0.0	-0.27964836	0.9350847	1.9644252	-4.4535313	280000	5.9604646e-09	36.764782	-0.018442914	-32.510204	0.9137167	0.0137585625	0.1702	99.0	262.7319903373718
28	-0.6000306	1.8113512	2.0775769	-3.8131099	1000.0	26.3	35.92506	93.0	0.0	-0.85336494	3.1376646	5.5361266	-28.314598	290000	1.4901161e-09	44.03332	-0.020115277	-36.384205	0.91558635	0.010535285	0.14670001	99.0	272.3273150920868
29	-0.78093636	1.1683329	1.9813237	-2.1330044	1000.0	0.0	0.0	0.0	0.0	-1.5847235	5.985355	2.757524	-35.28443	300000	-2.0861625e-08	24.808044	-0.015431693	-22.926464	0.9209366	0.017273257	0.1408	99.0	281.84227228164673
30	-0.446525	0.9218113	1.0937972	-1.7351193	1000.0	10.8	32.4	108.0	0.0	-0.13208947	0.7380895	2.0869818	-6.8145366	310000	-1.1920929e-08	23.645327	-0.013472569	-19.29606	0.90655196	0.0061643817	0.17660001	99.0	291.20134711265564
31	-1.0823371	1.6171924	0.8913087	-3.7309709	1000.0	0.0	0.0	0.0	0.0	-0.72401375	1.7736851	3.7768235	-14.104507	320000	3.2782555e-08	3.3456733	-0.015039325	-3.2510383	0.88641965	0.01719518	0.1373	99.0	300.7102470397949
32	-0.19890149	2.2566576	2.7527268	-3.690415	1000.0	0.0	0.0	0.0	0.0	-0.05089914	0.39472282	1.507448	-6.4611464	330000	1.1920929e-08	0.15623042	-0.023370262	-0.119217314	0.892521	0.019055203	0.1688	99.0	310.1546585559845
33	-0.018829238	0.84418553	1.045626	-1.8485026	1000.0	85.3	135.84113	397.0	0.0	-0.05730437	0.42482874	0.95379555	-3.683433	340000	1.1920929e-08	259.20358	-0.021467146	-237.01822	0.8869873	0.0027058753	0.117699996	99.0	319.6231756210327
34	1.0318886	2.5706754	8.014531	-1.9157904	1000.0	63.8	134.89462	455.0	0.0	-2.4323034	5.5491366	3.2295399	-33.92805	350000	-1.4901161e-08	182.79578	-0.017682096	-155.8584	0.89673376	0.003308757	0.1295	99.0	328.9859721660614
35	-0.31260428	1.1795627	1.7501864	-2.3622818	1000.0	26.7	50.291252	164.0	0.0	-4.030863	10.825074	2.1338186	-42.94074	360000	-2.2351742e-08	166.20723	-0.02094454	-137.46904	0.88946456	0.03015842	0.1823	99.0	338.21997141838074
36	-0.89373857	1.6063948	1.2804711	-4.450079	1000.0	1.6	4.7999997	16.0	0.0	-3.9026456	5.437194	3.484307	-23.33059	370000	2.3841858e-08	36.796932	-0.021586671	-33.92385	0.8919922	0.020374188	0.1378	99.0	347.645033121109
37	-0.31546247	1.1291214	1.598652	-2.515261	1000.0	4.3	8.602906	22.0	0.0	-0.4879171	0.42902696	0.4424268	-2.303467	380000	-2.9802323e-09	2.8295083	-0.015147261	-1.054801	0.8892251	0.024301719	0.19690001	99.0	356.7670679092407
38	-0.084794834	1.2266384	1.6380193	-2.8251677	1000.0	12.6	23.618637	74.0	0.0	-0.36251163	0.67003965	2.098557	-4.72716	390000	-1.4901161e-09	17.54146	-0.018412396	-4.043477	0.90121925	0.004047145	0.153	99.0	366.2065019607544
39	-0.399093	1.1397887	0.89604187	-2.7642286	1000.0	16.4	49.2	164.0	0.0	-0.5874797	0.7466666	1.1822563	-4.4528437	400000	-1.1920929e-08	41.803207	-0.016468883	-21.731676	0.9058417	0.011168715	0.16829999	99.0	375.4320979118347
40	-0.5189777	1.603921	2.0377507	-4.302644	1000.0	9.1	18.365458	51.0	0.0	-0.8993483	2.653945	2.1865675	-16.350166	410000	-3.3527612e-09	8.29594	-0.021794021	-5.4145107	0.89601624	0.018714609	0.20269999	99.0	384.8246200084686
41	-1.647372	1.4048027	0.3147764	-3.7397242	1000.0	2.2	6.6	22.0	0.0	-1.2361084	4.017177	1.7864327	-17.113142	420000	0.0	16.140442	-0.014808955	-14.133883	0.86904824	0.019284558	0.12689999	99.0	393.95962285995483
42	-0.34804043	1.8375533	3.0018466	-3.4575398	1000.0	72.9	184.41498	617.0	0.0	-0.32118964	0.39290896	1.8374726	-2.5595145	430000	-6.556511e-08	294.74997	-0.019254094	-245.74995	0.84655666	-0.0021697897	0.1049	99.0	402.9823124408722
