Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.8185363	1.1586866	0.80216324	-4.3730645	1000.0	36.875	72.39171	325.0	0.0	0.009362916	0.08558526	0.2584076	-0.20115301	40000	2.9802323e-09	249.50058	-0.01064502	-77.49925	0.9189385	0.0046020467	0.075625	99.0	12.961463212966919
1	-0.5754573	1.1519426	1.5901427	-3.625132	1000.0	46.025	102.20213	496.0	0.0	-3.8626602	5.5600986	5.8538074	-16.435263	80000	-1.7881394e-08	39.441338	-0.013780868	-37.719067	0.9261044	0.007340981	0.09325	99.0	24.37705397605896
2	-1.0446533	1.51114	1.3298213	-4.9266653	1000.0	25.4	59.029568	303.0	0.0	-0.387611	0.6779759	0.7142052	-2.1680627	120000	-1.7881394e-08	2.2265773	-0.012808226	-0.7345783	0.9114417	0.01007622	0.111274995	99.0	36.32908749580383
3	-0.52649766	1.2174543	3.0134096	-4.062026	1000.0	51.55	88.519196	356.0	0.0	-0.4313833	0.580809	1.7067413	-2.4936292	160000	5.9604646e-09	2.238417	-0.014434758	-0.6745037	0.90972245	0.0068208054	0.10725	99.0	47.931811571121216
4	-0.2833627	1.2511168	4.122061	-4.2781086	1000.0	40.35	77.35488	250.0	0.0	-0.5944679	0.55889285	1.0152115	-2.7369123	200000	0.0	11.826672	-0.013565709	-3.8133168	0.91309893	0.00819777	0.120749995	99.0	59.83181977272034
5	-0.106022514	0.95376384	1.9826431	-1.7660068	1000.0	34.475	97.55357	562.0	0.0	-0.8309758	1.1908177	1.7271681	-8.898644	240000	1.4901161e-09	16.825027	-0.015511694	-13.444064	0.9333242	0.008708601	0.11305	99.0	71.25035381317139
6	-0.58888566	1.3986132	1.9607422	-5.640167	1000.0	61.625	109.33016	382.0	0.0	-0.53309804	1.3711089	10.474096	-14.963159	280000	5.9604646e-09	30.191753	-0.016360035	-22.008749	0.9374248	0.005959288	0.10830001	99.0	82.81009840965271
7	-0.51385856	1.5411922	3.1718419	-5.6264477	1000.0	68.525	153.6688	813.0	0.0	-1.1685791	4.7362437	19.228199	-17.69872	320000	-7.450581e-09	90.23887	-0.01707326	-63.413216	0.9416752	0.006916729	0.11832501	99.0	94.98183012008667
8	-0.23917755	1.2991854	2.420949	-3.2527378	1000.0	56.975	108.58463	554.0	0.0	-2.936307	5.84505	11.364915	-20.81899	360000	0.0	101.05378	-0.018471694	-74.939545	0.93983686	0.014270127	0.16399999	99.0	106.80951261520386
9	-0.48980457	1.7640507	6.582692	-3.3235369	1000.0	56.575	92.916595	395.0	0.0	-2.9150474	6.0114064	5.5012927	-26.328482	400000	5.9604646e-09	90.203445	-0.016725508	-60.266735	0.94107723	0.011613846	0.156925	99.0	118.66361951828003
10	-0.8848179	1.751658	2.2108173	-7.6975756	1000.0	45.725	91.71395	408.0	0.0	-2.8838835	5.4939528	3.2248182	-31.023666	440000	-1.8626451e-08	121.818375	-0.017640565	-74.261	0.933324	0.010855139	0.149475	99.0	130.6400282382965
11	-2.1788318	2.4726288	1.7396379	-8.109498	1000.0	30.25	62.4943	326.0	0.0	-2.4558737	4.7058153	18.821087	-24.28809	480000	7.450581e-09	48.85774	-0.018034235	-41.090405	0.9236957	0.01431969	0.17612499	99.0	142.70563006401062
12	-0.7269661	1.9105552	2.8596895	-6.5356536	1000.0	37.275	108.916245	590.0	0.0	-3.0822248	6.505221	4.4576154	-29.116402	520000	1.4901161e-08	102.521774	-0.015524338	-77.3357	0.9178054	0.014598668	0.15492502	99.0	154.76983332633972
13	-1.064592	2.4636893	3.6597426	-7.892685	1000.0	15.175	36.565617	180.0	0.0	-1.2359022	3.9825997	15.869437	-35.843243	560000	-4.4703485e-09	33.05127	-0.01458461	-20.638725	0.9053262	0.01445712	0.15215	99.0	166.25810313224792
14	-1.9863007	2.0626793	2.6505225	-6.9001102	1000.0	20.3	49.171738	223.0	0.0	-0.6660273	1.6164316	6.2919827	-12.283062	600000	0.0	28.924	-0.017069852	-22.282501	0.90561545	0.010324521	0.12955001	99.0	178.07492518424988
15	-2.003325	2.6307762	1.6163796	-8.223862	1000.0	26.45	49.490883	255.0	0.0	-1.9051287	4.400719	7.6138177	-23.803436	640000	0.0	40.097218	-0.018454943	-31.530142	0.91377103	0.018038874	0.1908	99.0	189.8160526752472
16	-1.2848511	2.2685733	3.248386	-5.906272	1000.0	16.85	45.5991	268.0	0.0	-0.92731005	1.9718012	2.9998035	-24.242529	680000	5.9604646e-09	16.896963	-0.016674897	-10.698015	0.8948644	0.010161941	0.150125	99.0	201.68154954910278
17	-1.5625467	2.038842	0.9210952	-7.937315	1000.0	12.55	36.182835	161.0	0.0	-1.3079818	3.306216	13.005535	-24.298595	720000	-5.9604646e-09	22.534016	-0.014711378	-17.251059	0.8853855	0.0135701	0.14385001	99.0	213.39852809906006
18	-2.0189235	1.8698639	2.8261964	-6.538254	1000.0	17.275	48.09781	243.0	0.0	-1.0815709	2.9838448	2.634727	-27.180334	760000	-1.1920929e-08	27.48446	-0.015481393	-23.483553	0.8783563	0.011040929	0.133725	99.0	225.22502994537354
19	-1.8161461	2.0045016	1.8479708	-7.994227	1000.0	13.1	32.94905	161.0	0.0	-0.4048209	1.1247734	5.156507	-13.892383	800000	-5.9604646e-09	11.444502	-0.01584779	-4.718756	0.8772651	0.010059021	0.1322	99.0	236.95735812187195
20	-1.2806801	1.8701864	3.1287158	-6.145888	1000.0	20.8	41.053135	187.0	0.0	-0.89304954	1.6784468	4.7181787	-13.637598	840000	0.0	17.301558	-0.018270742	-12.072532	0.8761374	0.01113904	0.13525	99.0	248.70781183242798
21	-2.0090988	2.2243593	0.8296331	-8.136844	1000.0	9.35	25.212646	101.0	0.0	-0.88203937	2.1288028	7.1589975	-27.996454	880000	-4.4703485e-09	9.059983	-0.017969282	-4.7249336	0.87042916	0.013586071	0.14699998	99.0	260.4788992404938
22	-1.5993747	2.2605844	6.5929146	-6.7599964	1000.0	28.275	74.38918	396.0	0.0	-0.56078	1.1062497	19.552345	-11.441083	920000	-1.1920929e-08	24.931957	-0.016684238	-16.695522	0.85431623	0.007234962	0.132375	99.0	272.322546005249
23	-1.8349663	2.3764582	1.709269	-10.030991	1000.0	6.5	16.304907	69.0	0.0	-1.074694	2.725811	16.844965	-18.579966	960000	-8.195639e-09	7.9299736	-0.016507212	-7.0994673	0.85044134	0.0127058	0.14157501	99.0	284.25459814071655
24	-1.2889483	1.9792459	3.7442908	-7.1765337	1000.0	10.725	22.501099	116.0	0.0	-0.36322775	1.0833603	5.6093764	-12.482801	1000000	-1.0430813e-08	3.3970573	-0.018129913	-2.1996512	0.83856714	0.011592056	0.150475	99.0	295.6356008052826
25	-1.4897096	2.0328646	4.320583	-7.4478326	1000.0	10.875	30.432045	165.0	0.0	-0.3849983	0.96246314	1.8210738	-13.746635	1040000	2.2351743e-09	1.8347998	-0.016184175	-1.2482255	0.83066475	0.012467966	0.14430001	99.0	306.82217168807983
26	-1.2187709	1.8486161	2.4489954	-7.6270127	1000.0	23.575	66.76222	322.0	0.0	-0.618559	2.015688	1.8670902	-15.790517	1080000	-1.1920929e-08	4.2007303	-0.012891762	-3.41964	0.82365435	0.015254194	0.134625	99.0	318.774338722229
27	-1.4187334	1.5266963	0.78991646	-6.345417	1000.0	16.6	53.531208	296.0	0.0	-0.30245522	0.5252962	2.1933715	-2.7477431	1120000	7.450581e-09	0.47087264	-0.01788656	-0.21500602	0.81158245	0.009070872	0.11972499	99.0	330.1954436302185
28	-0.62039864	1.8908417	5.6934958	-5.3384085	1000.0	7.65	19.87404	82.0	0.0	-0.32065952	0.6489737	12.470731	-7.574252	1160000	1.0430813e-08	0.6039065	-0.0137254875	-0.4896111	0.8022331	0.011234334	0.11834999	99.0	342.0156202316284
29	-0.38859946	2.3925674	4.9569135	-9.558057	1000.0	11.7	28.698606	127.0	0.0	-0.086923935	0.2304405	3.6131978	-2.4313602	1200000	5.9604646e-09	0.13705906	-0.019174088	-0.055841338	0.7924734	0.012220398	0.145575	99.0	353.08482456207275
30	-0.13643953	2.4048748	3.909038	-5.5063806	1000.0	26.15	84.40899	510.0	0.0	-0.028759943	0.18658103	0.80739653	-1.3109226	1240000	8.940697e-09	0.14938036	-0.021024846	-0.041181322	0.7843616	0.010991377	0.14575	99.0	364.78054904937744
31	-0.02797221	1.7413996	4.5031233	-3.3131995	1000.0	6.425	15.147422	75.0	0.0	-0.047153506	0.34560776	1.5469751	-6.3780766	1280000	0.0	0.19745661	-0.016989443	-0.116346575	0.7707639	0.011506979	0.12855001	99.0	376.0320463180542
32	0.08849181	2.075477	3.8543048	-5.535935	1000.0	16.725	32.638924	136.0	0.0	-0.015121091	0.21828225	1.7485335	-1.7083653	1320000	-8.940697e-09	0.13831289	-0.021264922	-0.047124006	0.75998545	0.012322598	0.14835	99.0	387.5646378993988
33	0.2854516	2.3190641	5.619903	-5.279346	1000.0	32.225	73.16505	394.0	0.0	0.0118794115	0.1719244	3.3739448	-1.0547272	1360000	-4.4703485e-09	0.13288794	-0.022228178	-0.024514316	0.74759424	0.011173988	0.15005	99.0	399.190824508667
34	0.604099	2.7767708	7.985145	-6.543916	1000.0	29.025	72.36141	385.0	0.0	0.04029383	0.21000762	3.3047733	-1.2020096	1400000	-2.9802323e-09	0.21049774	-0.020928906	-0.07227906	0.73658943	0.01260305	0.1538	99.0	410.8917119503021
35	0.5164	3.467483	8.985657	-13.89253	1000.0	39.45	96.46319	527.0	0.0	-0.028564062	0.26361355	1.0144656	-0.87886953	1440000	-5.9604646e-09	0.17323735	-0.021716796	-0.042059183	0.7155585	0.014399354	0.15827501	99.0	422.83445405960083
36	0.5613023	2.0088925	6.1447463	-5.164534	1000.0	29.2	94.18949	584.0	0.0	0.031673517	0.35786378	10.179856	-1.652535	1480000	-1.7881394e-08	1.3939962	-0.01775677	-0.8785531	0.6990012	0.008425171	0.133975	99.0	434.67276215553284
37	1.1740824	2.0137706	6.0379057	-3.2217534	1000.0	29.425	57.519077	201.0	0.0	-0.23265775	0.43858474	2.511025	-4.0568347	1520000	5.9604646e-09	0.77200395	-0.020772904	-0.21315166	0.6962156	0.011157341	0.14237499	99.0	446.3830461502075
38	0.68264806	3.1678247	8.164232	-10.264392	1000.0	23.025	52.08574	282.0	0.0	-0.1687638	0.4446409	1.2315491	-2.2310314	1560000	-5.9604646e-09	0.7404278	-0.022428816	-0.3336703	0.6867555	0.012474412	0.151025	99.0	458.3570957183838
39	1.562186	2.453762	6.7588224	-3.8973067	1000.0	33.725	99.54773	588.0	0.0	-0.30898574	0.55570143	1.2414181	-5.751016	1600000	2.9802323e-09	0.5941318	-0.023131922	-0.4458243	0.6800408	0.01369783	0.143475	99.0	469.60738825798035
40	1.2848207	2.4307754	6.6349144	-5.8722897	1000.0	39.925	92.55036	395.0	0.0	0.084487915	0.2912685	1.946346	-1.5484705	1640000	-1.9371509e-08	0.8323922	-0.020717649	-0.37416226	0.6601491	0.010140593	0.15309998	99.0	481.78551745414734
41	2.218954	2.5882242	7.1769223	-3.162366	1000.0	30.675	81.82401	485.0	0.0	-0.009278232	0.33956957	2.1287167	-1.9827949	1680000	-1.1920929e-08	2.6594348	-0.020415664	-2.014742	0.65204763	0.008673752	0.14635	99.0	493.36893248558044
42	1.3594815	2.6804638	7.848206	-4.4717894	1000.0	27.4	116.09345	741.0	0.0	-0.11691789	0.7868089	3.8167388	-11.139947	1720000	0.0	3.6684551	-0.017117485	-3.0711434	0.64670134	0.00828124	0.13702501	99.0	505.03850412368774
43	1.6985066	3.2524066	12.53604	-6.1379666	1000.0	22.275	53.598038	302.0	0.0	-0.021571694	0.4256854	1.7352144	-8.664134	1760000	3.7252903e-09	1.2340901	-0.02078181	-0.7252152	0.6317706	0.012068504	0.16835001	99.0	516.6245975494385
44	1.4480174	2.0496795	6.837599	-1.1921883	1000.0	32.85	67.816124	290.0	0.0	-0.07489208	0.8056403	4.646358	-4.4189587	1800000	-8.940697e-09	0.7860958	-0.021645425	-0.5770745	0.61604285	0.012980377	0.161025	99.0	528.4170956611633
45	1.9047924	2.8000126	7.762693	-5.2444477	1000.0	34.85	54.959324	169.0	0.0	-0.062285572	0.4153406	5.429472	-4.2713213	1840000	1.4901161e-08	0.7952329	-0.020380981	-0.3398444	0.5994105	0.010853257	0.15255001	99.0	540.4887175559998
46	1.6223847	2.493376	7.7649436	-5.1058817	1000.0	26.05	71.03167	307.0	0.0	-0.08503348	0.4332729	2.357247	-2.5523179	1880000	5.9604646e-09	1.5786219	-0.020235078	-1.1049838	0.59120387	0.00993478	0.147625	99.0	552.0784180164337
47	1.6621193	2.4321585	8.615013	-2.4528341	1000.0	32.1	63.08756	240.0	0.0	-0.223458	0.86017513	2.2354698	-8.937215	1920000	-8.195639e-09	1.4503123	-0.019829586	-0.9607364	0.58999753	0.014754537	0.15910001	99.0	563.8623557090759
48	1.982235	3.3808126	13.673993	-4.65273	1000.0	42.125	76.54123	357.0	0.0	-0.09762152	0.6846862	2.1285968	-7.092743	1960000	-5.9604646e-09	1.9909893	-0.020651352	-1.440259	0.5805664	0.0086353365	0.15615001	99.0	575.441379070282
49	2.2940764	2.6896627	10.538288	-1.7880641	1000.0	31.025	62.85081	299.0	0.0	-0.1710727	0.83997226	2.1545858	-6.4553137	2000000	-4.4703485e-09	4.123452	-0.020700792	-2.725412	0.5708921	0.008517478	0.15527502	99.0	587.2062344551086
50	1.6626167	2.0630422	5.58603	-2.0856147	1000.0	27.0	56.81901	287.0	0.0	-0.2927414	1.167962	4.0019984	-8.80899	2040000	-2.9802323e-09	5.146867	-0.020994412	-3.8241916	0.56617993	0.013629037	0.16512498	99.0	599.0551507472992
51	1.9296229	2.7677553	7.7150455	-3.5954628	1000.0	56.15	124.6394	563.0	0.0	-0.13178408	1.0854305	2.7279537	-13.540595	2080000	-1.6391278e-08	11.002592	-0.01905303	-8.242042	0.5527402	0.00914948	0.146925	99.0	610.8055734634399
52	2.0046484	2.5245564	10.531693	-2.2495203	1000.0	20.275	64.48449	357.0	0.0	-0.9074967	2.206942	1.9934909	-20.859573	2120000	-1.0430813e-08	12.435499	-0.015920436	-11.164477	0.5510507	0.014700714	0.147775	99.0	622.533976316452
53	1.6270626	2.482253	9.492528	-2.1894076	1000.0	38.625	93.597725	472.0	0.0	-0.26064596	1.0197425	1.6761739	-11.7831	2160000	-4.4703485e-09	14.51737	-0.019712567	-11.336375	0.5450651	0.009237191	0.140475	99.0	634.022846698761
54	1.8757982	2.8441315	10.473053	-5.5294642	1000.0	37.9	96.50746	389.0	0.0	-1.1905553	3.0462177	2.0942864	-18.79456	2200000	0.0	22.887287	-0.016546208	-20.241035	0.548897	0.017253034	0.16889998	99.0	645.8300786018372
55	1.5969806	2.7907536	13.164215	-2.0659032	1000.0	24.65	55.503853	338.0	0.0	-1.1067791	3.011236	4.015714	-17.320562	2240000	5.9604646e-09	10.100522	-0.021686498	-8.3020115	0.5456679	0.013781318	0.1451	99.0	657.3932733535767
56	1.7674911	4.020668	14.962855	-13.831972	1000.0	27.875	57.39956	220.0	0.0	-0.8599197	2.1934044	4.0217457	-27.44963	2280000	5.9604646e-09	12.675321	-0.019098837	-10.696973	0.5422869	0.014287624	0.1629	99.0	669.0530953407288
57	1.786184	3.0136185	9.24276	-5.089107	1000.0	24.475	68.51459	343.0	0.0	-0.8100098	2.0856273	5.087999	-14.765008	2320000	-2.9802323e-09	11.951922	-0.017445702	-10.866028	0.52751994	0.014634485	0.15295	99.0	680.7791743278503
58	1.7338282	2.378758	9.442724	-1.7903001	1000.0	62.6	151.52934	717.0	0.0	-0.6601466	1.7135596	1.401826	-18.584518	2360000	8.940697e-09	27.77118	-0.01705712	-24.040373	0.52346194	0.004266062	0.13479999	99.0	693.0440876483917
59	0.93601876	2.8190107	7.3912063	-4.878637	1000.0	12.525	33.04239	188.0	0.0	-1.303451	3.4300666	14.019886	-23.282179	2400000	1.3411045e-08	15.965296	-0.01298633	-11.820131	0.5236771	0.017205749	0.160225	99.0	704.7360949516296
60	1.6242012	2.9875994	9.286699	-7.55992	1000.0	42.25	79.84884	359.0	0.0	-0.7109707	0.86354184	6.867504	-8.226538	2440000	-2.9802322e-08	20.358349	-0.020778412	-18.036835	0.51864123	0.010060734	0.13782501	99.0	716.5393431186676
61	2.7382653	2.8664677	11.879376	-1.8045636	1000.0	46.775	113.140724	695.0	0.0	-1.0617514	2.923187	1.476851	-26.220587	2480000	0.0	38.69744	-0.018880647	-33.480427	0.53044415	0.009370327	0.16457501	99.0	728.2649776935577
62	1.5508013	2.3627055	8.107107	-3.019249	1000.0	15.075	42.152336	210.0	0.0	-1.3459103	3.1049242	6.217545	-25.786226	2520000	8.940697e-09	13.420357	-0.019557517	-11.406911	0.51994324	0.015289593	0.1529	99.0	739.8833746910095
63	1.3932921	3.5154054	9.187887	-10.984397	1000.0	13.425	36.267677	161.0	0.0	-0.69019717	2.5136123	2.634726	-25.323252	2560000	6.7055224e-09	10.414117	-0.01699785	-8.348636	0.5140166	0.018061731	0.161875	99.0	751.7752482891083
64	1.3125246	2.2674632	8.23357	-3.9619558	1000.0	20.575	69.40565	366.0	0.0	-0.49908257	1.7818708	4.7820115	-27.261312	2600000	-5.9604646e-09	16.208206	-0.018098492	-14.785724	0.5081756	0.008317468	0.14119999	99.0	763.1703455448151
65	1.5872712	2.3558238	7.4611053	-4.020793	1000.0	30.65	54.32704	199.0	0.0	-0.15401238	1.1605039	4.354666	-21.591722	2640000	0.0	8.723944	-0.020036897	-6.9189596	0.49972564	0.01082396	0.165825	99.0	774.432137966156
66	1.8441929	2.7198803	6.7151856	-6.324328	1000.0	36.6	74.64476	325.0	0.0	-1.1351109	3.3169236	2.5115547	-24.458788	2680000	2.9802323e-09	14.08521	-0.018939892	-12.606283	0.50029665	0.016904581	0.16939999	99.0	786.0791471004486
67	1.6864736	2.961935	7.7725487	-7.786281	1000.0	9.55	20.2521	95.0	0.0	-0.99531144	2.3029435	2.3876116	-22.636768	2720000	-1.7881394e-08	6.9166794	-0.017646948	-5.952372	0.48932743	0.015802465	0.14985	99.0	797.6021695137024
68	2.1392074	2.7500038	11.222409	-0.8116302	1000.0	55.475	160.10777	676.0	0.0	-0.13955125	0.46207622	1.6758481	-5.8775845	2760000	0.0	21.125717	-0.018015489	-19.195534	0.48478538	0.0026428655	0.123775005	99.0	809.4164464473724
