Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7581018	1.2088625	1.7607343	-4.3730645	1000.0	33.175	69.84336	330.0	0.0	0.009435103	0.0857157	0.2584076	-0.20115301	80000	8.940697e-09	209.91602	-0.008207505	-56.023552	0.9189385	0.005017313	0.0695125	99.0	22.929436922073364
1	-0.9835793	1.5475394	1.4608911	-5.7532477	1000.0	32.3125	91.01409	512.0	0.0	-3.1922123	4.783298	6.0031466	-15.493029	160000	2.9802323e-09	28.735989	-0.011695234	-27.473354	0.926167	0.006768984	0.07745	99.0	44.47094202041626
2	-0.6380043	1.3722515	2.5442119	-5.0400834	1000.0	37.0	88.14122	361.0	0.0	-0.3031583	0.5942922	1.0072547	-2.199712	240000	2.3841858e-08	0.4561553	-0.010494646	-0.29964942	0.92482233	0.0066939644	0.076037504	99.0	66.36333394050598
3	-0.48270136	1.4170475	2.437731	-4.908825	1000.0	24.525	67.606766	370.0	0.0	-0.18009551	0.24694884	2.8296463	-0.9610189	320000	5.9604646e-09	0.86537725	-0.010947173	-0.21709065	0.9161643	0.0073713944	0.0887	99.0	88.24935984611511
4	-0.0032652528	1.4086064	3.6512613	-3.6712816	1000.0	40.575	81.90097	326.0	0.0	-0.2611103	0.31755292	1.60499	-2.052659	400000	1.5646219e-08	0.37762707	-0.013591712	-0.11417098	0.92404175	0.00782402	0.10237501	99.0	110.1929543018341
5	0.4298753	1.3986748	3.988945	-3.1528127	1000.0	64.4875	108.37562	566.0	0.0	-0.17004101	0.18672147	0.47860736	-1.0815895	480000	-8.940697e-09	4.778242	-0.012146407	-1.618782	0.9194565	0.0053363126	0.0837125	99.0	132.06484460830688
6	0.47369027	1.4968343	7.3635187	-2.5593548	1000.0	50.575	106.02626	452.0	0.0	-0.7357578	0.96912664	1.2927688	-4.9992676	560000	-2.0861625e-08	26.68153	-0.011619568	-18.586483	0.93299425	0.0050155753	0.091562495	99.0	154.53485441207886
7	0.41630268	1.3440402	3.9228053	-3.7462387	1000.0	63.6	105.56238	492.0	0.0	-1.148367	2.490273	6.4234176	-17.577374	640000	1.4901161e-09	51.00367	-0.01377224	-34.725445	0.9464859	0.007558862	0.105612494	99.0	176.7385654449463
8	0.47097462	1.7159221	5.5593944	-3.8688338	1000.0	43.225	109.80449	681.0	0.0	-1.9025824	4.1008596	6.6561604	-24.03291	720000	-2.9802323e-09	64.26814	-0.013624966	-49.989563	0.9481751	0.008095461	0.1188	99.0	198.74219298362732
9	0.26310632	1.6959071	6.163965	-3.3795836	1000.0	35.675	78.81017	475.0	0.0	-2.0005732	4.8802934	2.345833	-34.235413	800000	-2.7939677e-09	60.35119	-0.012725567	-32.938484	0.9492918	0.010496674	0.128825	99.0	220.9096655845642
