Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.66601545	1.2588125	0.80216324	-3.1979325	1000.0	53.3	67.1432	161.0	0.0	0.008509987	0.06533855	0.1431052	-0.13378529	10000	3.576279e-08	322.4093	-0.016609032	-112.63511	0.9189385	0.007392724	0.1165	99.0	9.71206545829773
1	-0.5922392	1.7171408	2.2214181	-3.6005692	1000.0	4.9	11.75117	39.0	0.0	-4.9090867	6.7561235	5.959489	-16.8315	20000	1.1920929e-08	59.39622	-0.019347094	-56.75061	0.91133976	0.010884503	0.1345	99.0	18.930309295654297
2	-2.330716	2.2952914	0.7306865	-5.887502	1000.0	13.9	41.7	139.0	0.0	-0.511826	0.7944399	0.62022984	-2.1728613	30000	-2.3841858e-08	0.812778	-0.015365553	-0.7511112	0.9028357	0.0051742243	0.10109999	99.0	28.562215089797974
3	-1.4714705	2.1375203	0.5000895	-6.026795	1000.0	17.1	51.3	171.0	0.0	-0.2709578	0.18060003	0.13695136	-0.84758466	40000	-5.9604646e-09	0.06988154	-0.02017505	-0.029668206	0.8840977	0.012728201	0.1671	99.0	38.049293756484985
4	-0.31540102	1.4219972	2.6297581	-2.36253	1000.0	48.4	100.955635	340.0	0.0	-0.18229672	0.22732402	0.16936806	-0.89843565	50000	0.0	0.10235101	-0.02128952	-0.062614426	0.8767437	0.013126555	0.1619	99.0	47.44875979423523
5	-0.13355759	0.5928014	1.0448306	-1.2136834	1000.0	80.2	126.45695	347.0	0.0	-0.0553025	0.09234339	0.21692722	-0.47552788	60000	1.1920929e-08	8.997399	-0.021886978	-5.142109	0.86751366	0.0072575673	0.1158	99.0	57.03800296783447
6	-0.23555176	0.93320477	1.0529692	-1.7376875	1000.0	24.0	43.28741	127.0	0.0	-1.1702032	1.7199261	0.4931592	-4.4811254	70000	-5.9604646e-09	17.780056	-0.016447615	-7.9879026	0.8752569	0.02585945	0.2004	99.0	66.71272897720337
7	0.1097015	1.1281652	1.6475147	-1.4211994	1000.0	76.5	100.42236	242.0	0.0	-0.83426464	0.7829183	0.11966278	-2.8702154	80000	1.7881394e-08	60.8516	-0.016786212	-36.10027	0.8883251	0.0028670009	0.1283	99.0	76.27684283256531
8	0.47351804	0.63904715	1.9312097	-0.33758256	1000.0	71.9	131.1087	452.0	0.0	-3.1112149	3.9734771	3.526979	-12.950656	90000	3.7252903e-09	84.99026	-0.023988783	-66.94878	0.8819512	0.013911985	0.1542	99.0	85.72475028038025
9	0.006315327	1.1612089	1.4008864	-2.3932579	1000.0	6.8	10.447967	25.0	0.0	-1.9022816	4.0147996	3.854814	-25.189707	100000	0.0	19.60207	-0.021840733	-17.948221	0.8904153	0.01591118	0.1466	99.0	95.10355949401855
10	0.037014257	0.41001236	0.66356385	-0.84007764	1000.0	4.9	14.7	49.0	0.0	-0.1729778	0.5220623	9.825056	-1.2353565	110000	-2.9802323e-09	2.4983838	-0.01437791	-0.48999825	0.8628255	0.005800913	0.1403	99.0	104.37297296524048
11	-1.3538897	2.0180652	0.720204	-6.521815	1000.0	51.3	64.734924	161.0	0.0	-0.062241316	0.409781	2.9992871	-4.1685476	120000	-1.4901161e-09	38.753437	-0.023183178	-19.08794	0.8723165	0.006475811	0.13280001	99.0	113.62910866737366
