Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.31716725	0.8805746	1.5647222	-1.9187392	1000.0	41.9	84.435715	358.0	0.0	4.0870666e-05	0.0744794	0.22622898	-0.114493236	20000	1.4901161e-09	273.76212	-0.014031726	-104.45493	0.9189385	0.0065201363	0.0907	99.0	13.712164402008057
1	-0.58799213	1.1934335	3.00752	-2.6125462	1000.0	27.15	56.194553	230.0	0.0	-2.8682532	6.046345	6.990335	-18.067312	40000	1.6391278e-08	38.37862	-0.016163783	-36.598133	0.9345228	0.0038927794	0.092650004	99.0	23.565667390823364
2	-0.8739169	1.4557625	3.2922754	-2.8641884	1000.0	39.75	70.503105	256.0	0.0	-0.36407524	0.631141	0.55224365	-2.2548773	60000	-5.9604646e-09	0.52316797	-0.015720036	-0.4613533	0.913764	0.010801374	0.110599995	99.0	33.22346591949463
3	-0.17368779	1.0063683	1.5997589	-2.4517536	1000.0	36.9	72.991714	221.0	0.0	-0.11276788	0.13857673	0.34620252	-0.58924854	80000	1.1920929e-08	1.1371752	-0.012089411	-0.46602416	0.9088588	0.006201478	0.09795	99.0	42.76182579994202
4	-0.104952775	1.0758911	1.8989397	-2.092789	1000.0	140.25	132.628	508.0	0.0	-0.3624318	0.3905895	0.34515846	-1.5577447	100000	0.0	12.8826275	-0.01819955	-10.575464	0.9212251	0.0049942285	0.09675	99.0	52.315242528915405
5	0.21647	1.0700469	2.0455818	-2.2017252	1000.0	55.2	90.57075	358.0	0.0	-2.1815722	2.3075905	1.7563473	-9.403831	120000	-8.940697e-09	68.78398	-0.0176046	-49.173996	0.9240471	0.0066169477	0.11869999	99.0	62.049896478652954
6	-0.1424493	0.9029139	1.9149253	-1.4114026	1000.0	59.2	103.36663	343.0	0.0	-1.2107098	2.1197119	5.4671454	-22.014544	140000	-2.9802323e-09	105.83185	-0.015339305	-77.582504	0.931775	0.0032327883	0.09989999	99.0	71.81951212882996
7	-0.48982906	1.7383515	2.579998	-6.2519526	1000.0	67.9	95.88477	304.0	0.0	-6.20019	10.751511	3.4914408	-30.690996	160000	-2.9802323e-09	174.83463	-0.018694662	-152.03125	0.9387126	0.015947532	0.15204999	99.0	81.59040069580078
8	-0.59905446	1.219348	2.6257405	-2.822887	1000.0	41.85	78.11675	246.0	0.0	-4.44028	8.296756	15.55828	-39.5793	180000	-1.15484e-08	140.40646	-0.016726706	-118.3594	0.93198955	0.014019713	0.15345001	99.0	91.08771085739136
9	-0.2921165	1.2150626	1.7237887	-3.2700882	1000.0	30.65	44.426655	161.0	0.0	-2.2809284	5.2514067	33.382397	-36.44777	200000	-5.9604646e-09	55.000805	-0.01877695	-46.60237	0.9283713	0.012961037	0.15405001	99.0	100.87158417701721
