Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.4032689	1.2343693	4.2372236	-4.1365967	1000.0	40.5125	82.51136	381.0	0.0	0.02193942	0.087588675	0.23727135	-0.12333755	80000	2.8312206e-08	286.49582	-0.008442675	-87.736725	0.9189385	0.00501474	0.066199996	99.0	23.03342604637146
1	-0.7019087	1.3569826	3.1210184	-4.61696	1000.0	46.45	85.26853	355.0	0.0	-3.1912794	5.6446714	5.7019343	-16.751158	160000	-3.8743018e-08	36.417797	-0.011431395	-34.312126	0.92759144	0.006326659	0.0690625	99.0	44.42516827583313
2	-0.59176356	1.5002168	3.9859033	-6.4576488	1000.0	33.45	80.2633	365.0	0.0	-0.3026	0.87820727	2.4279466	-3.267531	240000	-4.4703485e-09	3.789933	-0.010169831	-0.8976658	0.91848755	0.006590125	0.08815001	99.0	65.88481640815735
3	-0.50513685	1.1071051	2.6120162	-3.9664013	1000.0	50.825	96.369965	505.0	0.0	-0.52653474	0.7019546	1.3953195	-2.5874457	320000	-2.9802323e-09	6.0786777	-0.01132186	-1.3052701	0.92950904	0.007823033	0.087349996	99.0	87.6291184425354
4	-0.2757137	1.1751939	2.8378646	-3.42835	1000.0	44.95	89.29374	397.0	0.0	-0.9531111	0.768897	4.8951454	-3.6417785	400000	-8.940697e-09	16.242544	-0.010927657	-7.4316406	0.94919026	0.0049513965	0.085425004	99.0	109.31270170211792
5	-0.21669862	1.3087128	2.4662309	-3.5227375	1000.0	43.1875	109.58446	627.0	0.0	-1.0785085	1.8366427	8.318073	-14.568925	480000	3.7252903e-09	32.311653	-0.011553581	-22.887678	0.9640137	0.006221981	0.087425	99.0	131.820729970932
6	0.017319674	1.5923005	3.103416	-4.2732544	1000.0	32.2125	66.178116	298.0	0.0	-1.1555445	3.0765417	2.898959	-18.312664	560000	-8.940697e-09	24.292883	-0.011975216	-13.061432	0.97348547	0.0076920455	0.1050125	99.0	154.21409010887146
7	-0.60340595	1.1359522	3.0134711	-3.2102127	1000.0	25.1375	49.612686	193.0	0.0	-0.9629415	1.6372515	2.7686234	-20.257517	640000	-1.4901161e-09	17.00567	-0.012530198	-5.6802726	0.9672265	0.009145429	0.12539999	99.0	176.5715148448944
8	-0.7864774	1.0176344	1.8068874	-3.102913	1000.0	18.9125	66.23598	359.0	0.0	-1.1700697	2.004253	2.1970253	-18.75611	720000	-1.1920929e-08	17.671852	-0.011409933	-12.250335	0.9736756	0.008596277	0.1084375	99.0	198.69013929367065
9	-0.68188345	1.4290136	2.9377112	-5.538963	1000.0	24.8	58.07783	281.0	0.0	-0.59079075	1.8560843	3.6952915	-21.668003	800000	8.940697e-09	14.124954	-0.0127460975	-7.3418984	0.9827601	0.008283818	0.123449996	99.0	220.9876139163971
10	-0.36051697	1.4240857	2.7261367	-4.913151	1000.0	11.025	29.679106	144.0	0.0	-0.8678806	2.0293376	18.699287	-22.075	880000	0.0	7.758731	-0.01182407	-4.6795034	0.9789424	0.010883914	0.12886249	99.0	243.30083107948303
11	-0.48758537	1.5217117	3.2028995	-4.469891	1000.0	17.65	49.35689	307.0	0.0	-0.2861499	0.44510776	1.2472675	-3.572711	960000	-2.9802323e-09	3.8683267	-0.012089082	-1.1962919	0.9838511	0.007345495	0.10427499	99.0	265.41517329216003
12	-0.54618305	1.7268332	4.702331	-5.215993	1000.0	21.0125	59.09431	289.0	0.0	-0.39642888	0.982926	2.0597906	-18.558268	1040000	7.450581e-09	2.561074	-0.01408116	-1.6734111	0.99617577	0.008801259	0.1132375	99.0	287.3508532047272
13	-0.32540166	1.7848575	3.5724144	-5.131181	1000.0	28.3375	81.87292	463.0	0.0	-0.3229526	0.89113474	3.306756	-7.9172673	1120000	-5.9604646e-09	1.6710625	-0.015224382	-0.8840283	0.9842328	0.009596899	0.130725	99.0	309.8664565086365
14	-0.0056293546	1.8058078	7.4292736	-5.537984	1000.0	33.5125	84.862976	444.0	0.0	-0.30476272	0.467062	5.041415	-3.5857284	1200000	-2.9802323e-09	0.9350891	-0.015513684	-0.3503846	0.971912	0.008957271	0.119037494	99.0	331.77004742622375
15	0.37561402	2.1509948	5.785507	-6.593611	1000.0	25.3625	60.529797	367.0	0.0	-0.22431794	0.4750324	8.326866	-5.238963	1280000	-1.4901161e-09	1.2261131	-0.014374942	-0.32175583	0.96984446	0.009359161	0.12363751	99.0	353.4870674610138
16	0.48258027	1.6514262	4.693193	-3.36572	1000.0	31.9625	81.89589	414.0	0.0	-0.23240991	0.38533005	2.4458354	-1.9387901	1360000	2.9802323e-09	0.60229135	-0.01603766	-0.17723337	0.96538734	0.008604675	0.1249125	99.0	375.34557723999023
17	1.0008166	2.484524	7.081635	-7.4366956	1000.0	42.95	113.19275	575.0	0.0	-0.17425865	0.41383445	0.60546684	-2.2798169	1440000	2.2351743e-09	1.4718381	-0.014450766	-0.32069334	0.95717967	0.0077978475	0.1189125	99.0	397.11460995674133
18	1.5622345	2.0394452	6.462179	-2.1688259	1000.0	32.425	67.08256	363.0	0.0	-0.23933786	0.52020687	1.3633441	-2.3599696	1520000	1.1920929e-08	3.269151	-0.014640461	-1.3253386	0.95070183	0.006772951	0.10883751	99.0	419.4524030685425
19	1.9511344	2.7286737	9.821461	-3.7175295	1000.0	18.325	54.102863	376.0	0.0	-0.31392193	0.80811316	1.9647397	-6.293249	1600000	-1.1920929e-08	3.2566478	-0.014979387	-1.6841282	0.96148	0.008698468	0.1146125	99.0	441.6994092464447
20	1.83844	2.243765	8.511871	-2.2852926	1000.0	27.1625	64.18147	408.0	0.0	-0.22850525	0.80495673	1.5507265	-8.03319	1680000	5.9604646e-09	1.7435691	-0.016155723	-1.0064678	0.9523088	0.009659497	0.1229625	99.0	463.7754154205322
21	1.4937985	2.6534336	11.754924	-5.79849	1000.0	25.7875	65.62101	454.0	0.0	-0.11160857	0.55671084	1.3716674	-7.1552305	1760000	4.4703485e-09	1.17572	-0.014355918	-0.5686277	0.9435171	0.008310194	0.106975	99.0	485.36978125572205
22	2.1345932	2.765443	10.271567	-3.2316384	1000.0	24.3375	50.29263	204.0	0.0	-0.073542334	0.3539222	2.5996594	-2.174436	1840000	-1.1920929e-08	0.41444898	-0.016792506	-0.17056587	0.9392668	0.009003213	0.1196625	99.0	507.32707118988037
23	2.262293	2.892915	9.992698	-5.0263085	1000.0	26.3	63.80427	366.0	0.0	0.06982741	0.2818106	4.4034076	-1.2496096	1920000	-5.9604646e-09	0.18401624	-0.018234398	-0.0938174	0.9282466	0.008992683	0.12691249	99.0	529.3409037590027
24	3.1168046	3.1363385	11.993934	-2.473735	1000.0	29.125	53.919006	251.0	0.0	0.23227905	0.2943328	4.5819354	-1.1229992	2000000	0.0	0.18023276	-0.018779268	-0.062482107	0.91019773	0.009309731	0.12560001	99.0	551.5689187049866
25	3.7539544	3.2035377	13.632004	-4.213193	1000.0	50.5125	109.327484	550.0	0.0	0.32470015	0.31456193	2.7036712	-1.2461256	2080000	-4.4703485e-09	0.18303396	-0.01938482	-0.061423063	0.8950485	0.007308805	0.124699995	99.0	573.9662597179413
26	4.0500884	3.695082	14.531754	-2.9449408	1000.0	57.15	126.83465	715.0	0.0	0.39031595	0.35809565	2.3987901	-0.7974988	2160000	-2.9802323e-09	8.989347	-0.014775386	-6.866126	0.8801527	0.0038216584	0.0991875	99.0	596.0417475700378
27	4.02202	3.2405343	11.44524	-1.5987715	1000.0	45.7	84.73995	498.0	0.0	-0.48471966	1.9602653	9.175203	-13.851901	2240000	-5.9604646e-09	20.172852	-0.015904654	-14.921016	0.88899994	0.0086672595	0.1318875	99.0	617.824805021286
28	4.071233	3.608126	15.092225	-2.5104387	1000.0	54.8875	87.20321	416.0	0.0	-1.2272313	2.7481697	8.361733	-20.10856	2320000	-8.940697e-09	36.306347	-0.017337099	-29.894964	0.8895112	0.009312613	0.130675	99.0	640.2070951461792
29	4.379738	3.9269686	14.487646	-3.0546317	1000.0	37.275	60.55906	234.0	0.0	-1.5219957	3.7107234	7.5849924	-29.997713	2400000	2.9802323e-09	32.264294	-0.01626639	-24.194664	0.88806784	0.010335213	0.13566251	99.0	662.0984165668488
30	4.434058	3.3268633	11.265814	-2.1585135	1000.0	28.775	41.48523	189.0	0.0	-1.3904871	2.4606616	3.5634153	-25.194925	2480000	7.823109e-09	17.89349	-0.016175756	-13.478412	0.88357747	0.011024007	0.13933751	99.0	683.9628684520721
31	4.706916	3.6894743	16.11944	-2.024882	1000.0	50.8	108.83996	643.0	0.0	-1.2965931	2.4076653	13.5753765	-19.767248	2560000	-5.9604646e-09	56.873596	-0.015171876	-45.56409	0.8810967	0.0073856176	0.1255625	99.0	706.240541934967
32	3.913795	3.456589	14.289487	-3.0756602	1000.0	44.4875	86.67123	581.0	0.0	-1.9957918	5.2137156	18.983503	-35.59972	2640000	7.4505807e-10	72.66763	-0.015893744	-61.699028	0.8823377	0.013014871	0.152825	99.0	728.7209918498993
33	4.285454	3.6346776	15.960194	-3.6063151	1000.0	26.775	60.724377	402.0	0.0	-1.6067625	4.035397	7.064842	-41.390797	2720000	3.3527612e-09	26.841803	-0.013978767	-19.76703	0.8837682	0.010212866	0.13284999	99.0	750.7928411960602
34	3.4439502	3.1947846	13.628316	-0.9327507	1000.0	24.225	42.21492	204.0	0.0	-1.6769153	4.3901243	17.96335	-38.711727	2800000	-5.9604646e-09	29.781342	-0.015365401	-24.621258	0.8757024	0.012126429	0.14145	99.0	772.2631981372833
35	4.2385244	3.967167	13.971787	-3.4004915	1000.0	25.8375	50.069065	215.0	0.0	-0.9705872	2.3346343	2.5402203	-28.90387	2880000	4.4703485e-09	23.990835	-0.015756782	-18.268856	0.86858463	0.011093229	0.13949999	99.0	794.7373099327087
36	4.2181954	3.7798278	12.713925	-8.878401	1000.0	31.875	73.24094	430.0	0.0	-0.95698506	2.5528598	3.2516634	-34.967846	2960000	-1.4901161e-09	36.108074	-0.016163904	-27.815964	0.8675672	0.010376191	0.1507375	99.0	816.9243404865265
37	2.949567	3.2592845	13.059915	-1.5273587	1000.0	40.875	108.25506	602.0	0.0	-1.3419349	2.9856691	3.4949613	-36.433643	3040000	-1.1920929e-08	68.65285	-0.014168682	-57.73188	0.8602954	0.008583838	0.12501249	99.0	838.6124324798584
38	3.3897164	3.3903396	12.135661	-3.757079	1000.0	20.575	50.324142	403.0	0.0	-1.108954	3.2466176	27.138847	-42.668587	3120000	-7.450581e-09	26.885157	-0.014662169	-20.606245	0.85844004	0.0120844	0.1454625	99.0	860.0324153900146
39	3.5258636	3.9729571	16.05813	-3.1588871	1000.0	25.0	55.018406	286.0	0.0	-0.81748044	2.7408242	21.626688	-40.660984	3200000	7.4505807e-10	25.251785	-0.014961658	-19.672352	0.8577719	0.009481038	0.12521249	99.0	882.0063366889954
