Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.2878912	0.57837397	0.4802671	-1.691483	1000.0	56.0	108.44261	358.0	0.0	0.005554639	0.0471934	0.119970515	-0.114493236	10000	2.9802323e-09	403.08813	-0.017113645	-155.5584	0.9189385	0.0072656595	0.109500006	99.0	12.718735456466675
1	-0.032286547	1.6155002	4.2075114	-2.0333772	1000.0	10.5	22.571	71.0	0.0	-4.034134	7.2886844	6.770422	-17.636215	20000	3.576279e-08	60.50921	-0.018731633	-57.650078	0.92685044	0.0053942315	0.119	99.0	22.615651607513428
2	-0.6682256	1.7644777	3.0202687	-3.1155512	1000.0	24.9	59.66984	198.0	0.0	-0.5887152	0.5587272	0.8607399	-1.7647728	30000	2.3841858e-08	0.67433155	-0.019095324	-0.58794016	0.9033183	0.008795753	0.122899994	99.0	32.404752016067505
3	-0.17358574	1.2508703	1.8932356	-2.519546	1000.0	31.2	74.63083	252.0	0.0	-0.2227013	0.20689605	1.1925659	-1.4346777	40000	-1.1920929e-08	0.14367136	-0.017133879	-0.078294	0.9013187	0.010315771	0.12449999	99.0	41.93069052696228
4	0.10815736	1.3040866	2.8712595	-2.3722525	1000.0	35.2	49.1341	147.0	0.0	0.015971474	0.21439938	1.3182236	-1.1498812	50000	0.0	0.10215322	-0.02029047	-0.058511008	0.88855183	0.011328326	0.1514	99.0	51.80575180053711
5	0.036124326	1.19937	3.3546004	-1.1672407	1000.0	47.9	52.278965	149.0	0.0	-0.022105685	0.14081118	0.35927293	-0.6970005	60000	0.0	0.52992165	-0.02143803	-0.32770497	0.87962943	0.0077237524	0.13260001	99.0	61.953264474868774
6	-0.2243218	1.5474375	1.5601631	-4.0448785	1000.0	74.7	177.93597	604.0	0.0	-0.26138473	0.3734431	0.6621076	-2.2509012	70000	1.1920929e-08	14.634979	-0.021918232	-13.258276	0.8867136	0.004200986	0.128	99.0	71.95572710037231
7	-0.7216838	1.5453247	2.5077949	-3.6183982	1000.0	82.3	212.18062	715.0	0.0	-0.6632207	2.089768	3.2469685	-11.341528	80000	-2.9802323e-09	90.555855	-0.02393291	-75.501785	0.89426744	0.007221592	0.1134	99.0	81.87868046760559
8	-0.35800198	1.4684075	2.635351	-3.5807502	1000.0	15.0	39.658543	133.0	0.0	-1.6083307	4.40529	0.14262494	-20.680054	90000	-5.9604646e-09	37.167713	-0.016728088	-22.88006	0.9174199	0.018202504	0.1397	99.0	91.31754159927368
9	0.050291896	1.0397246	2.4925542	-1.5376514	1000.0	29.0	53.04715	165.0	0.0	-0.9237186	1.2942475	16.832994	-6.503082	100000	1.1920929e-08	29.134954	-0.018718835	-4.7353935	0.89657867	0.0041429363	0.15529999	99.0	100.53005266189575
10	0.4097019	1.8785286	3.4744635	-2.2621377	1000.0	82.6	122.30716	417.0	0.0	-1.3789737	1.0058069	0.7519298	-12.863167	110000	0.0	98.81798	-0.023452843	-49.757835	0.90316164	0.0056467555	0.13900001	99.0	110.01271533966064
11	-0.14052138	1.900337	2.607996	-3.6522837	1000.0	33.6	100.799995	336.0	0.0	-2.5044453	2.6361978	0.4371488	-19.735556	120000	-5.9604646e-09	93.399826	-0.021190204	-81.56208	0.91611755	0.009847837	0.1082	99.0	119.60297298431396
12	-0.050376087	1.4470352	2.609273	-3.1076145	1000.0	26.1	42.321274	129.0	0.0	-2.8528361	8.104053	0.10565747	-33.96575	130000	1.0803342e-08	81.441536	-0.02064616	-64.18733	0.9280921	0.027168903	0.1877	99.0	128.98474431037903
13	0.9762068	1.4972838	3.8032923	-1.1724257	1000.0	28.3	59.24534	194.0	0.0	-1.8070471	3.8438535	5.086935	-28.34872	140000	2.2351743e-09	38.296616	-0.017626014	-29.68043	0.9096681	0.009064397	0.14479999	99.0	138.44540286064148
14	-0.78677326	2.786189	3.8303695	-4.6365604	1000.0	42.7	60.911495	169.0	0.0	-0.91218925	1.3024237	9.835681	-16.180346	150000	2.9802323e-09	47.84708	-0.023309093	-16.10213	0.9106511	0.0067595704	0.1327	99.0	147.8377559185028
15	-0.61398566	1.5748625	1.4412112	-3.4259274	1000.0	54.6	92.97763	295.0	0.0	-1.622232	2.788641	11.458262	-20.837795	160000	-7.4505807e-10	58.217033	-0.024887946	-30.802805	0.91425145	0.009852136	0.1513	99.0	157.3354115486145
16	-0.26642913	1.3439845	3.2174783	-1.801463	1000.0	86.3	133.47737	375.0	0.0	-2.2541227	4.903896	6.150336	-16.422508	170000	0.0	123.811935	-0.024655093	-91.697365	0.921332	0.0103029385	0.14469999	99.0	166.7942292690277
17	-0.3482514	2.6587288	3.1725438	-4.8557696	1000.0	20.5	41.58185	118.0	0.0	-3.1222472	5.743124	28.737165	-25.18791	180000	1.1920929e-08	41.248047	-0.02472771	-28.614124	0.9318985	0.013029801	0.1732	99.0	176.41822218894958
18	-1.0578356	1.4139174	1.3513875	-3.2964625	1000.0	3.8	11.4	38.0	0.0	-1.0655051	3.0461283	7.4141498	-26.243164	190000	-2.9802323e-09	6.4661674	-0.018228916	-5.620931	0.9094697	0.014466527	0.1328	99.0	185.79932475090027
19	-0.15327962	1.2502217	1.6274449	-3.0431755	1000.0	8.9	20.447248	67.0	0.0	-1.1120399	4.2367396	2.341271	-37.02118	200000	5.9604646e-09	26.965021	-0.016641933	-19.660746	0.88371766	0.019808313	0.1949	99.0	195.3577585220337
20	-0.04959619	2.5139358	5.985909	-3.7714198	1000.0	31.6	88.64784	297.0	0.0	-0.53276956	0.69675314	1.8834026	-4.484322	210000	-3.576279e-08	79.14456	-0.01695525	-70.19286	0.8663273	0.0016184936	0.12120001	99.0	204.97198581695557
21	-0.736119	0.65990585	0.54874134	-2.0904496	1000.0	21.9	54.47284	184.0	0.0	-0.60471535	2.497472	0.35312557	-45.04197	220000	-8.940697e-09	48.803707	-0.019994114	-43.27221	0.88630056	0.009502733	0.1667	99.0	214.41152238845825
22	-0.63234305	2.8032665	6.4003167	-4.4753256	1000.0	0.0	0.0	0.0	0.0	-0.41716564	0.830127	0.42601842	-3.2527359	230000	5.9604646e-09	0.84166354	-0.022978704	-0.7704817	0.86209667	0.014987698	0.12780002	99.0	224.07606863975525
23	-0.1761539	1.6983902	2.157137	-3.889383	1000.0	18.6	41.267906	137.0	0.0	-0.1832827	0.6115767	0.18341076	-16.140095	240000	1.4901161e-08	16.991636	-0.017609935	-13.1986065	0.8502139	0.0049833795	0.158	99.0	233.367116689682
24	0.3097391	2.0930653	4.1657357	-2.9639413	1000.0	12.0	24.054106	79.0	0.0	-0.9179456	2.284055	0.9063991	-22.55109	250000	-1.6391278e-08	12.750773	-0.020158675	-10.559916	0.8444843	0.01918802	0.2095	99.0	243.0204722881317
25	-0.49395362	1.7428836	1.1104885	-3.9532564	1000.0	1.4	4.2000003	14.0	0.0	-0.26022294	0.9766852	1.8659363	-22.021688	260000	3.7252903e-09	0.82103527	-0.015232156	-0.6756097	0.83385324	0.016265143	0.1353	99.0	252.9149010181427
26	0.24911848	1.7195324	2.5755231	-3.6503181	1000.0	38.0	45.270298	114.0	0.0	-0.35816717	1.3955972	4.297224	-29.042772	270000	0.0	24.253542	-0.025217569	-17.380337	0.84364545	0.010669479	0.14690001	99.0	262.7075984477997
27	0.33535388	4.1706915	10.821855	-5.0014057	1000.0	70.8	120.173874	374.0	0.0	-2.0160503	3.3749318	9.038347	-20.43283	280000	2.3841858e-08	65.56102	-0.02573638	-48.350708	0.8471948	0.007541284	0.177	99.0	272.1522059440613
28	-0.54646325	1.9461889	2.1212273	-4.1369777	1000.0	15.1	30.503935	104.0	0.0	-3.2457244	6.6695	16.19201	-25.112852	290000	-1.4901161e-08	54.750183	-0.025445756	-49.713005	0.8418921	0.021674901	0.17899999	99.0	281.4222774505615
29	-0.94521207	3.810875	7.4360723	-8.409842	1000.0	25.6	42.332493	127.0	0.0	-0.6513768	1.2623289	3.647542	-14.242417	300000	2.9802323e-09	12.357674	-0.019309074	-6.952037	0.81027585	0.018929232	0.1593	99.0	290.95979928970337
30	-0.256943	1.7872641	1.9732991	-3.67682	1000.0	21.9	39.657154	109.0	0.0	-0.91949666	2.4139025	9.4246435	-15.755544	310000	2.9802322e-08	20.816452	-0.020490002	-12.289349	0.8183627	0.015945394	0.183	99.0	300.24502396583557
31	-0.00014154315	1.9058737	2.4682899	-3.4758837	1000.0	26.7	47.104248	148.0	0.0	-3.1524398	4.350538	0.5115636	-17.579031	320000	-1.3783574e-08	35.933064	-0.02030098	-26.822409	0.82412946	0.01985145	0.1787	99.0	309.7560284137726
32	0.045886792	1.8361224	4.2961197	-2.946244	1000.0	5.8	9.042124	23.0	0.0	-0.60037166	3.1695657	41.378674	-11.979096	330000	-2.9802323e-09	11.197671	-0.016770313	-10.109708	0.8337947	0.01354253	0.1502	99.0	319.16391038894653
33	-1.70381	3.1466808	2.4705613	-7.3349605	1000.0	35.0	68.04263	203.0	0.0	-0.5062736	1.145753	1.6661971	-5.337571	340000	0.0	36.43189	-0.02160281	-28.272232	0.82051486	0.0055405125	0.1568	99.0	328.65164732933044
34	-1.2514156	2.8197002	3.8445222	-6.008319	1000.0	27.4	45.30607	119.0	0.0	-1.7737912	3.6685026	1.1757559	-19.759876	350000	-8.940697e-09	23.69666	-0.021926302	-16.945457	0.8191458	0.020629968	0.17639999	99.0	338.18504071235657
35	-2.308576	2.7492003	0.4507976	-7.616112	1000.0	18.9	32.77331	106.0	0.0	-0.9235664	3.1393108	4.310093	-19.349045	360000	-2.9802323e-09	20.361044	-0.02270847	-17.678064	0.8135437	0.019353291	0.2024	99.0	347.6870536804199
