Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.45560145	0.9807502	2.0751517	-3.0423446	1000.0	36.55	72.041985	255.0	0.0	-0.0028674453	0.09576837	0.20587143	-0.21035695	20000	-5.9604646e-09	272.4217	-0.013366813	-82.77547	0.9189385	0.006656899	0.10285	99.0	12.349655389785767
1	-0.10362089	1.2105043	3.497362	-2.1672347	1000.0	48.6	82.02585	280.0	0.0	-3.441186	5.788629	5.8305497	-17.141165	40000	-7.152558e-08	40.316704	-0.016594047	-38.579247	0.9357605	0.0067746798	0.105299994	99.0	22.057796716690063
2	-0.65602726	1.3391484	2.0976331	-3.5601444	1000.0	23.6	38.281067	111.0	0.0	-0.22016391	0.66809684	2.0721676	-2.0050461	60000	5.9604646e-09	2.1540475	-0.014478883	-0.89021194	0.9196782	0.010332769	0.13325	99.0	31.804874897003174
3	-0.16934088	1.581477	2.8204048	-3.0330446	1000.0	33.7	42.904663	136.0	0.0	-0.3875325	0.38404867	1.7188118	-2.3011813	80000	5.9604646e-09	1.2080336	-0.017876808	-0.5567931	0.92394114	0.011606589	0.13904999	99.0	41.731048822402954
4	-0.5078298	1.3674664	2.5657694	-3.6136022	1000.0	53.8	90.23558	395.0	0.0	-0.35089827	0.3298327	0.78454226	-5.0711555	100000	5.9604646e-09	4.6011286	-0.017323092	-3.2880645	0.9240465	0.008268574	0.11135	99.0	51.423929929733276
5	0.14182024	1.301427	2.4364393	-2.4302437	1000.0	37.15	82.09463	351.0	0.0	-0.75932175	0.9102439	0.36344227	-9.133728	120000	-8.940697e-09	15.480779	-0.0167346	-4.9826875	0.935737	0.01053599	0.14160001	99.0	61.22250413894653
6	-0.26455742	0.7667087	1.6749064	-1.5557321	1000.0	51.6	63.33514	205.0	0.0	-1.2231606	1.7212234	1.3540459	-11.191087	140000	-1.7136335e-08	19.476978	-0.01990281	-10.19108	0.9463371	0.008292494	0.15740001	99.0	71.19852328300476
7	-1.0913308	1.566305	0.6186208	-4.8669577	1000.0	25.8	41.53625	156.0	0.0	-1.2582877	1.9918886	10.470408	-12.110592	160000	5.9604646e-09	14.803676	-0.021050917	-12.504155	0.9463688	0.017794592	0.1751	99.0	80.8815438747406
8	-0.78038025	1.5618341	2.3409584	-5.661243	1000.0	31.0	42.646217	127.0	0.0	-1.1823821	2.8834977	1.3430048	-14.3289	180000	-7.450581e-09	16.761566	-0.020280909	-11.398776	0.9434866	0.015436212	0.19514999	99.0	90.36149215698242
9	-0.28248453	2.1615288	5.658267	-3.5901852	1000.0	38.0	77.52548	317.0	0.0	-0.93829316	1.6856738	2.3881361	-14.896551	200000	-3.7252903e-09	16.562733	-0.018883474	-11.853783	0.93483305	0.010479655	0.1426	99.0	100.4682309627533
10	-0.43285403	1.3908674	2.581789	-2.7216754	1000.0	45.75	67.31558	216.0	0.0	-1.8291728	3.7150724	1.6094437	-18.696959	220000	2.9802323e-09	25.167294	-0.017733846	-21.251364	0.94350636	0.011827774	0.1593	99.0	110.37255334854126
11	-0.5972636	1.4117585	2.2018957	-3.789845	1000.0	33.05	44.966072	129.0	0.0	-1.1570368	4.0003886	16.045559	-20.476702	240000	4.4703485e-09	27.828375	-0.01900353	-22.431406	0.94038165	0.011440533	0.15815	99.0	120.54767727851868
12	0.051335383	1.8344029	5.3293204	-2.2597492	1000.0	32.9	61.52877	232.0	0.0	-1.2909625	3.3233027	6.293547	-19.604298	260000	0.0	32.786213	-0.019254256	-22.2206	0.9209081	0.013071883	0.14745	99.0	130.68366360664368
13	-0.3423136	1.4809072	1.8494385	-5.4077597	1000.0	25.75	53.437695	188.0	0.0	-1.9490848	4.034802	14.889066	-20.94793	280000	-4.4703485e-09	26.564743	-0.019141395	-21.244715	0.9378742	0.014290066	0.1429	99.0	140.89334392547607
14	-0.50853413	2.817662	4.1658545	-9.433945	1000.0	28.25	49.832596	202.0	0.0	-1.079325	2.8345616	4.1889596	-16.570948	300000	-5.9604646e-09	27.07365	-0.019184107	-18.903427	0.92622983	0.012235192	0.17005	99.0	150.97571635246277
15	-1.3759866	2.2582562	1.9018642	-6.5717525	1000.0	46.5	97.542046	321.0	0.0	-1.3905505	3.9840689	16.136822	-19.461338	320000	0.0	63.863415	-0.0209197	-55.59361	0.91906965	0.008050601	0.1439	99.0	161.0477011203766
16	-1.0559139	1.9699085	2.0814996	-4.9614525	1000.0	27.85	64.82613	255.0	0.0	-0.92567605	2.647574	6.9941072	-29.040668	340000	3.3527612e-09	28.594929	-0.019232513	-23.603312	0.9249824	0.011130099	0.18139999	99.0	170.70362544059753
