Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9906206	1.3986291	2.0751517	-4.888964	1000.0	41.75	77.80304	408.0	0.0	-0.011534083	0.08789901	0.21000424	-0.21254987	80000	1.6391278e-08	281.78027	-0.00835753	-77.44893	0.9189385	0.005619022	0.068074994	99.0	22.745715141296387
1	-0.86270094	1.460503	3.6933584	-5.298165	1000.0	20.6875	50.03189	256.0	0.0	-3.9606469	5.690694	4.77976	-15.884154	160000	-2.3841858e-08	42.241356	-0.011267655	-40.51015	0.9329175	0.0048188553	0.067475006	99.0	44.8134081363678
2	-0.80164397	1.3394573	1.9621295	-5.082582	1000.0	38.2375	76.78122	373.0	0.0	-0.36643136	0.5151908	0.9907138	-2.1799011	240000	1.7881394e-08	0.33479446	-0.011051843	-0.26225257	0.92189705	0.0065347464	0.081199996	99.0	66.91843843460083
3	-0.5231275	1.2894839	3.7051337	-4.3731384	1000.0	44.7	83.904175	371.0	0.0	-0.10187881	0.23403949	2.7147107	-1.175708	320000	-4.4703485e-09	1.2830487	-0.011655062	-0.30408534	0.91382897	0.007453983	0.099225	99.0	89.07641768455505
4	-0.28092614	1.3554143	4.202124	-3.4654543	1000.0	53.4625	109.87868	573.0	0.0	-0.37579322	0.3827561	1.6322453	-1.8375512	400000	-4.4703485e-09	8.903454	-0.011965254	-1.8826237	0.91410005	0.0052124495	0.087325	99.0	111.34200048446655
5	0.01603778	1.2830508	3.0715508	-3.5549562	1000.0	52.8875	104.12961	597.0	0.0	-1.010641	0.9963975	3.7970686	-3.9697256	480000	0.0	24.225025	-0.011797758	-12.970146	0.9257077	0.004564592	0.0932125	99.0	133.4782350063324
6	0.16658673	1.4364178	4.481881	-2.6904242	1000.0	37.3375	93.09537	595.0	0.0	-1.4658368	2.593641	4.9812775	-14.95585	560000	1.4901161e-09	30.60575	-0.013760125	-15.710035	0.9271618	0.009062665	0.12719999	99.0	155.69887351989746
7	-0.045007043	1.5427887	3.6906352	-5.4228563	1000.0	43.475	93.93535	537.0	0.0	-1.0367777	2.1190646	10.153297	-20.046675	640000	-1.4901161e-09	35.13629	-0.013298293	-21.860756	0.91737163	0.006449239	0.1007	99.0	177.89244508743286
8	-0.064525686	2.0456536	5.378931	-5.7697577	1000.0	29.15	74.70343	513.0	0.0	-1.2407566	2.5371268	17.59834	-21.958887	720000	5.9604646e-09	30.370596	-0.014050717	-20.315407	0.92048216	0.00924628	0.121350005	99.0	200.0343189239502
9	-0.2061245	2.0959442	5.1986146	-4.4480877	1000.0	17.45	49.835457	272.0	0.0	-1.6947207	4.7085257	3.1862772	-25.697649	800000	8.940697e-09	33.791664	-0.012198656	-25.480398	0.9182352	0.010999532	0.11472499	99.0	222.1328902244568
10	-0.1079018	2.140222	5.905267	-6.3585343	1000.0	26.45	59.23468	284.0	0.0	-0.6431742	1.3667536	5.6957707	-21.889383	880000	-7.4505807e-10	14.242937	-0.012690497	-6.8480806	0.90596974	0.00788928	0.1074875	99.0	243.75802421569824
11	-0.02222677	2.3647342	6.763556	-7.477257	1000.0	37.3625	72.87373	431.0	0.0	-0.92446417	2.412989	8.901418	-13.097936	960000	-2.9802323e-09	27.316437	-0.015170905	-18.675234	0.91198635	0.008856395	0.1275125	99.0	265.92540550231934
12	-0.09391196	2.0353794	4.2253256	-6.1355076	1000.0	13.4875	31.701733	145.0	0.0	-1.3618021	2.8232086	1.1809869	-19.680056	1040000	0.0	13.507584	-0.014115641	-8.068705	0.92322123	0.012273457	0.1285125	99.0	287.7466447353363
