Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7501536	0.9270865	0.42065108	-3.0423446	1000.0	32.2	65.77659	220.0	0.0	-0.0362652	0.108568214	0.20587143	-0.21035695	10000	-1.1920929e-08	231.77522	-0.014390903	-51.730644	0.9189385	0.005923051	0.115499996	99.0	9.944697618484497
1	-0.29628354	0.9900935	1.3614239	-1.799646	1000.0	35.9	60.683525	182.0	0.0	-5.189009	4.9651723	3.346021	-13.980365	20000	-9.536743e-08	43.781487	-0.018886084	-41.849724	0.9243716	0.010316162	0.1122	99.0	19.27898383140564
2	-1.0911578	1.0847166	0.7997255	-3.159616	1000.0	20.8	35.12207	107.0	0.0	-0.44733956	0.5311926	0.29362118	-1.5550172	30000	5.9604646e-09	0.58040947	-0.020254295	-0.39103436	0.91050494	0.014751622	0.1586	99.0	28.41684651374817
3	0.1494089	0.9788431	1.3200866	-1.426749	1000.0	37.0	58.823463	193.0	0.0	-0.22173728	0.18908545	0.60374284	-1.508578	40000	1.4901161e-08	0.13423838	-0.021564756	-0.09327344	0.9139055	0.01731114	0.18249999	99.0	37.633524894714355
4	-0.7686626	1.3669614	0.9296939	-4.366187	1000.0	31.9	45.64526	136.0	0.0	-0.04817613	0.12308988	0.25946853	-0.77667606	50000	-5.9604646e-09	0.45645538	-0.020159617	-0.26745754	0.8901067	0.018786412	0.17109999	99.0	46.86114048957825
5	-0.043488406	0.9001365	1.2050396	-2.0918214	1000.0	71.6	102.651054	342.0	0.0	-0.25887367	0.3505398	0.91545045	-1.8409679	60000	6.7055224e-09	1.923227	-0.020659914	-1.1842492	0.8944254	0.0068648728	0.1222	99.0	56.384719133377075
6	-0.13448456	2.15783	2.355139	-4.278931	1000.0	117.7	110.7773	334.0	0.0	-0.30045888	0.5402127	0.3245722	-4.3186135	70000	1.1920929e-08	55.53899	-0.024051514	-40.541344	0.9038825	0.005194542	0.1431	99.0	65.70475053787231
7	0.09852977	1.7295506	2.4721584	-3.969279	1000.0	96.0	109.72876	309.0	0.0	-3.6487632	3.6974344	0.5976342	-16.417812	80000	1.3411045e-08	128.05055	-0.024502132	-84.52547	0.8863667	0.00965696	0.1568	99.0	75.0213680267334
8	0.9973076	2.0675814	5.485501	-1.6413274	1000.0	59.5	112.992256	392.0	0.0	-2.786157	5.6337295	6.9347024	-25.199808	90000	-1.0989607e-08	178.29099	-0.024130914	-150.90892	0.8979635	0.011981127	0.1758	99.0	84.73587608337402
9	-0.81386197	1.615442	1.9032439	-4.1253753	1000.0	119.8	191.96344	635.0	0.0	-1.0448785	5.748018	37.574066	-24.556807	100000	-4.321337e-08	370.17694	-0.025483513	-301.24936	0.8942951	0.0057303556	0.15	99.0	94.1154317855835
10	-0.7870482	1.5555488	2.0833323	-2.9144566	1000.0	113.4	207.97462	551.0	0.0	-10.020464	15.329075	10.057442	-45.47297	110000	1.4901161e-09	147.89462	-0.020881284	-121.58779	0.8785838	0.012268435	0.1536	99.0	103.6174201965332
11	-0.94442034	1.7843878	3.0593286	-4.3509645	1000.0	14.2	29.775158	91.0	0.0	-6.037653	13.864174	12.12525	-56.135456	120000	2.9802322e-08	198.20102	-0.018148756	-189.77824	0.85466754	0.020757036	0.1321	99.0	112.86702561378479
12	-0.8910128	2.621144	3.0135117	-4.686475	1000.0	46.3	138.90001	463.0	0.0	-1.1828449	1.9418864	5.3764977	-19.049454	130000	-2.0861625e-08	169.78767	-0.019382695	-146.58853	0.8297528	0.0028274513	0.0991	99.0	122.05568504333496
13	0.61521417	1.47968	2.932242	-1.5155573	1000.0	95.9	99.7	304.0	0.0	-6.686626	13.166626	3.6126614	-38.04958	140000	-2.9802323e-09	317.84537	-0.02377238	-276.63257	0.8309537	0.020561036	0.20009999	99.0	131.4358024597168
14	-1.2883043	1.7285804	0.58980006	-5.446629	1000.0	43.4	71.93219	224.0	0.0	-6.007844	9.22884	3.0547953	-52.769527	150000	-1.1920929e-08	103.41954	-0.020299869	-93.89962	0.82890165	0.019971993	0.17289999	99.0	140.83626461029053
15	-0.68796235	1.6767595	0.969184	-3.428758	1000.0	54.3	87.45176	247.0	0.0	-2.1283057	4.676465	14.190266	-41.782017	160000	2.9802323e-09	152.22095	-0.02213515	-109.805626	0.83444655	0.009355884	0.1763	99.0	150.26432061195374
16	0.14684919	1.8587527	2.529405	-3.5398986	1000.0	34.4	59.816723	189.0	0.0	-5.966778	8.92712	12.451949	-51.215836	170000	1.3411045e-08	75.460365	-0.022461955	-58.609486	0.82571733	0.018450137	0.18090001	99.0	159.85292410850525
17	-1.5783827	2.900204	1.4281405	-8.426289	1000.0	24.4	37.762943	94.0	0.0	-2.2176335	4.8563137	4.5747776	-53.070713	180000	-1.7881394e-08	49.25477	-0.020976778	-41.718353	0.80918044	0.015409274	0.14829999	99.0	169.644549369812
18	-1.7370093	2.5629528	1.148183	-6.6538944	1000.0	13.5	33.018932	110.0	0.0	-2.1521719	4.6101117	5.6015286	-35.64812	190000	1.4901161e-09	27.805944	-0.019726684	-20.910389	0.8056924	0.017639264	0.16059999	99.0	178.91882610321045
19	-0.12116821	1.8308647	2.0127935	-3.064665	1000.0	24.7	57.187496	193.0	0.0	-1.9205077	4.292942	8.01183	-23.364765	200000	5.9604646e-09	50.812675	-0.022340879	-41.742104	0.7901309	0.010481867	0.14930001	99.0	188.27871012687683
20	-0.7678944	2.3849618	3.1534708	-4.398981	1000.0	37.7	77.05849	254.0	0.0	-1.8658252	8.497579	37.588066	-44.56292	210000	-7.4505807e-10	76.88867	-0.024379006	-68.23682	0.7807375	0.015396883	0.17660001	99.0	197.6571090221405
21	-0.20173082	1.4298728	2.8763762	-1.7066	1000.0	144.5	271.45764	874.0	0.0	-1.248199	2.7385354	10.247886	-16.08553	220000	-2.3841858e-08	726.506	-0.022914555	-702.9042	0.79843307	0.005519413	0.1194	99.0	207.1465163230896
