Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.73092544	1.2919717	2.080968	-2.8363116	1000.0	2.7	8.1	27.0	0.0	-0.019228695	0.16119556	0.38905114	-0.4520753	10000	-1.0430813e-08	4.999505	-0.012324414	-3.450611	0.91893846	0.004352759	0.0891	99.0	11.578661918640137
1	0.021368777	1.109583	2.5548496	-1.3155615	1000.0	91.3	127.65348	452.0	0.0	-0.48980084	1.417829	3.0459254	-8.326412	20000	-1.7881394e-08	2.2608666	-0.021680553	-2.2083735	0.9393241	0.011395085	0.1327	99.0	16.107165336608887
2	-1.0063013	2.3899074	1.4154992	-7.2090445	1000.0	13.8	18.872202	49.0	0.0	0.07796831	0.25419247	1.0597523	-0.7886446	30000	-2.3841858e-08	8.867742	-0.016570712	-7.7526236	0.9297819	0.0030725827	0.114099994	99.0	20.40795588493347
3	-0.25480732	1.5445971	2.773179	-3.3448696	1000.0	35.0	32.74141	88.0	0.0	-0.82114923	2.1582983	5.332502	-10.658713	40000	1.1920929e-08	30.941647	-0.020743635	-27.674992	0.9520898	0.0150964465	0.1472	99.0	24.731457710266113
4	-1.5980417	1.6790913	0.9676915	-4.263232	1000.0	53.1	87.98119	294.0	0.0	-0.9451747	3.6295786	6.2042956	-21.278282	50000	1.7881394e-08	81.58431	-0.020254549	-76.99901	0.97740996	0.0058047553	0.12640001	99.0	29.167291164398193
5	-1.3488764	1.8013111	0.5857636	-5.8473043	1000.0	28.9	49.433693	128.0	0.0	-2.672974	6.1751246	4.8237634	-28.537031	60000	8.940697e-09	77.098625	-0.018034203	-64.80922	0.98267967	0.01445395	0.1475	99.0	33.82468318939209
6	-1.0881478	1.2848614	1.9048071	-2.633341	1000.0	51.0	69.042015	178.0	0.0	-1.2250804	2.917101	4.057687	-26.715212	70000	2.3841858e-08	100.6112	-0.01977835	-84.87605	0.99764174	0.0057077305	0.120500006	99.0	38.41476798057556
7	-2.4160683	2.3244612	0.79527396	-7.365227	1000.0	8.3	24.899998	83.0	0.0	-1.9244901	4.066888	5.4705415	-32.503124	80000	2.9802323e-09	19.145733	-0.017198991	-15.779282	0.9960958	0.01152307	0.12069999	99.0	42.87573194503784
8	-2.1095276	2.1556034	0.62215614	-6.4416027	1000.0	3.3	9.9	33.0	0.0	-0.64960337	1.8366514	2.5672653	-20.086435	90000	-7.450581e-09	5.886588	-0.018083235	-4.575798	1.0114762	0.015392965	0.1568	99.0	47.250834941864014
9	-1.5094192	2.4443955	1.1925647	-7.199046	1000.0	45.5	103.55216	338.0	0.0	-0.6633891	1.7157526	1.4495071	-19.363075	100000	-1.1920929e-08	104.375404	-0.01652979	-79.77226	1.0185434	0.0010753804	0.1066	99.0	51.41790509223938
10	-1.9462258	2.5957925	1.6219479	-7.3920054	1000.0	0.0	0.0	0.0	0.0	-3.1448114	6.895082	3.9092438	-40.15115	110000	-1.1920929e-08	55.749866	-0.018615346	-55.013695	1.0070548	0.013527386	0.1164	99.0	55.71659708023071
11	-2.354081	2.6944685	0.21560341	-9.827953	1000.0	6.7	20.1	67.0	0.0	-0.14800692	0.7339662	2.090435	-3.7794774	120000	1.4156103e-08	8.600874	-0.016116437	-3.1141243	0.9942831	0.010601465	0.1177	99.0	60.1052725315094
12	-1.2834337	1.3671758	1.7979484	-2.808135	1000.0	3.6	10.800001	36.0	0.0	-0.65322673	1.0731251	1.5498286	-5.282753	130000	3.576279e-08	3.5001044	-0.019049833	-2.1415026	1.0093356	0.006033572	0.12509999	99.0	64.47462344169617
13	-1.2725155	2.1156075	0.9459846	-6.8045225	1000.0	11.6	25.377943	81.0	0.0	-0.40584192	0.6366833	2.148892	-3.4728718	140000	-1.0430813e-08	8.646784	-0.018360458	-3.885814	0.9999825	0.010019506	0.13710001	99.0	68.91384196281433
14	-1.8544414	2.3268044	2.1736782	-5.8012514	1000.0	22.1	41.819733	108.0	0.0	-0.45581615	0.99553317	2.208077	-4.160645	150000	0.0	12.178094	-0.022859149	-7.5574226	1.005617	0.010528937	0.1408	99.0	73.58036684989929
15	-1.845393	1.3953786	0.060285266	-4.8027167	1000.0	50.2	108.38339	365.0	0.0	-0.8840176	1.3649637	1.6061186	-9.128143	160000	2.3841858e-08	24.650024	-0.024558075	-21.858896	1.0019034	0.0034174025	0.1062	99.0	78.07502269744873
16	-1.6469524	1.2824951	0.3073283	-4.1939416	1000.0	18.1	31.440262	98.0	0.0	-1.241662	2.6127448	2.4938986	-19.635159	170000	-1.1920929e-08	18.10574	-0.019619338	-14.549289	1.0095952	0.0113854315	0.1482	99.0	82.8100848197937
17	-1.3350562	1.9272486	0.81239086	-5.968923	1000.0	26.2	43.011166	116.0	0.0	-0.4608845	1.174192	3.2767122	-9.531599	180000	-1.1920929e-08	19.496044	-0.021199282	-16.813887	0.9880253	0.002832861	0.139	99.0	87.3395574092865
18	-0.8508345	2.0272443	2.1092377	-5.489244	1000.0	29.6	79.60427	267.0	0.0	-1.1313376	2.5281281	2.5011606	-19.662802	190000	-4.4703485e-09	35.947365	-0.01876214	-28.858973	0.98532754	0.0030531273	0.1026	99.0	91.9514639377594
19	-0.57482946	2.7069638	2.0647328	-7.940781	1000.0	18.0	32.683327	105.0	0.0	-2.6007054	5.4151297	2.7182841	-24.142258	200000	1.4901161e-08	27.763174	-0.023383262	-25.548065	0.99066293	0.017707875	0.1449	99.0	96.2729971408844
20	-1.1933852	1.4782295	1.2071191	-4.83987	1000.0	8.6	22.091627	74.0	0.0	-0.5739489	1.3445219	1.8865573	-10.746897	210000	-5.9604646e-09	7.813803	-0.019471398	-4.980308	0.9729892	0.0138293	0.1656	99.0	100.8462917804718
21	-0.54505783	2.3396788	3.4944992	-4.380125	1000.0	34.4	76.210495	252.0	0.0	-0.8394447	1.7950567	2.1081617	-11.804687	220000	-2.3841858e-08	23.280989	-0.021872146	-19.402672	0.9676076	0.0061825057	0.1343	99.0	105.32282876968384
22	-1.6307122	2.7182574	1.6266098	-9.201401	1000.0	3.3	9.9	33.0	0.0	-0.63989145	1.8156841	3.5291145	-8.608262	230000	-1.1920929e-08	3.600528	-0.025722092	-3.137815	0.95554984	0.015246478	0.15179999	99.0	109.86019659042358
23	-2.1606565	2.777554	1.8325975	-9.208083	1000.0	0.0	0.0	0.0	0.0	-0.5453909	1.1108096	3.5458202	-6.266105	240000	1.0430813e-08	1.4398372	-0.028584208	-1.3010857	0.9411848	0.011702841	0.1566	99.0	114.45972299575806
24	-0.92791283	2.962307	2.8635752	-6.7417865	1000.0	2.5	7.5	25.0	0.0	-0.08790176	0.7122757	2.9409232	-3.4079995	250000	5.9604646e-09	0.47024116	-0.030495444	-0.37430376	0.9253298	0.011278871	0.1687	99.0	118.69042539596558
25	-0.56934524	2.2484624	3.242148	-4.4940634	1000.0	0.0	0.0	0.0	0.0	-0.13289848	0.4133206	2.5933971	-1.7854396	260000	1.4901161e-09	0.25498542	-0.02911303	-0.15809453	0.9176666	0.014478425	0.16510001	99.0	122.85125946998596
26	-1.4251468	1.6340971	0.9156648	-4.2318835	1000.0	10.2	30.6	102.0	0.0	-0.06411779	0.4090359	1.7165537	-3.26056	270000	1.4901161e-09	0.24703486	-0.029487675	-0.13110583	0.9109727	0.015721733	0.1596	99.0	127.5186562538147
27	0.60678166	2.2612326	4.2244816	-3.6411388	1000.0	9.3	15.659183	40.0	0.0	-0.12946159	0.47436213	3.2936387	-2.6657166	280000	0.0	0.37934184	-0.03286614	-0.29951745	0.90712655	0.012453632	0.17520002	99.0	131.9907786846161
28	0.40059686	2.3140275	5.2487473	-2.6680872	1000.0	16.6	23.358938	66.0	0.0	0.061584424	0.4116253	2.1438496	-2.0962129	290000	-5.9604646e-09	0.19066584	-0.030286875	-0.1293756	0.88260734	0.01683718	0.17750001	99.0	136.33471131324768
29	-0.058999874	2.2259665	2.5695913	-4.5766463	1000.0	2.9	8.7	29.0	0.0	-0.05550917	0.396461	1.7562857	-1.7114308	300000	-5.9604646e-09	0.30209875	-0.03516557	-0.17704372	0.8633908	0.014954929	0.1714	99.0	140.69862461090088
30	-1.1760867	2.8973923	1.5628983	-8.276404	1000.0	14.4	26.480936	86.0	0.0	-0.050666932	0.39505085	1.4815909	-2.9085739	310000	2.5331975e-08	0.28906196	-0.02930508	-0.19622138	0.8514594	0.014443785	0.17539999	99.0	145.26755332946777
