Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.597017	1.8624535	0.6145987	-6.368056	1000.0	12.0	18.926172	50.0	0.0	0.015623791	0.16676016	0.5168488	-0.434341	10000	1.1920929e-08	33.084763	-0.015258985	-16.5233	0.91893846	0.003141793	0.099800006	99.0	15.307892084121704
1	-0.9080776	2.7858365	3.4507084	-7.572471	1000.0	46.8	67.12049	173.0	0.0	-1.9473205	3.0741484	2.8245466	-11.304535	20000	-1.1920929e-08	12.492098	-0.02088791	-12.246287	0.9359746	0.011115937	0.1204	99.0	19.590073108673096
2	-1.3716214	1.9648134	0.3387406	-6.602809	1000.0	19.1	31.497463	91.0	0.0	-0.24672051	0.70790523	1.5678028	-2.8857336	30000	2.3841858e-08	7.6612267	-0.017351124	-4.9228024	0.9226559	0.009780129	0.1383	99.0	23.9046950340271
3	-1.6993525	2.7923307	2.3644395	-7.214288	1000.0	12.6	37.800003	126.0	0.0	-1.0444767	1.6049784	2.092596	-5.906749	40000	2.9802323e-09	5.8020153	-0.018270504	-5.0377855	0.9306051	0.009848867	0.11489999	99.0	27.990400791168213
4	-1.0451254	1.0104622	0.0747836	-3.0147364	1000.0	26.4	41.67541	117.0	0.0	-0.58190393	1.36174	2.764189	-7.643435	50000	-2.0861625e-08	2.329269	-0.020020097	-2.109512	0.9339487	0.017693512	0.12420001	99.0	32.034528970718384
5	-0.620321	1.5740062	1.446007	-4.419411	1000.0	33.0	32.36974	87.0	0.0	-0.30083856	0.3998794	0.88620937	-1.6032549	60000	-1.4901161e-09	0.95774776	-0.020897685	-0.5710979	0.93176204	0.010310154	0.1411	99.0	36.081783294677734
6	-1.9001945	2.3523662	-0.11586805	-6.4213004	1000.0	41.4	103.563705	349.0	0.0	-0.24427214	0.45029438	1.1453362	-2.0787387	70000	1.1920929e-08	13.187864	-0.018292699	-10.556923	0.92830753	0.0022984964	0.0881	99.0	40.11868238449097
7	-0.41418228	1.5382854	1.0539176	-3.8012915	1000.0	14.7	38.14197	128.0	0.0	-1.2426553	2.2960753	2.1869807	-10.758191	80000	0.0	10.4504795	-0.019122865	-8.0153055	0.9364387	0.013050404	0.13999999	99.0	44.14785146713257
8	-0.85992706	1.7485826	3.5396945	-2.521197	1000.0	24.8	39.841686	114.0	0.0	-0.81414455	1.4694633	2.1432197	-6.045742	90000	-8.940697e-09	6.4781175	-0.025347337	-5.688361	0.9336318	0.01652124	0.1619	99.0	48.38638496398926
9	-0.8549167	2.274812	2.56031	-5.311457	1000.0	16.7	35.91114	113.0	0.0	-0.7136691	1.4165245	3.8126638	-6.2677417	100000	0.0	5.6151648	-0.01730851	-4.915302	0.9314127	0.007835892	0.1033	99.0	52.768847703933716
10	-1.2198744	1.7737699	0.32856187	-6.09774	1000.0	65.1	157.83563	525.0	0.0	-0.6930903	2.9408772	5.253915	-12.314092	110000	2.9802322e-08	7.44738	-0.02263264	-6.873216	0.9400754	0.0045273677	0.1129	99.0	57.32841420173645
11	-1.2674872	1.9002463	1.8157817	-4.536419	1000.0	12.6	21.822926	65.0	0.0	-0.04752987	1.8915145	12.560732	-10.275757	120000	-8.940697e-09	10.704743	-0.022370944	-9.763888	0.9412159	0.00688079	0.1493	99.0	61.54105043411255
12	-0.7825259	1.58331	1.2253562	-4.8242674	1000.0	38.7	64.429886	195.0	0.0	-0.651304	2.617618	8.209667	-19.678862	130000	2.3841858e-08	26.147654	-0.023421556	-24.716244	0.9315399	0.0076213554	0.1255	99.0	65.73827981948853
13	-1.135478	1.5210052	1.3019884	-3.9680874	1000.0	14.8	44.399998	148.0	0.0	-1.4265977	2.4870703	5.4065995	-18.53428	140000	3.7252903e-08	23.064396	-0.021707546	-18.60351	0.9334699	0.014593246	0.14070001	99.0	70.39792132377625
14	-1.252089	1.3000146	0.8477449	-3.161066	1000.0	24.6	46.176186	151.0	0.0	-0.45861864	1.5792257	4.4120007	-8.932117	150000	2.9802323e-09	22.278574	-0.022145012	-19.342604	0.9231976	0.005729681	0.1386	99.0	74.6807427406311
15	-1.0935247	1.371698	0.7836426	-3.4680161	1000.0	10.9	19.841623	63.0	0.0	-1.2453762	2.8214705	3.1571085	-17.406229	160000	4.4703485e-09	10.3034315	-0.02377446	-8.883636	0.91808397	0.014225714	0.1443	99.0	78.88174557685852
16	-2.5633302	2.5199125	2.0309558	-7.520514	1000.0	8.5	25.5	85.0	0.0	-0.2544471	0.9798158	2.8872726	-7.7128396	170000	3.7252903e-09	2.4803586	-0.016759574	-1.9961208	0.90020144	0.005605037	0.1159	99.0	83.33796977996826
17	-0.8128991	2.122399	2.171622	-4.5042176	1000.0	7.0	21.0	70.0	0.0	-0.6954995	1.1755002	2.7703042	-15.363299	180000	-2.0861625e-08	1.6733856	-0.023805717	-1.4483924	0.9029871	0.015036586	0.1606	99.0	87.67868757247925
