Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.25457415	0.92607504	1.5647222	-2.2292354	1000.0	47.6	110.62703	381.0	0.0	0.021168444	0.0868066	0.23112167	-0.1139505	20000	5.9604646e-09	356.5058	-0.014468035	-134.95717	0.91893846	0.00371486	0.0812	99.0	17.852200031280518
1	-0.22021274	0.91287476	1.4093033	-2.1427794	1000.0	25.9	43.758312	123.0	0.0	-2.6319532	5.3683004	4.1989107	-16.96521	40000	-1.7881394e-08	30.873041	-0.019103806	-29.311346	0.93390167	0.008271654	0.12455001	99.0	24.2713565826416
2	-0.7554515	0.9704203	0.5419359	-3.6128438	1000.0	23.95	55.30504	196.0	0.0	-0.25302774	0.6539063	0.45440972	-2.5959742	60000	-1.1920929e-08	0.45459288	-0.017904565	-0.32616633	0.92265433	0.015206096	0.14335	99.0	31.078028202056885
3	-0.70399547	0.98390096	0.6293876	-2.7812932	1000.0	46.55	72.709335	219.0	0.0	-0.11696842	0.284616	0.4592858	-1.2811902	80000	1.7881394e-08	0.10145918	-0.018766012	-0.06651227	0.91703576	0.008176066	0.1276	99.0	37.88761806488037
4	-0.36127824	1.4565011	2.6179934	-3.4988232	1000.0	79.3	143.70007	610.0	0.0	-0.08221638	0.16663535	0.8395338	-0.7313298	100000	-1.1175871e-09	55.88613	-0.015061443	-42.93836	0.9166239	0.0011192148	0.08205	99.0	44.63352155685425
5	-0.1676518	1.5730089	3.175981	-3.3182669	1000.0	29.85	52.243923	182.0	0.0	-1.8549489	4.8200827	1.5624069	-16.796432	120000	-1.1920929e-08	68.43172	-0.018652035	-47.264194	0.92253196	0.023510601	0.18474999	99.0	51.41770529747009
6	-0.39883563	1.6336714	3.018088	-4.915947	1000.0	77.7	98.017395	364.0	0.0	-1.9397554	3.323539	1.8370072	-12.049838	140000	-1.4901161e-08	147.87476	-0.020552568	-104.86188	0.9277247	0.009899367	0.1357	99.0	58.28126811981201
7	-0.31102318	1.595732	2.4611485	-3.29994	1000.0	27.35	45.34454	144.0	0.0	-3.9593863	6.237614	1.2277706	-19.536325	160000	5.9604646e-09	95.39406	-0.023536157	-71.136215	0.9440137	0.021330766	0.17885001	99.0	65.05982041358948
8	-0.5805212	1.5335904	3.5370054	-2.7395518	1000.0	87.15	159.46701	539.0	0.0	-1.0463884	2.776438	2.3592777	-15.573172	180000	-5.9604646e-09	318.3925	-0.02086747	-250.31314	0.93067694	0.0028921976	0.1322	99.0	71.96750712394714
9	0.072322525	1.3580899	2.1160457	-2.6582983	1000.0	35.6	59.788292	203.0	0.0	-3.4238179	8.403187	1.6099409	-37.432755	200000	0.0	142.3732	-0.020173358	-120.66638	0.93887407	0.020704994	0.1859	99.0	78.5759961605072
