Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9567461	1.497816	2.0751517	-4.888964	1000.0	45.15	89.22235	408.0	0.0	-0.012127762	0.08857087	0.20587143	-0.21035695	20000	1.7881394e-08	287.38763	-0.013870245	-116.26123	0.91893846	0.0037208542	0.0847	99.0	7.465819597244263
1	-0.7916037	0.8312203	0.3944232	-2.747073	1000.0	44.8	88.34059	286.0	0.0	-3.9295108	5.5402374	8.202433	-18.12685	40000	0.0	39.725235	-0.018472541	-38.205807	0.93623006	0.008773189	0.11985	99.0	13.879396677017212
2	-0.79362077	1.0089319	1.3857496	-2.651435	1000.0	46.6	81.92094	338.0	0.0	-0.3922296	0.6103348	0.8508949	-2.3166811	60000	-5.9604646e-09	0.45873594	-0.017519424	-0.40084648	0.9203439	0.00878636	0.1133	99.0	20.303685903549194
3	-0.6441862	1.1704909	1.5203936	-3.333724	1000.0	35.35	76.46389	275.0	0.0	-0.07665379	0.21832229	0.6301867	-0.64591223	80000	-2.0861625e-08	0.09585746	-0.02114654	-0.055514943	0.91371214	0.011832721	0.14549999	99.0	27.468688488006592
4	-0.54824936	0.8081499	0.80435693	-2.5408432	1000.0	31.9	76.40281	273.0	0.0	-0.13717988	0.16778395	0.40073398	-0.7773853	100000	-2.8312206e-08	0.053824432	-0.021245828	-0.027312899	0.8984024	0.014075692	0.14265001	99.0	34.1239447593689
5	-0.085027	1.1591554	2.7045898	-1.7524318	1000.0	95.4	120.6766	332.0	0.0	-0.019536808	0.15168706	0.4837656	-0.5196894	120000	-5.9604646e-09	0.051713955	-0.022986978	-0.029221972	0.89170885	0.0123801585	0.1523	99.0	40.865744829177856
6	-0.0028515458	1.0033845	2.338535	-1.5903115	1000.0	87.35	126.44298	520.0	0.0	0.0018081268	0.1695886	0.57088697	-0.64518625	140000	0.0	120.18748	-0.021372143	-96.32393	0.87985784	0.005134663	0.11445	99.0	47.87857460975647
7	0.2103394	1.1717535	2.565171	-1.5574538	1000.0	31.5	72.424095	286.0	0.0	-4.481296	7.366836	14.189195	-22.45961	160000	-8.195639e-09	93.49809	-0.020432616	-76.82434	0.8980564	0.01734825	0.1478	99.0	54.63365411758423
8	-0.081483245	0.93652505	1.7145901	-1.6237102	1000.0	61.1	108.676994	404.0	0.0	-1.8299625	5.538821	21.978334	-26.624857	180000	-8.940697e-09	110.44326	-0.020731654	-93.62833	0.88934195	0.0051037585	0.1269	99.0	61.65049171447754
9	0.27110755	1.4311652	2.6706522	-3.363442	1000.0	127.05	191.32655	780.0	0.0	-3.027256	7.335265	18.150488	-32.701294	200000	2.3841858e-08	369.13354	-0.025844252	-329.09216	0.89125997	0.008173621	0.1439	99.0	68.33124923706055
10	-0.18781133	1.5791277	2.350265	-4.5142713	1000.0	100.05	165.42113	561.0	0.0	-6.914258	14.231133	41.280067	-46.87774	220000	5.9604646e-09	404.07007	-0.02039068	-363.84015	0.8914282	0.008027281	0.14855	99.0	75.32817721366882
11	0.19608028	1.0214325	2.3126287	-1.7944458	1000.0	48.1	115.141174	505.0	0.0	-7.834593	14.945622	48.361122	-55.02524	240000	0.0	302.97354	-0.022260467	-269.8326	0.8765899	0.0225629	0.1667	99.0	82.37211585044861
12	-0.60163844	2.3784354	3.1636462	-7.3142843	1000.0	99.05	102.765015	325.0	0.0	-5.0146604	13.285894	14.653976	-61.447086	260000	0.0	452.58496	-0.021835227	-356.53494	0.8589684	0.0144339325	0.14359999	99.0	89.22192358970642
13	-0.68513036	2.0720928	2.8857188	-4.615713	1000.0	88.1	110.39968	371.0	0.0	-8.854845	10.982549	6.0489664	-56.176056	280000	-2.0861625e-08	330.4745	-0.026636627	-283.82394	0.8795215	0.014990496	0.17764999	99.0	96.06244707107544
14	0.008422732	1.9237672	4.30755	-4.985623	1000.0	93.5	175.27678	623.0	0.0	-5.70372	10.649838	23.902294	-43.52728	300000	5.9604646e-09	448.94208	-0.022534339	-377.23764	0.8736787	0.0073384987	0.1317	99.0	102.73434543609619
15	-0.8284086	1.7395961	2.63774	-4.128346	1000.0	50.5	124.33	465.0	0.0	-7.404965	14.213656	2.2163181	-49.456284	320000	0.0	360.11652	-0.017200025	-305.34067	0.8738934	0.017623048	0.14565	99.0	109.73134183883667
16	-0.6531928	1.8600018	4.390798	-3.7570033	1000.0	66.75	181.31902	807.0	0.0	-3.8567297	8.942682	1.1372054	-34.145042	340000	-5.9604646e-09	207.84116	-0.020964306	-148.66895	0.8753096	-0.00038852188	0.13280001	99.0	116.59954404830933
