Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.41190314	1.2700671	2.0751517	-3.0423446	1000.0	20.1	31.668438	78.0	0.0	-0.0036386321	0.09671385	0.20587143	-0.21035695	10000	0.0	79.63135	-0.015711013	-41.47631	0.91893846	0.0085593015	0.117400005	99.0	12.480145692825317
1	-0.31945997	0.7552034	1.3205434	-1.5336409	1000.0	45.4	104.97733	353.0	0.0	-1.2468665	2.7965639	3.4084969	-14.831793	20000	0.0	9.019529	-0.02039294	-8.90679	0.9357029	0.0112208575	0.1499	99.0	18.729753971099854
2	-0.42267403	1.1748729	1.8543775	-2.0995772	1000.0	53.8	84.79481	285.0	0.0	-0.105401926	0.22143605	0.83598727	-1.0094297	30000	1.7881394e-08	0.10783261	-0.021829698	-0.07671655	0.915521	0.009275168	0.13859999	99.0	24.90501356124878
3	-0.05025544	1.5677875	2.5126426	-1.8801655	1000.0	48.7	80.30573	241.0	0.0	-0.056948144	0.17759432	0.42056847	-0.5862192	40000	5.9604646e-09	0.07344832	-0.022132736	-0.03178326	0.91243505	0.01399756	0.16200002	99.0	31.303691864013672
4	-0.61334956	1.3347597	1.0635029	-3.8909225	1000.0	0.0	0.0	0.0	0.0	0.016577967	0.2116377	0.60656375	-0.48539442	50000	-5.9604646e-09	0.07976768	-0.023995817	-0.05438555	0.8886652	0.0155157745	0.17119999	99.0	37.59652137756348
5	-0.12531218	1.7960148	3.5186646	-2.3420694	1000.0	19.0	38.667816	111.0	0.0	-0.07709881	0.149581	0.3011366	-0.5710155	60000	-1.0430813e-08	0.051375926	-0.026485562	-0.028860737	0.890176	0.01390602	0.1857	99.0	43.71696400642395
6	0.3072219	0.9828486	2.0850341	-1.1740324	1000.0	111.5	110.207306	288.0	0.0	-0.0058275997	0.18647347	0.66589963	-0.50659955	70000	-5.9604646e-09	0.056218367	-0.02584377	-0.038634427	0.8778456	0.017471556	0.186	99.0	49.96188020706177
7	0.3911133	1.1287684	1.5943068	-2.4814959	1000.0	70.1	91.44774	265.0	0.0	0.025641711	0.10778652	0.6840263	-0.27929813	80000	-5.9604646e-09	0.047256775	-0.027455296	-0.031254835	0.872331	0.014066818	0.18329999	99.0	55.94356679916382
8	1.2778978	2.2121444	4.7851963	-2.3897595	1000.0	44.2	69.61437	229.0	0.0	0.07545852	0.23346816	0.8617986	-0.5022147	90000	2.3841858e-08	0.07925446	-0.028204843	-0.05148027	0.860586	0.015114298	0.20539999	99.0	61.74620485305786
9	0.7173378	1.58844	4.5540376	-1.6766297	1000.0	86.0	120.97355	404.0	0.0	0.1431487	0.26186097	0.91217387	-0.437784	100000	5.9604646e-09	0.12059853	-0.02996994	-0.096816614	0.84232867	0.013675094	0.1989	99.0	67.85805916786194
10	1.1302612	1.373756	4.204727	-0.30012497	1000.0	109.1	184.19037	598.0	0.0	0.105787404	0.23070341	0.9241487	-0.35332036	110000	-3.7252903e-09	0.07452053	-0.029475015	-0.057429116	0.82548475	0.01703833	0.2064	99.0	74.04205369949341
