Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.07909026	0.95331573	1.5647222	-1.691483	1000.0	51.5	107.9956	358.0	0.0	-0.00081769866	0.074014515	0.22622898	-0.1139505	10000	-2.3841858e-08	370.82294	-0.018477466	-151.91858	0.91893846	0.007286267	0.1018	99.0	6.304702281951904
1	-0.38801607	0.7941817	0.6638419	-1.9405632	1000.0	30.6	50.335274	172.0	0.0	-3.4122024	6.0746284	3.3410215	-18.145113	20000	0.0	41.938133	-0.019419014	-39.97807	0.93217534	0.008645343	0.11370001	99.0	11.61698031425476
2	-0.70697737	1.0469942	1.1618195	-2.1630735	1000.0	50.9	87.10276	253.0	0.0	-0.32365018	0.6572969	0.56340915	-2.0482502	30000	5.9604646e-09	0.42740506	-0.020104617	-0.37942868	0.91521823	0.009555611	0.1337	99.0	16.930179357528687
3	-0.018471813	1.7382966	3.9995756	-2.2414348	1000.0	92.3	130.7693	372.0	0.0	-0.07107558	0.15837552	0.3731138	-0.54070514	40000	-2.3841858e-08	5.1923513	-0.018070728	-2.8469543	0.9081074	0.0033164918	0.1094	99.0	22.509135723114014
4	-0.48640043	0.9349795	0.885284	-2.044053	1000.0	168.6	198.93025	611.0	0.0	-0.85610634	1.2570184	0.42277703	-4.0180717	50000	0.0	134.35007	-0.022448752	-109.69208	0.91104496	0.0046941973	0.1209	99.0	27.83117175102234
5	-0.27972224	1.5112288	2.9352	-2.3989823	1000.0	14.8	18.197803	40.0	0.0	-5.4484115	7.5483484	1.2451805	-18.218985	60000	1.7881394e-08	71.20569	-0.023458138	-60.751015	0.91489375	0.024066303	0.1612	99.0	33.26448655128479
6	-1.1382438	1.3473823	1.7477584	-3.0063004	1000.0	40.4	121.200005	404.0	0.0	-1.3608799	1.2265263	0.40436393	-3.5800207	70000	-2.3841858e-08	83.05285	-0.017403033	-43.941128	0.9029726	0.0003157854	0.0931	99.0	38.78244066238403
7	-0.5277041	2.159929	2.910992	-5.09262	1000.0	71.7	147.38593	473.0	0.0	-1.8053235	4.997272	1.6958332	-17.144497	80000	-1.1920929e-08	193.54904	-0.022781942	-152.5682	0.9164473	0.0027643342	0.1291	99.0	44.13506007194519
8	-0.55042	2.451496	4.906183	-3.8274105	1000.0	38.1	69.45422	224.0	0.0	-2.388202	6.865132	0.72580504	-27.447313	90000	5.9604646e-09	114.82674	-0.021380132	-81.79112	0.9078914	0.018016482	0.19360001	99.0	49.65059685707092
9	-0.41947755	1.8808372	3.2339382	-3.2997518	1000.0	23.3	38.348534	123.0	0.0	-2.1056817	3.6436443	1.8344717	-14.177577	100000	1.1920929e-08	44.87728	-0.02169565	-24.684738	0.88373137	0.020601502	0.1875	99.0	55.04017782211304
10	-1.3492788	1.6572083	1.0034429	-4.0873423	1000.0	21.5	35.080624	115.0	0.0	-1.2250898	2.4011548	1.9274063	-8.024064	110000	2.9802323e-09	31.671505	-0.021249672	-16.806446	0.8551315	0.016652346	0.18179998	99.0	60.432358264923096
11	-1.0583037	1.5410193	0.53077626	-5.0019374	1000.0	54.2	93.78145	306.0	0.0	-1.2647998	2.2388065	2.4161983	-8.716603	120000	-2.9802323e-09	83.41743	-0.02177809	-54.730427	0.8571559	0.0047157896	0.1421	99.0	65.62327909469604
12	-0.18971953	1.2674961	1.688078	-3.0066266	1000.0	19.0	46.518814	155.0	0.0	-1.9573246	4.04588	2.6691775	-19.38576	130000	-1.4901161e-09	44.54955	-0.01925584	-36.1292	0.8572361	0.018468177	0.16839999	99.0	71.1525776386261
13	-1.4537771	1.199018	0.20217611	-3.928	1000.0	69.2	88.89747	288.0	0.0	-0.94631934	2.9297967	4.045276	-14.887863	140000	5.9604646e-09	100.58615	-0.02711925	-62.13141	0.83725137	0.007227394	0.1576	99.0	76.6580810546875
14	0.06890072	1.6229962	4.2114725	-2.4558523	1000.0	16.6	36.153008	115.0	0.0	-3.405052	5.9367948	3.7004259	-21.09579	150000	-8.940697e-09	36.70739	-0.023761086	-31.461603	0.8415891	0.022630159	0.1613	99.0	82.01275324821472
15	-0.885874	1.2193736	0.91834944	-2.6504064	1000.0	8.6	17.205812	44.0	0.0	-0.26299492	0.9254289	0.90753376	-13.332396	160000	-5.9604646e-09	3.3965096	-0.020560473	-1.0382533	0.82653075	0.017074525	0.1613	99.0	87.36787366867065
16	-1.3102932	1.3509138	0.034860738	-4.0551033	1000.0	27.1	81.3	271.0	0.0	-0.28311792	0.6393356	1.3563992	-5.8224473	170000	-3.576279e-08	38.983063	-0.022096856	-33.008717	0.8169634	0.00479215	0.112100005	99.0	92.61839580535889
17	-0.93430364	1.8223485	2.267397	-3.2545288	1000.0	10.1	28.356482	95.0	0.0	-0.3737509	0.8964672	0.50731015	-12.861844	180000	-8.940697e-09	9.572672	-0.018185172	-9.000355	0.83470595	0.009708649	0.15370001	99.0	98.35969734191895
18	-1.7142446	1.2770095	-0.34232193	-4.608981	1000.0	80.0	153.59492	401.0	0.0	-0.7752555	2.4786193	0.5098395	-19.623095	190000	2.9802322e-08	94.2039	-0.021167357	-83.87511	0.82955885	-0.0005795682	0.1161	99.0	103.57529711723328
19	-0.46791834	0.71113074	1.1219293	-1.3861117	1000.0	31.0	40.341045	118.0	0.0	-3.7306535	8.852569	3.5651016	-34.63602	200000	-5.9604646e-09	72.84164	-0.027848016	-66.59643	0.83569086	0.03272287	0.23930001	99.0	108.61760425567627
20	-0.8418934	0.7474026	0.17059985	-2.6902049	1000.0	0.0	0.0	0.0	0.0	-0.53492594	1.9448297	2.1208658	-15.821639	210000	-1.1920929e-08	3.90728	-0.023518976	-3.8886485	0.8179415	0.022607883	0.1977	99.0	113.77922177314758
21	-1.3221766	1.0988808	0.9311288	-3.0331874	1000.0	64.5	186.60506	624.0	0.0	-0.017570753	0.18265547	0.59240365	-0.7522093	220000	2.3841858e-08	89.70393	-0.02275443	-59.90719	0.79844517	-0.001369679	0.124	99.0	119.07571864128113
22	-1.7954878	1.6211963	1.1088089	-4.967188	1000.0	1.4	4.2000003	14.0	0.0	-2.3331418	6.7817903	1.5375471	-22.705763	230000	4.7683717e-08	44.244026	-0.016984712	-42.033165	0.78836083	0.023569852	0.13439998	99.0	124.31739664077759
23	-1.5271351	1.3266485	-0.02085612	-4.381011	1000.0	25.1	46.896587	121.0	0.0	-0.39711723	0.7522634	0.4249668	-2.7699995	240000	8.940697e-09	9.483197	-0.015229462	-2.858189	0.7794258	0.0026309076	0.1111	99.0	129.7276747226715
24	-1.010079	1.1046213	0.37066746	-3.175392	1000.0	3.1	9.299999	31.0	0.0	-0.83060586	1.2063383	0.5365507	-4.3353896	250000	-1.1920929e-08	1.6742303	-0.019978773	-1.2318939	0.8021718	0.016673388	0.1569	99.0	135.63232111930847
25	-1.4301262	0.78169477	0.22920075	-2.6991823	1000.0	44.5	121.667786	408.0	0.0	-0.2046039	0.4873879	1.0888951	-1.9742798	260000	0.0	3.124034	-0.02396038	-2.7546294	0.79189295	0.012127405	0.1464	99.0	140.92254376411438
26	-1.7538007	1.3423202	1.2945704	-3.1426647	1000.0	29.1	42.835617	136.0	0.0	-0.36980107	0.9813388	1.3133075	-7.9188976	270000	-8.940697e-09	1.9274523	-0.027164513	-0.960409	0.7964902	0.015625713	0.19479999	99.0	146.2113115787506
27	-1.6591314	1.9854956	0.35972524	-7.1820073	1000.0	36.4	75.67589	247.0	0.0	-0.5218957	0.73570037	0.6286845	-2.8601005	280000	2.9802322e-08	0.8492154	-0.025200129	-0.61782384	0.7753408	0.016920753	0.17549999	99.0	151.7198989391327
28	-0.7331524	1.4269484	2.848112	-2.571492	1000.0	3.5	9.851396	33.0	0.0	-0.3322105	0.36382234	0.41349143	-1.2712959	290000	-3.576279e-08	0.21929073	-0.029318541	-0.17302991	0.766244	0.018904885	0.187	99.0	156.82355976104736
29	-1.0208627	1.0060176	1.1007497	-2.373978	1000.0	79.5	152.8393	499.0	0.0	-0.076951884	0.19427028	0.43817604	-0.98377	300000	-5.9604646e-09	0.051296987	-0.031140205	-0.02619372	0.75121236	0.017404571	0.19210002	99.0	162.07555103302002
30	-1.15358	1.580143	1.3459536	-4.9301796	1000.0	30.4	81.990486	275.0	0.0	-0.08785963	0.16816327	0.6166821	-0.89568764	310000	-8.940697e-09	9.979398	-0.017304815	-7.4521	0.73526025	-0.005122418	0.123600006	99.0	167.4924554824829
31	-0.95277244	1.483468	0.8857925	-4.101974	1000.0	28.6	48.185474	139.0	0.0	-0.9265502	1.9619486	1.083617	-8.401965	320000	-8.940697e-09	8.236501	-0.026502008	-6.1417527	0.7373801	0.113843605	0.23160002	99.0	172.8830897808075
32	-0.7964982	1.563137	1.7623488	-3.4733233	1000.0	14.1	31.32555	101.0	0.0	-0.49689186	0.7739732	0.2891994	-5.0298934	330000	-7.450581e-09	1.681291	-0.022138322	-0.924963	0.722043	0.023226324	0.1872	99.0	178.37502193450928
33	-0.4271942	1.4512801	1.5773418	-3.3809428	1000.0	68.9	138.93988	415.0	0.0	-0.4099146	0.6334295	0.9378943	-2.828953	340000	-1.1920929e-08	0.6001045	-0.028195303	-0.5111559	0.71105385	0.017378539	0.1992	99.0	183.91259264945984
34	-0.8866435	1.7991755	3.5427814	-3.7201772	1000.0	5.2	15.6	52.0	0.0	-0.06341797	0.17746626	0.5186983	-0.5450942	350000	2.9802323e-09	0.6493011	-0.015751455	-0.18158205	0.6973514	0.015407009	0.1631	99.0	189.3632311820984
35	-0.51868665	0.8042479	0.6947943	-1.647528	1000.0	20.0	48.965294	166.0	0.0	-0.18374883	0.37724766	0.38245797	-1.3123577	360000	-2.9802323e-09	0.1565169	-0.023252677	-0.12918684	0.6938202	0.017301548	0.1689	99.0	194.79966855049133
36	-0.84455574	1.8455247	1.2659458	-4.8030987	1000.0	62.4	110.68261	375.0	0.0	-0.083933756	0.16940214	0.61230975	-1.6376243	370000	2.0861625e-08	0.11190224	-0.027261073	-0.053046666	0.6931738	0.013063429	0.19100001	99.0	200.28468132019043
37	0.053572394	1.5901456	4.0214877	-1.8867286	1000.0	119.5	243.97182	823.0	0.0	-0.09343974	0.19317809	0.15964288	-0.7575752	380000	-4.7683717e-08	29.205954	-0.02266096	-27.223434	0.6715652	-0.0012355655	0.14189999	99.0	205.62122583389282
38	-0.27307135	2.044766	3.2572422	-4.354576	1000.0	139.9	159.09145	493.0	0.0	-0.9429627	1.8877032	1.9657269	-11.014923	390000	-4.172325e-08	178.95029	-0.028945629	-155.79813	0.6693743	0.008709181	0.1492	99.0	211.04899787902832
39	0.060373902	1.0408381	1.77344	-2.2258918	1000.0	29.7	75.58049	253.0	0.0	-6.694072	10.143512	1.4808588	-34.563946	400000	0.0	151.78523	-0.026918178	-143.19064	0.6862939	0.026803289	0.176	99.0	216.2769844532013
40	0.08755801	1.009256	2.3046908	-1.0548673	1000.0	108.8	188.55333	612.0	0.0	-1.5683103	3.0279458	0.91980726	-36.487106	410000	1.7881394e-08	290.93524	-0.026115248	-270.53024	0.66965014	0.0042137494	0.1339	99.0	221.63234853744507
41	0.6994752	1.0914005	3.5866895	-0.3624923	1000.0	126.5	251.41052	841.0	0.0	-4.674598	9.664996	1.76	-51.986954	420000	1.4901161e-08	254.82649	-0.024605492	-216.99637	0.6810873	0.005862315	0.1627	99.0	226.90656924247742
42	-0.055965938	1.1770225	2.3978336	-2.0787947	1000.0	85.1	118.52633	390.0	0.0	-8.756238	18.77257	2.9281878	-62.7911	430000	-1.1920929e-08	552.1955	-0.023390623	-456.23315	0.67111504	0.022740778	0.1988	99.0	232.26431512832642
43	-0.2386558	1.4691546	2.7993512	-2.416442	1000.0	21.1	26.591164	87.0	0.0	-8.3789015	12.624743	0.807147	-58.251263	440000	-2.9802323e-09	165.45305	-0.022240514	-138.99611	0.6770831	0.026376229	0.1884	99.0	237.41946172714233
44	-0.17007898	0.85978144	1.4455813	-1.7320371	1000.0	35.1	80.00306	270.0	0.0	-1.9578817	1.2616192	-0.21778119	-7.899934	450000	1.7881394e-08	118.94719	-0.02139903	-58.890663	0.66354287	9.8784265e-05	0.1338	99.0	242.62388515472412
45	0.050998617	1.0267053	2.3162959	-1.40571	1000.0	104.7	188.11435	624.0	0.0	-2.0947754	4.3761153	2.3262773	-19.72702	460000	1.1920929e-08	395.23	-0.02386451	-333.41388	0.6856817	-5.6561454e-05	0.1407	99.0	248.2766923904419
