Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.25457415	0.92607504	1.5647222	-2.2292354	1000.0	47.6	110.62703	381.0	0.0	0.021168444	0.0868066	0.23112167	-0.1139505	20000	5.9604646e-09	356.5058	-0.014468035	-134.95717	0.91893846	0.00371486	0.0812	99.0	7.345425844192505
1	-0.22021274	0.91287476	1.4093033	-2.1427794	1000.0	25.9	43.758312	123.0	0.0	-2.6319532	5.3683004	4.1989107	-16.96521	40000	-1.7881394e-08	30.873041	-0.019103806	-29.311346	0.93390167	0.008271654	0.12455001	99.0	13.849910020828247
2	-0.7554515	0.9704203	0.5419359	-3.6128438	1000.0	23.95	55.30504	196.0	0.0	-0.25302774	0.6539063	0.45440972	-2.5959742	60000	3.576279e-08	0.40972432	-0.017287591	-0.31099936	0.92265433	0.013692662	0.13565	99.0	20.542226552963257
3	-0.67401636	0.9045427	0.75110096	-2.7518954	1000.0	100.95	138.28539	541.0	0.0	-0.068707004	0.28444353	0.44582137	-1.2653292	80000	1.7881394e-08	0.0959654	-0.018311527	-0.06263987	0.9162873	0.008549916	0.12485	99.0	27.169500589370728
4	-0.5747576	1.3956829	1.8561754	-4.671693	1000.0	80.6	129.04007	492.0	0.0	-0.073521495	0.16244845	0.7661537	-0.7125731	100000	1.7881394e-08	59.731922	-0.017056862	-39.728798	0.9118823	0.0048134103	0.096949995	99.0	34.077295541763306
5	-0.3023371	1.6996051	2.8629184	-3.7952464	1000.0	65.95	93.83521	301.0	0.0	-2.9372551	4.862771	2.3795283	-16.02807	120000	5.9604646e-09	98.02226	-0.019528365	-81.99878	0.9187492	0.013161123	0.15265	99.0	40.968751430511475
6	-0.11514405	1.2427019	2.4062414	-3.2819643	1000.0	57.85	79.3809	279.0	0.0	-2.573219	6.019496	2.6857314	-21.88418	140000	5.9604646e-09	108.44889	-0.01781458	-76.4402	0.9294939	0.010754636	0.14545	99.0	47.51245331764221
7	0.53432053	1.093879	2.9257166	-1.4047633	1000.0	94.15	119.60196	364.0	0.0	-2.7067504	4.273159	1.5636554	-16.70068	160000	0.0	153.4021	-0.021610554	-112.53601	0.9291054	0.008732019	0.14115001	99.0	54.180219888687134
8	-0.46924812	1.0479108	2.6768596	-2.5809135	1000.0	23.3	60.12994	247.0	0.0	-3.5312257	6.139972	5.201083	-23.494331	180000	8.940697e-09	47.088093	-0.01887389	-39.487514	0.94347274	0.01702843	0.14895001	99.0	60.83838725090027
9	-0.11768822	2.114165	3.3220367	-4.5923395	1000.0	6.85	17.4679	74.0	0.0	-0.86742127	1.774637	1.1686821	-23.932201	200000	4.4703485e-09	8.977238	-0.01486516	-4.14439	0.9430318	0.01886524	0.16585	99.0	67.7976348400116
