Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.4032689	1.2343693	4.2372236	-4.1365967	1000.0	40.5125	82.51136	381.0	0.0	0.02193942	0.087588675	0.23727135	-0.12333755	80000	2.8312206e-08	286.49582	-0.008442675	-87.736725	0.9189385	0.00501474	0.066199996	99.0	25.417386054992676
1	-0.7019087	1.3569826	3.1210184	-4.61696	1000.0	46.45	85.26853	355.0	0.0	-3.1912794	5.6446714	5.7019343	-16.751158	160000	-3.8743018e-08	36.417797	-0.011431395	-34.312126	0.92759144	0.006326659	0.0690625	99.0	47.396130323410034
2	-0.59176356	1.5002168	3.9859033	-6.4576488	1000.0	33.45	80.2633	365.0	0.0	-0.3026	0.87820727	2.4279466	-3.267531	240000	-1.1920929e-08	1.2291896	-0.010534862	-0.42231137	0.91848755	0.006497305	0.077612504	99.0	69.25600504875183
3	-0.41413158	1.1869026	2.647792	-4.4168243	1000.0	54.775	95.9828	449.0	0.0	-0.29459503	0.6323771	3.97311	-2.6165333	320000	0.0	0.44941583	-0.011186386	-0.3015377	0.9174346	0.0065855198	0.0816375	99.0	91.35066103935242
4	-0.09363198	1.1852368	2.905542	-4.231086	1000.0	64.225	115.35499	527.0	0.0	-0.07979873	0.3550223	0.6456034	-1.53893	400000	2.0861625e-08	5.0093718	-0.010655381	-1.3820906	0.9128252	0.0054964633	0.0773125	99.0	113.18312335014343
5	-0.0043848394	1.3887343	5.357415	-2.8513064	1000.0	44.875	94.11713	441.0	0.0	-0.8476468	0.7206871	0.8210911	-5.383615	480000	1.9371509e-08	15.955774	-0.010829717	-6.0720644	0.9189216	0.006050803	0.08495001	99.0	135.33254957199097
6	0.18670462	1.2979987	5.4385147	-4.267411	1000.0	58.75	106.92363	481.0	0.0	-1.0212831	1.4724051	4.606408	-6.772213	560000	1.1920929e-08	22.085379	-0.011550772	-13.372223	0.93917215	0.0044213785	0.077462494	99.0	157.60950994491577
7	0.08886893	1.376081	4.537639	-2.6152303	1000.0	56.15	114.347626	552.0	0.0	-2.146862	4.158841	9.658948	-17.095509	640000	-5.9604646e-09	44.96484	-0.0128322365	-31.305536	0.9426061	0.009752583	0.12722501	99.0	179.4765384197235
8	0.3354144	1.6717945	7.2317677	-3.5233119	1000.0	44.875	87.227776	451.0	0.0	-1.6422575	3.1762543	8.015939	-21.771507	720000	4.4703485e-09	43.93328	-0.013384382	-18.823366	0.9392055	0.008138732	0.1203625	99.0	201.40805649757385
9	-0.19233422	1.4397007	3.8778403	-4.450281	1000.0	63.6125	118.47853	587.0	0.0	-1.9148086	2.6148725	1.3525939	-21.747192	800000	2.9802323e-09	62.991295	-0.013389719	-38.757473	0.934106	0.0071803206	0.1017375	99.0	223.57323718070984
