Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.2878912	0.57837397	0.4802671	-1.691483	1000.0	56.0	108.44261	358.0	0.0	0.005554639	0.0471934	0.119970515	-0.114493236	10000	2.9802323e-09	403.08813	-0.017113645	-155.5584	0.9189385	0.0072656595	0.109500006	99.0	12.871769189834595
1	-0.032286547	1.6155002	4.2075114	-2.0333772	1000.0	10.5	22.571	71.0	0.0	-4.034134	7.2886844	6.770422	-17.636215	20000	3.576279e-08	60.50921	-0.018731633	-57.650078	0.92685044	0.0053942315	0.119	99.0	22.888700485229492
2	-0.6682256	1.7644777	3.0202687	-3.1155512	1000.0	24.9	59.66984	198.0	0.0	-0.5887152	0.5587272	0.8607399	-1.7647728	30000	2.3841858e-08	0.67433155	-0.019095324	-0.58794016	0.9033183	0.008795753	0.122899994	99.0	33.408743381500244
3	-0.17358574	1.2508703	1.8932356	-2.519546	1000.0	31.2	74.63083	252.0	0.0	-0.2227013	0.20689605	1.1925659	-1.4346777	40000	-1.1920929e-08	0.14367136	-0.017133879	-0.078294	0.9013187	0.010315771	0.12449999	99.0	43.115267515182495
4	0.10815736	1.3040866	2.8712595	-2.3722525	1000.0	35.2	49.1341	147.0	0.0	0.015971474	0.21439938	1.3182236	-1.1498812	50000	-1.3038516e-09	0.093918025	-0.020150607	-0.05095785	0.88855183	0.011634434	0.1508	99.0	53.05057716369629
5	0.05319761	0.9223759	2.1321728	-0.9296781	1000.0	90.2	111.359604	345.0	0.0	0.020182487	0.10965128	0.42065066	-0.6863378	60000	2.0861625e-08	0.055697322	-0.023896001	-0.018292334	0.88093555	0.014412942	0.1672	99.0	63.079731941223145
6	0.60381997	1.7398998	2.4763784	-3.646457	1000.0	46.4	73.30239	245.0	0.0	0.04446308	0.095040455	0.6839994	-0.25396562	70000	1.4901161e-08	23.086044	-0.017818782	-12.972857	0.865507	0.004609852	0.11570001	99.0	73.25874257087708
7	-0.6608492	1.6132194	1.3043259	-4.395085	1000.0	54.1	133.87192	452.0	0.0	-1.4111506	2.128677	5.2881308	-11.235625	80000	-4.4703484e-08	40.91677	-0.021016985	-15.202133	0.8778926	0.01070509	0.13800001	99.0	84.20639991760254
8	0.3185711	1.0637975	1.7952712	-2.0524743	1000.0	99.4	129.29053	347.0	0.0	-2.0000355	2.433762	0.14638197	-6.817581	90000	-1.7881394e-08	93.359116	-0.021332372	-41.170033	0.89682543	0.004072098	0.13409999	99.0	94.2325348854065
9	0.80709094	1.5561006	3.4666731	-1.2713337	1000.0	58.6	79.83132	209.0	0.0	-3.8930204	3.8355649	10.043446	-12.551948	100000	-1.8626451e-08	63.934	-0.026146192	-46.982414	0.913478	0.017703561	0.1819	99.0	104.64075446128845
