Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.85468197	1.1527023	0.80216324	-3.243483	1000.0	47.05	71.28778	243.0	0.0	0.022338105	0.09073183	0.2584076	-0.20115301	20000	0.0	310.06412	-0.012430561	-93.42665	0.9189385	0.005268703	0.09749999	99.0	10.601241111755371
1	-0.83398616	1.2248613	1.3104419	-3.6622605	1000.0	42.25	78.53717	317.0	0.0	-4.6987205	6.0310354	4.1355867	-16.831217	40000	1.1920929e-08	49.710655	-0.015952257	-47.455643	0.91099846	0.008065407	0.11355001	99.0	20.95783829689026
2	-1.3683202	1.3106581	0.36024347	-4.5426893	1000.0	25.65	63.94238	275.0	0.0	-0.4863618	0.6640248	0.63756907	-2.0396254	60000	-1.1920929e-08	0.5272016	-0.015666187	-0.4510402	0.89982	0.00779895	0.111549996	99.0	30.74855375289917
3	-0.7578427	1.107047	1.1142343	-3.3771055	1000.0	27.2	108.26385	497.0	0.0	-0.21442641	0.22583593	0.80111337	-1.1816753	80000	1.3411045e-08	0.08796462	-0.017039785	-0.055493407	0.8943356	0.009023474	0.12754999	99.0	40.51621437072754
4	-0.12163414	1.0696559	2.3773496	-2.332904	1000.0	63.7	121.76046	417.0	0.0	-0.110154904	0.13822453	0.52475464	-0.5284665	100000	-8.940697e-09	0.06036544	-0.020072017	-0.031332336	0.88198674	0.011248722	0.14265	99.0	50.163875341415405
5	0.10372343	1.0100937	2.4756787	-2.0622196	1000.0	51.2	109.78096	469.0	0.0	-0.043605424	0.12553972	0.3210369	-0.55127263	120000	-1.1920929e-08	9.611384	-0.017190188	-5.9449143	0.8799054	0.0054899757	0.09425	99.0	59.81581377983093
6	-0.010583398	1.4824739	2.85475	-4.9254904	1000.0	104.05	143.8195	442.0	0.0	-0.89558524	1.5221447	0.5640557	-8.401882	140000	-1.1175871e-08	39.69381	-0.01750925	-25.286966	0.89775145	0.005419764	0.104100004	99.0	69.45679140090942
7	0.52125484	1.0385671	2.2148213	-2.2380588	1000.0	111.6	127.280945	465.0	0.0	-1.9647905	2.6770413	0.07067843	-13.923195	160000	7.450581e-09	130.33197	-0.019784406	-104.87007	0.90531445	0.0072631054	0.11435	99.0	79.03167629241943
8	0.36764857	1.4459567	2.3257716	-3.8201318	1000.0	107.35	150.72766	587.0	0.0	-6.185939	9.125759	28.789076	-25.159292	180000	-2.3841858e-08	262.84445	-0.019987654	-200.37834	0.91660357	0.010580671	0.15134999	99.0	88.71240949630737
9	-0.017887175	1.3325177	4.252677	-1.706693	1000.0	61.85	98.70424	416.0	0.0	-6.1958756	10.139684	1.629923	-32.757046	200000	1.1920929e-08	179.49872	-0.020180786	-127.54271	0.9172468	0.01482569	0.15675	99.0	98.12731146812439
10	-0.49637175	2.5248015	4.628589	-6.7938905	1000.0	14.0	38.30535	161.0	0.0	-1.5227197	3.6392045	13.97545	-22.279175	220000	0.0	22.958261	-0.018194545	-19.410275	0.90465784	0.0104895085	0.1231	99.0	107.73744750022888
11	-0.5081829	2.12465	4.4713564	-6.092851	1000.0	36.4	80.28413	278.0	0.0	-1.5151813	4.023943	1.2223487	-27.068684	240000	-5.9604646e-09	80.40956	-0.01771583	-68.42714	0.88701475	0.0076506427	0.12240001	99.0	117.13864970207214
12	-0.45340902	2.1695085	2.8575425	-5.6868143	1000.0	45.45	86.734344	378.0	0.0	-2.944741	7.007725	17.898554	-31.615274	260000	1.3411045e-08	90.09898	-0.017952299	-69.24596	0.89302254	0.015410498	0.15755	99.0	126.56232190132141
13	-1.4874604	2.8460042	1.8263383	-8.496583	1000.0	29.8	58.88259	222.0	0.0	-2.2393305	4.461283	2.8637898	-38.51994	280000	-5.9604646e-09	66.79732	-0.021136058	-39.992985	0.88791835	0.014733249	0.16835001	99.0	136.24035382270813
14	-1.6836075	2.619279	2.9951522	-8.7340555	1000.0	28.2	73.55719	297.0	0.0	-0.89613396	2.5866554	34.950035	-12.827306	300000	1.7881394e-08	53.921436	-0.020379467	-34.70718	0.8731338	0.008673221	0.14535001	99.0	146.3481888771057
15	-0.7247755	2.524592	3.0615106	-8.972149	1000.0	10.1	32.046684	134.0	0.0	-1.5196221	4.013521	3.5772493	-16.499136	320000	-2.4586916e-08	25.315805	-0.015928745	-14.426724	0.8736576	0.016161839	0.136	99.0	156.08690738677979
16	-0.9562052	2.6953194	5.9009795	-5.7668076	1000.0	17.5	36.475334	135.0	0.0	-0.53888625	1.951117	21.60716	-21.307281	340000	5.9604646e-09	19.555817	-0.017671902	-11.587805	0.8663038	0.007916815	0.13185	99.0	165.987389087677
