Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7581018	1.2088625	1.7607343	-4.3730645	1000.0	33.175	69.84336	330.0	0.0	0.009435103	0.0857157	0.2584076	-0.20115301	80000	8.940697e-09	209.91602	-0.008207505	-56.023552	0.9189385	0.005017313	0.0695125	99.0	25.113726139068604
1	-0.9835793	1.5475394	1.4608911	-5.7532477	1000.0	32.3125	91.01409	512.0	0.0	-3.1922123	4.783298	6.0031466	-15.493029	160000	2.9802323e-09	28.735989	-0.011695234	-27.473354	0.926167	0.006768984	0.07745	99.0	47.44219446182251
2	-0.6380043	1.3722515	2.5442119	-5.0400834	1000.0	37.0	88.14122	361.0	0.0	-0.3031583	0.5942922	1.0072547	-2.199712	240000	2.3841858e-08	0.40128765	-0.010527471	-0.31089076	0.92482233	0.0067773582	0.077687494	99.0	69.57243514060974
3	-0.3155304	1.47913	3.586235	-4.5773263	1000.0	23.125	54.857403	276.0	0.0	-0.095322035	0.23969075	1.7031978	-1.5917971	320000	5.2154063e-09	0.09495532	-0.012774089	-0.04169421	0.91608083	0.0075063803	0.095937505	99.0	91.6134774684906
4	0.10765002	1.4454089	4.9542017	-4.705214	1000.0	61.5875	113.919235	492.0	0.0	-0.030339094	0.17537902	1.076081	-0.83696383	400000	2.9802323e-09	0.05972631	-0.014718528	-0.01422851	0.9122962	0.009388155	0.111187495	99.0	113.54191613197327
5	0.8002674	1.7042879	5.9837074	-4.9060435	1000.0	74.35	133.20915	681.0	0.0	0.0036706727	0.1415589	1.8865924	-0.8334315	480000	-8.940697e-09	12.614538	-0.011723354	-6.6265626	0.907949	0.003953407	0.074062504	99.0	134.9660668373108
6	0.69774365	1.8142736	4.886131	-3.6502311	1000.0	48.5125	99.09074	705.0	0.0	-0.86159474	1.6370726	1.7361213	-11.2775135	560000	-5.9604646e-09	29.625381	-0.013528642	-17.073952	0.9230856	0.008380121	0.111812495	99.0	157.07667803764343
7	0.23499613	1.6802607	4.2402363	-3.5625675	1000.0	50.0875	110.88003	517.0	0.0	-1.43756	2.3270447	9.164626	-17.490849	640000	-1.7136335e-08	37.87272	-0.013899112	-22.768457	0.92638886	0.008076847	0.12105	99.0	179.05317282676697
8	0.5734207	1.6430465	5.93094	-3.3260136	1000.0	44.6125	92.416245	554.0	0.0	-1.0001513	2.5727298	6.520333	-22.436525	720000	5.9604646e-09	39.64665	-0.014182235	-26.458033	0.9237927	0.008357352	0.121350005	99.0	200.84350156784058
9	0.36212295	1.5185838	4.253986	-4.1677036	1000.0	54.375	109.58859	567.0	0.0	-1.4786806	3.3583658	9.801325	-25.146873	800000	-8.940697e-09	55.11958	-0.014527619	-37.585335	0.92913735	0.008762557	0.12271249	99.0	223.41374683380127
10	0.22146158	1.7454586	5.772853	-4.3891044	1000.0	34.575	81.43	498.0	0.0	-1.7831793	4.2803335	22.297192	-27.694298	880000	-1.4901161e-09	34.501682	-0.0144699635	-23.931784	0.9342798	0.009894957	0.120387495	99.0	245.30216884613037
11	0.50506514	1.8423393	5.33044	-4.55822	1000.0	50.475	113.04434	533.0	0.0	-1.091647	2.6009912	6.475675	-29.755482	960000	-4.4703485e-09	49.91987	-0.014736493	-39.664085	0.9306432	0.0066745766	0.1148875	99.0	267.21832489967346
12	-0.16895203	2.2264323	9.486715	-5.1992493	1000.0	21.3625	51.260666	320.0	0.0	-1.8676124	4.8346577	5.2986393	-31.665306	1040000	2.9802323e-09	38.871002	-0.014820243	-27.13415	0.9324446	0.010278496	0.118787505	99.0	289.19952487945557
13	0.21968517	2.0165424	5.3551087	-6.1531453	1000.0	18.125	62.39659	517.0	0.0	-0.9129536	1.6025658	13.545504	-19.508303	1120000	-2.9802323e-09	16.56819	-0.013786522	-5.414304	0.92614496	0.008789259	0.12583749	99.0	311.39785170555115
14	0.18826991	2.086784	7.8302655	-6.305664	1000.0	18.5375	52.247234	323.0	0.0	-0.6001899	1.3350992	9.876953	-22.22738	1200000	-8.940697e-09	8.811816	-0.013602617	-5.5373354	0.9302931	0.008576261	0.1109125	99.0	333.1187686920166
15	-0.1685161	2.0664647	5.404337	-10.801971	1000.0	18.15	43.108612	243.0	0.0	-0.44851622	1.0566003	2.19038	-12.470726	1280000	3.7252903e-09	4.1086426	-0.014810112	-1.4648644	0.9384545	0.010348908	0.1301	99.0	355.0830783843994
16	-0.104482666	1.8069714	4.7646475	-5.840605	1000.0	27.3875	53.612846	231.0	0.0	-0.50267625	1.0626607	2.8169708	-12.732089	1360000	-5.2154063e-09	2.0675724	-0.014004206	-0.82817125	0.9384228	0.009666115	0.1224375	99.0	377.1133460998535
17	-0.06551671	1.8167818	4.3203783	-6.191798	1000.0	16.4375	42.089443	278.0	0.0	-0.35918343	0.40915212	0.9061215	-3.472911	1440000	-1.1920929e-08	0.35232082	-0.0161588	-0.26660824	0.9270576	0.009096236	0.118125	99.0	399.52218770980835
18	0.17898259	1.7098986	4.351145	-4.94183	1000.0	25.9	87.176346	672.0	0.0	-0.087512136	0.2970632	4.821465	-3.835977	1520000	1.4901161e-09	0.15676723	-0.014570547	-0.083768666	0.9092263	0.00912972	0.114975	99.0	421.4256863594055
19	1.0653665	2.115816	6.645848	-6.7294474	1000.0	51.65	96.51206	427.0	0.0	0.009677358	0.16527462	2.629965	-4.593452	1600000	0.0	0.12425546	-0.01751344	-0.038078066	0.8963728	0.010172888	0.1269875	99.0	443.08228302001953
20	1.0697234	1.8476295	6.2502265	-3.2457304	1000.0	50.0125	101.86406	560.0	0.0	0.09547128	0.1674116	1.654362	-1.9218752	1680000	5.9604646e-09	2.5454383	-0.015369266	-0.93913805	0.881348	0.0063367896	0.115587495	99.0	465.74754786491394
21	1.3225759	1.9361048	7.5318003	-3.8249962	1000.0	35.7	84.52536	577.0	0.0	-0.36215907	0.5737039	1.9627159	-5.0872726	1760000	-2.9802323e-09	4.58599	-0.015393163	-2.229436	0.8842629	0.007701869	0.115575	99.0	487.79113364219666
22	1.5954922	1.9714146	7.483077	-2.1815553	1000.0	62.6625	110.01056	468.0	0.0	-0.5456621	1.1147463	1.6634402	-8.257379	1840000	7.4505807e-10	6.5999794	-0.015694153	-4.179657	0.88631153	0.008497657	0.118062496	99.0	509.3238387107849
23	1.6342955	2.6720433	10.161376	-6.018796	1000.0	53.55	91.72294	401.0	0.0	-0.72922146	1.3437697	2.5909472	-8.460028	1920000	2.682209e-08	17.370304	-0.015723236	-12.105255	0.8875887	0.00784276	0.118925	99.0	531.0601892471313
24	1.1929948	2.6678238	9.392649	-9.78785	1000.0	35.925	72.31784	387.0	0.0	-1.388916	2.5667994	6.5715294	-16.970057	2000000	5.9604646e-09	19.084	-0.016562989	-15.282132	0.8878484	0.010763843	0.132175	99.0	553.6460967063904
