Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.66601545	1.2588125	0.80216324	-3.1979325	1000.0	53.3	67.1432	161.0	0.0	0.008509987	0.06533855	0.1431052	-0.13378529	10000	3.576279e-08	322.4093	-0.016609032	-112.63511	0.9189385	0.007392724	0.1165	99.0	10.539563655853271
1	-0.5922392	1.7171408	2.2214181	-3.6005692	1000.0	4.9	11.75117	39.0	0.0	-4.9090867	6.7561235	5.959489	-16.8315	20000	1.1920929e-08	59.39622	-0.019347094	-56.75061	0.91133976	0.010884503	0.1345	99.0	20.669089317321777
2	-2.330716	2.2952914	0.7306865	-5.887502	1000.0	13.9	41.7	139.0	0.0	-0.511826	0.7944399	0.62022984	-2.1728613	30000	-2.3841858e-08	0.812778	-0.015365553	-0.7511112	0.9028357	0.0051742243	0.10109999	99.0	30.7202570438385
3	-1.4714705	2.1375203	0.5000895	-6.026795	1000.0	17.1	51.3	171.0	0.0	-0.2709578	0.18060003	0.13695136	-0.84758466	40000	-5.9604646e-09	0.06988154	-0.02017505	-0.029668206	0.8840977	0.012728201	0.1671	99.0	40.810112953186035
4	-0.31540102	1.4219972	2.6297581	-2.36253	1000.0	48.4	100.955635	340.0	0.0	-0.18229672	0.22732402	0.16936806	-0.89843565	50000	0.0	0.10235101	-0.02128952	-0.062614426	0.8767437	0.013126555	0.1619	99.0	50.89093542098999
5	-0.13355759	0.5928014	1.0448306	-1.2136834	1000.0	80.2	126.45695	347.0	0.0	-0.0553025	0.09234339	0.21692722	-0.47552788	60000	1.1920929e-08	2.2526848	-0.022121556	-1.1210014	0.86751366	0.009279644	0.12560001	99.0	60.747037172317505
6	0.15854791	1.0270809	2.435	-1.2532924	1000.0	48.1	83.4643	241.0	0.0	-0.6328315	0.85038245	0.1871206	-2.250484	70000	5.9604646e-09	22.678976	-0.019469976	-14.178869	0.8719858	0.0066922917	0.12969999	99.0	71.01620841026306
7	0.37369695	0.8905376	1.1440343	-1.6218749	1000.0	90.7	142.50407	466.0	0.0	-0.39086407	0.6128112	1.8740374	-3.5190883	80000	-5.9604646e-09	67.54759	-0.018479312	-39.890217	0.8966985	0.003352549	0.12119999	99.0	81.19310903549194
8	0.3566268	0.6347793	1.6680359	-0.64590913	1000.0	93.0	172.56999	528.0	0.0	-1.0944184	2.2145586	7.767775	-14.524308	90000	-1.1920929e-08	135.70357	-0.020648047	-115.498215	0.89293945	0.0050716456	0.1277	99.0	91.01531600952148
9	-0.3393435	1.202308	1.7912567	-2.830654	1000.0	45.1	81.50392	262.0	0.0	-1.1876642	3.227355	1.6149677	-22.851805	100000	0.0	95.05696	-0.020967418	-30.558039	0.901719	0.009167444	0.132	99.0	101.18206357955933
10	-0.33032066	0.5690256	0.32144788	-1.38266	1000.0	54.5	100.50796	321.0	0.0	-3.060459	3.5707579	1.2783538	-12.581381	110000	1.7881394e-08	110.726425	-0.021182518	-84.01156	0.91541785	0.008956066	0.141	99.0	111.64866971969604
11	-0.6755854	1.3615385	1.3877221	-3.1988955	1000.0	49.5	60.140255	189.0	0.0	-2.3816385	5.0161543	24.383678	-21.861116	120000	1.7881394e-08	87.76693	-0.023227287	-65.92827	0.9235406	0.011228119	0.1803	99.0	121.38242959976196
12	-0.54342616	1.1914618	0.92524004	-2.7629223	1000.0	11.5	25.873732	84.0	0.0	-2.7965114	4.5456896	0.80299306	-27.796785	130000	0.0	33.05	-0.020919526	-31.455118	0.932902	0.018433116	0.1862	99.0	131.88227915763855
13	-0.782334	2.492785	2.859097	-5.9098177	1000.0	40.3	68.044174	184.0	0.0	-0.37593585	2.1004248	34.970345	-31.734701	140000	0.0	56.57975	-0.021486714	-29.266155	0.9105566	0.008462846	0.18439999	99.0	142.0003559589386
14	-1.1241442	1.7903824	0.41553664	-5.8980427	1000.0	3.3	9.9	33.0	0.0	-1.4174356	3.2991347	17.775358	-34.322952	150000	-5.9604646e-09	9.54407	-0.016803307	-8.157217	0.8912984	0.019615062	0.1553	99.0	152.1282286643982
15	-1.6409104	2.213776	2.9646971	-4.7435074	1000.0	31.8	54.84852	168.0	0.0	-0.5610615	0.9375626	0.60075366	-4.2156873	160000	1.1920929e-08	34.80332	-0.021871481	-10.542853	0.86215174	0.010855894	0.1607	99.0	161.83199000358582
16	0.029074002	2.1488485	4.3657284	-2.7006688	1000.0	0.0	0.0	0.0	0.0	-1.5687509	2.4470296	1.9764805	-6.373388	170000	-4.7683717e-08	7.3117027	-0.022779543	-6.969457	0.88624465	0.018301819	0.1357	99.0	172.2282202243805
17	-0.5928212	1.640012	2.7693195	-2.791512	1000.0	23.3	40.654766	128.0	0.0	-0.13427746	0.22738408	0.3098561	-0.73883986	180000	5.9604646e-09	13.866611	-0.020217726	-2.9418995	0.87637055	0.010073223	0.1447	99.0	182.73039507865906
18	-0.7468335	1.4512107	2.1553931	-3.0780292	1000.0	0.0	0.0	0.0	0.0	-0.9320783	1.1643866	0.29888853	-3.2233617	190000	4.7683717e-08	1.7950792	-0.021469321	-1.6220766	0.88482225	0.018073404	0.1267	99.0	193.3382215499878
