Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.25457415	0.92607504	1.5647222	-2.2292354	1000.0	47.6	110.62703	381.0	0.0	0.021168444	0.0868066	0.23112167	-0.1139505	20000	5.9604646e-09	356.5058	-0.014468035	-134.95717	0.91893846	0.00371486	0.0812	99.0	7.384082794189453
1	-0.22021274	0.91287476	1.4093033	-2.1427794	1000.0	25.9	43.758312	123.0	0.0	-2.6319532	5.3683004	4.1989107	-16.96521	40000	-1.7881394e-08	30.873041	-0.019103806	-29.311346	0.93390167	0.008271654	0.12455001	99.0	14.270406484603882
2	-0.7554515	0.9704203	0.5419359	-3.6128438	1000.0	23.95	55.30504	196.0	0.0	-0.25302774	0.6539063	0.45440972	-2.5959742	60000	-8.940697e-09	7.9606752	-0.014794191	-3.1071987	0.92265433	0.011421262	0.09204999	99.0	20.948177576065063
3	-0.5009111	0.5442759	0.510595	-1.5985925	1000.0	24.15	56.19633	218.0	0.0	-0.64739347	1.4274498	0.64107084	-4.440646	80000	-5.9604646e-09	15.517708	-0.014318459	-8.310916	0.93483317	0.005876351	0.10885	99.0	27.86603808403015
4	-0.18212163	1.572335	2.6208787	-4.44162	1000.0	40.15	70.31947	228.0	0.0	-1.1328815	2.8971338	1.9772316	-13.168972	100000	-4.4703485e-09	45.81995	-0.014526484	-34.571426	0.9424375	0.006437242	0.11005	99.0	34.859620094299316
5	-1.1019144	1.498755	1.1958332	-3.9830167	1000.0	56.3	79.94192	250.0	0.0	-1.3761674	3.4159405	2.2669508	-19.195614	120000	-2.0861625e-08	101.21788	-0.020506041	-78.4655	0.9528794	0.0079813255	0.12165	99.0	41.63896298408508
6	-0.284056	1.4440538	2.9750173	-4.6976666	1000.0	54.85	115.43235	467.0	0.0	-3.489857	6.594421	1.2061601	-25.67694	140000	-2.9802323e-09	168.95699	-0.018502276	-146.53938	0.9673902	0.011509798	0.1447	99.0	48.50207304954529
7	-0.27725935	1.4920329	3.2213402	-3.0043654	1000.0	73.35	131.90916	540.0	0.0	-3.643814	8.729898	1.9387786	-34.959846	160000	1.7881394e-08	206.97075	-0.02191956	-171.78207	0.97597325	0.009241805	0.1494	99.0	54.91093111038208
8	-0.6120013	1.4323814	2.3635457	-3.9774764	1000.0	42.2	100.175644	431.0	0.0	-4.9644976	10.617996	2.9060323	-43.88351	180000	-5.9604646e-09	97.14248	-0.022005577	-75.80614	0.9671982	0.014333226	0.16009998	99.0	61.72545647621155
9	-0.23473874	1.4949372	3.963762	-3.6255953	1000.0	44.7	60.993526	244.0	0.0	-3.6636343	10.125894	1.7548171	-46.30511	200000	5.9604646e-09	208.14932	-0.019089023	-181.00838	0.9516324	0.018369231	0.1805	99.0	68.39328455924988
10	-0.8934167	1.3756582	1.4576501	-4.205558	1000.0	36.75	73.972885	297.0	0.0	-4.3989763	8.88452	3.5825675	-39.847206	220000	-1.4901161e-09	128.95883	-0.01990902	-106.49685	0.9629194	0.014657703	0.15879999	99.0	75.30556058883667
11	-1.1133816	1.9279089	2.2552629	-5.734755	1000.0	109.6	174.56215	751.0	0.0	-2.6544368	5.951195	3.7685173	-45.578587	240000	-4.4703485e-09	459.45245	-0.021720394	-386.3837	0.95650464	0.0044104583	0.13374999	99.0	82.14642548561096
12	-0.6258192	1.3567976	1.8761683	-3.7082584	1000.0	29.45	59.047844	201.0	0.0	-4.5160537	12.992685	2.3579605	-57.529938	260000	0.0	209.1939	-0.018953774	-183.1515	0.9507769	0.01703646	0.16690001	99.0	88.81104040145874
13	-1.0343883	1.7030811	1.22273	-4.8404174	1000.0	28.45	97.8256	446.0	0.0	-2.2323318	4.9453034	1.1664358	-24.769775	280000	0.0	103.61263	-0.018425006	-85.100174	0.9334668	0.014371455	0.14275	99.0	95.04773354530334
14	-1.3300405	1.7430781	1.9617443	-4.8980637	1000.0	68.7	180.16772	698.0	0.0	-3.8861792	10.185146	1.6180227	-41.638355	300000	-1.1920929e-08	296.65387	-0.018446958	-250.46255	0.9350642	0.0034472595	0.12105	99.0	101.70103788375854
15	-1.2544863	2.0168703	1.5770098	-5.421892	1000.0	49.05	79.98592	321.0	0.0	-4.9005194	14.744835	2.4339538	-63.952534	320000	0.0	286.4416	-0.020202758	-256.40024	0.9264841	0.019827113	0.1798	99.0	108.87322807312012
16	-0.85869014	1.6007382	2.3707604	-4.477041	1000.0	31.95	78.23776	273.0	0.0	-2.2881486	6.2035017	34.79812	-46.08227	340000	1.1920929e-08	150.04764	-0.019613516	-129.70908	0.9186562	0.009684159	0.14719999	99.0	115.47716569900513
17	-1.4859855	2.4469664	3.0687053	-7.192753	1000.0	24.7	52.360386	194.0	0.0	-3.1087162	8.235568	11.018122	-41.74527	360000	0.0	97.28374	-0.022187315	-90.646194	0.910025	0.015289473	0.1642	99.0	122.55272841453552
18	-0.97050077	1.6169096	2.2571294	-4.517527	1000.0	66.1	138.08798	529.0	0.0	-1.2845794	3.7146752	3.29397	-43.069077	380000	-2.9802323e-09	237.00967	-0.024064992	-201.74605	0.9055799	0.0061547062	0.11515	99.0	129.34259629249573
