Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9567461	1.497816	2.0751517	-4.888964	1000.0	45.15	89.22235	408.0	0.0	-0.012127762	0.08857087	0.20587143	-0.21035695	20000	-1.1920929e-08	287.38763	-0.014138818	-116.26123	0.91893846	0.004326865	0.092199996	99.0	7.414385795593262
1	-1.094289	0.9245985	0.26441252	-3.1716974	1000.0	34.4	77.11251	249.0	0.0	-3.751394	5.5009937	8.152626	-18.126925	40000	3.576279e-08	37.83648	-0.019780792	-36.41563	0.9382383	0.008944069	0.12539999	99.0	14.087098121643066
2	-0.77128184	1.1451186	2.1458611	-3.5805025	1000.0	30.65	61.69868	231.0	0.0	-0.38015527	0.60176164	0.7527565	-2.3102522	60000	-2.9802323e-09	0.4548889	-0.018400844	-0.39981452	0.92369473	0.009720841	0.12165	99.0	20.781768560409546
3	-0.60526276	1.18587	1.8227245	-3.0559058	1000.0	50.05	65.44805	213.0	0.0	-0.079223074	0.23373581	0.63459307	-0.9618627	80000	-5.9604646e-09	0.09997417	-0.021262327	-0.06582811	0.9182068	0.010829401	0.14874999	99.0	26.991458654403687
4	-0.35438302	0.92533576	1.4916046	-1.9829773	1000.0	46.05	98.78131	418.0	0.0	-0.11036731	0.2332798	0.6230695	-0.81284845	100000	-2.9802323e-09	0.0788008	-0.02112158	-0.044907916	0.9047588	0.0110744	0.1446	99.0	34.17223381996155
5	-0.0647016	1.2444526	2.1478846	-1.8866386	1000.0	43.2	66.270355	273.0	0.0	-0.061865095	0.16947232	0.5539013	-0.67144305	120000	-5.9604646e-09	0.092054255	-0.024644002	-0.044753984	0.8944782	0.015257865	0.16675001	99.0	41.03323745727539
6	0.5328556	0.9965359	2.9986742	-0.7890255	1000.0	107.5	124.78161	419.0	0.0	-0.07545162	0.21259001	0.47194487	-0.79031193	140000	-1.3038516e-08	0.23118775	-0.025891673	-0.12865233	0.88514346	0.01284807	0.1751	99.0	47.79424548149109
7	0.29891452	1.3196335	4.1011686	-2.245826	1000.0	90.4	150.95113	530.0	0.0	-0.13004981	0.2704478	0.8389422	-1.2835157	160000	-1.3411045e-08	3.3850684	-0.021546474	-2.7271185	0.870714	0.0048938654	0.1443	99.0	54.64093732833862
8	-0.28501672	1.3730285	2.0710607	-2.5976121	1000.0	32.5	66.63595	279.0	0.0	-0.50936526	1.0287865	1.6377687	-4.772431	180000	3.1664968e-09	3.141761	-0.023856195	-2.1543152	0.8707433	0.018472528	0.16820002	99.0	61.126872539520264
9	0.6458189	1.7229578	3.2383304	-4.3835373	1000.0	69.8	114.53191	368.0	0.0	-0.5313701	0.87900895	0.6837809	-4.416798	200000	0.0	4.4953303	-0.024958743	-3.3087585	0.85881174	0.008447339	0.169	99.0	67.93265318870544
10	0.53438675	1.9303561	3.5299778	-5.712117	1000.0	71.1	79.03221	217.0	0.0	-0.7183261	1.4286733	1.0962855	-6.329373	220000	-2.9802323e-09	6.5050187	-0.025724914	-4.438951	0.85346806	0.028880825	0.21475	99.0	74.80362629890442
11	0.43523225	1.8919735	5.741739	-1.8409046	1000.0	38.5	46.711346	170.0	0.0	-1.1413239	1.393806	1.7951984	-8.220627	240000	1.1920929e-08	4.2068954	-0.024606718	-3.4381874	0.85668755	0.018700298	0.18935001	99.0	81.70950627326965
12	0.947845	2.4241524	6.670408	-3.6006565	1000.0	53.75	72.9869	257.0	0.0	-0.78082967	1.969954	3.680481	-10.364325	260000	8.940697e-09	5.63161	-0.027074873	-4.078851	0.8490766	0.018147018	0.19775	99.0	88.32568621635437
13	0.52699256	2.2511396	5.049844	-4.7241745	1000.0	61.9	137.47032	621.0	0.0	-0.49857393	1.3655903	2.8683476	-10.194584	280000	-7.450581e-09	9.307487	-0.023300093	-7.0427504	0.8480436	0.008757176	0.15215	99.0	95.03235292434692
14	0.7609712	1.6724766	3.7319682	-3.8944604	1000.0	65.3	103.59156	402.0	0.0	-1.1805124	2.2524152	1.040148	-11.683004	300000	1.7881394e-08	11.876069	-0.02371397	-9.376944	0.84691936	0.019320063	0.1805	99.0	102.05552315711975
15	0.5823463	1.9904557	4.4087925	-3.911383	1000.0	76.15	167.69592	695.0	0.0	-1.1475977	2.5190377	0.9183549	-12.091395	320000	1.4901161e-08	19.348295	-0.021863198	-16.883335	0.8530488	0.007826291	0.1628	99.0	109.02303099632263
16	-0.84363425	4.248623	7.294567	-12.458731	1000.0	41.45	73.071526	230.0	0.0	-0.7069645	1.9400275	4.6056333	-13.640756	340000	5.9604646e-09	11.416779	-0.021508873	-5.8211575	0.8495371	0.014145024	0.19265	99.0	115.77017450332642
17	0.94565374	2.6794412	7.557031	-3.756317	1000.0	65.1	106.14372	366.0	0.0	-0.9831869	1.3694953	3.536138	-12.673612	360000	0.0	14.893354	-0.028312266	-10.498776	0.8465492	0.012486782	0.18	99.0	122.51713585853577
18	0.28599554	3.421106	5.9325757	-11.686919	1000.0	42.85	109.793564	502.0	0.0	-1.9674523	3.2844207	7.866425	-9.7248	380000	1.1920929e-08	19.407343	-0.02299489	-16.256943	0.84645194	0.023638392	0.20844999	99.0	129.32336688041687
19	0.9268178	1.1041942	2.884705	-1.7317363	1000.0	49.45	79.769966	249.0	0.0	-1.146691	2.355243	4.088033	-9.572672	400000	-1.899898e-08	14.97574	-0.023870986	-10.810919	0.8259002	0.015831789	0.18259999	99.0	136.2571840286255
20	0.15875216	2.4416301	5.02727	-6.75276	1000.0	27.7	53.311447	190.0	0.0	-1.1480829	1.7790242	3.0424893	-6.6284795	420000	-1.1920929e-08	9.760525	-0.026667248	-5.8711047	0.8256277	0.025654215	0.20065	99.0	142.92773008346558
21	0.6530139	3.3039362	6.836071	-6.3420067	1000.0	62.5	91.03708	242.0	0.0	-0.77675456	1.2619773	5.836723	-4.9239025	440000	-1.2665987e-08	14.053209	-0.025063913	-11.542002	0.81678045	0.0069765253	0.16485	99.0	150.0881736278534
22	0.7886361	1.9478564	5.2051125	-3.5534246	1000.0	54.1	64.19494	204.0	0.0	-1.594909	3.4567878	11.321438	-12.787764	460000	-2.9802323e-09	16.8586	-0.026546517	-13.724597	0.81494606	0.025360793	0.2375	99.0	156.91772294044495
23	1.1935152	2.1095536	5.4463477	-2.2206974	1000.0	47.45	51.716995	137.0	0.0	-1.0665324	1.6463561	0.7832228	-12.455951	480000	0.0	8.675454	-0.026771	-4.3329086	0.80773973	0.027907446	0.21970001	99.0	163.51670455932617
24	1.5206776	2.7094476	6.118728	-3.3062413	1000.0	75.85	117.05566	485.0	0.0	-1.2807727	1.512697	1.2536818	-8.891907	500000	-1.1920929e-08	20.985731	-0.029609716	-16.10306	0.8154799	0.011981205	0.18329999	99.0	170.30674266815186
