Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.2274805	0.78807545	-0.3903853	-2.999944	1000.0	37.4	74.46503	247.0	0.0	0.02529566	0.059379872	0.1724592	-0.13811667	10000	-2.3841858e-08	277.97864	-0.018385459	-84.688286	0.91893846	0.007024467	0.1127	99.0	7.93881893157959
1	-0.17602842	1.565642	2.9578962	-1.8394009	1000.0	23.8	55.31329	182.0	0.0	-3.2346413	5.7438836	5.9983225	-17.488798	20000	-5.364418e-08	36.15397	-0.019751746	-34.39367	0.926208	0.009265734	0.13780001	99.0	13.292978525161743
2	-0.7917932	1.6572963	3.0274403	-3.1192884	1000.0	23.4	36.770096	100.0	0.0	-0.60003674	1.0017201	0.8282298	-5.2348814	30000	-1.1920929e-08	1.1841862	-0.019278456	-1.0992615	0.91913545	0.011211951	0.12100001	99.0	18.43749737739563
3	-0.17462194	2.2116141	4.5526237	-4.2861595	1000.0	14.9	27.197243	88.0	0.0	-0.083811685	0.3052152	0.9875703	-0.9349244	40000	0.0	0.20771079	-0.021557773	-0.16146752	0.89417094	0.013517892	0.15220001	99.0	23.9481418132782
4	-0.41247988	1.6284589	1.9602456	-4.2792163	1000.0	43.0	48.049976	127.0	0.0	-0.12269604	0.26772755	0.3297829	-1.2842134	50000	1.4901161e-09	0.09558737	-0.022610538	-0.06732933	0.88560855	0.013963534	0.1657	99.0	29.259785413742065
5	0.15700726	1.1012249	1.4997623	-1.8514187	1000.0	57.5	48.91881	135.0	0.0	-0.06184024	0.23049888	0.6348074	-0.9415822	60000	0.0	0.24744745	-0.024742484	-0.15745544	0.8657545	0.0133067565	0.1759	99.0	34.68060874938965
6	0.61214197	2.1297135	3.2246146	-4.302611	1000.0	54.1	74.829735	211.0	0.0	-0.097626895	0.29222333	0.6339483	-0.81207144	70000	1.0430813e-08	5.726712	-0.02294272	-5.39339	0.85998297	0.002933051	0.15709999	99.0	40.15581917762756
7	0.44829273	2.3381054	4.7332497	-2.620687	1000.0	104.9	133.36751	422.0	0.0	-0.5925199	1.1843244	3.13111	-6.888481	80000	-2.9802322e-08	34.725807	-0.028976852	-27.529423	0.86914074	0.011385641	0.1528	99.0	45.56235909461975
8	0.24477415	2.640354	4.6510434	-3.7550542	1000.0	37.5	61.17393	188.0	0.0	-1.6876123	2.5998487	2.013265	-16.252277	90000	7.450581e-09	31.275974	-0.024069313	-24.714228	0.8727387	0.0070611844	0.1562	99.0	50.97080206871033
9	-0.8447769	1.8093027	1.6440629	-4.4007382	1000.0	54.5	54.790966	140.0	0.0	-2.2639418	4.8764725	21.185001	-20.504978	100000	1.1920929e-08	61.354652	-0.025223669	-51.60325	0.86400527	0.015409289	0.1872	99.0	56.395973682403564
10	-1.3181995	1.8144416	0.86719704	-4.509904	1000.0	54.6	81.776764	240.0	0.0	-1.9373463	3.6659687	3.3547492	-20.98761	110000	1.7881394e-08	45.927307	-0.030448804	-39.963722	0.8670341	0.019143337	0.19229999	99.0	61.71395921707153
11	-1.5278361	3.1071885	5.0814643	-5.953726	1000.0	24.8	48.311073	151.0	0.0	-1.7128227	3.1273623	3.7344365	-20.704765	120000	-4.4703485e-09	32.006207	-0.02576762	-27.08397	0.8661909	0.021805855	0.18100001	99.0	67.16465401649475
12	-0.6411569	1.469018	1.4946299	-4.060628	1000.0	89.4	94.202126	306.0	0.0	-2.027015	4.940876	8.539588	-20.379375	130000	2.3841858e-08	114.99461	-0.02880331	-106.12358	0.8619691	0.012767354	0.19409999	99.0	72.8002393245697
13	-1.1594208	1.9915048	1.9849776	-5.019884	1000.0	34.3	56.65695	152.0	0.0	-2.0997574	4.8387394	23.86771	-31.162783	140000	5.9604646e-09	62.773407	-0.027196217	-42.97112	0.8537022	0.022917422	0.21630001	99.0	78.07586312294006
14	-1.0965264	2.0387793	0.6190996	-6.7113757	1000.0	71.9	95.19186	251.0	0.0	-1.3344827	2.814235	10.068542	-14.872416	150000	7.4505807e-10	105.7885	-0.026623253	-95.55694	0.84582597	0.0040073525	0.1657	99.0	83.38213849067688
15	-1.3335648	1.9733219	1.4832985	-6.618445	1000.0	117.9	167.44101	504.0	0.0	-3.1444952	7.8092804	2.7510543	-37.2588	160000	1.1920929e-08	190.55707	-0.028094307	-174.92047	0.8570983	0.009294823	0.1694	99.0	88.75748324394226
16	-1.1598585	2.0446231	1.8433098	-5.8608103	1000.0	28.3	72.5535	243.0	0.0	-8.453142	13.566463	8.927852	-43.47042	170000	3.576279e-08	296.0661	-0.029515654	-270.5794	0.852565	0.019615356	0.1952	99.0	94.11187219619751
17	-0.44677815	2.6035652	3.8597736	-3.7339973	1000.0	47.9	54.621334	176.0	0.0	-1.4739981	3.8979712	7.3686576	-39.62704	180000	8.940697e-09	63.511395	-0.026398916	-47.8332	0.84318286	0.007930899	0.1842	99.0	99.70237064361572
18	-0.43441543	1.0692456	0.83912665	-3.0162878	1000.0	79.7	120.50315	359.0	0.0	-3.011048	4.404657	15.115675	-41.361202	190000	2.9802323e-09	175.46738	-0.030353963	-147.88803	0.8253867	0.011420151	0.1636	99.0	105.04761385917664
19	-0.9689447	1.1675057	0.6925769	-3.4432766	1000.0	66.6	116.924934	386.0	0.0	-3.665258	7.238283	33.480522	-31.2976	200000	1.0430813e-08	239.73811	-0.030291054	-193.58414	0.82535726	0.021559078	0.22849998	99.0	110.37303757667542
20	-1.6939043	4.3931575	1.8679534	-14.286076	1000.0	87.0	135.46881	365.0	0.0	-3.5751648	8.83518	34.420025	-35.673363	210000	5.9604646e-09	336.08414	-0.027790617	-296.17813	0.81947696	0.0149688255	0.1732	99.0	115.59882473945618
21	-2.3920836	3.6109107	0.6249144	-11.04266	1000.0	20.1	28.894463	80.0	0.0	-1.1201206	1.9389551	3.6652286	-38.37137	220000	2.9802323e-09	23.824326	-0.024541413	-20.696774	0.82543945	0.011675654	0.1814	99.0	120.96326446533203
22	-1.6203266	2.994227	2.981779	-6.787835	1000.0	85.2	129.36444	328.0	0.0	-3.4494438	7.1373563	2.5637622	-33.979584	230000	5.9604646e-09	211.64401	-0.026002128	-185.12819	0.81690407	0.0030901195	0.14829999	99.0	126.26571440696716
23	-2.19945	3.5433195	1.8556055	-11.996218	1000.0	33.0	38.09987	133.0	0.0	-7.438286	14.129743	21.444914	-47.681637	240000	1.4901161e-09	275.59888	-0.03129509	-264.1718	0.8204893	0.03729589	0.23799999	99.0	131.61648225784302
24	-0.57083464	3.9103663	5.712463	-8.627573	1000.0	28.6	34.491158	121.0	0.0	-3.4702866	5.53012	0.5481036	-31.94736	250000	-2.9802323e-09	47.823036	-0.030118594	-35.777534	0.80219954	0.033484645	0.2408	99.0	136.97943329811096
25	-0.7310545	2.0752847	2.1431234	-5.1755095	1000.0	19.8	38.61295	122.0	0.0	-2.3466132	3.8663445	5.1334515	-27.134615	260000	-1.4901161e-08	32.08569	-0.021586858	-22.736694	0.8115813	0.021668224	0.19849999	99.0	142.3597753047943
26	-1.6567698	2.9106257	1.7338843	-8.219742	1000.0	24.1	32.742786	102.0	0.0	-1.7834253	2.6918375	2.7341528	-8.504453	270000	-1.4901161e-08	44.602165	-0.025337975	-37.856953	0.79993945	0.018900517	0.1895	99.0	147.74290323257446
27	-0.9316662	2.228844	2.7810364	-4.8051653	1000.0	7.4	22.199999	74.0	0.0	-1.7190455	4.0205517	11.215483	-32.595955	280000	1.4901161e-09	8.510157	-0.023062674	-7.576226	0.8042839	0.022385415	0.1985	99.0	153.44258975982666
28	-2.7458057	3.250651	2.1686063	-9.281279	1000.0	42.0	80.73785	271.0	0.0	-0.34810856	0.9035017	2.495894	-11.569287	290000	-1.1920929e-08	87.801254	-0.026074028	-58.522682	0.7798655	0.0024926201	0.14140001	99.0	158.73965549468994
29	-2.4891133	2.1523168	0.26542336	-6.303514	1000.0	0.0	0.0	0.0	0.0	-0.92900896	3.4336176	12.674364	-37.593674	300000	-1.1920929e-08	12.3967495	-0.01875873	-12.358831	0.7920498	0.022307513	0.1576	99.0	163.95531821250916
30	-2.5729027	4.6671176	3.0803428	-14.8538475	1000.0	18.3	34.32215	110.0	0.0	-0.10308628	0.66182786	10.947114	-31.81968	310000	2.3841858e-08	21.404583	-0.02174611	-11.583295	0.77374643	0.0032768794	0.16049999	99.0	169.24769163131714
31	-1.1191552	3.072572	3.1355143	-8.450266	1000.0	58.8	142.76541	475.0	0.0	-1.3683882	2.2095308	1.3193247	-13.422267	320000	5.9604646e-09	153.36374	-0.02344056	-97.063225	0.7808148	0.0019915313	0.12629999	99.0	174.42758989334106
32	-1.8113369	3.2846878	1.2873453	-10.448346	1000.0	35.9	41.951042	106.0	0.0	-1.4661025	3.358784	3.0213747	-35.807278	330000	2.2351743e-09	51.85459	-0.02473544	-40.34762	0.7890915	0.018168889	0.21159999	99.0	179.72267866134644
33	-2.3239863	2.5830863	1.7920209	-7.3905606	1000.0	24.6	57.172024	193.0	0.0	-3.0290236	5.6643367	2.6866498	-19.954063	340000	-1.3411045e-08	29.219568	-0.02489617	-20.558012	0.7841345	0.019711759	0.1791	99.0	185.1831934452057
34	-2.7640226	2.5408762	2.3837764	-7.519474	1000.0	37.4	85.23286	290.0	0.0	-1.3614097	2.8400843	6.1739216	-26.127636	350000	3.3527612e-09	77.15236	-0.020307198	-67.18682	0.7552686	0.0042822715	0.1563	99.0	190.61338782310486
35	-1.8613288	2.847531	2.1560054	-7.4047046	1000.0	23.7	71.1	237.0	0.0	-2.5984695	6.211451	2.2109208	-40.953777	360000	-7.4505807e-10	50.32336	-0.020006852	-48.367516	0.74036753	0.021544794	0.169	99.0	196.35754990577698
36	-2.8764262	4.144829	3.4680946	-12.594516	1000.0	34.9	96.17427	323.0	0.0	-1.7426143	4.300197	4.7750297	-32.458027	370000	0.0	79.03964	-0.020053362	-76.88066	0.72927547	0.012909902	0.161	99.0	201.9334592819214
