Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.6728469	0.9107889	1.4350452	-2.999944	1000.0	34.35	69.32696	247.0	0.0	0.02563742	0.05898241	0.17846854	-0.13811667	20000	-1.9371509e-08	253.46101	-0.014036809	-55.73294	0.9189385	0.006844902	0.11235	99.0	10.437171220779419
1	-0.71711165	1.2217811	1.6250387	-2.8520827	1000.0	27.7	55.12359	180.0	0.0	-3.9940782	5.2706747	4.379093	-15.516451	40000	3.2782555e-08	37.261845	-0.01520516	-35.791576	0.92230713	0.009359904	0.10215	99.0	20.43805694580078
2	-0.414776	1.1160139	1.8698212	-2.7907646	1000.0	54.75	96.419846	377.0	0.0	-0.41465184	0.5332177	1.0592514	-2.2178183	60000	-4.4703485e-09	0.3687469	-0.017001845	-0.3227184	0.9174984	0.00909131	0.12385	99.0	30.7050302028656
3	-1.3055823	1.2748876	0.5255457	-3.614904	1000.0	34.15	68.81226	260.0	0.0	-0.1543786	0.2910103	0.47544235	-2.2987797	80000	8.940697e-09	2.9137127	-0.014254463	-1.7579024	0.896387	0.010184224	0.116349995	99.0	40.78175091743469
4	-0.8863368	1.4145092	1.9890485	-4.1955056	1000.0	31.1	52.264618	186.0	0.0	-0.38963443	0.54332846	0.5119318	-4.9524164	100000	-5.9604646e-09	0.95588076	-0.018981308	-0.590631	0.9229096	0.012628518	0.15525	99.0	51.08234643936157
5	-0.4137919	0.92977655	1.846492	-2.3156662	1000.0	52.35	110.2258	421.0	0.0	-0.33151993	0.36366352	1.0492874	-3.5549128	120000	2.9802323e-09	0.18027951	-0.020099223	-0.14154474	0.9133557	0.011567377	0.1393	99.0	60.993865728378296
6	-0.87231505	1.271816	0.8513186	-3.9136736	1000.0	42.5	79.37978	329.0	0.0	-0.134564	0.40261355	0.9981115	-3.9033573	140000	7.4505807e-10	2.6088843	-0.016883604	-1.3586812	0.89775956	0.008246861	0.12115	99.0	71.07157588005066
7	-0.09281111	1.2472023	2.4643457	-2.8923454	1000.0	99.15	110.489494	347.0	0.0	-0.6574669	0.8887973	0.89153165	-6.2085896	160000	-1.7881394e-08	6.3688626	-0.020949494	-3.7477088	0.90394753	0.009865733	0.13210002	99.0	81.02950096130371
8	0.31791493	1.2813617	2.7224133	-1.5295048	1000.0	69.3	104.805115	346.0	0.0	-1.0836254	1.2994397	4.0009212	-7.522829	180000	5.9604646e-09	59.40873	-0.020129034	-48.54345	0.90479517	0.0031485911	0.13275	99.0	90.83344006538391
9	-0.11518581	1.465329	3.930665	-2.2354653	1000.0	42.45	71.298996	290.0	0.0	0.108195774	6.3310084	19.490133	-23.784441	200000	2.3841858e-08	64.79501	-0.020076878	-58.318153	0.9027492	0.0070312717	0.119	99.0	100.97460174560547
