Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.96622884	1.2942722	2.928302	-4.6885467	1000.0	41.75	95.7795	535.0	0.0	0.020845855	0.07013235	0.24808906	-0.18918781	80000	-2.0861625e-08	336.0986	-0.008050519	-87.01229	0.9189385	0.0042498363	0.065375	99.0	22.345278024673462
1	-1.0400509	1.418356	1.2339203	-4.9129267	1000.0	27.8625	56.876564	333.0	0.0	-3.6760926	5.740842	8.144331	-16.676207	160000	-5.9604646e-09	40.60453	-0.011215606	-39.154964	0.9273763	0.0056479005	0.074325	99.0	44.015344858169556
2	-1.2788078	1.5046047	1.7120203	-6.3321037	1000.0	32.0375	61.86466	272.0	0.0	-0.39995468	0.59604883	2.6342423	-3.443305	240000	-5.9604646e-09	0.35798454	-0.010036507	-0.2804273	0.92084205	0.0068309433	0.07615	99.0	66.08120346069336
3	-0.6144433	1.58895	3.635459	-5.916545	1000.0	63.475	93.32497	316.0	0.0	-0.16338074	0.2723051	1.0287844	-1.7636213	320000	-5.9604646e-09	0.09993813	-0.013089679	-0.042643107	0.9191122	0.008146642	0.098175004	99.0	88.06135153770447
4	0.19843921	1.385124	3.9192448	-3.133024	1000.0	74.45	117.264854	490.0	0.0	-0.063735045	0.18222493	1.1356552	-1.2656963	400000	-2.2351742e-08	12.328608	-0.012101789	-4.6832747	0.9107863	0.004718289	0.077562496	99.0	110.08282208442688
5	0.057500236	1.2554255	3.5209599	-3.0149791	1000.0	69.325	110.6824	485.0	0.0	-1.3088546	1.3896699	2.2582085	-12.469285	480000	5.9604646e-09	37.46415	-0.013676214	-24.47652	0.92347085	0.0063736266	0.09019999	99.0	131.9260377883911
6	0.12663154	1.193774	2.7870119	-3.9947104	1000.0	84.0625	116.27062	592.0	0.0	-2.0488527	3.8125222	3.452313	-17.471867	560000	1.4901161e-08	92.85713	-0.014681643	-66.56911	0.92915154	0.0070374147	0.1111875	99.0	153.63068318367004
7	-0.25133947	1.3167917	2.551331	-3.9072564	1000.0	58.125	93.08201	457.0	0.0	-2.4580312	4.437813	10.299014	-26.712757	640000	0.0	75.65108	-0.014670983	-58.051147	0.9244021	0.008650536	0.12335	99.0	175.43417382240295
8	-0.4452281	1.5339048	2.7412872	-5.303618	1000.0	37.625	84.77549	635.0	0.0	-3.2442164	6.4903793	18.086708	-30.076939	720000	0.0	65.28452	-0.013971408	-45.377937	0.92240953	0.00959044	0.1183625	99.0	197.32517981529236
9	-0.6260661	1.4500183	3.691227	-4.839696	1000.0	40.825	82.07112	312.0	0.0	-1.5012442	4.0736527	18.163471	-33.066586	800000	-1.1920929e-08	59.953857	-0.013137232	-39.632122	0.91600406	0.006976879	0.1102625	99.0	219.19612002372742
10	-0.4748562	1.5402398	3.6735923	-5.0854573	1000.0	22.4875	60.65249	283.0	0.0	-2.9016788	6.7359724	8.216319	-34.8072	880000	5.9604646e-09	63.611732	-0.013074162	-43.63869	0.91461813	0.011679163	0.1112625	99.0	241.68772292137146
11	-0.5544521	1.5110496	3.564744	-4.7131486	1000.0	41.0125	103.80841	585.0	0.0	-1.5190579	3.3311954	3.904733	-34.612934	960000	-1.4901161e-09	56.83312	-0.013916239	-40.884907	0.8973522	0.009044295	0.1122375	99.0	264.0003821849823
12	-0.76555	2.13958	6.995515	-5.7217574	1000.0	19.7875	57.24873	374.0	0.0	-1.3761982	3.4272032	12.314548	-25.073582	1040000	-1.4901161e-09	26.863892	-0.012922826	-19.143373	0.90337694	0.0077248765	0.1094	99.0	285.99586248397827
13	-0.93567103	2.0697231	4.5273275	-6.988849	1000.0	14.35	48.18664	355.0	0.0	-0.65051544	2.2718918	11.020921	-30.306211	1120000	0.0	17.502792	-0.012698558	-13.509198	0.8927423	0.009193709	0.113987505	99.0	308.4634208679199
14	-0.66340894	2.140306	3.538518	-11.481524	1000.0	16.3	54.448463	405.0	0.0	-1.027954	3.2392902	3.9548473	-35.886467	1200000	0.0	22.223244	-0.011961453	-18.0238	0.8885808	0.008591412	0.109712504	99.0	330.3339948654175
15	-0.6426107	2.0568142	5.041583	-7.1969814	1000.0	23.625	58.913574	324.0	0.0	-0.72136897	2.6039126	3.3982759	-36.841305	1280000	0.0	14.557607	-0.012849393	-10.3511915	0.8787149	0.009021521	0.10906251	99.0	352.6250944137573
16	-0.45897007	1.9433	5.5742917	-4.7566633	1000.0	6.2375	26.568422	204.0	0.0	-0.9331549	2.6314747	9.238408	-23.503916	1360000	5.9604646e-09	8.424681	-0.012252453	-6.458436	0.87620604	0.00930939	0.1030125	99.0	374.8155264854431
17	-0.661256	1.6322951	4.052326	-4.581897	1000.0	14.725	35.488724	210.0	0.0	-0.28003982	0.6156108	3.2609496	-4.8965664	1440000	2.9802323e-09	0.77276134	-0.015363783	-0.36755028	0.8553277	0.00993025	0.1183125	99.0	397.24753975868225
18	-0.2597139	1.814	6.525616	-4.935828	1000.0	7.1875	19.054588	95.0	0.0	-0.1851482	0.30282533	3.8811817	-2.3227313	1520000	-7.0780515e-09	0.19213684	-0.014701337	-0.09762047	0.84809434	0.008675765	0.11746249	99.0	418.595379114151
19	0.25755203	1.9249501	7.116373	-4.8800335	1000.0	37.6	89.42449	541.0	0.0	-0.053536315	0.20781359	2.2550955	-1.9485626	1600000	5.9604646e-09	0.11008847	-0.017709801	-0.03553853	0.8316699	0.01022589	0.129675	99.0	440.78798151016235
20	0.23307157	2.1921322	9.916021	-7.064967	1000.0	28.65	87.84149	684.0	0.0	0.03136062	0.20180295	2.642765	-1.1870614	1680000	4.4703485e-09	0.15766451	-0.01743331	-0.037896857	0.81904125	0.010391969	0.12990001	99.0	462.6717474460602
21	0.95731276	2.3881543	7.6077576	-8.477087	1000.0	16.2375	37.68297	208.0	0.0	0.016814105	0.17585883	3.4001296	-1.7793391	1760000	-5.9604646e-09	0.1442926	-0.016889656	-0.03388734	0.80350983	0.009050881	0.127425	99.0	485.46171975135803
22	1.082427	2.6302278	8.015341	-14.572484	1000.0	34.0875	84.17827	528.0	0.0	0.09471595	0.17042422	1.0563593	-1.6118932	1840000	0.0	0.13744614	-0.01739309	-0.020908372	0.78324753	0.009442745	0.124524996	99.0	507.8378076553345
23	1.2331078	3.0427246	9.138803	-11.867842	1000.0	47.0125	112.46538	624.0	0.0	0.0925963	0.18413621	1.2542099	-2.135289	1920000	8.940697e-09	0.13670623	-0.017452726	-0.021358242	0.7653189	0.009747125	0.127775	99.0	529.5070838928223
24	1.6855514	2.5276234	7.154525	-4.752321	1000.0	41.85	84.95103	402.0	0.0	0.10700147	0.20969044	1.38079	-1.7411286	2000000	-8.195639e-09	0.77738124	-0.017325275	-0.22809044	0.7447273	0.0074341744	0.126975	99.0	552.1161417961121
25	2.1091053	2.989219	10.794163	-5.633239	1000.0	32.6875	72.10575	391.0	0.0	-0.090683095	0.36166254	1.7583638	-5.779723	2080000	1.9371509e-08	0.9861826	-0.01736739	-0.27424568	0.7368526	0.009058251	0.1253	99.0	574.2555544376373
26	1.6093619	2.7872002	9.49449	-7.118428	1000.0	39.2625	96.61738	518.0	0.0	-0.11402562	0.35015294	1.8630384	-2.6286006	2160000	-1.7136335e-08	0.27494064	-0.017198201	-0.13854375	0.7276214	0.010309292	0.123625	99.0	596.5051667690277
27	2.328278	2.8395777	10.490853	-2.8689468	1000.0	52.675	88.88782	581.0	0.0	0.08073691	0.24402441	2.3869524	-1.4910634	2240000	-2.9802323e-09	0.16369502	-0.01826174	-0.039827146	0.7140995	0.010691362	0.1362375	99.0	618.353609085083
28	2.011596	2.6720302	10.301678	-3.2564285	1000.0	48.2375	107.81747	708.0	0.0	0.17409432	0.24225922	2.7698615	-7.7042	2320000	-1.1920929e-08	3.1889017	-0.016007047	-1.6329874	0.69105995	0.0068449117	0.1135125	99.0	640.072585105896
29	2.6135218	2.934692	11.752437	-4.5186253	1000.0	29.7375	57.36021	334.0	0.0	-0.25593182	0.47978112	1.1106507	-3.712683	2400000	1.4901161e-09	2.6022263	-0.017494107	-0.8031235	0.69917566	0.00838563	0.128275	99.0	662.1843338012695
30	2.115735	2.787624	10.959531	-4.4748693	1000.0	47.625	102.25866	618.0	0.0	-0.338152	0.65454835	2.533576	-4.28263	2480000	-5.9604646e-09	2.641727	-0.016128963	-1.14184	0.6967034	0.007253182	0.11893749	99.0	683.9681277275085
31	2.7694602	2.7341306	12.110392	-3.1216228	1000.0	46.0375	99.44288	710.0	0.0	-0.30363774	0.54871476	2.7828157	-6.443491	2560000	-7.4505807e-10	5.1489944	-0.01612768	-2.9334743	0.69145113	0.0065101297	0.12585	99.0	706.2593257427216
32	2.5793464	2.744162	10.462443	-4.0742793	1000.0	40.3875	77.359146	422.0	0.0	-0.39460164	1.014348	2.1000824	-9.00322	2640000	0.0	6.6046095	-0.016354507	-3.7171333	0.69126916	0.009469666	0.128475	99.0	728.1120014190674
33	2.3611183	2.8769507	11.146823	-5.169702	1000.0	29.075	69.001045	442.0	0.0	-0.5967765	1.9305072	6.8531075	-15.738546	2720000	-5.9604646e-09	7.1098046	-0.014946294	-5.1825733	0.69877225	0.010633098	0.124575	99.0	750.3250508308411
34	2.6061435	2.950962	12.881339	-3.633156	1000.0	52.5125	106.97348	752.0	0.0	-0.34095308	0.75373966	2.7123163	-13.25627	2800000	-2.9802323e-09	4.3975	-0.016664863	-2.2815547	0.6885723	0.008573533	0.126775	99.0	772.145768404007
35	2.1897914	2.9255273	12.125609	-4.01568	1000.0	49.8625	130.07188	684.0	0.0	-0.46252793	0.91518986	2.9859676	-8.037427	2880000	2.9802323e-09	11.592371	-0.01584419	-9.397856	0.68581206	0.006384711	0.117275	99.0	794.0377810001373
36	2.6075196	2.7496958	10.721033	-3.2565722	1000.0	45.6625	115.22184	799.0	0.0	-0.9524046	2.4102771	5.8490977	-17.781738	2960000	-1.4901161e-09	15.91217	-0.015682705	-12.080885	0.6842246	0.010790227	0.13786252	99.0	816.4150066375732
37	2.6406686	2.9524512	10.420382	-3.17664	1000.0	28.85	50.574226	236.0	0.0	-0.8139994	1.8853527	3.300421	-24.084465	3040000	-8.5681675e-09	8.538389	-0.016519036	-5.437363	0.6759746	0.009769319	0.1405	99.0	838.8198947906494
38	2.6340942	3.0837245	12.232122	-2.6255004	1000.0	30.025	67.3747	409.0	0.0	-0.4635213	0.8473857	2.665273	-12.858141	3120000	7.4505807e-10	5.9238615	-0.017187063	-3.5126026	0.6621196	0.00829724	0.1321625	99.0	860.8708500862122
39	2.3052201	2.345637	10.532235	-0.50452	1000.0	47.65	143.09561	885.0	0.0	-0.5600113	1.3178381	2.8865168	-13.669717	3200000	5.9604646e-09	9.5005	-0.01562624	-8.196719	0.65735984	0.007142246	0.12832502	99.0	882.4398791790009
