Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7706109	0.58912903	-0.3350052	-2.077089	1000.0	32.4	75.12683	247.0	0.0	0.012049285	0.06790558	0.14629818	-0.13811667	10000	-3.576279e-08	268.089	-0.016213581	-55.315742	0.9189385	0.006138808	0.1184	99.0	10.06175708770752
1	-0.7674309	0.826656	0.9533108	-1.9958657	1000.0	3.8	11.4	38.0	0.0	-4.206385	5.885289	5.2070284	-14.5766945	20000	-1.1920929e-08	44.461475	-0.018701136	-42.547806	0.9339983	0.010880955	0.1288	99.0	19.115766763687134
2	-0.7459307	1.4448397	1.2067974	-3.9350507	1000.0	55.1	82.451744	243.0	0.0	-0.39661074	0.6133913	0.5761148	-1.5561745	30000	-1.7881394e-08	0.38657847	-0.020020803	-0.32756418	0.91909635	0.011193532	0.1433	99.0	28.597529888153076
3	-0.86222154	1.2001194	0.7947768	-3.6297164	1000.0	113.2	110.987206	336.0	0.0	-0.16181666	0.22973612	0.7103571	-0.8114375	40000	-1.7881394e-08	9.8576975	-0.020753194	-5.788624	0.90292346	0.009262574	0.134	99.0	38.05083751678467
4	-0.87155455	1.4690531	1.5432999	-3.1503444	1000.0	49.1	61.69838	179.0	0.0	-1.2963033	0.9392081	0.22520284	-3.9301252	50000	8.195639e-09	32.23612	-0.017750684	-24.495922	0.91311395	0.0054918313	0.1259	99.0	47.16147303581238
5	-0.53164953	0.8461402	0.7080657	-2.0488217	1000.0	171.9	160.65892	496.0	0.0	-2.171417	2.830919	1.4848684	-13.158743	60000	-2.3841858e-08	215.6132	-0.024183223	-157.61491	0.9217391	0.008235297	0.1161	99.0	57.33906316757202
6	-0.98313504	1.1707695	0.6371638	-2.7134883	1000.0	32.6	52.00615	167.0	0.0	-11.17189	11.312072	0.27128997	-27.838163	70000	0.0	229.33093	-0.026280766	-188.02548	0.92967117	0.010250675	0.13409999	99.0	67.35444045066833
7	-0.81999415	1.2374854	0.41533887	-3.5818439	1000.0	131.0	199.11102	596.0	0.0	-2.4917758	4.0315847	-0.31285822	-20.064537	80000	-5.9604646e-09	358.3552	-0.025281083	-142.15013	0.9261087	0.0057736365	0.1334	99.0	77.74057912826538
8	-0.99809694	2.0588424	1.5469185	-5.2179146	1000.0	79.5	146.02757	463.0	0.0	-9.251404	7.1763425	1.247892	-24.87811	90000	2.5331975e-08	187.4844	-0.024777489	-130.33372	0.92375934	0.0141399335	0.1368	99.0	87.67817854881287
9	-0.7462365	1.3510412	1.3701663	-3.490829	1000.0	70.1	140.58623	432.0	0.0	-4.222244	5.632212	0.05009505	-26.887953	100000	-6.891787e-09	242.26472	-0.019838383	-149.02754	0.9311608	0.009895207	0.1541	99.0	97.84863328933716
