Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.41190314	1.2700671	2.0751517	-3.0423446	1000.0	20.1	31.668438	78.0	0.0	-0.0036386321	0.09671385	0.20587143	-0.21035695	10000	0.0	79.63135	-0.015711013	-41.47631	0.91893846	0.0085593015	0.117400005	99.0	6.422679424285889
1	-0.31945997	0.7552034	1.3205434	-1.5336409	1000.0	45.4	104.97733	353.0	0.0	-1.2468665	2.7965639	3.4084969	-14.831793	20000	0.0	9.019529	-0.02039294	-8.90679	0.9357029	0.0112208575	0.1499	99.0	11.745271682739258
2	-0.42267403	1.1748729	1.8543775	-2.0995772	1000.0	53.8	84.79481	285.0	0.0	-0.105401926	0.22143605	0.83598727	-1.0094297	30000	0.0	0.5511478	-0.02133035	-0.32150027	0.915521	0.011749598	0.14119999	99.0	17.046964645385742
3	-0.93286335	0.74207693	0.1437474	-2.4440358	1000.0	82.1	129.7632	367.0	0.0	-0.26710105	0.35020074	0.5322527	-1.928084	40000	0.0	10.801949	-0.02021209	-9.461277	0.9254095	0.003158257	0.12230001	99.0	22.411611080169678
4	-0.7476764	1.0560299	0.59274274	-3.212249	1000.0	78.0	150.6466	382.0	0.0	-1.6524934	2.558705	0.7172601	-10.346557	50000	0.0	67.10564	-0.018561412	-62.717976	0.9187237	0.0057578823	0.09970001	99.0	27.938605546951294
5	-0.04897225	1.4938458	1.1973917	-4.1020155	1000.0	23.1	41.659214	133.0	0.0	-2.488592	5.2695966	2.0921319	-27.951223	60000	2.9802323e-09	27.003109	-0.021049952	-23.857347	0.9206311	0.0175774	0.15120001	99.0	33.07538175582886
6	-0.352413	1.2454987	2.2220674	-2.1399994	1000.0	40.4	46.29082	127.0	0.0	-1.4826564	2.6958706	1.3785172	-11.827066	70000	5.9604646e-09	36.85008	-0.022074016	-31.358953	0.90276986	0.016155075	0.1741	99.0	38.42751216888428
7	-0.76342535	0.9939529	0.9141813	-2.038874	1000.0	41.4	82.45629	251.0	0.0	-2.6945639	4.9269075	2.477234	-15.465048	80000	7.4505807e-10	34.122303	-0.016040832	-26.36022	0.9064199	0.015116997	0.14760001	99.0	43.755682945251465
8	-0.6548952	1.1067253	0.6320518	-3.3948784	1000.0	54.2	66.52639	196.0	0.0	-2.2809196	5.49605	1.6084342	-25.925434	90000	1.7881394e-08	78.290306	-0.0216691	-73.38413	0.8966092	0.022936484	0.21519999	99.0	49.02056097984314
9	0.006056127	0.564643	0.9758049	-1.0515994	1000.0	75.9	124.3941	322.0	0.0	-2.4539351	5.0330553	2.1704168	-27.863552	100000	2.9802322e-08	121.59074	-0.020867726	-102.46217	0.88893306	0.0088663865	0.14750001	99.0	54.18446326255798
10	-0.22196016	0.8427563	1.269969	-1.5201318	1000.0	32.6	71.87795	242.0	0.0	-2.4974961	4.400529	2.8592975	-28.613493	110000	0.0	62.6435	-0.019875932	-57.693012	0.88973033	0.011757424	0.1549	99.0	59.61839246749878
11	-0.24786258	1.998584	4.556761	-2.4233065	1000.0	53.8	149.89383	503.0	0.0	-3.3717613	8.569748	1.216754	-34.91814	120000	-2.5331975e-08	167.03264	-0.022460457	-134.70021	0.8731171	0.024293307	0.1569	99.0	64.86819839477539
12	0.5634817	1.648101	4.1793313	-1.6881385	1000.0	14.8	26.757427	86.0	0.0	-2.6069198	7.7561264	3.210283	-25.92411	130000	-5.066395e-08	65.93202	-0.020326724	-58.677418	0.88746405	0.032478444	0.18689999	99.0	70.37397789955139
13	-0.61343586	1.5539609	2.5994847	-2.2894838	1000.0	32.1	65.13593	205.0	0.0	-0.7121418	1.5668657	1.760715	-6.5478077	140000	-1.7881394e-08	37.1295	-0.020995181	-27.096216	0.88049316	0.006407821	0.1336	99.0	75.94346070289612
14	0.7415016	1.4336159	2.0879343	-2.7216682	1000.0	87.2	106.3135	277.0	0.0	-1.0648643	2.5898435	1.8739171	-16.868532	150000	-1.9371509e-08	75.808846	-0.029773757	-60.39989	0.877845	0.008894211	0.16819999	99.0	81.27441191673279
15	-1.132202	1.3207264	0.9145413	-3.4446995	1000.0	31.5	46.448357	146.0	0.0	-3.3977926	5.690365	2.2064757	-20.431318	160000	2.5331975e-08	41.639065	-0.023355978	-38.544044	0.87944806	0.01202918	0.1453	99.0	86.65147733688354
16	-0.43280268	1.2372224	2.098522	-2.3604393	1000.0	19.3	21.757988	57.0	0.0	-2.337261	4.0267696	1.4740891	-22.94477	170000	-2.9802323e-09	25.058296	-0.02581127	-20.258635	0.8758461	0.02043215	0.19250001	99.0	91.83219385147095
17	-0.62132436	2.301806	1.542174	-6.5585465	1000.0	16.2	26.06837	70.0	0.0	-0.77130157	1.5257207	4.0167227	-7.523875	180000	-1.1920929e-08	11.139982	-0.023335988	-6.669243	0.85859793	0.019664122	0.19950001	99.0	97.43784236907959
18	-0.8671142	1.4691194	2.4986997	-3.3879082	1000.0	45.1	51.27465	153.0	0.0	-0.7063238	1.2993838	1.4951031	-5.4002237	190000	1.0430813e-08	38.13495	-0.025070209	-31.68475	0.8582357	0.016603613	0.1603	99.0	102.62678861618042
19	0.036185466	1.5658907	2.7266648	-3.2596974	1000.0	51.8	100.652664	298.0	0.0	-2.4521294	4.147385	1.92709	-19.566977	200000	0.0	55.729492	-0.02606517	-51.486076	0.86085397	0.009473873	0.15619999	99.0	107.76207947731018
20	-0.995494	2.100601	2.5351894	-4.733159	1000.0	24.3	38.95908	117.0	0.0	-1.7756314	4.982148	1.5405622	-35.080006	210000	2.9802323e-09	32.06881	-0.0253882	-30.524082	0.8510288	0.024460742	0.2033	99.0	113.12585139274597
21	-1.0299151	1.6438643	2.3528094	-3.267711	1000.0	11.0	17.509996	44.0	0.0	-2.0512934	4.5021267	1.9679494	-24.34945	220000	0.0	22.808086	-0.0219911	-19.451778	0.8185347	0.028161943	0.1911	99.0	118.67671298980713
22	-0.20438237	0.841253	1.2301228	-1.6328913	1000.0	33.7	39.50456	116.0	0.0	-0.8308164	1.077157	2.8922908	-4.4920797	230000	8.940697e-09	15.419055	-0.026386682	-12.210945	0.8031243	0.01979661	0.1989	99.0	123.9307701587677
23	-0.6935822	1.0779158	1.4274528	-2.1078877	1000.0	71.4	120.04099	382.0	0.0	-0.8117461	1.7025386	4.1874905	-9.293688	240000	0.0	54.5384	-0.025188202	-49.748726	0.801571	0.0054049874	0.1454	99.0	129.17965483665466
24	-0.016189028	1.6549598	2.9484868	-2.2632213	1000.0	42.3	89.40028	303.0	0.0	-1.8395426	3.0830114	1.9981637	-20.654964	250000	1.6391278e-08	31.595272	-0.023666743	-25.28406	0.7966351	0.013074058	0.17539999	99.0	134.5067698955536
25	-0.7879283	2.402625	5.984396	-2.9289331	1000.0	21.7	43.758545	121.0	0.0	-0.28871626	0.75555664	1.704428	-7.998224	260000	0.0	18.72937	-0.018838495	-17.64111	0.7908645	0.0032741935	0.1368	99.0	139.9447009563446
26	0.07820813	1.642203	3.9489098	-1.5370555	1000.0	14.1	32.809906	108.0	0.0	-1.0854516	2.7258089	0.9979746	-23.064455	270000	5.9604646e-09	13.078961	-0.01971399	-9.353083	0.79651713	0.021541124	0.19240001	99.0	145.10557508468628
27	-1.8255364	1.5541852	0.41135055	-4.3267426	1000.0	24.5	41.65393	132.0	0.0	-0.59172755	1.3597723	2.3256302	-5.6803694	280000	1.0430813e-08	7.660651	-0.023695301	-4.375455	0.7824285	0.01126866	0.15669999	99.0	150.83649373054504
28	-0.45702553	1.5094247	2.5153725	-3.37354	1000.0	27.4	63.33435	208.0	0.0	-1.7790959	4.1020327	1.432687	-20.48905	290000	2.3841858e-08	29.082407	-0.01703139	-22.188358	0.78572345	0.017732162	0.16770001	99.0	156.35100054740906
29	-0.843217	1.1617652	0.8895639	-3.135847	1000.0	98.8	130.4276	335.0	0.0	-0.8014145	1.3905685	0.81072843	-7.256946	300000	2.3841858e-08	22.69715	-0.028237637	-18.292427	0.778063	0.0062154355	0.1597	99.0	161.91151690483093
30	0.24328032	1.9257172	4.2717576	-2.9402587	1000.0	29.7	35.701683	108.0	0.0	-1.9022592	2.4822943	2.80409	-12.012709	310000	0.0	17.995346	-0.028402755	-13.985972	0.7867316	0.02123327	0.21360001	99.0	167.3200967311859
31	-0.1668388	1.53822	2.9861124	-3.1976566	1000.0	58.9	113.62082	364.0	0.0	-0.37758085	1.297351	2.430861	-12.59938	320000	-1.1920929e-08	44.192406	-0.026893696	-40.242893	0.7712144	0.008454025	0.14379999	99.0	172.8030617237091
32	-1.4076293	1.7055062	1.6408825	-4.8948584	1000.0	20.1	26.269566	70.0	0.0	-2.3484766	4.8256016	1.9915761	-24.558294	330000	0.0	27.032145	-0.023087839	-22.454252	0.7851465	0.029848594	0.21110001	99.0	178.06600666046143
33	-0.4754998	1.9902029	4.54667	-3.24903	1000.0	18.2	42.892426	145.0	0.0	-1.3087258	1.6676341	1.489552	-7.785014	340000	-1.1920929e-08	11.048573	-0.026908409	-4.7127028	0.76860446	0.017515933	0.1773	99.0	183.48038339614868
34	-0.36726445	1.8502219	2.416622	-4.6458673	1000.0	76.2	111.57401	373.0	0.0	-0.9685863	1.7002348	0.5088661	-7.0276303	350000	3.8743018e-08	28.962841	-0.02880634	-23.577564	0.77119833	0.008678685	0.1494	99.0	189.015465259552
35	-0.7891124	1.5664383	1.7886657	-3.943972	1000.0	20.2	43.48977	137.0	0.0	-1.1817452	2.7430644	2.7926478	-19.79571	360000	1.0430813e-08	11.639795	-0.025257776	-8.814111	0.7784875	0.01779076	0.17809999	99.0	194.27355360984802
36	-1.005893	2.1747432	2.5084782	-5.9220557	1000.0	55.3	58.622604	159.0	0.0	-0.7105715	1.4786673	5.0426555	-7.930717	370000	2.9802323e-09	29.869602	-0.031234156	-26.391155	0.76440614	0.0094174715	0.17109999	99.0	199.52199149131775
37	1.2282673	2.8937588	8.880576	-1.5978547	1000.0	36.9	74.60892	209.0	0.0	-0.8960489	2.807831	2.1671085	-22.353113	380000	-1.1920929e-08	42.118813	-0.02524842	-38.9564	0.771833	0.007586981	0.19219999	99.0	204.75455713272095
38	0.31921133	1.3121611	3.7961798	-1.0773292	1000.0	52.3	89.71516	286.0	0.0	-1.8146951	3.558968	4.710451	-19.809912	390000	1.3411045e-08	62.142597	-0.027731482	-58.35092	0.7507395	0.022124212	0.2086	99.0	210.1330680847168
39	-0.12679131	1.7733434	2.6597207	-3.5581625	1000.0	16.0	24.054106	71.0	0.0	-1.318048	2.6639698	0.91177785	-19.538748	400000	4.4703485e-09	9.971097	-0.028246835	-6.8177505	0.7328947	0.024015756	0.21270001	99.0	215.42736840248108
40	0.47346097	1.4081215	3.4819949	-1.5834378	1000.0	134.8	212.5746	666.0	0.0	-0.7196615	1.1230501	1.0646421	-6.2067866	410000	5.364418e-08	130.55261	-0.022529313	-120.146935	0.7223472	0.00017685405	0.1605	99.0	220.73552560806274
41	-0.44410557	2.0074167	1.7398443	-5.542019	1000.0	50.8	57.6243	179.0	0.0	-0.92595226	1.7671229	1.1393684	-21.695894	420000	5.9604646e-09	47.83649	-0.024141908	-38.54948	0.7126896	0.014692804	0.15840001	99.0	225.99950313568115
42	-1.7926925	3.261981	2.1146145	-8.417021	1000.0	51.5	93.96622	309.0	0.0	-3.8196855	7.826793	1.6239564	-30.191586	430000	-2.2351742e-08	76.22529	-0.029134065	-64.89337	0.7261128	0.025021117	0.20509999	99.0	231.1648235321045
43	-0.9799444	2.143987	2.43905	-5.666958	1000.0	46.9	78.35362	224.0	0.0	-3.8338492	8.013218	1.7700242	-34.65104	440000	-1.6391278e-08	122.8973	-0.0240115	-103.83717	0.7117673	0.02313896	0.18230002	99.0	236.37043976783752
44	-0.26500574	2.5924795	3.8158283	-5.628572	1000.0	41.9	79.82287	230.0	0.0	-1.767095	4.245418	0.55932236	-23.125853	450000	2.9802323e-09	64.71454	-0.024851682	-54.47816	0.7056228	0.010139382	0.16730002	99.0	241.95363640785217
45	-0.9029786	1.7846459	1.440427	-4.3447194	1000.0	78.9	90.987305	263.0	0.0	-1.5221808	3.0586255	3.6928084	-27.747059	460000	-1.6391278e-08	118.491295	-0.030736053	-105.908554	0.696847	0.008182022	0.1749	99.0	247.34577751159668
46	1.6835117	3.360068	9.82095	-1.7781466	1000.0	29.3	46.03705	123.0	0.0	-4.43309	9.727286	3.4919043	-38.59492	470000	5.9604646e-09	96.07807	-0.027837958	-82.129845	0.6975744	0.024535773	0.20210001	99.0	252.73610591888428
47	0.11305628	1.7346328	3.2279675	-2.4436672	1000.0	94.3	171.33597	481.0	0.0	-1.326208	1.7418995	1.1584632	-14.490705	480000	-2.682209e-08	281.73914	-0.027582258	-255.07816	0.66773665	0.009349181	0.1486	99.0	258.04812002182007
48	-1.1024309	2.5811574	2.9254465	-5.8723545	1000.0	62.7	117.849945	398.0	0.0	-4.8452873	11.801248	2.7121263	-48.106434	490000	-1.4901161e-09	284.40845	-0.025003787	-240.64102	0.67422795	0.024403952	0.20879999	99.0	263.32955288887024
