Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.1217902	1.3853941	2.0751517	-4.888964	1000.0	39.325	81.41449	408.0	0.0	-0.011606794	0.087850146	0.20587143	-0.21035695	40000	-1.1920929e-08	274.50476	-0.010915743	-89.37724	0.9189385	0.005033153	0.084725	99.0	12.905160188674927
1	-0.83346653	1.3316989	3.3294132	-4.299251	1000.0	56.75	90.456825	303.0	0.0	-4.1426587	5.7957606	8.076102	-17.381481	80000	-3.2782555e-08	44.882427	-0.01487415	-43.171967	0.9337634	0.0066978983	0.09015	99.0	24.378967761993408
2	-1.102475	2.072238	7.190262	-5.9670434	1000.0	38.35	89.90065	397.0	0.0	-0.32214007	0.66481376	0.8980231	-2.608746	120000	5.9604646e-09	4.321323	-0.013648355	-2.3865771	0.92082644	0.009509502	0.118225	99.0	36.14794063568115
3	-0.51338166	1.3343358	3.7764666	-3.3623595	1000.0	46.925	95.009315	367.0	0.0	-0.6706653	1.0750978	3.766599	-9.43456	160000	-1.1920929e-08	3.7044418	-0.015816975	-1.880817	0.92797744	0.009332174	0.10847499	99.0	47.92532777786255
4	-0.53620476	1.5828633	1.9590206	-7.1806703	1000.0	46.275	112.77455	543.0	0.0	-0.7280916	1.0660981	1.07433	-7.903115	200000	-5.9604646e-09	7.1634455	-0.013299125	-5.438218	0.924575	0.0067045987	0.110925	99.0	59.52091336250305
5	-0.10343091	1.2504661	4.8519573	-3.1481934	1000.0	76.6	102.15767	348.0	0.0	-0.9593376	2.3036819	1.3223878	-12.372079	240000	1.7881394e-08	18.905655	-0.01648038	-12.147595	0.9230119	0.0073696882	0.1204	99.0	71.46389603614807
6	-0.44344568	1.2586262	2.7937512	-4.4096417	1000.0	25.25	49.847645	220.0	0.0	-1.0825782	1.5567676	1.2212137	-12.271038	280000	7.4505807e-10	14.896853	-0.017358705	-9.936798	0.9259267	0.012302223	0.14975	99.0	83.16944622993469
7	-0.042101122	1.2609211	2.269784	-3.609457	1000.0	46.1	79.39641	291.0	0.0	-1.1956242	2.2050688	15.256326	-13.238521	320000	2.9802323e-09	24.509972	-0.016383255	-14.368927	0.9361162	0.009217681	0.124874994	99.0	95.03281307220459
8	-0.262204	1.77726	5.1350274	-6.8341665	1000.0	17.725	33.816406	115.0	0.0	-1.0665212	1.927236	5.834991	-17.580328	360000	7.4505807e-10	9.948973	-0.015098231	-4.6961293	0.9494095	0.012242636	0.153075	99.0	107.29007411003113
9	-0.7099171	1.9527119	3.9584196	-6.957541	1000.0	34.725	108.80464	632.0	0.0	-0.5633595	0.79730743	1.4652885	-3.7833853	400000	5.9604646e-09	12.76499	-0.014786628	-9.046614	0.9330636	0.0072711585	0.11754999	99.0	119.36718487739563
10	-0.53049064	2.8472774	5.3354588	-10.861428	1000.0	33.025	66.95502	288.0	0.0	-0.39166346	0.9820208	1.172502	-15.887508	440000	0.0	6.5147867	-0.01686807	-3.6278007	0.94247067	0.010387351	0.137	99.0	131.08912086486816
11	-0.60704243	1.9416512	2.34443	-7.6291604	1000.0	29.1	75.063576	332.0	0.0	-0.53213006	1.2164603	8.561837	-14.936975	480000	5.2154063e-09	5.5771337	-0.01416342	-3.1917572	0.9578123	0.009690128	0.122449994	99.0	142.73180603981018
12	-0.57052237	1.968629	2.83326	-6.7602253	1000.0	21.35	51.920876	208.0	0.0	-0.42950097	0.9649407	1.76789	-12.846998	520000	8.940697e-09	1.3755504	-0.017583888	-0.78335613	0.9497317	0.012399597	0.142675	99.0	154.62664103507996
13	0.039392065	2.1093562	3.881408	-7.6146774	1000.0	19.425	43.201206	172.0	0.0	-0.3719793	0.7057398	0.22891931	-13.759728	560000	3.7252903e-09	0.7442326	-0.013368128	-0.65035546	0.9405233	0.013335662	0.12605	99.0	166.1451714038849
14	0.0046506883	1.4409008	2.3364267	-4.0687027	1000.0	45.0	107.987495	618.0	0.0	-0.016339557	0.16538528	2.605441	-0.6366558	600000	2.9802323e-09	0.073363304	-0.020843899	-0.023001254	0.92752635	0.01202832	0.15465	99.0	177.9839403629303
15	0.29610077	1.5838975	4.3527603	-2.5449436	1000.0	27.6	63.564064	279.0	0.0	-0.008409332	0.11681266	0.34533805	-0.5248605	640000	-1.7881394e-08	0.3344732	-0.01909558	-0.10474591	0.9093747	0.010757378	0.151125	99.0	190.09702444076538
16	0.8355117	2.0551202	4.9747963	-4.724102	1000.0	30.525	65.80425	356.0	0.0	-0.06150077	0.22367246	6.065333	-1.6377097	680000	-5.9604646e-09	0.14465663	-0.019837165	-0.07126093	0.8982662	0.012033755	0.15677501	99.0	201.8244824409485
17	1.2319028	2.4493403	5.7093897	-6.21014	1000.0	26.45	49.731255	207.0	0.0	0.062494557	0.18132228	0.86642975	-1.3147305	720000	-1.3411045e-08	0.17841032	-0.021640593	-0.0753122	0.87754726	0.013394756	0.16422501	99.0	213.81630992889404
18	2.0581234	2.3695104	8.2793045	-3.8123167	1000.0	33.425	55.25979	219.0	0.0	0.11228995	0.18018545	1.1763483	-1.9398441	760000	-8.940697e-09	0.15602085	-0.022058386	-0.05255855	0.85271776	0.013925088	0.1684	99.0	225.56314873695374
19	2.4773803	2.423555	8.376812	-6.5808907	1000.0	40.425	62.245434	290.0	0.0	0.19604804	0.17967406	1.4282331	-0.86942124	800000	0.0	0.1585158	-0.02230091	-0.04175223	0.82575977	0.013456026	0.16372499	99.0	237.35183024406433
20	3.0110195	2.1185691	7.096132	-1.5633103	1000.0	55.7	92.39297	385.0	0.0	0.25042462	0.19130056	2.5474148	-0.32972473	840000	8.940697e-09	0.16480057	-0.023178725	-0.04771442	0.80181885	0.013465586	0.16475001	99.0	249.14014101028442
21	3.1909099	2.5863369	9.867909	-0.7947798	1000.0	77.825	112.872246	455.0	0.0	0.2597423	0.19502027	1.465504	-0.28704298	880000	-1.4901161e-08	6.5929923	-0.022897482	-2.444442	0.77855504	0.005383934	0.13554999	99.0	261.1096992492676
22	3.3520317	2.3924863	10.315047	-0.3583978	1000.0	64.9	84.898705	429.0	0.0	-0.7145457	0.93939525	1.0930715	-2.9619212	920000	1.4901161e-09	23.535816	-0.023442458	-15.8420925	0.7873801	0.009934129	0.15192501	99.0	273.35395884513855
23	2.479187	2.4991224	10.694104	-2.4132555	1000.0	86.4	123.51535	699.0	0.0	-2.1054554	3.1934285	2.4037714	-17.805857	960000	-5.2154063e-09	69.06352	-0.023035053	-57.407574	0.79754215	0.0086558	0.15265	99.0	284.85392141342163
24	3.5572777	2.5727115	10.422421	-1.1368333	1000.0	45.725	63.307182	258.0	0.0	-3.6388988	6.0769897	5.8510714	-29.49451	1000000	8.940697e-09	67.30839	-0.019773893	-50.05587	0.79793566	0.017684158	0.18425	99.0	296.7053427696228
