Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9906206	1.3986291	2.0751517	-4.888964	1000.0	41.75	77.80304	408.0	0.0	-0.011534083	0.08789901	0.21000424	-0.21254987	80000	1.6391278e-08	281.78027	-0.00835753	-77.44893	0.9189385	0.005619022	0.068074994	99.0	22.37669539451599
1	-0.86270094	1.460503	3.6933584	-5.298165	1000.0	20.6875	50.03189	256.0	0.0	-3.9606469	5.690694	4.77976	-15.884154	160000	-2.3841858e-08	42.241356	-0.011267655	-40.51015	0.9329175	0.0048188553	0.067475006	99.0	44.4379723072052
2	-0.80164397	1.3394573	1.9621295	-5.082582	1000.0	38.2375	76.78122	373.0	0.0	-0.36643136	0.5151908	0.9907138	-2.1799011	240000	1.7881394e-08	0.33479446	-0.011051843	-0.26225257	0.92189705	0.0065347464	0.081199996	99.0	66.64295220375061
3	-0.5231275	1.2894839	3.7051337	-4.3731384	1000.0	44.7	83.904175	371.0	0.0	-0.10187881	0.23403949	2.7147107	-1.175708	320000	-8.940697e-09	0.087802574	-0.01385841	-0.035920013	0.91382897	0.008502832	0.1066375	99.0	88.30121541023254
4	-0.010346586	1.4984368	4.7380247	-2.7740958	1000.0	50.7125	97.69074	464.0	0.0	-0.03577844	0.17509201	1.4426411	-0.94636405	400000	-3.7252903e-09	0.54599094	-0.01230497	-0.14684525	0.907189	0.0074706795	0.095149994	99.0	110.61788439750671
5	0.5830669	1.4015366	5.118063	-1.9837087	1000.0	103.65	151.14621	559.0	0.0	-0.20380397	0.38287613	7.9271884	-1.4709058	480000	4.321337e-08	9.9894	-0.012402496	-2.9589992	0.9112884	0.003900574	0.081075	99.0	132.45555806159973
6	0.93244666	1.3655387	6.5432754	-1.4456872	1000.0	87.05	139.05124	673.0	0.0	-1.3261596	1.1173311	0.7897091	-3.8920586	560000	5.9604646e-09	87.26188	-0.013053397	-53.10096	0.9091029	0.004474583	0.084675	99.0	154.4113187789917
7	0.7694483	1.4689898	4.302746	-2.2450542	1000.0	57.6625	97.578285	429.0	0.0	-2.701799	4.6208997	7.000785	-21.767345	640000	-5.9604646e-09	75.08808	-0.014608768	-46.835785	0.9167136	0.009649455	0.12091251	99.0	176.40946435928345
8	0.6426771	1.763293	5.8836846	-4.510085	1000.0	37.5125	89.0796	470.0	0.0	-2.1839561	4.406057	28.893244	-28.871008	720000	5.9604646e-09	79.20912	-0.013641137	-40.747345	0.9134526	0.010379436	0.12701249	99.0	198.03288054466248
9	0.6576251	1.6340998	4.800687	-3.0405035	1000.0	38.4875	83.825264	510.0	0.0	-1.9780481	3.5586877	4.8362517	-28.448423	800000	-8.940697e-09	63.844116	-0.014027314	-32.311672	0.9161533	0.009675981	0.1341875	99.0	220.30620694160461
10	0.24531117	1.6967912	5.801585	-3.7025278	1000.0	37.95	90.92784	569.0	0.0	-1.962068	3.7329388	5.4676037	-20.311342	880000	-6.7055224e-09	62.232117	-0.012963124	-45.25135	0.90731716	0.008963453	0.12486251	99.0	242.87848806381226
11	0.46920443	1.9048367	6.278287	-4.046775	1000.0	31.2	71.6956	382.0	0.0	-1.614515	4.1580772	12.258241	-27.449293	960000	-7.450581e-09	46.052887	-0.01379409	-34.938828	0.9000336	0.011328475	0.12937501	99.0	264.8362693786621
12	-0.27135742	1.881272	3.8390315	-4.9778914	1000.0	32.175	67.77034	306.0	0.0	-1.5622596	4.073011	4.723705	-28.93899	1040000	4.4703485e-09	47.381428	-0.014385998	-34.870186	0.9027586	0.010951646	0.13345	99.0	287.4418685436249
13	0.056372665	1.9170594	4.265922	-6.2259645	1000.0	31.225	69.05142	427.0	0.0	-1.6592448	4.517139	3.004485	-33.35558	1120000	1.4901161e-09	44.536427	-0.013953921	-36.072166	0.9036504	0.009935396	0.121375	99.0	309.19504499435425
14	-0.08804061	1.9277068	4.1855717	-5.391174	1000.0	23.8125	58.55726	401.0	0.0	-1.452373	3.4341679	4.8740945	-29.976324	1200000	5.9604646e-09	32.396935	-0.014620396	-23.63377	0.89049065	0.009621089	0.12091251	99.0	331.07382559776306
15	-0.42879772	1.9331625	4.615158	-5.6316986	1000.0	14.4375	43.106796	254.0	0.0	-0.8856755	2.8438208	6.938401	-27.09985	1280000	-2.9802323e-09	16.113922	-0.013099866	-12.20738	0.8833965	0.009420753	0.11903751	99.0	353.00182342529297
16	-0.1822379	2.252842	7.7012563	-7.005663	1000.0	30.3	76.03246	336.0	0.0	-0.653095	1.7629739	4.5042543	-27.250433	1360000	-5.9604646e-09	26.730713	-0.014550278	-21.234072	0.87147045	0.008481818	0.1224	99.0	375.5422921180725
17	0.09778975	2.588707	6.69849	-9.740412	1000.0	18.525	41.083748	185.0	0.0	-1.3766737	3.6233788	25.83682	-31.365242	1440000	-5.9604646e-09	19.630136	-0.013364263	-11.183475	0.87438124	0.012286387	0.1244125	99.0	397.30949330329895
18	-0.2858503	2.3058999	3.6701155	-8.945229	1000.0	26.1625	66.888794	378.0	0.0	-0.8102442	0.7580727	14.927527	-6.633061	1520000	2.9802323e-09	8.920605	-0.013980994	-1.138025	0.8670367	0.008556125	0.11112501	99.0	419.1425371170044
19	0.035169322	2.362458	5.958087	-7.178176	1000.0	27.0125	86.22217	494.0	0.0	-0.76682854	0.5352341	0.8762493	-3.0577888	1600000	1.9371509e-08	4.128203	-0.0123266075	-1.458918	0.8844601	0.0057858108	0.09945001	99.0	441.38915061950684
20	-0.08536301	2.524956	5.5127754	-8.170841	1000.0	15.7125	47.91769	339.0	0.0	-0.6432137	1.1595745	1.2255352	-21.00278	1680000	0.0	1.6767067	-0.014425492	-0.99885464	0.88724124	0.008789477	0.108737506	99.0	463.1372721195221
21	-0.25874606	2.1777546	6.153508	-7.9004726	1000.0	25.85	87.56213	708.0	0.0	-0.22964272	0.36658415	0.65173036	-2.8670173	1760000	1.7881394e-08	0.25164777	-0.015859416	-0.13393907	0.87228644	0.008503658	0.11413751	99.0	484.8663854598999
22	0.6380209	2.2088816	7.394812	-7.571901	1000.0	21.9	80.771835	661.0	0.0	-0.053717725	0.22516708	0.6805814	-2.7334743	1840000	-1.4901161e-08	0.16185108	-0.016615137	-0.05221954	0.8573433	0.008841406	0.11238749	99.0	506.54912424087524
23	0.6976168	2.0149703	5.5865464	-3.4550626	1000.0	43.1125	93.08236	396.0	0.0	0.04837409	0.19566153	16.831963	-1.0481192	1920000	2.2351743e-09	0.13826777	-0.0156221185	-0.028812837	0.8474841	0.009851753	0.1251875	99.0	528.7827367782593
24	0.7405488	1.9416343	7.0252767	-3.497244	1000.0	42.3125	96.10041	657.0	0.0	0.057632774	0.17769518	3.9942684	-1.673475	2000000	2.9802323e-09	0.29704025	-0.017635003	-0.059115387	0.83595216	0.009799176	0.131525	99.0	550.5770769119263
25	1.1977928	2.3985176	8.2269945	-3.1415854	1000.0	25.25	51.23634	280.0	0.0	-0.07315777	0.36695302	24.271954	-7.728752	2080000	0.0	0.4342739	-0.010425607	-0.17845723	0.8221709	0.008519403	0.11185001	99.0	572.2147085666656
26	1.5312141	2.0447128	7.5658712	-3.2292066	1000.0	31.025	56.663475	289.0	0.0	-0.014923246	0.26496816	22.273209	-1.7523577	2160000	3.3527612e-09	0.1901511	-0.015247732	-0.068671145	0.8135664	0.0084510585	0.11800001	99.0	594.6785533428192
27	1.7441639	2.8580892	9.760039	-2.688901	1000.0	24.05	48.709316	309.0	0.0	0.14115146	0.18059032	4.3542433	-2.801835	2240000	-5.9604646e-09	0.164877	-0.018928746	-0.036376696	0.79793936	0.00998068	0.13829999	99.0	616.6098697185516
28	1.81987	2.9041555	11.536321	-2.5606618	1000.0	33.0125	60.63322	253.0	0.0	0.17161562	0.21164955	3.5625825	-0.9054438	2320000	0.0	0.15525994	-0.018540898	-0.02759329	0.77384436	0.010568954	0.143825	99.0	638.6625852584839
29	2.977993	3.4649136	12.463674	-4.437252	1000.0	57.5125	110.851585	825.0	0.0	0.18034339	0.30600587	25.379889	-1.4409587	2400000	7.450581e-09	0.23924199	-0.012689705	-0.09373444	0.7534019	0.00940121	0.12403749	99.0	661.3584258556366
30	3.0568128	3.0205686	12.225204	-2.2023203	1000.0	60.4625	100.76122	459.0	0.0	0.30462962	0.301064	1.7275676	-1.4187917	2480000	-4.4703485e-09	6.6523523	-0.017150039	-1.344805	0.7353999	0.0062698713	0.11756251	99.0	683.6452133655548
31	2.757755	2.6398873	11.337745	-3.6131153	1000.0	49.0	67.836754	328.0	0.0	-0.62020254	0.48013812	0.86204934	-4.7432513	2560000	2.9802323e-09	10.646398	-0.017559728	-4.5773697	0.7392727	0.007278724	0.122687496	99.0	705.6443841457367
32	2.895514	3.0845666	12.284352	-2.632076	1000.0	33.475	60.964737	322.0	0.0	-1.0705882	1.8073759	9.958132	-28.619017	2640000	7.450581e-09	12.00903	-0.016193101	-5.716096	0.7539055	0.00949422	0.13642499	99.0	728.3612730503082
33	2.5477493	2.4596617	9.072778	-1.6286756	1000.0	49.9625	94.8303	555.0	0.0	-0.7824921	1.1082263	12.082835	-11.976519	2720000	1.7881394e-08	15.136238	-0.01709213	-9.77553	0.74935806	0.007592231	0.117425	99.0	750.5656881332397
34	2.277949	2.466669	10.265464	-1.6021974	1000.0	39.475	95.09456	567.0	0.0	-0.8631832	1.6759212	11.583401	-15.727187	2800000	8.195639e-09	20.96584	-0.01575109	-15.795497	0.75061387	0.010981676	0.14738749	99.0	772.703854560852
35	3.0012422	3.4134855	13.471648	-6.186902	1000.0	32.05	66.1347	315.0	0.0	-1.1429352	2.9865344	3.862391	-28.059647	2880000	-1.0430813e-08	17.787495	-0.014908968	-11.891336	0.7474724	0.012075364	0.132925	99.0	795.3062052726746
36	2.7562933	3.3603406	13.196544	-4.6237173	1000.0	34.5375	65.230156	431.0	0.0	-0.48998624	1.1134453	3.491275	-8.881641	2960000	-4.4703485e-09	9.023128	-0.01762423	-6.786071	0.7425549	0.008538346	0.12377499	99.0	817.0646646022797
37	2.8773048	3.1760654	11.092394	-4.0943804	1000.0	40.2375	67.59313	365.0	0.0	-1.1025841	2.2416737	2.4246964	-21.299866	3040000	-4.4703485e-09	9.684993	-0.015979044	-7.084915	0.7429689	0.011422252	0.13936251	99.0	838.8585231304169
