Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7501536	0.9270865	0.42065108	-3.0423446	1000.0	32.2	65.77659	220.0	0.0	-0.0362652	0.108568214	0.20587143	-0.21035695	10000	-1.1920929e-08	231.77522	-0.014390903	-51.730644	0.9189385	0.005923051	0.115499996	99.0	13.007261753082275
1	-0.29628354	0.9900935	1.3614239	-1.799646	1000.0	35.9	60.683525	182.0	0.0	-5.189009	4.9651723	3.346021	-13.980365	20000	-9.536743e-08	43.781487	-0.018886084	-41.849724	0.9243716	0.010316162	0.1122	99.0	23.01290726661682
2	-1.0911578	1.0847166	0.7997255	-3.159616	1000.0	20.8	35.12207	107.0	0.0	-0.44733956	0.5311926	0.29362118	-1.5550172	30000	-5.9604646e-09	0.4249676	-0.019911278	-0.3696493	0.91050494	0.012036604	0.1415	99.0	32.72153925895691
3	0.15070458	0.79780775	1.4354424	-1.0919455	1000.0	40.0	109.52351	368.0	0.0	-0.113196276	0.15772398	0.6010013	-1.8854451	40000	2.9802323e-09	0.07473011	-0.02095059	-0.044526618	0.90228844	0.014410931	0.1638	99.0	42.42207860946655
4	-0.046269774	1.0588789	1.9350678	-1.608323	1000.0	89.2	104.22936	285.0	0.0	-0.004689644	0.07669348	0.42191908	-0.39586684	50000	5.9604646e-09	0.033010505	-0.022430437	-0.010426931	0.8766602	0.015211548	0.1815	99.0	51.95642590522766
5	0.11148457	1.8323523	2.7114384	-4.208681	1000.0	74.8	71.07152	206.0	0.0	-0.028477442	0.0839521	0.45015872	-0.43166047	60000	1.6391278e-08	35.35481	-0.020632196	-16.36846	0.8646816	0.0038312227	0.1266	99.0	62.042967796325684
6	-0.44365638	1.1683296	0.7570867	-3.2250504	1000.0	59.6	72.132095	241.0	0.0	-1.8228074	1.556308	2.2018669	-6.864597	70000	-1.1920929e-08	37.65429	-0.022209903	-18.221252	0.87733793	0.01117734	0.1487	99.0	72.05451345443726
7	-0.21915428	1.116863	1.0994529	-2.9551241	1000.0	147.2	179.7625	478.0	0.0	-2.301638	2.1045246	0.36094213	-10.985079	80000	-1.7881394e-08	189.24832	-0.025169134	-128.2045	0.8961543	0.007201831	0.1258	99.0	82.16234993934631
8	-0.5578357	1.7601225	2.4412282	-4.818406	1000.0	109.7	110.34767	381.0	0.0	-6.142357	7.73005	2.3987722	-29.496576	90000	5.9604646e-09	181.82042	-0.02572475	-128.92287	0.90493333	0.011398368	0.16860001	99.0	91.6889259815216
9	0.26606378	1.4078227	2.716909	-1.8647449	1000.0	88.5	144.07793	447.0	0.0	-3.4241042	6.2571206	30.808376	-21.464682	100000	0.0	339.0201	-0.024959821	-300.9942	0.9156903	0.010088423	0.14269999	99.0	101.84851050376892
10	-0.43191624	1.7611899	1.8740407	-4.4793644	1000.0	51.8	103.127884	344.0	0.0	-5.0417085	9.017839	34.628723	-46.078476	110000	2.3841858e-08	205.42041	-0.02527837	-181.79257	0.917704	0.027508518	0.2561	99.0	111.72780752182007
11	-0.8277483	1.943876	2.7204356	-5.047088	1000.0	41.3	72.61137	228.0	0.0	-4.739161	7.2548366	2.0124946	-47.132103	120000	1.1920929e-08	153.0573	-0.023824703	-118.62947	0.90549266	0.020641211	0.19409999	99.0	121.70567154884338
12	-0.33230966	1.4834763	2.891917	-3.4445565	1000.0	87.9	169.6882	569.0	0.0	-1.312685	2.089143	9.146676	-19.731653	130000	-1.4901161e-09	319.1384	-0.022911537	-264.93875	0.8864833	0.009327116	0.1249	99.0	131.21821761131287
13	-0.38643283	0.795169	0.6693542	-2.2726626	1000.0	29.2	60.016327	191.0	0.0	-6.804883	13.640264	2.2103744	-54.5277	140000	-2.9802323e-09	148.46571	-0.018211443	-134.39473	0.9069505	0.013777378	0.1327	99.0	140.33706545829773
14	-0.5263435	1.179581	1.500863	-3.0101197	1000.0	71.1	159.9834	547.0	0.0	-2.469725	4.3937154	4.50143	-52.73881	150000	1.1920929e-08	249.3064	-0.020458724	-217.02231	0.895366	0.0045906296	0.1345	99.0	149.6737425327301
15	-0.74449027	1.3951106	0.96704626	-4.1826224	1000.0	38.7	91.06157	307.0	0.0	-1.2580974	1.72035	39.560104	-11.284768	160000	0.0	92.612564	-0.020065878	-83.585785	0.88755023	0.008155739	0.13820001	99.0	158.70013403892517
16	-0.7111007	0.94676155	0.7869865	-2.2640767	1000.0	86.9	149.94896	491.0	0.0	-2.4507034	5.941857	7.0413194	-56.525272	170000	8.940697e-09	322.37186	-0.023012528	-174.43796	0.891771	0.0065350407	0.1329	99.0	168.27605438232422
17	-0.744705	1.446897	0.8171379	-4.7816353	1000.0	21.8	43.82876	119.0	0.0	-9.465601	12.806736	4.286241	-61.681736	180000	-1.1920929e-08	271.23163	-0.02020598	-240.39253	0.8984324	0.02238224	0.15550001	99.0	177.51452493667603
18	-0.35060334	0.7269076	0.88929284	-1.4772832	1000.0	51.7	136.27916	457.0	0.0	-1.7640342	2.6776192	3.334583	-11.691565	190000	2.0861625e-08	142.5591	-0.019125909	-112.19299	0.8907441	0.0021869629	0.1153	99.0	186.98596787452698
