Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9567461	1.497816	2.0751517	-4.888964	1000.0	45.15	89.22235	408.0	0.0	-0.012127762	0.08857087	0.20587143	-0.21035695	20000	-1.1920929e-08	287.38763	-0.014138818	-116.26123	0.91893846	0.004326865	0.092199996	99.0	9.74790906906128
1	-1.094289	0.9245985	0.26441252	-3.1716974	1000.0	34.4	77.11251	249.0	0.0	-3.751394	5.5009937	8.152626	-18.126925	40000	3.576279e-08	37.83648	-0.019780792	-36.41563	0.9382383	0.008944069	0.12539999	99.0	16.350948333740234
2	-0.77128184	1.1451186	2.1458611	-3.5805025	1000.0	30.65	61.69868	231.0	0.0	-0.38015527	0.60176164	0.7527565	-2.3102522	60000	-1.7881394e-08	17.511877	-0.015892867	-7.907672	0.92369473	0.011802169	0.12385	99.0	23.12608575820923
3	-0.7049761	1.3083091	1.315037	-4.763985	1000.0	33.15	79.28195	359.0	0.0	-1.171437	2.4716797	1.789306	-9.501306	80000	8.940697e-09	48.1605	-0.017843407	-29.796423	0.9531704	0.00980422	0.13575001	99.0	29.722144842147827
4	-0.954004	1.131171	0.47948456	-3.9137774	1000.0	27.95	64.295784	267.0	0.0	-2.0142798	3.8606746	4.351644	-15.320123	100000	0.0	61.70649	-0.016814133	-44.049294	0.95062387	0.012412475	0.13245001	99.0	36.74440312385559
5	-1.0535558	1.5495833	1.6128157	-3.5177155	1000.0	33.0	60.14815	236.0	0.0	-1.2399915	3.504753	3.246605	-18.047543	120000	7.450581e-09	48.93046	-0.016480042	-29.971615	0.9617907	0.006674513	0.117850006	99.0	43.35361361503601
6	-0.824011	1.3381099	2.2085712	-3.2614172	1000.0	37.25	69.14035	244.0	0.0	-1.8838974	4.464707	1.5591011	-22.377577	140000	-2.9802323e-09	96.53761	-0.020574447	-78.99889	0.96912324	0.0134004	0.15769999	99.0	49.969703912734985
7	-0.6466526	1.4363515	1.1107123	-4.6495156	1000.0	43.1	95.4012	339.0	0.0	-0.524254	5.187776	28.40865	-26.40043	160000	2.9802323e-09	125.15889	-0.018245762	-99.63074	0.9655198	0.0047685457	0.123100005	99.0	56.71993851661682
8	-0.98029995	1.8775918	2.6146457	-6.7470565	1000.0	30.95	87.87746	399.0	0.0	-2.434735	6.51867	6.533259	-30.841692	180000	4.4703485e-09	48.611717	-0.020246318	-33.019592	0.96236384	0.022811545	0.1727	99.0	63.44711112976074
9	-0.74948114	1.9054452	3.098558	-5.0342727	1000.0	61.75	110.093994	455.0	0.0	-2.044571	5.6532726	1.7862399	-38.957207	200000	-1.0430813e-08	202.45279	-0.02151377	-168.92409	0.9504837	0.00968407	0.16415	99.0	69.93568706512451
10	-1.2677298	1.9655259	1.0684544	-7.435013	1000.0	44.5	89.21631	341.0	0.0	-2.3291454	7.6088676	2.7019892	-45.536648	220000	-5.9604646e-09	208.66988	-0.020345505	-145.04225	0.9338891	0.01252269	0.1541	99.0	76.70343923568726
11	-1.8620449	2.5405061	0.5647233	-10.492236	1000.0	25.35	60.59973	203.0	0.0	-3.936807	10.609841	21.180794	-30.772673	240000	0.0	132.57419	-0.02276491	-111.69495	0.9308044	0.019789223	0.16499999	99.0	83.49067616462708
12	-0.7801214	2.2728612	5.765811	-7.2060184	1000.0	23.8	60.046314	238.0	0.0	-0.820142	1.4978606	1.2330835	-19.823854	260000	-2.3841858e-08	87.586075	-0.016095364	-66.47551	0.9190299	0.0020743262	0.11884999	99.0	90.37014532089233
