Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.28386602	0.74196976	0.7551738	-1.8008193	1000.0	16.8	36.347763	115.0	0.0	-0.0032963776	0.07518913	0.1388693	-0.18607625	10000	-2.9802323e-09	77.74431	-0.01748971	-29.21214	0.91893846	0.020628672	0.1183	99.0	6.075961351394653
1	-0.9628054	1.4605228	2.1680832	-2.785578	1000.0	19.3	34.76219	92.0	0.0	-1.8506079	4.52967	5.1934605	-14.017902	20000	7.450581e-09	19.85445	-0.018831622	-18.989523	0.9340645	0.008504057	0.1245	99.0	11.376688003540039
2	-0.9089912	0.88632303	0.14159474	-2.605655	1000.0	75.5	89.51117	253.0	0.0	-0.28520107	0.514265	0.45721817	-1.7481873	30000	0.0	0.2704404	-0.020070825	-0.23066811	0.9205801	0.013282001	0.1431	99.0	16.63368034362793
3	0.28998682	1.5988152	3.7629452	-1.4964861	1000.0	59.3	81.80104	247.0	0.0	-0.08549303	0.12351493	0.38285112	-0.61290175	40000	-2.9802322e-08	18.972694	-0.019165024	-13.589658	0.9175085	0.0047792206	0.115100004	99.0	22.10252833366394
4	-0.5098724	1.0847801	1.507882	-1.8721163	1000.0	25.0	51.544155	153.0	0.0	-1.3022847	1.8932754	0.5528902	-8.61499	50000	-5.9604646e-09	15.799913	-0.016657095	-9.642232	0.9412781	0.014674483	0.1557	99.0	27.40530228614807
5	-0.20329475	0.7784557	1.141362	-1.3707112	1000.0	107.0	132.03938	359.0	0.0	-1.0134016	1.6503896	0.94314617	-6.3761783	60000	-2.9802323e-09	46.91276	-0.021960853	-33.230854	0.9460076	0.00693117	0.1345	99.0	32.80828356742859
6	0.26017836	0.8914566	2.1283808	-1.3339577	1000.0	94.4	141.66313	409.0	0.0	-2.02079	3.8662198	9.732973	-12.63196	70000	5.9604646e-09	123.3546	-0.02532189	-104.152664	0.9459125	0.0051327297	0.1431	99.0	38.37993025779724
7	-1.3856819	1.7548248	0.753926	-4.5990796	1000.0	37.6	69.14651	205.0	0.0	-3.2565482	7.5598993	4.933226	-27.766926	80000	-5.9604646e-09	83.568306	-0.021124566	-75.016235	0.95334685	0.025571575	0.20279999	99.0	43.773744344711304
8	-0.7501119	1.3113666	2.2009296	-2.3720653	1000.0	94.5	125.84216	381.0	0.0	-1.3191408	3.3939216	2.636759	-23.696451	90000	-2.9802323e-09	179.28899	-0.028316885	-165.3066	0.93457997	0.009919164	0.15450001	99.0	49.157920122146606
9	-0.064707115	1.4105964	1.593469	-3.6924188	1000.0	33.7	52.030857	180.0	0.0	-1.3388957	3.3426447	2.5644214	-25.54317	100000	-1.1920929e-08	45.5578	-0.025931317	-35.4089	0.9490836	0.017578844	0.1938	99.0	54.76835513114929
