Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.49947223	1.3541145	2.913989	-3.6767335	1000.0	19.85	32.79676	115.0	0.0	-0.003382329	0.074633695	0.1388693	-0.19393913	20000	-5.2154063e-09	80.94664	-0.014073039	-33.713207	0.9189385	0.008285085	0.124749996	99.0	10.441653490066528
1	-0.3852411	1.2043264	2.594833	-3.0600133	1000.0	41.95	89.98192	337.0	0.0	-2.4492695	3.6065936	4.0018063	-12.800797	40000	-5.9604646e-09	17.44181	-0.018597858	-16.94959	0.9364985	0.0064784884	0.11264999	99.0	20.016751527786255
2	-0.8394624	1.551754	2.1692088	-3.0305746	1000.0	61.0	91.143295	329.0	0.0	-0.1419678	0.30386347	1.3399644	-2.0399125	60000	1.4901161e-09	0.24156284	-0.01835776	-0.11319711	0.9205365	0.010166479	0.12234999	99.0	30.138490915298462
3	-0.4788359	1.1163957	1.210184	-3.33462	1000.0	55.15	95.58309	308.0	0.0	-0.16807148	0.1511586	0.33099762	-0.72142404	80000	-1.1920929e-08	8.716528	-0.016621884	-5.890687	0.91651213	0.005698708	0.1	99.0	40.273836851119995
4	-0.45173424	1.6240788	2.6825294	-4.341423	1000.0	57.2	149.32703	672.0	0.0	-1.2832062	2.0020435	0.82028985	-10.362788	100000	2.3841858e-08	28.314066	-0.018988676	-26.082272	0.933795	0.0072332495	0.1388	99.0	50.057905435562134
5	-0.836635	1.5890198	1.384371	-4.018877	1000.0	45.05	91.431114	353.0	0.0	-1.3737003	3.8675258	3.685737	-19.36507	120000	8.940697e-09	32.439804	-0.017660586	-29.242584	0.92965066	0.012621133	0.14405	99.0	59.942511320114136
6	-0.5854885	1.264494	1.530506	-4.354704	1000.0	49.2	80.925026	240.0	0.0	-1.2013792	2.194561	7.044817	-20.255995	140000	-1.0430813e-08	27.500782	-0.0147180315	-21.15681	0.94196	0.0081929155	0.109249994	99.0	69.86121916770935
7	0.05164092	1.1914707	2.6230264	-2.1301012	1000.0	50.5	77.677864	283.0	0.0	-2.2987866	4.322931	1.7445725	-21.267656	160000	1.4901161e-09	48.38809	-0.0202184	-42.024048	0.94142115	0.016669597	0.17885	99.0	79.76297664642334
8	-0.20880246	1.6198008	2.439846	-4.83212	1000.0	79.35	135.07452	454.0	0.0	-1.5881474	2.6284347	6.487783	-18.712114	180000	1.1920929e-08	79.67824	-0.021580737	-73.40416	0.93814707	0.008352083	0.1398	99.0	89.45842456817627
9	-1.0187924	1.0451295	1.2813226	-2.7441044	1000.0	6.3	13.565029	46.0	0.0	-1.4830152	4.389133	11.415754	-31.867926	200000	-2.0861625e-08	21.506855	-0.015558536	-19.861118	0.93219435	0.014581203	0.1329	99.0	99.20851445198059
