Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5277261	1.4063827	2.913989	-4.4854116	1000.0	59.8	108.38339	669.0	0.0	0.0042720926	0.07326501	0.2481898	-0.19393913	80000	-8.940697e-09	460.57846	-0.008808127	-120.004715	0.9189385	0.005202345	0.070875004	99.0	25.167098999023438
1	-0.8306729	1.383182	2.7217512	-5.308031	1000.0	64.375	103.279884	445.0	0.0	-4.760851	6.132043	7.8731356	-18.025236	160000	1.7881394e-08	51.689983	-0.011011542	-48.88279	0.92668724	0.0057769837	0.0722125	99.0	46.66326403617859
2	-0.9396411	1.7090102	4.1698794	-5.0682993	1000.0	40.7375	74.73432	306.0	0.0	-0.46839035	0.8347735	0.5838719	-3.2416892	240000	-1.0430813e-08	6.66746	-0.010765107	-0.81928	0.924518	0.0068210633	0.0918	99.0	68.37727761268616
3	-0.8366907	1.4949343	2.3289135	-5.61312	1000.0	40.275	93.778465	606.0	0.0	-0.8517582	0.5820402	1.1364863	-2.4349983	320000	4.4703485e-09	7.028449	-0.011304989	-1.0877587	0.932685	0.006600769	0.100375	99.0	90.90072751045227
4	-0.3817459	1.2671428	2.499017	-4.499321	1000.0	31.2875	68.914474	281.0	0.0	-0.8710585	0.7409633	2.1685307	-4.2309036	400000	-5.9604646e-09	4.995871	-0.012029671	-0.89008445	0.93194675	0.0058933254	0.085387506	99.0	112.65189099311829
5	-0.7173271	1.3519558	3.234721	-4.1428056	1000.0	12.675	29.93024	119.0	0.0	-0.7299341	0.8596144	1.2755138	-5.079302	480000	-1.1920929e-08	1.5309427	-0.0131409075	-0.836357	0.93771124	0.0072110496	0.100375	99.0	134.8306429386139
6	-0.5850719	1.4079682	3.159531	-4.277079	1000.0	44.2875	90.94218	389.0	0.0	-0.26747197	0.28217164	1.298274	-1.5030969	560000	2.9802323e-09	0.15141685	-0.015293631	-0.09563781	0.9293798	0.0092309145	0.11617501	99.0	156.93549919128418
7	0.28989196	1.6877705	4.540312	-2.9605772	1000.0	39.225	82.43785	397.0	0.0	-0.08599745	0.16287051	1.0692956	-1.0663174	640000	4.4703485e-09	0.35586244	-0.015259221	-0.05553485	0.921867	0.009956621	0.1261	99.0	178.57381916046143
8	0.846619	1.952166	5.6084366	-3.71936	1000.0	44.1375	68.202774	268.0	0.0	-0.14600931	0.22859433	0.6366911	-1.275255	720000	-1.1920929e-08	0.27346185	-0.016010534	-0.052607518	0.91443074	0.009243304	0.12575	99.0	200.3558428287506
9	1.622565	2.3629787	8.727158	-2.831954	1000.0	46.95	109.7415	688.0	0.0	-0.07996643	0.18265525	0.5447781	-0.9070896	800000	0.0	1.102103	-0.015145811	-0.17406276	0.9035177	0.008506233	0.119525	99.0	222.4185345172882
10	2.1443527	2.6403184	8.551407	-5.6548424	1000.0	38.15	69.30045	311.0	0.0	-0.2008573	0.40826577	1.0091114	-1.6757752	880000	-1.4901161e-09	2.395365	-0.015160332	-0.4646988	0.90371716	0.0074836374	0.12297499	99.0	244.30718278884888
11	2.2855153	2.2714043	10.270033	-1.5806754	1000.0	38.325	73.13511	331.0	0.0	-0.28966787	0.49570206	1.2143073	-2.141662	960000	-1.4901161e-08	1.8995914	-0.016751014	-0.5884382	0.91539574	0.00975576	0.13197501	99.0	266.13842844963074
12	2.9093258	3.062555	12.327203	-8.242901	1000.0	55.325	92.16843	447.0	0.0	-0.23355623	0.59174764	1.2168643	-2.8542101	1040000	2.9802323e-09	2.38032	-0.01695672	-0.70333636	0.91588986	0.009110047	0.13725	99.0	288.35269355773926
13	2.6849608	2.3847892	8.581011	-1.603273	1000.0	60.425	137.70557	744.0	0.0	-0.28270555	0.70990187	1.067733	-3.6757302	1120000	1.6391278e-08	13.507906	-0.014966965	-7.133586	0.9125751	0.00505242	0.105500005	99.0	310.5417923927307
14	3.0094872	2.975681	12.1062765	-2.1596155	1000.0	41.8625	86.67536	541.0	0.0	-0.615304	1.5397458	2.9150882	-11.121049	1200000	-5.9604646e-09	18.263926	-0.01655223	-10.138739	0.919628	0.008307601	0.135225	99.0	332.2963206768036
15	3.451215	3.2733593	14.673856	-5.0822043	1000.0	44.9625	69.45654	322.0	0.0	-1.066527	2.0466826	1.312847	-12.959744	1280000	5.9604646e-09	18.630627	-0.017190393	-9.437544	0.92438257	0.011187345	0.1533375	99.0	354.2361924648285
16	3.345185	3.2287564	12.435434	-3.6478221	1000.0	29.2125	70.22316	522.0	0.0	-1.28747	2.153609	2.534355	-17.612719	1360000	4.4703485e-09	15.641668	-0.01590122	-9.139733	0.9256948	0.0111760255	0.1479	99.0	376.40298223495483
17	3.256574	3.1568592	12.567323	-2.3283916	1000.0	37.4625	86.84468	657.0	0.0	-0.5766768	1.1945815	4.703356	-16.237068	1440000	-1.4901161e-08	13.585627	-0.015837258	-9.685	0.92461526	0.008059204	0.1263125	99.0	398.5973689556122
18	2.9765778	3.0630221	12.411776	-3.742406	1000.0	51.975	107.01892	599.0	0.0	-0.9615772	2.627346	2.4768667	-21.078339	1520000	-1.1920929e-08	23.127165	-0.01430731	-17.527536	0.9246224	0.008997124	0.12313751	99.0	420.74649262428284
19	2.824251	3.1566634	11.906961	-5.8154917	1000.0	29.9375	63.636536	326.0	0.0	-0.8569873	2.1130524	3.4630556	-17.670784	1600000	2.2351743e-09	14.291189	-0.015680235	-6.745752	0.91901505	0.009634098	0.136625	99.0	442.29941844940186
20	2.9479873	3.1450539	11.372674	-3.818396	1000.0	23.725	59.926617	365.0	0.0	-0.77820945	1.4398987	2.163153	-18.364616	1680000	-7.450581e-09	8.751859	-0.015440938	-4.64988	0.9098989	0.010193282	0.12162499	99.0	464.56403160095215
21	2.984737	3.6691625	12.314818	-12.424713	1000.0	43.0	76.42807	404.0	0.0	-0.34538087	0.83071595	2.4884326	-6.944285	1760000	2.2351743e-09	6.688072	-0.016633738	-4.0424337	0.9080229	0.0076996996	0.117225006	99.0	486.8857545852661
22	2.7492194	3.6601555	12.835659	-4.312414	1000.0	33.6125	72.06741	382.0	0.0	-0.50233096	1.2547159	3.5525973	-19.090752	1840000	1.4901161e-09	7.2828684	-0.015118942	-4.1098413	0.91081095	0.009346119	0.12597498	99.0	509.03427028656006
23	2.7090814	3.4817529	15.268664	-6.3540354	1000.0	23.775	47.22181	256.0	0.0	-0.4822308	1.1230106	1.3811594	-10.615584	1920000	-5.9604646e-09	3.3745246	-0.015527254	-1.4744316	0.91624415	0.010419725	0.132275	99.0	531.3655335903168
24	3.0603662	3.238718	10.379418	-5.420242	1000.0	33.35	73.80839	569.0	0.0	-0.24871026	0.48834938	0.82508475	-4.2039804	2000000	-1.1920929e-08	0.83209056	-0.018517345	-0.4027067	0.9073771	0.010669823	0.131475	99.0	553.8697805404663
25	3.700538	3.8042965	14.490307	-3.1480849	1000.0	34.7	62.740818	285.0	0.0	0.078177094	0.34225643	1.028206	-2.3213515	2080000	4.4703485e-09	0.34676728	-0.018497175	-0.16661759	0.9032618	0.009344622	0.1231	99.0	575.5230386257172
26	3.3970838	3.5568426	13.739671	-2.6017582	1000.0	17.9625	31.41315	164.0	0.0	0.36848927	0.2977218	1.3073287	-0.9495003	2160000	1.4901161e-09	0.25127715	-0.019356754	-0.07271994	0.88369	0.009654622	0.13108751	99.0	597.624626159668
27	4.3365107	4.1743956	13.156719	-14.451676	1000.0	24.6875	48.936337	247.0	0.0	0.34523034	0.27596152	1.2077376	-0.8772506	2240000	0.0	0.29652402	-0.019645283	-0.09983403	0.86368895	0.010635402	0.13775	99.0	619.5858392715454
28	5.0833282	3.9520407	15.09436	-5.007151	1000.0	25.8375	52.03808	274.0	0.0	0.40945846	0.36942148	2.295072	-7.54747	2320000	-3.3527612e-09	0.24984737	-0.020023655	-0.090070896	0.84074414	0.009307158	0.13130002	99.0	641.2842209339142
29	4.526991	4.006521	15.938894	-3.9000373	1000.0	48.4625	70.3644	404.0	0.0	0.5373518	0.40523243	1.985336	-1.5000234	2400000	3.7252903e-09	0.2627669	-0.020132948	-0.115393445	0.82613695	0.0094994055	0.1281375	99.0	662.7907435894012
30	5.5829268	4.743594	15.434239	-11.553304	1000.0	30.8125	48.310738	287.0	0.0	0.47824204	0.43896297	2.096589	-0.9866339	2480000	7.450581e-09	0.6656092	-0.020430535	-0.19808368	0.81291234	0.010071309	0.14054999	99.0	684.5660543441772
31	5.1990786	4.921263	17.920347	-3.488998	1000.0	32.9375	54.12655	297.0	0.0	0.2610594	0.5372381	2.0728185	-1.3169817	2560000	2.2351743e-09	0.301553	-0.020275805	-0.16601734	0.8027352	0.009303686	0.127225	99.0	706.905294418335
32	6.051188	5.008062	16.821648	-10.330053	1000.0	33.875	61.19791	317.0	0.0	0.5309414	0.5305359	2.434475	-0.67879343	2640000	-5.9604646e-09	0.24700633	-0.020772094	-0.10372605	0.7844768	0.009407973	0.132375	99.0	728.5541753768921
33	7.0033545	5.657176	18.705101	-16.659235	1000.0	42.125	63.925423	332.0	0.0	0.6400014	0.576781	2.3850598	-1.2767754	2720000	1.4901161e-09	0.22553203	-0.021713194	-0.085886106	0.76864284	0.010020278	0.1337375	99.0	750.0966300964355
34	7.649831	5.469993	17.448286	-13.117548	1000.0	42.525	65.1408	410.0	0.0	0.7498916	0.5902154	2.3792455	-1.8547063	2800000	8.940697e-09	0.28791228	-0.021295374	-0.12666969	0.7531001	0.009269254	0.140275	99.0	771.653076171875
35	7.9482827	5.313255	18.784128	-13.757526	1000.0	48.8375	65.56742	332.0	0.0	0.6807883	0.6310529	2.356139	-2.171685	2880000	-1.2665987e-08	0.5333942	-0.020271845	-0.21764366	0.73400104	0.009334577	0.130225	99.0	793.6250898838043
36	7.663504	4.7983656	17.495342	-1.9221438	1000.0	44.925	61.33958	273.0	0.0	0.51900285	0.6233279	2.58095	-1.6482875	2960000	-3.7252903e-09	1.6629006	-0.019167276	-0.7105888	0.7235789	0.008154447	0.1413	99.0	815.9987540245056
37	9.216222	5.279244	18.581726	-2.164415	1000.0	35.175	59.369137	388.0	0.0	0.26397187	0.77918714	2.1125696	-3.9871805	3040000	5.2154063e-09	2.4251146	-0.018173803	-1.4177617	0.72183454	0.009243175	0.1309125	99.0	837.7897620201111
38	9.679961	5.1946826	19.46363	-3.9699392	1000.0	37.0125	48.268646	281.0	0.0	0.2641239	0.9254056	2.881302	-7.622967	3120000	1.0430813e-08	1.4061607	-0.019010222	-0.8141093	0.7195314	0.011420041	0.136425	99.0	859.708163022995
39	8.775568	5.664046	19.22555	-9.935626	1000.0	50.1625	79.10459	508.0	0.0	0.36439237	0.71824473	2.3223534	-4.335127	3200000	-8.940697e-09	1.5814267	-0.019298978	-0.9233246	0.7111495	0.009930061	0.133275	99.0	881.7205069065094
40	9.702707	5.730713	22.164755	-8.569102	1000.0	38.3125	51.738426	265.0	0.0	0.43244752	0.8063187	2.449492	-7.2070484	3280000	7.0780515e-09	2.7264493	-0.019346405	-1.5742661	0.70400107	0.008820142	0.135025	99.0	904.4989728927612
41	9.941937	5.363956	22.016514	-1.2141502	1000.0	50.5125	86.332634	684.0	0.0	0.09932189	1.1002795	2.625364	-7.1013746	3360000	3.7252903e-09	3.8705897	-0.019150387	-2.7451134	0.69745654	0.009673737	0.135475	99.0	926.2722024917603
42	10.352376	6.0759354	24.647902	-4.6162133	1000.0	45.075	94.61432	764.0	0.0	0.17391565	1.188126	2.1807938	-14.214813	3440000	-9.685754e-09	8.490389	-0.017291805	-6.537664	0.6910552	0.008706449	0.1294125	99.0	948.4719707965851
43	10.533047	4.9953055	20.776955	-0.98656535	1000.0	36.85	43.36015	254.0	0.0	0.06295751	1.1373199	1.988698	-18.51543	3520000	-1.4901161e-09	4.957734	-0.018069323	-3.340686	0.68905336	0.009178339	0.1419625	99.0	971.1883568763733
44	9.477149	5.1200905	19.448055	-2.125281	1000.0	36.8375	54.428497	292.0	0.0	-0.11251317	1.4565965	4.234764	-20.83687	3600000	-2.9802323e-09	5.7837477	-0.01909622	-4.3790803	0.6830554	0.011136304	0.1463	99.0	993.976624250412
45	9.3104925	5.890909	21.301176	-10.390014	1000.0	39.1625	58.22423	328.0	0.0	-0.03900401	0.99073076	2.567059	-13.058506	3680000	-2.9802323e-09	4.4246607	-0.018323252	-3.1363785	0.67500067	0.010012782	0.136875	99.0	1017.1753466129303
46	9.985224	5.293368	22.366213	-0.39450744	1000.0	33.775	58.185474	408.0	0.0	-0.0028779968	1.0997772	2.3945537	-15.69715	3760000	1.4901161e-09	4.2772284	-0.019411176	-3.2721477	0.6680957	0.010450182	0.1407625	99.0	1039.2571668624878
47	10.137758	5.276353	20.765259	-0.0823694	1000.0	37.2875	46.47101	201.0	0.0	0.035192024	1.1486561	2.758553	-9.553112	3840000	-4.4703485e-09	2.6233544	-0.01991438	-1.5855491	0.65649533	0.011170485	0.14147499	99.0	1061.691189289093
48	9.532752	6.081086	21.20547	-0.9449161	1000.0	25.3625	34.35813	163.0	0.0	0.11533241	0.9607636	2.6853607	-12.974054	3920000	0.0	1.3036454	-0.019709479	-0.8140837	0.6482772	0.011195247	0.1404875	99.0	1083.8722565174103
49	9.82576	6.1493807	19.427593	-14.209919	1000.0	34.8625	53.95316	366.0	0.0	0.35559994	0.7456964	2.4515765	-7.3946657	4000000	4.0978194e-09	0.844905	-0.019948253	-0.60344285	0.63428503	0.010618906	0.1511625	99.0	1106.672683954239
50	11.127172	5.454018	21.450096	-0.90781575	1000.0	46.4375	65.20331	420.0	0.0	0.8153833	0.6661792	3.35717	-2.4840953	4080000	-1.7881394e-08	0.47743902	-0.02098825	-0.27645466	0.6150412	0.010630453	0.14333749	99.0	1128.3016188144684
51	11.332262	5.7122765	20.516474	-10.809341	1000.0	26.675	34.883656	165.0	0.0	1.199805	0.58819205	3.6227846	-1.5777966	4160000	-2.2351743e-09	0.43057156	-0.02206901	-0.21010113	0.59679407	0.010995492	0.140075	99.0	1150.5100646018982
52	11.226306	5.570663	21.583193	-1.1044717	1000.0	36.2875	43.367092	174.0	0.0	0.91153127	0.53546894	2.123498	-2.5529742	4240000	0.0	0.3356351	-0.0210478	-0.15748188	0.5825694	0.010977701	0.142175	99.0	1172.6316285133362
53	10.953898	5.8392096	24.49486	-1.3473042	1000.0	39.95	56.690144	349.0	0.0	1.0879245	0.63252777	2.5966232	-0.9356798	4320000	-2.9802323e-09	0.29155606	-0.02135903	-0.12250666	0.56888825	0.011081068	0.147575	99.0	1194.3897285461426
