Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.20192258	0.6081703	0.6138232	-1.625713	1000.0	15.6	24.009167	58.0	0.0	0.003899263	0.08839447	0.1388693	-0.19393913	10000	-2.9802323e-09	52.330414	-0.015638117	-16.94531	0.9189385	0.012300536	0.1472	99.0	12.915216445922852
1	-0.5348301	1.1939261	0.84031683	-3.3049335	1000.0	48.3	68.38282	209.0	0.0	-1.3618702	2.6304348	0.47416547	-8.175181	20000	2.9802322e-08	7.273656	-0.015563035	-7.081636	0.9311601	0.010200156	0.0904	99.0	23.044231176376343
2	-0.3269183	1.1502697	2.8385947	-1.3485475	1000.0	42.3	61.263443	176.0	0.0	-0.33950403	0.633927	0.44996554	-2.5494573	30000	-8.940697e-09	1.1052747	-0.017570421	-0.7031517	0.92279184	0.011665369	0.1518	99.0	33.26286244392395
3	0.34861663	0.632508	1.431982	-0.80402446	1000.0	81.5	161.50867	542.0	0.0	-0.2699812	0.36574098	1.1873785	-1.5048375	40000	-4.7683717e-08	4.0284715	-0.017575571	-1.6307156	0.9413785	0.005250583	0.1115	99.0	43.593700647354126
4	0.15564804	1.0351564	1.4478905	-1.9129146	1000.0	57.1	60.573013	163.0	0.0	-0.7837283	0.9478926	0.22944745	-2.7612944	50000	2.3841858e-08	18.999714	-0.020993512	-17.181679	0.9407134	0.004765149	0.14790002	99.0	53.99309539794922
5	-0.4455181	1.3770044	1.8801253	-3.5269325	1000.0	92.2	159.79411	470.0	0.0	-1.3638843	2.5094485	0.38773447	-13.647972	60000	5.9604646e-09	72.13858	-0.02068254	-61.918457	0.94653237	0.007546924	0.1273	99.0	64.5574643611908
6	0.12905644	1.5988162	3.06387	-2.4752223	1000.0	61.9	107.23661	279.0	0.0	-3.4632113	7.2071824	18.76274	-25.028881	70000	-1.4901161e-09	141.27383	-0.022931134	-128.76909	0.94802904	0.019470895	0.2438	99.0	74.84665274620056
7	1.5514095	1.7699941	4.974378	-0.9170668	1000.0	30.5	42.690163	139.0	0.0	-4.239703	7.682209	31.103315	-29.51245	80000	-1.1920929e-08	78.89181	-0.023421306	-68.28433	0.9431195	0.01845811	0.18419999	99.0	84.10680055618286
8	-1.2847447	1.3325719	0.084196456	-4.4711757	1000.0	19.0	47.5731	159.0	0.0	-0.8060707	1.061295	8.292907	-9.693454	90000	1.1920929e-08	27.972738	-0.015519485	-23.71923	0.9373609	0.0074108616	0.1309	99.0	93.62944960594177
9	-0.0036958456	1.6950852	3.202222	-3.1134398	1000.0	51.8	61.232018	193.0	0.0	-0.63347715	2.927619	24.042662	-24.635317	100000	-1.1920929e-08	42.729767	-0.018043932	-31.043823	0.9517277	0.0062085115	0.117	99.0	103.20915341377258
10	-0.6788901	1.4649959	2.2668617	-2.9129162	1000.0	8.2	16.618061	47.0	0.0	-1.5884933	1.8701782	1.1894207	-16.278004	110000	2.9802323e-09	7.430629	-0.015367274	-3.8211236	0.9624766	0.014848317	0.14089999	99.0	113.37496256828308
11	-1.3277348	1.7749104	1.7734432	-4.2969155	1000.0	43.7	57.57265	168.0	0.0	-0.35967788	0.49107048	3.8256545	-2.8887408	120000	-8.940697e-09	36.601673	-0.020822987	-23.479322	0.952248	0.007848489	0.1526	99.0	123.18597936630249
12	0.28953665	1.0005823	1.986868	-1.3579344	1000.0	37.9	73.575066	243.0	0.0	-1.4111806	2.3223655	2.1455402	-20.009657	130000	-1.1920929e-08	33.059937	-0.021950325	-28.018017	0.964015	0.02657646	0.21360001	99.0	133.17531609535217
13	-0.25301355	1.3487226	2.112557	-3.0799096	1000.0	56.5	139.41109	471.0	0.0	-1.0815178	2.5489867	1.0663129	-27.294424	140000	-1.1920929e-08	91.15504	-0.018567048	-76.129715	0.9789506	0.0049307556	0.14289999	99.0	143.18055033683777
