Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.48562956	0.84891754	0.7551738	-2.4405138	1000.0	35.75	83.50741	362.0	0.0	0.0031890625	0.07324356	0.23601514	-0.18607625	20000	1.1920929e-08	6347.3843	-0.013632985	-784.9043	0.91893846	0.0027137618	0.0851	99.0	7.671648025512695
1	-0.93491447	1.4245812	1.4737059	-4.374122	1000.0	31.8	79.21528	357.0	0.0	-5.352275	7.205334	11.895611	-19.862251	40000	-7.450581e-09	16.631557	-0.015244914	-16.28945	0.935973	0.009232922	0.11954999	99.0	14.570329666137695
2	-0.6361798	0.9807294	1.7291335	-2.808472	1000.0	75.85	114.24109	388.0	0.0	-5.645129	7.50672	5.4180975	-21.193136	60000	-2.9802322e-08	640.53235	-0.016053686	-331.7768	0.92884177	0.0025757558	0.08929999	99.0	21.049444913864136
3	-0.5823162	1.5220927	1.8511131	-4.527672	1000.0	73.7	80.525215	252.0	0.0	-12.353897	9.793852	5.654888	-27.99132	80000	2.9802322e-08	1618.0046	-0.018460127	-627.2335	0.9302267	0.0046140375	0.113249995	99.0	27.77318549156189
4	-1.0814847	2.0447834	2.5397394	-4.9585814	1000.0	42.8	82.07168	304.0	0.0	-22.495	16.833645	5.302642	-42.8481	100000	5.9604646e-09	1684.594	-0.020082198	-674.3151	0.9415318	0.00853524	0.10994999	99.0	34.757450342178345
5	-1.2352108	1.3556609	1.8038418	-4.469978	1000.0	62.35	79.606705	228.0	0.0	-31.729788	19.956644	5.810419	-54.90849	120000	-3.8743018e-08	1751.143	-0.021588916	-765.1426	0.9513236	0.0095138755	0.12230001	99.0	41.3701229095459
6	-1.2185031	1.6504836	1.5778408	-4.446206	1000.0	7.75	27.856552	127.0	0.0	-40.20887	24.167835	5.4685516	-66.96311	140000	0.0	440.12158	-0.018075306	-243.37964	0.96225643	0.0102885645	0.13575001	99.0	48.179887771606445
7	-0.81187975	1.6862576	4.2668886	-3.6556911	1000.0	14.25	39.217186	162.0	0.0	-40.07319	24.795166	4.525982	-69.60029	160000	-2.9802323e-09	505.58487	-0.016200144	-87.99241	0.95098746	0.0057860236	0.11275001	99.0	54.815165758132935
8	-2.174993	1.7906505	-0.22032854	-6.3333616	1000.0	13.2	33.299553	137.0	0.0	-40.8557	24.30893	4.46845	-70.970825	180000	1.4901161e-09	225.92976	-0.019182095	-90.12746	0.9532045	0.010711631	0.13404998	99.0	61.7071692943573
9	-1.931241	2.6146476	1.0535746	-8.314322	1000.0	63.4	120.78593	463.0	0.0	-42.38913	24.146616	4.4651337	-71.96095	200000	0.0	5390.962	-0.021602008	-2419.0156	0.9591883	0.0033432015	0.1335	99.0	68.36344265937805
