Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9567461	1.497816	2.0751517	-4.888964	1000.0	45.15	89.22235	408.0	0.0	-0.012127762	0.08857087	0.20587143	-0.21035695	20000	1.7881394e-08	287.38763	-0.013870245	-116.26123	0.91893846	0.0037208542	0.0847	99.0	7.65092396736145
1	-0.7916037	0.8312203	0.3944232	-2.747073	1000.0	44.8	88.34059	286.0	0.0	-3.9295108	5.5402374	8.202433	-18.12685	40000	0.0	39.725235	-0.018472541	-38.205807	0.93623006	0.008773189	0.11985	99.0	14.313946962356567
2	-0.79362077	1.0089319	1.3857496	-2.651435	1000.0	46.6	81.92094	338.0	0.0	-0.3922296	0.6103348	0.8508949	-2.3166811	60000	0.0	52.631023	-0.01596505	-31.597973	0.9203439	0.0056775184	0.103149995	99.0	20.917579650878906
3	-0.72546893	1.2355305	1.2030935	-4.4269996	1000.0	59.4	88.68281	298.0	0.0	-2.3516622	4.5837255	7.2078867	-15.52116	80000	1.1920929e-08	104.2511	-0.017845564	-66.00325	0.9432343	0.007996956	0.113900006	99.0	27.496404886245728
4	-0.5784222	1.1934506	2.382653	-2.699789	1000.0	62.6	125.19321	526.0	0.0	-4.102215	5.7738605	5.2595615	-22.444027	100000	1.1920929e-08	227.80196	-0.01604997	-172.43527	0.9426492	0.005839984	0.123399995	99.0	34.49738049507141
5	-1.2786396	1.2603966	1.5585304	-4.5578685	1000.0	36.25	75.798996	243.0	0.0	-4.082393	9.200478	13.662926	-33.57702	120000	7.450581e-09	181.17178	-0.0170149	-122.493065	0.94065493	0.016855724	0.15024999	99.0	41.34746193885803
6	-1.4870477	1.4101431	0.61142576	-5.3742156	1000.0	33.55	74.4879	324.0	0.0	-2.4457746	6.737733	27.550323	-36.09945	140000	8.940697e-09	131.74716	-0.020127129	-113.18373	0.93855894	0.009637828	0.14395	99.0	48.17009735107422
7	-0.75095546	1.3253336	2.522489	-3.3399022	1000.0	18.25	38.989582	141.0	0.0	-1.9931148	7.078876	32.928055	-36.983635	160000	-2.9802323e-09	76.80678	-0.01705325	-55.0201	0.934155	0.014776269	0.14135	99.0	54.982489347457886
8	-0.5370687	1.2859565	2.667447	-2.8681166	1000.0	23.7	34.34982	104.0	0.0	-0.53787947	4.8299966	31.153408	-34.953564	180000	0.0	47.222523	-0.020062903	-35.669655	0.9286089	0.0072850846	0.13445	99.0	61.60947370529175
9	-0.84432137	1.0600795	1.2452115	-3.2467961	1000.0	18.6	40.856335	126.0	0.0	-1.0543637	4.18908	26.21859	-37.397667	200000	-1.1920929e-08	46.982594	-0.019655006	-23.7877	0.93691397	0.023333818	0.17645001	99.0	68.35970163345337
10	-0.6913855	1.3084382	2.263738	-2.9508338	1000.0	1.3	5.2258973	24.0	0.0	-0.9570212	2.4564455	4.311356	-9.177786	220000	-1.1920929e-08	6.996286	-0.018953944	-5.8105955	0.9210264	0.019437674	0.154	99.0	75.11009192466736
11	-1.1365111	1.1177179	0.49908137	-3.3493073	1000.0	26.65	47.061954	143.0	0.0	-1.1709152	4.1248627	7.233806	-33.392544	240000	0.0	78.84579	-0.020028075	-70.01662	0.9076338	0.006057916	0.13495	99.0	81.94378972053528
12	-1.3707209	1.9062777	1.1098598	-7.2216187	1000.0	30.2	54.06903	182.0	0.0	-1.5251642	4.667767	20.563652	-37.370125	260000	-5.2154063e-09	104.46755	-0.023091303	-91.27986	0.9204613	0.011880319	0.15005	99.0	88.4330952167511
13	-1.7496774	2.2000833	0.91310394	-7.534647	1000.0	6.3	18.900002	63.0	0.0	-1.6728613	4.157181	25.296026	-40.578022	280000	-2.3841858e-08	24.108143	-0.02083889	-22.2392	0.9316846	0.019212423	0.1551	99.0	95.37890648841858
14	-1.5331652	2.5457332	2.4223452	-9.463818	1000.0	15.95	28.47714	105.0	0.0	-1.0331169	4.4941325	1.6348772	-42.055996	300000	-1.3038516e-09	38.047127	-0.018705461	-23.268505	0.92360544	0.011722557	0.175	99.0	102.12996888160706
15	-1.3669689	2.290914	2.011598	-8.035832	1000.0	13.1	25.47332	90.0	0.0	-0.21777245	2.3589475	13.417024	-13.615043	320000	-2.9802323e-09	21.856522	-0.02032498	-16.70916	0.9185492	0.005198574	0.1388	99.0	109.03783845901489
16	-1.4165037	1.6065835	2.3044524	-4.141848	1000.0	20.15	70.66065	323.0	0.0	-0.5818611	1.9110795	1.2615285	-15.603775	340000	1.1920929e-08	68.57676	-0.014257943	-56.391632	0.9334277	-0.002324242	0.111899994	99.0	115.82409238815308
