Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.25457415	0.92607504	1.5647222	-2.2292354	1000.0	47.6	110.62703	381.0	0.0	0.021168444	0.0868066	0.23112167	-0.1139505	20000	2.9802322e-08	356.5058	-0.0140057355	-134.95717	0.91893846	0.003089923	0.0808	99.0	9.925999402999878
1	-0.1679226	0.99612945	1.9086468	-2.378395	1000.0	25.15	48.059624	178.0	0.0	-2.6086516	5.377159	4.1419787	-16.966259	40000	1.7881394e-08	31.21462	-0.01784435	-29.763367	0.93029106	0.0073892763	0.09925	99.0	16.642603635787964
2	-0.8724672	0.96281356	0.37910205	-3.499499	1000.0	54.15	88.033676	304.0	0.0	-0.22455701	0.640644	0.61477304	-2.524706	60000	2.2351742e-08	33.93416	-0.015869735	-13.323018	0.9134451	0.0049268524	0.0869	99.0	23.374141454696655
3	-0.4635152	1.1101372	2.9441814	-2.2517726	1000.0	33.2	79.10917	330.0	0.0	-1.9341543	2.8132806	1.1510112	-9.030295	80000	8.940697e-09	80.68128	-0.013226028	-39.036507	0.9300879	0.00803549	0.113450006	99.0	30.449604988098145
4	-0.37308902	1.3113306	2.0196946	-2.5747762	1000.0	58.55	98.53855	291.0	0.0	-1.7369076	4.113	12.956245	-13.929801	100000	5.9604646e-09	166.12341	-0.017176945	-112.60698	0.93568695	0.0054026386	0.09555	99.0	37.18746018409729
5	-0.69776046	0.9086264	0.8489799	-2.3788922	1000.0	26.3	52.77414	188.0	0.0	-3.1005383	6.2582607	1.1321259	-22.639559	120000	-5.9604646e-09	104.43797	-0.015648901	-63.65803	0.95510113	0.017539239	0.1503	99.0	43.73771929740906
6	-1.3000549	1.4271852	1.2458655	-3.9788053	1000.0	10.55	21.592766	70.0	0.0	-1.8683164	3.2029111	3.3383067	-9.268172	140000	2.5331975e-08	24.997478	-0.018103665	-14.9652405	0.966611	0.015765034	0.13835	99.0	50.54571747779846
7	-0.48142105	1.4398601	2.3189735	-3.8578146	1000.0	15.2	40.44329	149.0	0.0	-0.93341434	1.635882	1.4639875	-6.233763	160000	-1.1920929e-08	42.932278	-0.012635614	-23.772686	0.96826744	0.0070130923	0.12210001	99.0	56.91638541221619
8	-1.0691874	1.8749496	1.6281824	-4.8082542	1000.0	42.3	87.89943	361.0	0.0	-0.311249	0.8681277	0.92671585	-10.803261	180000	-5.9604646e-09	130.274	-0.017769987	-87.62756	0.983572	0.0035711005	0.11265	99.0	63.56750512123108
9	-1.3139789	2.3242617	0.6728175	-8.575942	1000.0	18.75	32.391163	100.0	0.0	-1.8375816	5.496144	3.270657	-25.403725	200000	8.5681675e-09	66.7629	-0.019295594	-48.314064	0.9895028	0.02396052	0.18200001	99.0	70.18672442436218
10	-1.5266364	1.4853945	0.29321203	-4.886399	1000.0	44.5	90.831985	382.0	0.0	-1.237622	2.5412905	2.3040519	-12.253269	220000	1.1920929e-08	159.64725	-0.018762901	-117.5732	0.98539484	0.0065351403	0.12314999	99.0	77.14484190940857
11	-1.5715963	1.7056868	0.63323814	-5.259455	1000.0	19.35	39.725655	133.0	0.0	-2.5183802	6.8438783	1.1471572	-32.83623	240000	0.0	95.123535	-0.018471137	-75.56456	0.99384356	0.018832272	0.15895	99.0	83.65511059761047
12	-1.8111881	2.5889013	0.9948466	-10.616301	1000.0	39.5	72.673584	308.0	0.0	-0.97123283	2.4008024	2.2255285	-14.388127	260000	1.1920929e-08	140.25162	-0.018960692	-104.64748	0.9962581	0.0076670595	0.1381	99.0	90.21004223823547
13	-1.334322	2.3989375	4.068148	-8.558002	1000.0	28.4	66.44803	293.0	0.0	-1.206499	4.5008764	3.8260725	-28.818626	280000	2.9802323e-09	102.091255	-0.017603274	-73.43724	1.0104917	0.009149389	0.15435	99.0	96.6333065032959
14	-2.0053182	1.7595127	0.9189513	-6.269111	1000.0	19.2	45.58355	159.0	0.0	-1.7235982	5.546769	1.5786982	-35.734135	300000	-2.7939678e-10	88.76027	-0.017020257	-71.173386	0.99256694	0.026196187	0.1791	99.0	103.37149620056152
15	-2.1179767	2.1889777	0.5324015	-8.866651	1000.0	13.4	30.52278	112.0	0.0	-0.53607607	2.1441371	4.3646035	-23.276989	320000	5.9604646e-09	27.832996	-0.021134203	-24.432611	0.9742767	0.01452448	0.14325	99.0	110.21513271331787
16	-2.3435671	3.141005	3.227914	-10.264682	1000.0	5.75	14.845454	53.0	0.0	-0.3026645	2.1846268	2.7760334	-26.132727	340000	1.4901161e-09	12.111534	-0.01678498	-9.569315	0.97342217	0.019349005	0.17435	99.0	116.85039114952087
17	-1.4338069	2.278554	3.6760044	-6.3212504	1000.0	9.95	29.85377	101.0	0.0	-0.81039953	2.2317278	2.8271105	-17.459684	360000	-5.9604646e-09	28.32075	-0.017591974	-25.484211	0.9563344	0.010976688	0.12985	99.0	123.55007100105286
18	-2.1126823	2.2050297	0.3408628	-9.387235	1000.0	8.7	24.396927	105.0	0.0	-1.1054167	4.7938943	0.9199154	-30.473125	380000	2.2351743e-09	36.14956	-0.01581355	-21.746841	0.9660729	0.020902202	0.14750001	99.0	130.10706162452698
19	-2.9726484	3.348513	2.031054	-11.396629	1000.0	6.1	15.546383	59.0	0.0	-0.53941625	1.9057865	1.4562922	-9.563494	400000	-7.4505807e-10	11.133257	-0.018093422	-7.8905067	0.9453248	0.014520487	0.1528	99.0	136.7427716255188
20	-2.4432597	3.6445947	2.3264961	-12.668039	1000.0	20.15	38.382645	145.0	0.0	-1.2146058	3.0004861	1.4399695	-14.590375	420000	5.9604646e-09	41.224808	-0.018721221	-22.25758	0.9314674	0.003361328	0.142	99.0	143.59737300872803
21	-1.9551888	2.8939958	1.3763639	-12.917272	1000.0	20.45	75.6614	348.0	0.0	-0.8775789	2.7162654	5.1226134	-21.371084	440000	-2.9802323e-09	108.72311	-0.013396097	-65.37419	0.9289958	-0.0006749599	0.122	99.0	150.27664017677307
22	-1.8805056	2.3069904	1.8463664	-9.37876	1000.0	20.35	72.81571	329.0	0.0	-0.61482304	2.5310512	0.7473963	-29.624632	460000	-1.9371509e-08	88.46078	-0.011154453	-71.79602	0.92216885	-0.0045332117	0.07575	99.0	156.9743013381958
23	-1.714886	2.1806197	2.518899	-8.666822	1000.0	20.25	71.04567	328.0	0.0	-0.23195179	0.7393544	1.6610038	-13.476842	480000	5.9604646e-09	93.88423	-0.016858932	-82.81877	0.9393412	0.0054602385	0.0966	99.0	163.5171639919281
