Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.6728469	0.9107889	1.4350452	-2.999944	1000.0	34.35	69.32696	247.0	0.0	0.02563742	0.05898241	0.17846854	-0.13811667	20000	-1.9371509e-08	253.46101	-0.014036809	-55.73294	0.9189385	0.006844902	0.11235	99.0	10.459248781204224
1	-0.71711165	1.2217811	1.6250387	-2.8520827	1000.0	27.7	55.12359	180.0	0.0	-3.9940782	5.2706747	4.379093	-15.516451	40000	3.2782555e-08	37.261845	-0.01520516	-35.791576	0.92230713	0.009359904	0.10215	99.0	20.038241863250732
2	-0.414776	1.1160139	1.8698212	-2.7907646	1000.0	54.75	96.419846	377.0	0.0	-0.41465184	0.5332177	1.0592514	-2.2178183	60000	-4.4703485e-09	0.3687469	-0.017001845	-0.3227184	0.9174984	0.00909131	0.12385	99.0	29.69794225692749
3	-1.3055823	1.2748876	0.5255457	-3.614904	1000.0	34.15	68.81226	260.0	0.0	-0.1543786	0.2910103	0.47544235	-2.2987797	80000	4.7683717e-08	0.44700012	-0.015306714	-0.22721024	0.896387	0.011739581	0.120749995	99.0	39.571476221084595
4	-0.6483007	0.97546166	1.4635121	-2.5369096	1000.0	67.6	104.60994	413.0	0.0	-0.26615772	0.29761934	0.37867752	-2.6534083	100000	-1.4901161e-08	0.13136293	-0.018758124	-0.10818311	0.91357327	0.009990636	0.14675	99.0	49.31147336959839
5	-0.39396998	0.72837806	0.70115274	-2.3415322	1000.0	56.75	126.84513	489.0	0.0	-0.08413391	0.12648323	0.49686444	-0.47925484	120000	2.0861625e-08	7.7783394	-0.015262204	-4.8740263	0.8944372	0.0025686368	0.101050004	99.0	59.21906042098999
6	-0.30418676	1.2118979	1.4732032	-3.5585575	1000.0	19.75	56.449867	197.0	0.0	-0.56042075	1.0631046	2.1496582	-7.5301476	140000	0.0	5.032474	-0.016217256	-4.444605	0.89828396	0.0120822815	0.13685	99.0	69.32322382926941
7	0.23391071	1.345627	3.198655	-3.0352545	1000.0	73.2	130.81613	380.0	0.0	-0.38276476	0.8501283	1.3384446	-8.169023	160000	1.1920929e-08	0.8272786	-0.01867975	-0.71956074	0.90546703	0.014724973	0.13930002	99.0	79.68709778785706
8	0.38096935	1.2207404	3.038438	-1.854486	1000.0	50.95	95.45966	423.0	0.0	-0.060786314	0.30065298	1.3758235	-3.4101734	180000	1.6391278e-08	7.1309023	-0.021943267	-5.8499494	0.88214004	0.005332278	0.120500006	99.0	89.81290793418884
9	-0.25141716	1.7788682	2.6749325	-3.662164	1000.0	89.9	134.81763	407.0	0.0	-0.5349938	1.440516	5.80247	-11.884987	200000	8.940697e-09	16.166773	-0.019726045	-11.033553	0.89108056	0.0070451475	0.11354999	99.0	99.61194586753845
10	0.24269132	1.0754244	2.0069299	-2.082782	1000.0	109.0	193.18488	594.0	0.0	-1.8482528	2.4889948	1.4688212	-12.378383	220000	-1.1920929e-08	87.96935	-0.022030236	-76.20631	0.89536905	0.0053844387	0.13295	99.0	109.59497022628784
11	-0.21215792	2.891074	1.8594718	-12.03469	1000.0	79.7	132.89925	534.0	0.0	-0.9905324	3.0895135	17.219307	-27.84738	240000	0.0	93.646515	-0.021871723	-82.47075	0.8913665	0.0042260005	0.1255	99.0	119.26695823669434
12	-0.86462766	2.6749375	3.7419722	-7.5693283	1000.0	59.65	130.7927	565.0	0.0	-3.5833051	7.4916234	6.4795194	-36.79808	260000	1.1175871e-08	153.89948	-0.02073949	-134.94849	0.8910469	0.010239256	0.1492	99.0	129.1251027584076
13	-1.2349259	2.2851143	2.9670405	-6.0199647	1000.0	14.55	34.671997	144.0	0.0	-3.4283144	8.628596	3.272097	-41.482433	280000	-1.1920929e-08	86.267204	-0.016320815	-74.34129	0.88298273	0.019735534	0.14615002	99.0	139.03776788711548
14	-0.63218904	2.3482983	4.643911	-6.809213	1000.0	49.25	94.056305	366.0	0.0	-0.98279095	1.3460566	2.079975	-10.977119	300000	1.4901161e-08	65.41603	-0.017702417	-43.788826	0.86594546	0.0062716245	0.118949994	99.0	149.07626795768738
15	-1.7310632	2.4039683	1.3412539	-6.833917	1000.0	58.1	137.5365	552.0	0.0	-0.58112884	1.2935238	11.676496	-18.993895	320000	1.7881394e-08	98.35518	-0.019218562	-80.94138	0.87184715	0.0058779093	0.12365	99.0	158.55021405220032
16	-1.556705	3.178554	3.8219554	-8.873308	1000.0	12.0	28.927496	123.0	0.0	-2.5313942	5.7874846	25.388899	-33.982132	340000	-8.940697e-09	45.64776	-0.022932062	-39.16118	0.8716564	0.015392816	0.14320001	99.0	168.25564289093018
17	-1.0491068	2.0475194	2.1467159	-7.6574535	1000.0	50.05	83.549675	347.0	0.0	-0.6088883	1.1749038	4.407072	-9.955944	360000	1.7881394e-08	52.102623	-0.022031996	-45.109684	0.8531896	0.0085958075	0.1344	99.0	178.03305792808533
18	-1.6356528	2.1916528	1.776335	-7.0060253	1000.0	64.05	107.81024	328.0	0.0	-2.0549452	5.2874064	8.693551	-36.817654	380000	1.4901161e-09	104.688675	-0.020691613	-81.783844	0.854617	0.0088561205	0.1612	99.0	187.8739070892334
19	-0.7238182	1.7929025	2.8698099	-3.9891675	1000.0	13.5	35.184513	154.0	0.0	-1.8359902	3.2680843	10.445588	-21.3028	400000	-6.7055224e-09	18.496548	-0.020240646	-14.73039	0.8466369	0.014868702	0.1549	99.0	197.90899276733398
20	-0.5232265	2.412774	5.3077106	-3.5413463	1000.0	56.15	98.91171	332.0	0.0	-0.95259374	2.9567697	4.2026114	-19.834406	420000	-7.4505807e-10	45.331783	-0.022378795	-37.023174	0.8390237	0.006652941	0.1383	99.0	207.92479157447815
21	-0.74883354	3.0070739	2.9307795	-7.4639606	1000.0	22.9	55.82195	212.0	0.0	-1.4076964	3.3870971	15.323067	-26.750086	440000	4.4703485e-09	25.786932	-0.020885095	-23.375786	0.8370658	0.012629773	0.15215	99.0	217.7801685333252
22	-1.1697227	1.5167726	1.8952628	-3.530089	1000.0	17.9	49.719112	227.0	0.0	-2.3996253	5.348438	4.937927	-26.676315	460000	1.7881394e-08	34.27678	-0.01819091	-31.452301	0.8324876	0.016333941	0.14265	99.0	227.88730359077454
23	-1.0977407	2.3331368	2.586096	-6.372513	1000.0	15.05	28.35044	96.0	0.0	-0.5223604	1.2429638	2.7405972	-12.292489	480000	-1.1920929e-08	2.4780278	-0.021453202	-2.0527616	0.8257824	0.010652078	0.13795	99.0	237.63792324066162
24	-0.030290753	2.40916	5.9372845	-3.6915636	1000.0	20.6	50.45037	211.0	0.0	-0.31141627	0.7610338	2.3598442	-5.8909082	500000	8.940697e-09	0.7910633	-0.024325913	-0.68129	0.80724394	0.01376995	0.1647	99.0	247.87187504768372
25	-0.07656555	2.9026845	7.042467	-5.3722687	1000.0	13.15	36.696423	167.0	0.0	-0.050673645	0.26424882	2.4429514	-1.0875809	520000	8.940697e-09	0.17203617	-0.02428069	-0.058907885	0.78183293	0.014925711	0.1674	99.0	257.6038465499878
26	-0.038773224	1.6021062	3.0710716	-3.9398744	1000.0	25.9	46.495052	147.0	0.0	-0.01813202	0.30192563	2.1716473	-9.470412	540000	-2.9802323e-09	0.15581289	-0.021783954	-0.08667865	0.76897204	0.012665806	0.15230002	99.0	267.6143193244934
27	0.6121242	2.359523	4.417446	-3.170679	1000.0	65.05	136.64241	580.0	0.0	-0.014822426	0.2243405	2.8346992	-1.8752447	560000	1.4901161e-09	0.16013895	-0.024494346	-0.06463903	0.7619055	0.014826387	0.17300001	99.0	277.7504515647888
28	-0.23995945	2.7713697	4.3810244	-5.5793276	1000.0	20.65	47.082134	207.0	0.0	0.06896366	0.30164197	2.9630404	-7.679384	580000	-5.9604646e-09	0.8086683	-0.022157779	-0.282143	0.74796057	0.00798366	0.14385001	99.0	288.15503454208374
29	0.34811497	2.551683	6.99441	-4.8967776	1000.0	93.4	176.78473	802.0	0.0	-0.31720287	0.3856402	1.1974612	-1.9398123	600000	-1.4901161e-09	0.43927646	-0.025716806	-0.32500303	0.74276084	0.017526817	0.18185	99.0	297.66293597221375
30	0.25633398	2.1816466	5.5343146	-3.4239967	1000.0	33.1	42.81343	130.0	0.0	-0.008546277	0.2390589	3.7053003	-1.626057	620000	-5.9604646e-09	9.472588	-0.02154854	-5.582701	0.7231244	0.007738188	0.1527	99.0	307.9442467689514
31	0.5192841	2.4996624	4.6886697	-3.057032	1000.0	23.1	77.239174	355.0	0.0	-0.8871904	1.7233962	1.8503358	-11.058404	640000	-5.9604646e-09	6.2820983	-0.020622233	-5.240205	0.732261	0.014187565	0.1496	99.0	317.5982811450958
32	-0.14687508	2.4626014	5.226022	-4.582162	1000.0	48.2	95.18803	352.0	0.0	-0.14353359	0.7000838	4.736807	-6.921445	660000	-2.9802323e-09	0.55784667	-0.020197023	-0.44653863	0.7157964	0.011814644	0.1634	99.0	327.6289894580841
33	0.8567835	1.9107656	4.7093387	-1.7732571	1000.0	25.2	42.053062	177.0	0.0	-0.0010017876	0.35363585	2.6555083	-3.5161254	680000	1.1175871e-09	0.24547592	-0.02662082	-0.14767614	0.70002824	0.011826236	0.18710001	99.0	337.38616275787354
34	0.992945	2.5679896	7.0658875	-3.8274078	1000.0	62.45	96.627365	323.0	0.0	0.04991239	0.38148123	2.5162091	-2.3892753	700000	-7.450581e-09	0.33666041	-0.015413836	-0.19477102	0.6790983	0.011375619	0.14135	99.0	347.6279397010803
35	0.8389368	2.6146314	9.914848	-2.8655035	1000.0	26.35	62.814228	283.0	0.0	0.10224055	0.24972676	1.5337237	-1.5701126	720000	-1.1920929e-08	1.1463015	-0.023526683	-0.4976892	0.6625117	0.011857058	0.16589999	99.0	357.6855969429016
36	0.99782526	2.453175	6.429336	-3.5433455	1000.0	40.5	89.708694	340.0	0.0	-0.19941321	0.438327	2.635479	-1.7624199	740000	-1.7881394e-08	0.43669167	-0.022332583	-0.32715812	0.6537163	0.015558009	0.1694	99.0	367.31136298179626
37	1.2777517	4.194936	9.277929	-7.7068253	1000.0	66.55	145.47044	658.0	0.0	0.058122676	0.26922578	2.6736143	-2.6367342	760000	2.2351743e-09	0.2880806	-0.026890319	-0.14251092	0.64148045	0.013433985	0.17985	99.0	377.4901716709137
38	1.422672	3.5867941	6.63953	-10.586409	1000.0	43.05	70.769684	284.0	0.0	0.11513628	0.3970454	1.2787395	-1.2082077	780000	-2.0861625e-08	2.8505375	-0.026670422	-1.7472954	0.62052995	0.009660238	0.1785	99.0	387.65938329696655
39	1.5152819	3.690952	11.96188	-5.053216	1000.0	31.45	49.597862	176.0	0.0	-0.44286582	0.70573527	6.458209	-4.0919228	800000	-1.4901161e-08	1.1069493	-0.026892308	-0.67492974	0.616807	0.016293615	0.15585	99.0	397.2869701385498
40	1.993748	2.66947	7.876981	-1.3671879	1000.0	52.2	87.17144	339.0	0.0	-0.15855263	0.4024916	3.4788954	-3.0845582	820000	8.940697e-09	0.41389656	-0.027566735	-0.3169461	0.61156464	0.012993334	0.17385001	99.0	407.4954490661621
41	1.2837808	1.8237411	4.489363	-2.413816	1000.0	26.8	39.97324	143.0	0.0	0.18948184	0.36830354	8.7981615	-1.0670111	840000	2.9802323e-09	0.23648104	-0.026211735	-0.14196724	0.60012245	0.01780608	0.18465	99.0	417.67447996139526
42	1.938859	2.72163	8.355467	-2.394264	1000.0	56.8	99.41107	400.0	0.0	0.080734715	0.35713705	2.3965259	-2.4649425	860000	-1.4901161e-09	0.2700246	-0.027465964	-0.16235259	0.58473724	0.013120902	0.17359999	99.0	427.5923318862915
43	1.474448	2.4998388	4.8061476	-3.6617208	1000.0	49.95	124.35613	567.0	0.0	0.20809455	0.33749747	1.6581252	-2.0068269	880000	8.940697e-09	1.2866871	-0.024226015	-0.90366393	0.5644477	0.01095251	0.169	99.0	437.0281593799591
44	1.9426672	3.3021247	8.079005	-4.9148107	1000.0	43.95	61.074116	198.0	0.0	-0.021864632	0.5237304	2.1703243	-2.4462695	900000	-1.1920929e-08	0.9036729	-0.027256424	-0.48196045	0.54832083	0.012714624	0.16805	99.0	446.81964635849
45	1.9718441	4.426881	9.036134	-8.560261	1000.0	50.9	65.74869	272.0	0.0	-0.112044394	0.5539297	1.6607941	-4.066424	920000	6.3329937e-09	0.6156469	-0.027429368	-0.49321318	0.5333672	0.016943358	0.1956	99.0	456.8948268890381
46	2.2625597	4.0884237	11.833008	-5.6347504	1000.0	38.9	47.539352	151.0	0.0	0.23874204	0.48336133	4.14973	-2.0884106	940000	8.940697e-09	0.32669038	-0.028748512	-0.21062306	0.51961106	0.013752689	0.183	99.0	466.9976842403412
47	1.2235775	2.8270683	7.1944075	-4.179953	1000.0	36.9	71.98465	311.0	0.0	0.13567871	0.42322376	1.6528733	-1.3077049	960000	0.0	0.2425561	-0.02725922	-0.1618953	0.50368714	0.017898506	0.18055001	99.0	477.053103685379
48	1.8861325	2.6878865	8.712776	-2.6647933	1000.0	38.0	50.35375	183.0	0.0	0.15032576	0.3806172	1.7189313	-1.7159007	980000	-1.2665987e-08	0.17755067	-0.028796518	-0.08687685	0.49642235	0.014369851	0.1795	99.0	487.1155927181244
49	2.263652	3.9559357	10.534808	-8.340089	1000.0	39.7	85.925606	315.0	0.0	0.20500068	0.40245596	1.6400933	-3.1114326	1000000	-1.1920929e-08	0.25102782	-0.028422985	-0.13960569	0.48204827	0.014834186	0.18965	99.0	496.871684551239
50	2.4896655	3.236778	9.127882	-2.2600849	1000.0	91.65	132.41234	534.0	0.0	0.25082612	0.3618504	3.7557955	-1.1197152	1020000	-3.7252904e-10	0.22036469	-0.027550751	-0.13849929	0.46859717	0.011111451	0.18465002	99.0	506.61480355262756
51	3.7772326	2.6737442	11.196009	-0.29191437	1000.0	88.0	110.39565	331.0	0.0	0.30288535	0.42265683	2.9271176	-1.9046304	1040000	-4.4703485e-09	36.422726	-0.021595756	-32.45694	0.44706964	0.009477692	0.18175	99.0	516.722235918045
