Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.96622884	1.2942722	2.928302	-4.6885467	1000.0	41.75	95.7795	535.0	0.0	0.020845855	0.07013235	0.24808906	-0.18918781	80000	-2.0861625e-08	336.0986	-0.008050519	-87.01229	0.9189385	0.0042498363	0.065375	99.0	22.299288272857666
1	-1.0400509	1.418356	1.2339203	-4.9129267	1000.0	27.8625	56.876564	333.0	0.0	-3.6760926	5.740842	8.144331	-16.676207	160000	-5.9604646e-09	40.60453	-0.011215606	-39.154964	0.9273763	0.0056479005	0.074325	99.0	44.34841728210449
2	-1.2788078	1.5046047	1.7120203	-6.3321037	1000.0	32.0375	61.86466	272.0	0.0	-0.39995468	0.59604883	2.6342423	-3.443305	240000	-5.9604646e-09	0.35798454	-0.010036507	-0.2804273	0.92084205	0.0068309433	0.07615	99.0	66.37054800987244
3	-0.6144433	1.58895	3.635459	-5.916545	1000.0	63.475	93.32497	316.0	0.0	-0.16338074	0.2723051	1.0287844	-1.7636213	320000	-5.9604646e-09	0.09993813	-0.013089679	-0.042643107	0.9191122	0.008146642	0.098175004	99.0	88.80851650238037
4	0.19843921	1.385124	3.9192448	-3.133024	1000.0	74.45	117.264854	490.0	0.0	-0.063735045	0.18222493	1.1356552	-1.2656963	400000	-4.4703485e-09	4.841365	-0.012253897	-1.6002203	0.9107863	0.00523815	0.082	99.0	111.22347736358643
5	0.23678534	1.2376931	4.4673877	-2.5829065	1000.0	75.775	114.60966	534.0	0.0	-0.81168306	0.77275324	1.1155404	-6.4826946	480000	2.9802323e-09	22.66705	-0.01336644	-12.23728	0.9222976	0.0065207453	0.0896	99.0	133.72856903076172
6	0.36790228	1.4478313	4.855968	-4.0257807	1000.0	66.35	104.11473	469.0	0.0	-1.6471024	2.722936	2.7184649	-13.182354	560000	-2.0861625e-08	43.727123	-0.014261721	-26.5769	0.9326056	0.0068271486	0.102325	99.0	155.81796097755432
7	0.049172364	1.4499785	2.9854758	-4.258811	1000.0	31.0125	67.33118	365.0	0.0	-1.938308	3.8095334	8.319477	-19.502815	640000	2.9802323e-09	33.416183	-0.014223355	-16.38943	0.93704784	0.010483848	0.13022499	99.0	177.8581771850586
8	-0.24899316	1.5972012	3.8879035	-5.7569346	1000.0	45.95	91.16823	511.0	0.0	-1.2801527	1.9386545	2.0729191	-18.079065	720000	-1.4901161e-08	26.095541	-0.013879594	-13.296041	0.93033993	0.00783821	0.11078751	99.0	200.29101753234863
9	-0.09638008	1.5939969	4.1603827	-5.5627317	1000.0	32.5375	82.72982	440.0	0.0	-1.4037014	2.6689496	3.7166538	-21.271217	800000	5.9604646e-09	22.576855	-0.01432695	-13.413521	0.9357959	0.01019935	0.12136249	99.0	222.34637069702148
10	-0.3017874	1.7158933	5.227921	-4.758133	1000.0	21.3375	50.94751	285.0	0.0	-1.2948804	2.903488	3.6797428	-16.627234	880000	1.0430813e-08	11.97274	-0.014109502	-7.2208405	0.93578064	0.011589934	0.12306251	99.0	244.16194677352905
11	-0.307126	1.5588652	2.8472807	-4.303286	1000.0	40.6	95.24371	521.0	0.0	-0.63448596	0.82417405	1.772423	-13.769103	960000	5.9604646e-09	2.185802	-0.014890084	-1.1024997	0.93293655	0.0073997253	0.107287504	99.0	266.24813508987427
12	0.31451005	2.0713964	4.851104	-4.958279	1000.0	36.6125	95.0561	590.0	0.0	-0.42196465	0.6723152	1.0627213	-6.7618356	1040000	1.4901161e-08	0.59789616	-0.015054229	-0.46946746	0.9225923	0.008752583	0.1094375	99.0	287.98886823654175
13	0.82097626	2.04406	5.6021547	-4.2864013	1000.0	38.0875	90.59252	519.0	0.0	-0.062584385	0.18040119	3.9683583	-2.4133356	1120000	-1.3411045e-08	0.15821207	-0.01656015	-0.04972481	0.90945005	0.008842772	0.124125004	99.0	310.5167746543884
14	1.0063452	1.9709474	6.316195	-3.6442695	1000.0	48.6125	102.49982	500.0	0.0	0.053962175	0.18228912	1.1802987	-0.7361484	1200000	1.1175871e-08	0.10488449	-0.017759025	-0.021201078	0.8952509	0.009473398	0.1296	99.0	332.85790157318115
15	1.1318926	2.0923378	6.7052073	-8.318323	1000.0	76.775	144.59642	587.0	0.0	0.105466686	0.15227431	1.1355746	-0.61635745	1280000	5.9604646e-09	0.11615437	-0.0178526	-0.029207397	0.874472	0.011279118	0.13925	99.0	354.78028655052185
16	1.9665711	2.4339726	8.88904	-6.824341	1000.0	55.925	110.221344	673.0	0.0	0.10804436	0.19998685	2.6505415	-1.6875337	1360000	2.9802323e-09	12.069918	-0.015214274	-6.410998	0.85240495	0.006100095	0.0927125	99.0	376.39644861221313
17	1.9031645	2.8627174	12.284559	-7.2565794	1000.0	43.75	88.98644	438.0	0.0	-1.0064632	1.6576507	1.9154983	-8.993941	1440000	5.9604646e-09	13.056345	-0.015687525	-8.194168	0.8683381	0.00891772	0.1275125	99.0	398.54160618782043
18	2.4538624	2.8707824	9.855254	-6.8723497	1000.0	51.8125	103.71524	609.0	0.0	-0.78340644	1.6394415	3.654482	-12.056395	1520000	0.0	11.337219	-0.016669404	-6.8683996	0.86382973	0.008916693	0.13588752	99.0	420.14175295829773
19	2.5058646	3.0279093	9.383695	-7.2533092	1000.0	67.2625	118.72223	576.0	0.0	-0.9955845	1.6540648	2.427015	-14.5066805	1600000	3.7252903e-09	15.365657	-0.016276008	-11.726117	0.85891485	0.008838067	0.12451251	99.0	441.68375873565674
20	2.3227181	2.8930511	10.370693	-2.5920346	1000.0	50.2875	80.99416	438.0	0.0	-1.2583727	2.5940616	3.4630337	-12.758138	1680000	5.9604646e-09	21.354319	-0.01746161	-14.276201	0.8587066	0.01261037	0.146475	99.0	464.260550737381
