Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7706109	0.58912903	-0.3350052	-2.077089	1000.0	32.4	75.12683	247.0	0.0	0.012049285	0.06790558	0.14629818	-0.13811667	10000	-3.576279e-08	268.089	-0.016213581	-55.315742	0.9189385	0.006138808	0.1184	99.0	9.664287567138672
1	-0.7674309	0.826656	0.9533108	-1.9958657	1000.0	3.8	11.4	38.0	0.0	-4.206385	5.885289	5.2070284	-14.5766945	20000	-1.1920929e-08	44.461475	-0.018701136	-42.547806	0.9339983	0.010880955	0.1288	99.0	18.557491540908813
2	-0.7459307	1.4448397	1.2067974	-3.9350507	1000.0	55.1	82.451744	243.0	0.0	-0.39661074	0.6133913	0.5761148	-1.5561745	30000	-1.7881394e-08	0.38657847	-0.020020803	-0.32756418	0.91909635	0.011193532	0.1433	99.0	27.4810733795166
3	-0.86222154	1.2001194	0.7947768	-3.6297164	1000.0	113.2	110.987206	336.0	0.0	-0.16181666	0.22973612	0.7103571	-0.8114375	40000	1.7881394e-08	1.3815113	-0.021303602	-0.80421984	0.90292346	0.0095532965	0.1403	99.0	36.986600160598755
4	-0.7721843	1.2875458	0.98202884	-2.7900324	1000.0	75.1	97.46943	278.0	0.0	-0.6701118	0.45328754	0.29593658	-2.1609917	50000	-1.1920929e-08	49.5642	-0.019126695	-22.538141	0.9054928	0.0046331827	0.1102	99.0	46.169620752334595
5	-0.4657672	0.82435685	0.80679685	-1.4862021	1000.0	108.1	163.26509	568.0	0.0	-3.3545496	3.993401	3.7954922	-10.098132	60000	-8.5681675e-09	99.455345	-0.023925645	-50.7893	0.9141058	0.009980286	0.1379	99.0	55.53739786148071
6	-0.9471367	1.1257061	0.2868073	-2.734351	1000.0	7.2	15.367497	48.0	0.0	-5.470095	5.729565	0.91365004	-19.039253	70000	2.3841858e-08	48.77874	-0.024797361	-45.487984	0.9060995	0.008981721	0.1564	99.0	64.82185316085815
7	-0.3197309	1.0717281	1.5741326	-2.3167486	1000.0	49.3	109.70237	361.0	0.0	-1.0274252	1.4005985	1.2971182	-12.045864	80000	2.9802322e-08	85.9518	-0.019491225	-72.44951	0.8864132	0.00380917	0.135	99.0	73.74592900276184
8	-0.56264985	0.9031023	0.867313	-2.079451	1000.0	19.7	37.397995	123.0	0.0	-1.7096351	5.104384	16.981325	-23.35051	90000	1.4156103e-08	22.982979	-0.019669022	-19.84015	0.88450944	0.022988908	0.2053	99.0	82.47129774093628
9	-0.45102352	0.8982375	1.4233812	-1.9115247	1000.0	64.1	117.60906	386.0	0.0	-0.8161385	1.4677207	0.2938609	-11.897215	100000	1.1920929e-08	58.213554	-0.022456016	-53.474506	0.8727382	0.004670442	0.1363	99.0	91.56896615028381
