Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.35882074	1.0311265	1.5647222	-4.1365967	1000.0	39.25	88.31414	381.0	0.0	0.021801066	0.08743304	0.23238817	-0.114493236	40000	0.0	274.45996	-0.010919297	-88.66167	0.9189385	0.0047544846	0.074175	99.0	19.848268270492554
1	-0.31887025	1.2829939	4.627143	-2.6794302	1000.0	46.05	102.65694	521.0	0.0	-3.248191	5.552634	6.532462	-17.480194	80000	-9.685754e-09	36.049316	-0.013530627	-34.506897	0.9314643	0.0037170865	0.074999996	99.0	31.619641065597534
2	-0.7352078	1.689398	3.685427	-4.0110717	1000.0	51.1	115.85655	680.0	0.0	-0.2857673	0.60160446	0.7607962	-2.2535813	120000	-1.1920929e-08	0.4832437	-0.014146948	-0.4032312	0.91835845	0.008311567	0.096725	99.0	43.48888850212097
3	-0.08590747	1.0674113	1.350556	-4.39503	1000.0	71.0	106.11951	484.0	0.0	-0.084317185	0.1624171	0.638303	-0.84657776	160000	-5.9604646e-09	0.10704424	-0.014892939	-0.04244688	0.9138937	0.007628128	0.099325	99.0	55.58715629577637
4	0.09341107	1.4526277	3.0882912	-3.7094705	1000.0	55.275	78.29814	341.0	0.0	-0.10264937	0.14278631	0.4967079	-0.66186565	200000	-6.7055224e-09	7.146315	-0.014822763	-2.0784826	0.9092666	0.005665187	0.107375	99.0	67.3355507850647
5	-0.07004148	1.023386	1.964096	-3.858925	1000.0	37.625	75.00623	262.0	0.0	-0.94970274	0.894687	0.5842658	-3.6424847	240000	-1.4901161e-08	8.178324	-0.01530128	-3.9318748	0.9118129	0.010535782	0.12407501	99.0	79.36277675628662
6	-0.07174599	0.8861999	2.164207	-2.4661512	1000.0	90.775	156.82578	629.0	0.0	-0.7523401	1.1611071	2.1824822	-5.6561923	280000	8.940697e-09	9.837085	-0.016812697	-6.2900233	0.9171082	0.0077879257	0.114675	99.0	91.15919327735901
7	-0.19315472	1.3180168	2.4926665	-3.0576062	1000.0	48.5	92.76502	339.0	0.0	-1.3302817	1.8257704	0.9747524	-8.311433	320000	-2.9802322e-08	30.229279	-0.014102951	-23.916182	0.9130422	0.006802204	0.10875	99.0	103.35089826583862
8	-0.094381034	1.7609953	4.3255424	-3.5579464	1000.0	73.625	109.63477	418.0	0.0	-0.82828104	2.5736957	3.5336337	-17.799616	360000	1.1920929e-08	39.652218	-0.018108932	-30.45159	0.9151355	0.006298776	0.1189	99.0	114.9681806564331
9	-0.5216298	1.6290737	2.21997	-6.1053	1000.0	50.75	95.61374	403.0	0.0	-2.2752764	4.0674024	1.5070812	-21.962101	400000	-1.1920929e-08	57.349255	-0.017777821	-34.48713	0.91345024	0.0133081945	0.15532501	99.0	126.89373421669006
10	-0.7091826	1.518064	2.3004453	-4.0287642	1000.0	49.375	117.903076	587.0	0.0	-2.2461545	3.3982792	1.0995523	-12.09532	440000	2.5331975e-08	56.008812	-0.016917521	-38.171867	0.9166659	0.011476552	0.129325	99.0	139.09173846244812
11	-0.65975934	1.9589909	4.214142	-4.512556	1000.0	59.85	106.63478	394.0	0.0	-2.1560397	4.95671	2.3965046	-21.480143	480000	0.0	70.22725	-0.017942477	-58.03974	0.9215971	0.010768965	0.14175001	99.0	151.26837301254272
12	-1.0123012	2.0476816	3.9041822	-6.655206	1000.0	47.525	104.32449	517.0	0.0	-2.1765583	5.0821724	2.5517144	-26.575495	520000	-1.0430813e-08	47.316505	-0.017089281	-36.764915	0.91490316	0.01291022	0.1473	99.0	163.0125653743744
13	-0.87007505	1.7140067	2.4786682	-5.5666976	1000.0	35.05	63.836098	268.0	0.0	-1.7372196	4.440314	1.8108773	-22.388628	560000	0.0	45.013294	-0.01676546	-30.331152	0.9148146	0.014569314	0.158825	99.0	174.99272441864014
14	-1.3565935	2.872657	3.250026	-12.154928	1000.0	63.625	111.83329	438.0	0.0	-1.4367878	2.5165207	2.3067944	-13.392555	600000	-1.4901161e-09	50.436256	-0.018612202	-39.73698	0.92561257	0.009476383	0.14225	99.0	186.75072646141052
15	-1.1396527	1.9620037	1.5126561	-6.7893834	1000.0	22.85	73.22826	391.0	0.0	-1.8716968	4.461287	3.9396574	-23.803696	640000	0.0	40.997177	-0.01605213	-37.30193	0.927001	0.01490497	0.141375	99.0	198.50740003585815
16	-1.1364505	2.145411	3.320337	-5.892068	1000.0	29.075	103.1604	632.0	0.0	-1.3229802	3.8358889	1.8632582	-25.355051	680000	-1.0058284e-08	27.234375	-0.014538216	-23.364779	0.9246453	0.011769879	0.127675	99.0	210.4459629058838
17	-1.0551193	1.7207329	2.8459616	-5.0329604	1000.0	28.25	86.66364	499.0	0.0	-0.66832757	1.9705535	1.9859678	-20.827728	720000	-8.940697e-09	7.729635	-0.014413292	-6.319471	0.9200214	0.009801531	0.143825	99.0	222.99606347084045
18	-0.644909	2.0442533	4.617465	-6.8806686	1000.0	32.35	90.30436	438.0	0.0	-0.76533616	2.177755	1.4062366	-19.77733	760000	8.940697e-09	5.474945	-0.015094757	-4.4727163	0.9077164	0.012091042	0.1296	99.0	235.1617147922516
19	0.0065564634	2.327876	6.9782596	-6.0744467	1000.0	12.525	44.14578	255.0	0.0	-0.38704747	0.7437606	2.133082	-5.5577784	800000	-1.7881394e-08	0.79872125	-0.01851936	-0.6832196	0.8988414	0.010546832	0.12615	99.0	246.88779973983765
20	0.099346116	1.7660806	3.92145	-4.037903	1000.0	21.675	42.090015	176.0	0.0	-0.062110774	0.23845454	1.1060873	-2.4025743	840000	0.0	0.19048737	-0.018902203	-0.06702729	0.8826748	0.010212323	0.13735001	99.0	258.5859115123749
21	-0.0034336983	3.027097	5.0804977	-8.335506	1000.0	24.875	62.818863	309.0	0.0	-0.00070778467	0.17849223	2.9524045	-0.5442152	880000	-1.7508864e-08	0.19534202	-0.021144671	-0.043293554	0.8617393	0.010897734	0.152575	99.0	270.50255489349365
22	0.43314165	2.21001	5.745885	-7.1025395	1000.0	27.825	54.007355	239.0	0.0	0.01292706	0.20821394	1.3440225	-0.88254565	920000	-1.4901161e-09	0.16677722	-0.020572191	-0.052849572	0.8436843	0.012312119	0.150125	99.0	282.5189473628998
23	0.4732472	2.535234	5.9624705	-7.049692	1000.0	33.475	72.614395	405.0	0.0	0.05078228	0.22471268	1.5302265	-2.200824	960000	-1.4901161e-08	0.16392462	-0.022566868	-0.055135697	0.8275262	0.013983302	0.16132501	99.0	294.77161598205566
24	1.337854	2.6845124	8.030157	-4.549914	1000.0	40.075	79.64339	350.0	0.0	0.024337376	0.22914892	1.2297583	-1.3905638	1000000	-2.682209e-08	0.19131115	-0.023526443	-0.06827755	0.80579215	0.012307249	0.17037499	99.0	306.7828607559204
25	1.1550089	2.748672	6.2633505	-6.856838	1000.0	73.15	106.6744	353.0	0.0	0.12234547	0.19824797	1.3263936	-0.9619831	1040000	2.9802323e-09	0.1872625	-0.021733424	-0.06288737	0.77799785	0.012274501	0.16865	99.0	318.8280608654022
26	1.7656641	4.172887	9.0430355	-16.834215	1000.0	56.15	139.38554	716.0	0.0	0.10206944	0.2518007	0.723011	-1.4571098	1080000	1.0430813e-08	11.116873	-0.018323159	-8.550513	0.76329887	0.001451826	0.110774994	99.0	330.92910289764404
27	1.7698303	3.2078035	9.510676	-4.94729	1000.0	54.925	100.33105	516.0	0.0	-0.8738443	2.2459111	1.5701338	-13.048357	1120000	1.1920929e-08	12.412722	-0.020343924	-9.105571	0.7695711	0.012887428	0.15664999	99.0	343.0324239730835
28	2.2398736	2.7906034	10.320919	-3.1061554	1000.0	72.35	92.45338	397.0	0.0	-0.89271945	1.6954833	2.451643	-16.574564	1160000	8.940697e-09	18.207901	-0.022007355	-12.905459	0.7692298	0.008564917	0.154425	99.0	354.9835822582245
29	1.3117079	3.340429	9.074471	-6.02162	1000.0	64.75	135.12175	801.0	0.0	-1.7271175	3.347505	2.4468784	-17.736013	1200000	-4.4703485e-09	46.79496	-0.020291926	-38.41918	0.761488	0.010146151	0.1559	99.0	367.31966853141785
30	2.3799765	2.6806216	12.174573	-1.9843843	1000.0	45.3	64.721405	298.0	0.0	-1.1133939	2.0739717	1.865897	-20.497688	1240000	-8.940697e-09	27.034595	-0.022529472	-21.871368	0.75278145	0.01233869	0.15659998	99.0	378.81165051460266
31	2.2570496	2.704445	7.0430465	-5.507565	1000.0	37.575	76.7173	387.0	0.0	-2.395201	4.3646965	4.205256	-26.460821	1280000	0.0	34.041573	-0.021218149	-26.338785	0.7546058	0.013504815	0.156275	99.0	391.1030900478363
