Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.4032689	1.2343693	4.2372236	-4.1365967	1000.0	40.5125	82.51136	381.0	0.0	0.02193942	0.087588675	0.23727135	-0.12333755	80000	2.8312206e-08	286.49582	-0.008442675	-87.736725	0.9189385	0.00501474	0.066199996	99.0	22.459343671798706
1	-0.7019087	1.3569826	3.1210184	-4.61696	1000.0	46.45	85.26853	355.0	0.0	-3.1912794	5.6446714	5.7019343	-16.751158	160000	-3.8743018e-08	36.417797	-0.011431395	-34.312126	0.92759144	0.006326659	0.0690625	99.0	44.620187520980835
2	-0.59176356	1.5002168	3.9859033	-6.4576488	1000.0	33.45	80.2633	365.0	0.0	-0.3026	0.87820727	2.4279466	-3.267531	240000	1.1920929e-08	0.74509364	-0.010164255	-0.38966233	0.91848755	0.0065906895	0.07224999	99.0	66.18854427337646
3	-0.29866067	1.3959364	4.559048	-4.7052913	1000.0	35.4	75.260155	344.0	0.0	-0.09095431	0.61724466	2.4415138	-2.502252	320000	-5.9604646e-09	0.41032687	-0.010618538	-0.24832097	0.9066733	0.0067397454	0.079875	99.0	88.12922048568726
4	0.16470014	1.1626335	3.9267101	-2.9827943	1000.0	52.425	90.08021	435.0	0.0	-0.042453904	0.3524368	1.7216941	-1.4937613	400000	-5.9604646e-09	0.15055355	-0.013661954	-0.06831291	0.9012798	0.008296823	0.100125	99.0	110.28433775901794
5	0.4018468	1.7712137	5.6711426	-4.9387355	1000.0	88.35	150.45615	558.0	0.0	-0.005406712	0.22922744	0.6851676	-0.88533044	480000	2.9802323e-09	0.3860294	-0.013107175	-0.13672426	0.89464986	0.0070091276	0.0930125	99.0	132.56372117996216
6	1.4045012	1.6078788	5.5868998	-4.2991943	1000.0	68.2	120.461136	549.0	0.0	-0.17110723	0.23388352	0.6142274	-0.8314203	560000	-1.4901161e-08	28.882177	-0.010941679	-12.1177845	0.89163935	0.0036201745	0.075325	99.0	154.78220415115356
7	0.6951221	1.6290289	7.2488813	-2.5478446	1000.0	84.7875	124.387665	581.0	0.0	-1.5520841	2.2216997	5.4644766	-8.471776	640000	-9.685754e-09	54.124115	-0.013693379	-31.741968	0.8986341	0.005864582	0.09451251	99.0	177.0346519947052
8	1.1267111	1.4600886	6.0443964	-1.7129575	1000.0	64.7625	113.374405	612.0	0.0	-2.2312763	3.5739906	4.565479	-19.696753	720000	5.9604646e-09	68.92351	-0.014688157	-44.428078	0.9069233	0.008723589	0.11713751	99.0	198.71901535987854
9	0.80119455	1.8122416	7.007591	-3.0421312	1000.0	55.5375	115.36994	565.0	0.0	-2.4677448	4.64827	29.08807	-28.68246	800000	-1.4901161e-09	72.85492	-0.013831809	-46.64174	0.90874565	0.009070347	0.12109999	99.0	220.67875051498413
10	0.5393861	1.9390761	6.009584	-6.796506	1000.0	34.2375	98.369484	640.0	0.0	-2.3690429	4.8896585	29.237614	-29.684319	880000	4.0978194e-09	68.566216	-0.01297163	-41.661522	0.90790796	0.011070011	0.1329	99.0	242.65210056304932
11	0.4603087	1.7194427	5.153998	-4.529843	1000.0	39.8375	97.19599	646.0	0.0	-1.2777109	3.032431	5.660714	-33.161198	960000	-2.2351743e-09	46.558693	-0.012154935	-26.45929	0.9057311	0.0071969973	0.10380001	99.0	265.2597858905792
12	1.009055	2.5825293	11.461672	-5.274986	1000.0	29.4625	58.813038	319.0	0.0	-1.5371654	2.6663656	4.7503395	-14.832842	1040000	-7.4505807e-10	26.556042	-0.013897103	-11.440679	0.9117799	0.009258981	0.118525006	99.0	287.6431815624237
13	0.3922515	1.9711888	4.9737377	-3.522461	1000.0	15.3875	40.04544	221.0	0.0	-1.0293461	2.1001842	8.082612	-15.858178	1120000	-8.940697e-09	11.23447	-0.013977637	-6.1917872	0.9093958	0.009026341	0.1127125	99.0	310.02038645744324
14	0.17683034	2.8360147	7.1709146	-10.112646	1000.0	7.6125	24.895025	178.0	0.0	-0.6829872	1.5092657	3.9324949	-12.364474	1200000	-8.940697e-09	3.028607	-0.013797032	-2.055583	0.9089155	0.009015896	0.100637496	99.0	332.1405508518219
15	0.47939187	2.3792393	5.5984397	-6.6017065	1000.0	10.3	32.96073	227.0	0.0	-0.2024924	0.5496894	2.9415216	-6.3889074	1280000	-8.940697e-09	0.45914745	-0.01437178	-0.3446589	0.8940855	0.009498168	0.107362494	99.0	354.0125925540924
16	0.612883	2.5779238	7.5249624	-6.8951483	1000.0	29.3	103.18192	736.0	0.0	0.046718773	0.2362187	2.9408677	-4.468651	1360000	-2.9802323e-09	0.16284719	-0.015774887	-0.04516805	0.88098097	0.008851996	0.118975	99.0	376.30854988098145
17	1.1391532	2.784208	11.094666	-9.786067	1000.0	33.25	65.58077	361.0	0.0	0.07560015	0.16800474	1.7933816	-1.2001059	1440000	0.0	0.14622153	-0.016320512	-0.025986621	0.8678974	0.008746773	0.11805	99.0	398.2944166660309
18	2.0621185	3.043454	9.869226	-9.621523	1000.0	30.675	74.70237	486.0	0.0	0.10795033	0.18979506	1.571585	-0.7670875	1520000	-2.9802323e-09	0.18074146	-0.016802099	-0.036021758	0.84902906	0.008892024	0.1148	99.0	421.01618123054504
19	2.349023	2.8461175	10.206614	-4.3803864	1000.0	28.7625	58.343864	282.0	0.0	0.19315231	0.21827538	1.3935837	-0.9672439	1600000	-7.4505807e-10	0.18545428	-0.017801875	-0.03873787	0.83725584	0.009808051	0.12987499	99.0	443.5065267086029
