Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.2878912	0.57837397	0.4802671	-1.691483	1000.0	56.0	108.44261	358.0	0.0	0.005554639	0.0471934	0.119970515	-0.114493236	10000	2.9802323e-09	403.08813	-0.017113645	-155.5584	0.9189385	0.0072656595	0.109500006	99.0	11.978700160980225
1	-0.032286547	1.6155002	4.2075114	-2.0333772	1000.0	10.5	22.571	71.0	0.0	-4.034134	7.2886844	6.770422	-17.636215	20000	3.576279e-08	60.50921	-0.018731633	-57.650078	0.92685044	0.0053942315	0.119	99.0	21.691713333129883
2	-0.6682256	1.7644777	3.0202687	-3.1155512	1000.0	24.9	59.66984	198.0	0.0	-0.5887152	0.5587272	0.8607399	-1.7647728	30000	2.3841858e-08	0.67433155	-0.019095324	-0.58794016	0.9033183	0.008795753	0.122899994	99.0	31.092480182647705
3	-0.17358574	1.2508703	1.8932356	-2.519546	1000.0	31.2	74.63083	252.0	0.0	-0.2227013	0.20689605	1.1925659	-1.4346777	40000	-1.1920929e-08	0.14367136	-0.017133879	-0.078294	0.9013187	0.010315771	0.12449999	99.0	40.366347312927246
4	0.10815736	1.3040866	2.8712595	-2.3722525	1000.0	35.2	49.1341	147.0	0.0	0.015971474	0.21439938	1.3182236	-1.1498812	50000	-1.3038516e-09	0.093918025	-0.020150607	-0.05095785	0.88855183	0.011634434	0.1508	99.0	49.907155990600586
5	0.05319761	0.9223759	2.1321728	-0.9296781	1000.0	90.2	111.359604	345.0	0.0	0.020182487	0.10965128	0.42065066	-0.6863378	60000	2.0861625e-08	0.055697322	-0.023896001	-0.018292334	0.88093555	0.014412942	0.1672	99.0	59.33311319351196
6	0.60381997	1.7398998	2.4763784	-3.646457	1000.0	46.4	73.30239	245.0	0.0	0.04446308	0.095040455	0.6839994	-0.25396562	70000	1.1920929e-08	16.981237	-0.01781244	-9.996447	0.865507	0.005180564	0.12019999	99.0	68.98268604278564
7	-0.790626	1.6112634	1.0052011	-4.4877462	1000.0	94.9	264.97787	889.0	0.0	-1.2217879	1.7929991	3.8747873	-10.752444	80000	-1.7881394e-08	59.024097	-0.021253724	-37.84655	0.87752724	0.004749992	0.1115	99.0	78.20084309577942
8	0.5761832	1.5096148	3.3258774	-1.8342624	1000.0	51.2	102.68963	331.0	0.0	-1.3740501	2.3501582	0.7401834	-9.166194	90000	2.2351742e-08	56.713127	-0.017725872	-12.071145	0.89061654	0.004998261	0.1313	99.0	87.60863900184631
9	0.028574515	1.6556376	3.9242682	-2.5969982	1000.0	19.2	28.045677	81.0	0.0	-1.7354709	1.8278961	10.819869	-3.817779	100000	-5.9604646e-09	10.244067	-0.02030917	-3.2090042	0.8966379	0.012822293	0.15050001	99.0	97.29252290725708
10	-0.31915385	1.3789803	2.8656695	-3.0658453	1000.0	87.5	146.68759	476.0	0.0	-0.8494117	1.0508192	0.5732635	-3.2140052	110000	3.576279e-08	60.241627	-0.021483127	-19.302254	0.8977661	0.008386331	0.1415	99.0	106.70827174186707
11	-0.079480484	1.3366688	3.0197015	-2.170602	1000.0	80.4	125.69185	331.0	0.0	-2.2467403	2.5011983	0.519044	-13.54646	120000	-8.940697e-09	76.45328	-0.023953458	-65.19077	0.91829157	0.010934549	0.1515	99.0	115.86382985115051
12	-0.082183644	1.4431882	2.3198574	-1.9888074	1000.0	61.1	105.40062	335.0	0.0	-1.5934088	2.7349415	0.59149694	-24.077286	130000	-1.7881394e-08	90.558	-0.020232072	-80.26198	0.93226945	0.0023748472	0.12740001	99.0	125.06641101837158
13	-0.20216103	1.0354091	0.8210456	-2.6689317	1000.0	93.2	136.28264	441.0	0.0	-5.688357	9.238439	10.316274	-26.624334	140000	4.4703485e-09	249.62419	-0.025352526	-201.78642	0.9324695	0.024676088	0.181	99.0	134.64984607696533
14	0.09595706	0.7150177	1.2169293	-1.0256622	1000.0	19.5	38.0979	101.0	0.0	-4.6243424	7.435467	23.736166	-35.82323	150000	-2.3841858e-08	63.525654	-0.021295954	-44.147984	0.93289936	0.01578007	0.1499	99.0	143.97967290878296
15	-0.75338143	0.6812789	0.12474591	-2.1026032	1000.0	30.4	42.769615	117.0	0.0	-2.4186494	4.3066874	2.4089653	-32.6785	160000	-2.9802323e-09	54.004803	-0.021031788	-23.97575	0.91260386	0.021747086	0.2135	99.0	153.4040265083313
16	0.04388833	1.0622143	2.691177	-1.0916682	1000.0	34.3	65.143	220.0	0.0	-1.8113922	1.0869688	24.315924	-2.8559303	170000	1.4901161e-08	23.175892	-0.022767937	-2.1942985	0.91130817	0.0082734	0.1191	99.0	162.6037118434906
17	-0.25211793	1.7506464	2.2317815	-3.8168218	1000.0	122.4	173.12897	464.0	0.0	-1.9076359	1.1235623	4.337386	-3.756056	180000	-5.9604646e-09	201.40117	-0.02417184	-135.33334	0.92765677	0.008861106	0.12419999	99.0	171.87232875823975
18	-0.21918753	1.728972	2.8075864	-3.7915044	1000.0	35.7	51.544254	142.0	0.0	-4.320023	5.2871366	0.32135528	-22.121332	190000	-8.940697e-09	59.759193	-0.021999607	-26.801373	0.9462848	0.016301332	0.16319999	99.0	181.20458364486694
19	-0.23180799	1.2959177	1.0695046	-2.847134	1000.0	74.7	142.41562	459.0	0.0	-2.7189026	2.2718275	-0.68700314	-7.746808	200000	5.9604646e-09	178.3178	-0.019458657	-88.80544	0.9355136	0.0041480944	0.115399994	99.0	190.15781664848328
20	-0.4409359	1.3265219	2.2785757	-2.5696776	1000.0	35.6	52.05804	176.0	0.0	-5.02499	6.6152725	0.18429285	-37.868927	210000	1.73226e-08	87.93147	-0.024148904	-53.053852	0.9505733	0.021901	0.20870002	99.0	199.3854444026947
21	-0.085618064	2.017681	3.1345763	-4.4315333	1000.0	23.5	43.58268	120.0	0.0	-2.7696388	2.838876	-0.8649566	-24.621733	220000	1.4901161e-09	31.596186	-0.018333882	-13.384905	0.95151377	0.019803133	0.1751	99.0	208.66472268104553
22	0.32802978	1.8837166	4.4652085	-2.5519009	1000.0	24.2	53.129654	170.0	0.0	-1.9341227	1.830127	2.020734	-6.772316	230000	-7.450581e-09	33.70888	-0.016867097	-16.174437	0.940948	0.009920245	0.1428	99.0	217.94387650489807
23	-0.21076421	0.80627364	1.0858283	-1.2701902	1000.0	13.4	40.2	134.0	0.0	-1.5677581	2.5022132	4.708693	-11.754765	240000	1.6391278e-08	16.097918	-0.016648035	-5.1409	0.9449409	0.01303382	0.15480001	99.0	226.98768281936646
24	-2.016034	3.2814934	0.4406597	-7.5006943	1000.0	70.6	136.50436	455.0	0.0	-0.8127223	1.0665936	1.732548	-3.5006795	250000	-1.1920929e-08	75.53336	-0.020039827	-54.07926	0.9285081	0.005943167	0.1158	99.0	236.14223098754883
25	-0.8806907	1.7878727	2.9305046	-4.3883305	1000.0	26.9	80.700005	269.0	0.0	-5.230152	6.1953654	0.17110616	-23.417665	260000	-2.0861625e-08	88.78196	-0.023070257	-61.137413	0.9391389	0.019415919	0.16560002	99.0	245.7110402584076
26	-0.82304347	2.6297264	2.9707086	-7.7434545	1000.0	8.7	23.858122	80.0	0.0	-1.454998	1.107116	1.1815331	-5.151421	270000	2.9802323e-09	5.4088545	-0.018269954	-2.6164331	0.9336468	0.014037995	0.1543	99.0	255.216406583786
27	0.041760027	1.5557702	3.540527	-1.7949598	1000.0	22.1	26.804663	79.0	0.0	-0.2986057	2.1858146	33.691936	-2.7593968	280000	8.940697e-09	7.7443223	-0.016090304	-5.4831624	0.92569697	0.011317015	0.1712	99.0	264.6112861633301
28	-0.022497188	1.1149141	2.6771977	-1.4244534	1000.0	26.7	42.82768	134.0	0.0	-0.62170345	1.0914688	4.725013	-3.6296968	290000	-1.1920929e-08	2.5150144	-0.028535793	-1.5245434	0.9291352	0.01865242	0.1875	99.0	273.7516362667084
29	0.63627476	1.1018703	2.6911833	-0.6687271	1000.0	6.6	11.288933	30.0	0.0	-0.501904	0.41401166	0.41715336	-1.5331798	300000	-1.1920929e-08	0.5149696	-0.025121853	-0.42493066	0.9238409	0.017038748	0.2017	99.0	283.18251395225525
30	-1.2770317	2.136925	0.9076121	-5.9781113	1000.0	14.6	31.598103	100.0	0.0	-0.013682172	0.2045089	0.94898754	-0.3292548	310000	5.9604646e-09	0.19757225	-0.023211712	-0.027849834	0.91055155	0.012538244	0.16129999	99.0	292.5424225330353
31	0.9934923	1.3801204	3.2061458	-1.2702273	1000.0	57.1	87.512794	246.0	0.0	-0.15446416	0.10784186	0.7058437	-0.5046828	320000	-1.4901161e-09	0.2059656	-0.027167577	-0.07164256	0.9048201	0.017107215	0.2315	99.0	301.9498426914215
32	0.6672424	1.6884006	3.808403	-2.5657597	1000.0	108.3	139.62524	442.0	0.0	0.24095142	0.9092819	14.778881	-0.12466407	330000	-2.3841858e-08	3.4322352	-0.024685908	-1.972312	0.87613904	0.010094377	0.15269999	99.0	311.3407175540924
33	-0.3995432	2.3188388	1.7801006	-4.890593	1000.0	30.8	50.127438	145.0	0.0	-0.6521489	0.57325244	0.1149621	-1.7819858	340000	1.7881394e-08	15.818952	-0.021824468	-2.9118476	0.87225735	0.006839073	0.1374	99.0	320.31646943092346
34	0.18866344	1.0485277	2.3166034	-0.9934742	1000.0	142.5	119.5594	358.0	0.0	-1.2456559	1.1467577	1.3731492	-3.8248494	350000	4.61936e-08	69.54668	-0.02614897	-29.117435	0.88702786	0.0044549536	0.16029999	99.0	329.7005798816681
35	-0.21287687	1.9415933	1.8372679	-3.9630368	1000.0	23.0	42.850903	116.0	0.0	-3.378705	2.4830046	2.6831656	-9.101008	360000	2.9802322e-08	28.58695	-0.025506744	-18.944626	0.8890158	0.017549496	0.1968	99.0	339.1428771018982
36	-0.7146821	2.3575034	1.5182868	-7.0880237	1000.0	68.2	169.3433	572.0	0.0	-1.7333355	3.1531944	8.736317	-13.195812	370000	-2.9802323e-09	138.69136	-0.025122505	-119.523026	0.89352405	0.015887747	0.1783	99.0	348.54245138168335
37	-2.0381799	3.9185212	1.6807677	-10.568444	1000.0	90.0	138.28087	378.0	0.0	-3.4752653	7.744684	18.644802	-31.00266	380000	7.450581e-09	116.426	-0.022110473	-92.817795	0.88129437	0.007411164	0.1271	99.0	357.95628786087036
38	0.26976442	1.4279332	2.8230302	-1.2703749	1000.0	36.7	63.645973	215.0	0.0	-1.7832477	3.2953196	3.597231	-27.099092	390000	-4.172325e-08	71.62695	-0.025300885	-26.517254	0.8884959	0.031159187	0.2648	99.0	367.18061780929565
39	-0.07599588	1.2231894	1.9695046	-2.0033202	1000.0	26.8	43.714527	125.0	0.0	-1.9833721	2.3040416	27.652359	-7.1189184	400000	5.9604646e-09	28.399853	-0.025115052	-19.665716	0.8870152	0.03555287	0.23530002	99.0	376.5965943336487
40	0.26660407	1.0324212	1.9940661	-1.0514605	1000.0	74.6	196.98386	664.0	0.0	-0.9238293	1.1457529	1.3291161	-9.919868	410000	-1.7881394e-08	146.48605	-0.02242959	-113.811844	0.896706	0.002517453	0.1227	99.0	385.96025228500366
41	0.033003688	0.9028717	2.1401067	-1.3311325	1000.0	115.2	186.85919	582.0	0.0	-0.48369214	3.1753047	1.6525328	-26.256073	420000	-2.3841858e-08	250.09366	-0.021070447	-214.77364	0.899263	0.0035640516	0.10569999	99.0	395.07427859306335
42	0.18883619	1.4283212	2.7289276	-2.1760027	1000.0	33.3	65.6202	220.0	0.0	-6.2258406	9.92533	1.6084111	-38.167824	430000	5.9604646e-09	119.74204	-0.025321845	-112.076035	0.9127275	0.02202076	0.1898	99.0	403.96226954460144
