Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.85468197	1.1527023	0.80216324	-3.243483	1000.0	47.05	71.28778	243.0	0.0	0.022338105	0.09073183	0.2584076	-0.20115301	20000	0.0	310.06412	-0.012430561	-93.42665	0.9189385	0.005268703	0.09749999	99.0	12.36778450012207
1	-0.83398616	1.2248613	1.3104419	-3.6622605	1000.0	42.25	78.53717	317.0	0.0	-4.6987205	6.0310354	4.1355867	-16.831217	40000	1.1920929e-08	49.710655	-0.015952257	-47.455643	0.91099846	0.008065407	0.11355001	99.0	22.168163537979126
2	-1.3683202	1.3106581	0.36024347	-4.5426893	1000.0	25.65	63.94238	275.0	0.0	-0.4863618	0.6640248	0.63756907	-2.0396254	60000	-1.1920929e-08	0.4992041	-0.015492941	-0.44728762	0.89982	0.0068205716	0.10165	99.0	31.85236406326294
3	-0.62576437	1.2551422	1.1455255	-3.5824609	1000.0	32.3	129.14957	593.0	0.0	-0.16731292	0.22311938	0.78884757	-1.1285113	80000	2.682209e-08	0.088776104	-0.018226633	-0.056225397	0.8929471	0.009327682	0.12460001	99.0	41.3232147693634
4	-0.37663653	1.1115994	2.3322365	-2.1128354	1000.0	40.2	80.78836	324.0	0.0	-0.097942226	0.15722303	0.46592543	-0.51094294	100000	-2.9802323e-09	0.07039293	-0.020528862	-0.03168638	0.8808335	0.012083514	0.14044999	99.0	50.67223119735718
5	0.12283142	0.92356366	2.1494832	-1.7206415	1000.0	52.15	76.68329	201.0	0.0	-0.05915339	0.123764046	0.8423667	-0.53807026	120000	5.9604646e-09	0.04572999	-0.021946136	-0.020210695	0.8783423	0.011256017	0.15745	99.0	60.319987535476685
6	0.5738307	0.9651125	2.8446155	-0.5629039	1000.0	85.4	137.76807	548.0	0.0	0.019270027	0.11380429	0.40082994	-0.38131016	140000	-1.1920929e-08	0.24762407	-0.023792015	-0.085121825	0.8652259	0.0137991905	0.15634999	99.0	69.73295879364014
7	0.5791147	1.4953604	3.5769205	-3.2983952	1000.0	67.8	97.0776	361.0	0.0	-0.12466299	0.19591473	0.3533776	-0.733465	160000	4.172325e-08	21.60262	-0.017276201	-14.432086	0.8652307	0.002289999	0.11905	99.0	79.26197504997253
8	0.76938134	1.7313051	6.4943757	-1.6330111	1000.0	118.55	201.23706	547.0	0.0	-1.2346586	2.2817106	5.1095934	-9.54329	180000	1.7881394e-08	75.61397	-0.020146217	-56.314537	0.8579418	0.0053069205	0.110249996	99.0	88.73492980003357
9	0.66047156	2.5354867	6.0803156	-7.4440317	1000.0	67.55	117.56295	427.0	0.0	-3.5345707	7.2569075	19.879253	-21.65678	200000	0.0	108.03668	-0.019595403	-84.18648	0.8617219	0.012076264	0.16559999	99.0	98.30106282234192
