Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7581018	1.2088625	1.7607343	-4.3730645	1000.0	33.175	69.84336	330.0	0.0	0.009435103	0.0857157	0.2584076	-0.20115301	80000	8.940697e-09	209.91602	-0.008207505	-56.023552	0.9189385	0.005017313	0.0695125	99.0	24.546948671340942
1	-0.9835793	1.5475394	1.4608911	-5.7532477	1000.0	32.3125	91.01409	512.0	0.0	-3.1922123	4.783298	6.0031466	-15.493029	160000	2.9802323e-09	28.735989	-0.011695234	-27.473354	0.926167	0.006768984	0.07745	99.0	46.530476093292236
2	-0.6380043	1.3722515	2.5442119	-5.0400834	1000.0	37.0	88.14122	361.0	0.0	-0.3031583	0.5942922	1.0072547	-2.199712	240000	2.3841858e-08	0.40128765	-0.010527471	-0.31089076	0.92482233	0.0067773582	0.077687494	99.0	68.67645740509033
3	-0.3155304	1.47913	3.586235	-4.5773263	1000.0	23.125	54.857403	276.0	0.0	-0.095322035	0.23969075	1.7031978	-1.5917971	320000	5.2154063e-09	0.09495532	-0.012774089	-0.04169421	0.91608083	0.0075063803	0.095937505	99.0	90.49093961715698
4	0.10765002	1.4454089	4.9542017	-4.705214	1000.0	61.5875	113.919235	492.0	0.0	-0.030339094	0.17537902	1.076081	-0.83696383	400000	2.9802323e-09	0.05972631	-0.014718528	-0.01422851	0.9122962	0.009388155	0.111187495	99.0	112.24310684204102
5	0.8002674	1.7042879	5.9837074	-4.9060435	1000.0	74.35	133.20915	681.0	0.0	0.0036706727	0.1415589	1.8865924	-0.8334315	480000	-2.9802323e-09	4.3037367	-0.011995778	-1.4138927	0.907949	0.0045365756	0.07978751	99.0	134.3021993637085
6	0.62685394	1.4269531	3.9594474	-2.9708936	1000.0	54.1625	89.36924	448.0	0.0	-0.6292506	0.7532618	0.74310434	-4.6562867	560000	7.4505807e-10	14.702441	-0.013490617	-7.775434	0.9215015	0.006366886	0.0946375	99.0	156.49754571914673
7	0.45733136	1.6790054	6.188677	-4.2034206	1000.0	38.1125	75.054306	442.0	0.0	-1.3035725	2.1000783	4.4444237	-12.667832	640000	0.0	14.800845	-0.01566121	-8.96666	0.9340315	0.0101643065	0.135025	99.0	179.08936882019043
8	0.48066288	2.1566517	7.1057706	-4.55128	1000.0	61.1	99.10595	377.0	0.0	-0.8764916	1.8698821	1.1631215	-17.46624	720000	7.450581e-09	14.17025	-0.014097495	-5.553073	0.9294859	0.008562838	0.119325	99.0	201.21752166748047
9	0.6606819	1.8456523	6.785438	-2.6215017	1000.0	47.7125	104.58838	684.0	0.0	-1.1904023	1.3973	1.8667586	-14.66414	800000	2.9802323e-09	18.511356	-0.014782044	-11.273066	0.93132925	0.008381545	0.12401249	99.0	223.33364510536194
