Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.66601545	1.2588125	0.80216324	-3.1979325	1000.0	53.3	67.1432	161.0	0.0	0.008509987	0.06533855	0.1431052	-0.13378529	10000	3.576279e-08	322.4093	-0.016609032	-112.63511	0.9189385	0.007392724	0.1165	99.0	9.57675552368164
1	-0.5922392	1.7171408	2.2214181	-3.6005692	1000.0	4.9	11.75117	39.0	0.0	-4.9090867	6.7561235	5.959489	-16.8315	20000	1.1920929e-08	59.39622	-0.019347094	-56.75061	0.91133976	0.010884503	0.1345	99.0	18.289892435073853
2	-2.330716	2.2952914	0.7306865	-5.887502	1000.0	13.9	41.7	139.0	0.0	-0.511826	0.7944399	0.62022984	-2.1728613	30000	-2.3841858e-08	0.812778	-0.015365553	-0.7511112	0.9028357	0.0051742243	0.10109999	99.0	27.138636589050293
3	-1.4714705	2.1375203	0.5000895	-6.026795	1000.0	17.1	51.3	171.0	0.0	-0.2709578	0.18060003	0.13695136	-0.84758466	40000	-5.9604646e-09	0.06988154	-0.02017505	-0.029668206	0.8840977	0.012728201	0.1671	99.0	35.87545704841614
4	-0.31540102	1.4219972	2.6297581	-2.36253	1000.0	48.4	100.955635	340.0	0.0	-0.18229672	0.22732402	0.16936806	-0.89843565	50000	0.0	0.10235101	-0.02128952	-0.062614426	0.8767437	0.013126555	0.1619	99.0	44.797353744506836
5	-0.13355759	0.5928014	1.0448306	-1.2136834	1000.0	80.2	126.45695	347.0	0.0	-0.0553025	0.09234339	0.21692722	-0.47552788	60000	-8.940697e-09	0.04153898	-0.021150004	-0.012863028	0.86751366	0.016465519	0.1735	99.0	53.726011514663696
6	0.24852178	0.79401934	1.5474235	-0.80886644	1000.0	136.6	171.4679	526.0	0.0	-0.016822195	0.058567278	0.14212453	-0.30013427	70000	-2.3841858e-08	45.066856	-0.022044307	-27.384542	0.856691	0.0038368083	0.12149999	99.0	62.53372025489807
7	0.38170892	1.1498603	2.4390113	-1.270906	1000.0	93.1	104.628334	274.0	0.0	-2.139898	2.0068073	1.6885607	-9.523172	80000	-1.1920929e-08	124.66235	-0.021149334	-54.187855	0.86746657	0.0043811714	0.1355	99.0	71.45387768745422
8	1.0309355	1.5862833	4.2556705	-0.6868641	1000.0	88.9	92.670876	227.0	0.0	-3.526454	3.2626562	1.344739	-14.575932	90000	0.0	115.54045	-0.026391054	-72.96773	0.8683076	0.0071315975	0.1628	99.0	80.27553415298462
9	-0.115551904	1.9131861	3.0682151	-3.8029838	1000.0	79.7	142.14151	488.0	0.0	-5.1425867	5.611376	1.2941313	-19.441656	100000	-5.9604646e-09	206.51656	-0.022718813	-175.55696	0.8637172	0.010107428	0.14119999	99.0	89.14526224136353
10	-0.7000779	1.347724	1.1609114	-3.1007082	1000.0	24.8	33.993526	104.0	0.0	-3.8242097	6.399658	0.78961736	-36.6031	110000	-2.9802323e-09	60.910484	-0.020967493	-53.0532	0.8700801	0.018448045	0.17259999	99.0	98.02922368049622
11	-0.5077651	1.3534322	1.0326492	-3.6080496	1000.0	36.3	47.29281	126.0	0.0	-0.5313308	2.8664405	5.2788363	-21.68181	120000	1.1920929e-08	49.51452	-0.022125432	-37.417004	0.85761404	0.012610147	0.1602	99.0	107.05359029769897
12	-0.39335924	0.73955715	0.48793307	-1.9219555	1000.0	85.7	118.254005	359.0	0.0	-1.9539437	3.0421324	0.5395396	-26.653076	130000	2.3841858e-08	183.57765	-0.026601875	-153.44125	0.8706552	0.0129195545	0.1605	99.0	116.01096296310425
13	0.42774367	0.69227475	1.7071822	-0.5988634	1000.0	32.7	58.81165	184.0	0.0	-8.013754	13.130198	34.822624	-34.54536	140000	-1.4901161e-08	258.05856	-0.024690088	-221.17976	0.8699068	0.02083266	0.16870001	99.0	124.73981261253357
14	0.61733747	1.6148922	3.8045762	-1.9133544	1000.0	46.3	51.94045	142.0	0.0	-1.9469289	3.2227814	11.6417465	-15.048577	150000	1.7881394e-08	56.094982	-0.027410338	-47.873707	0.8622165	0.010833512	0.1921	99.0	133.66994404792786
15	-0.48307428	0.6147148	0.69268286	-1.1327312	1000.0	15.8	33.519547	104.0	0.0	-1.942566	3.3705347	6.5889482	-20.621527	160000	-1.5832484e-08	29.24292	-0.023496881	-17.772783	0.85800993	0.01778466	0.19180001	99.0	142.39519667625427
16	0.7412866	1.3341305	3.3991234	-1.0819548	1000.0	24.5	60.278107	201.0	0.0	-2.4632025	3.7838037	3.173234	-17.07468	170000	2.9802322e-08	66.031364	-0.024532508	-60.01527	0.84729975	0.03709904	0.2236	99.0	151.22724413871765
17	-0.0986161	0.85925865	0.9409444	-2.0188878	1000.0	75.1	190.75085	646.0	0.0	-1.6829963	4.540245	0.36048132	-38.59107	180000	1.0430813e-08	191.17902	-0.024285613	-176.24011	0.8213725	0.006444583	0.1366	99.0	160.05559039115906
18	-0.19889057	0.73246264	1.2675256	-1.5295143	1000.0	20.2	55.779568	187.0	0.0	-2.6072762	4.9021683	11.133154	-32.81153	190000	-1.8626451e-09	67.77106	-0.023318656	-32.9159	0.8429309	0.027289301	0.20680001	99.0	168.99477887153625
19	-0.44717568	1.737903	3.57039	-3.3221846	1000.0	5.2	15.6	52.0	0.0	-1.3804295	2.1220698	14.404901	-5.6919165	200000	-3.8743018e-08	8.553453	-0.020461211	-5.9636493	0.8414273	0.02243087	0.19610001	99.0	177.88295698165894
20	0.6146125	1.2463306	4.0018387	-0.5410888	1000.0	50.1	111.093155	362.0	0.0	-0.2615812	0.54716694	0.42374963	-3.467676	210000	-3.576279e-08	52.795918	-0.018649867	-18.37999	0.8321198	0.00039949772	0.13509999	99.0	186.59508728981018
21	-1.2962091	1.7357607	0.4684493	-4.653657	1000.0	1.8	5.4000006	18.0	0.0	-1.3887753	2.4646068	18.64449	-9.377177	220000	-1.7881394e-08	7.538395	-0.019306391	-6.957399	0.844499	0.020994456	0.1564	99.0	195.51046013832092
22	0.62781817	1.0196475	2.7935271	-1.2201022	1000.0	27.5	59.68794	201.0	0.0	0.29876122	3.3806427	37.66343	-0.697163	230000	4.4703485e-09	18.226059	-0.016845848	-13.230533	0.8420886	0.0047435225	0.1173	99.0	204.27683305740356
23	-0.31763557	1.2015088	1.8872441	-2.99351	1000.0	31.0	62.866524	210.0	0.0	-0.24739893	2.4489255	28.575035	-16.81413	240000	-5.9604646e-09	8.857673	-0.016705126	-6.794183	0.83654386	0.009893594	0.14649999	99.0	213.19960594177246
24	-0.41657686	3.0764027	3.4565828	-8.125036	1000.0	16.7	16.06269	50.0	0.0	-0.5009594	0.5833898	0.5147028	-2.8479626	250000	-1.1920929e-08	0.7185873	-0.027523283	-0.5633506	0.8357876	0.018886184	0.1791	99.0	222.12494444847107
25	1.0494255	1.6865224	4.0328035	-2.0999951	1000.0	5.0	15.0	50.0	0.0	-0.2362389	0.35852772	5.826556	-14.213927	260000	-1.1920929e-08	0.2890417	-0.016006593	-0.20133002	0.8153386	0.011646785	0.152	99.0	231.04486870765686
26	0.55920523	1.560493	2.9713233	-2.2840075	1000.0	182.8	248.16318	747.0	0.0	0.11826792	0.07936442	0.5875462	-0.34106195	270000	-1.1920929e-08	0.06539897	-0.026510784	-0.012385411	0.789292	0.016386386	0.1986	99.0	239.89691734313965
27	0.3265833	1.233437	2.6016266	-1.0470343	1000.0	95.5	142.02763	496.0	0.0	0.006758238	0.19792919	0.55646056	-3.1895592	280000	-2.8312206e-08	130.4932	-0.02846403	-50.36852	0.7647029	0.0043525235	0.1602	99.0	248.7598593235016
28	0.9961106	1.5949097	3.7346766	-0.8777255	1000.0	86.3	130.0554	361.0	0.0	-3.190104	3.201742	3.806632	-9.381498	290000	1.4901161e-08	172.60367	-0.029632863	-96.65048	0.76234555	0.009602375	0.1393	99.0	257.71034121513367
29	-0.26396292	1.4159065	2.5350308	-2.620665	1000.0	56.5	86.78969	280.0	0.0	-5.9589725	6.7939954	-1.49013	-45.542408	300000	2.9802323e-09	67.21702	-0.020422481	-57.601463	0.78319716	0.019252399	0.1873	99.0	266.50916481018066
