Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.45560145	0.9807502	2.0751517	-3.0423446	1000.0	36.55	72.041985	255.0	0.0	-0.0028674453	0.09576837	0.20587143	-0.21035695	20000	-5.9604646e-09	272.4217	-0.013366813	-82.77547	0.9189385	0.006656899	0.10285	99.0	10.1651132106781
1	-0.10362089	1.2105043	3.497362	-2.1672347	1000.0	48.6	82.02585	280.0	0.0	-3.441186	5.788629	5.8305497	-17.141165	40000	-7.152558e-08	40.316704	-0.016594047	-38.579247	0.9357605	0.0067746798	0.105299994	99.0	20.179552793502808
2	-0.65602726	1.3391484	2.0976331	-3.5601444	1000.0	23.6	38.281067	111.0	0.0	-0.22016391	0.66809684	2.0721676	-2.0050461	60000	0.0	0.38982746	-0.015848776	-0.33624724	0.9196782	0.0073578106	0.10145	99.0	30.81874704360962
3	-0.04732734	1.4403713	3.2618394	-3.124696	1000.0	48.35	82.72803	275.0	0.0	-0.06620964	0.20756753	2.0062032	-1.7741449	80000	8.940697e-09	0.08080727	-0.017148659	-0.035202473	0.9103467	0.008996543	0.11884999	99.0	41.11840200424194
4	-0.20765872	1.5635954	2.4952202	-4.6092563	1000.0	107.2	141.93364	373.0	0.0	0.0064997636	0.19141792	2.7998827	-0.5799775	100000	-5.9604646e-09	0.07589872	-0.018290859	-0.03615942	0.9066458	0.011977239	0.14025	99.0	51.353944301605225
5	0.39310917	1.373647	3.6839733	-2.3065271	1000.0	84.75	113.39307	430.0	0.0	-0.01314439	0.13258533	0.9186059	-0.8143698	120000	-1.1920929e-08	56.42697	-0.016535874	-40.209538	0.9045378	0.0027713508	0.094349995	99.0	61.146427154541016
6	0.6373097	1.3314506	4.007282	-1.3326235	1000.0	65.15	112.93374	394.0	0.0	-3.4941328	5.19039	2.2612166	-16.71604	140000	8.940697e-09	79.32219	-0.021151213	-54.907665	0.9204625	0.017251616	0.18605001	99.0	71.0517692565918
7	0.5631612	0.96746397	2.6420882	-0.945933	1000.0	79.25	121.52525	436.0	0.0	-2.502587	2.9858873	23.18893	-23.131498	160000	2.0861625e-08	97.237434	-0.021527356	-81.60673	0.927385	0.009228677	0.14475	99.0	80.79150652885437
8	0.56094015	1.5969334	4.1245303	-1.9488438	1000.0	50.65	53.245914	163.0	0.0	-2.3611338	5.116366	1.6976188	-30.205849	180000	1.1175871e-08	61.339794	-0.01880927	-39.581474	0.93330175	0.012822039	0.1678	99.0	90.73189187049866
9	0.49852356	1.7502167	3.4544473	-2.9780235	1000.0	58.7	130.93285	559.0	0.0	-2.6300442	3.957816	12.026517	-25.810131	200000	1.6391278e-08	99.14904	-0.020881627	-89.25615	0.9263731	0.012363298	0.16305	99.0	100.99737119674683
