Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.9906206	1.3986291	2.0751517	-4.888964	1000.0	41.75	77.80304	408.0	0.0	-0.011534083	0.08789901	0.21000424	-0.21254987	80000	1.6391278e-08	281.78027	-0.00835753	-77.44893	0.9189385	0.005619022	0.068074994	99.0	23.10112977027893
1	-0.86270094	1.460503	3.6933584	-5.298165	1000.0	20.6875	50.03189	256.0	0.0	-3.9606469	5.690694	4.77976	-15.884154	160000	-2.3841858e-08	42.241356	-0.011267655	-40.51015	0.9329175	0.0048188553	0.067475006	99.0	44.975828647613525
2	-0.80164397	1.3394573	1.9621295	-5.082582	1000.0	38.2375	76.78122	373.0	0.0	-0.36643136	0.5151908	0.9907138	-2.1799011	240000	1.7881394e-08	0.33479446	-0.011051843	-0.26225257	0.92189705	0.0065347464	0.081199996	99.0	66.51496124267578
3	-0.5231275	1.2894839	3.7051337	-4.3731384	1000.0	44.7	83.904175	371.0	0.0	-0.10187881	0.23403949	2.7147107	-1.175708	320000	-8.940697e-09	0.087802574	-0.01385841	-0.035920013	0.91382897	0.008502832	0.1066375	99.0	88.65789270401001
4	-0.010346586	1.4984368	4.7380247	-2.7740958	1000.0	50.7125	97.69074	464.0	0.0	-0.03577844	0.17509201	1.4426411	-0.94636405	400000	4.4703485e-09	0.07025184	-0.01462313	-0.018133475	0.907189	0.009429859	0.1094875	99.0	110.75294041633606
5	0.6077954	1.2629174	4.069383	-2.029312	1000.0	107.3125	137.5114	508.0	0.0	0.006896545	0.19029513	5.14354	-0.6683618	480000	0.0	0.1088966	-0.015149606	-0.039662074	0.9049517	0.008290472	0.119799994	99.0	132.599205493927
6	1.451529	1.5315844	5.698305	-1.2959191	1000.0	83.825	129.66049	591.0	0.0	-0.022370024	0.12987597	0.5606466	-0.52473557	560000	-5.9604646e-09	55.19214	-0.013227466	-27.582468	0.8937148	0.004638648	0.0814625	99.0	154.8315715789795
7	1.0099624	1.2855045	4.022819	-2.0120935	1000.0	75.8375	140.20819	737.0	0.0	-2.2843904	2.8859475	4.5380416	-14.917969	640000	7.450581e-09	73.27147	-0.013825595	-53.963024	0.90783703	0.0053752875	0.0984625	99.0	176.99178290367126
8	1.2435199	2.0330286	7.0608487	-4.5873513	1000.0	82.7125	140.69899	770.0	0.0	-2.6118972	5.4782777	0.9461934	-29.09876	720000	7.450581e-09	136.10513	-0.015432258	-96.21057	0.9160563	0.007829522	0.1113625	99.0	199.1002995967865
9	1.012929	1.8725115	4.6357937	-7.6179376	1000.0	67.475	116.145805	511.0	0.0	-3.618675	6.311392	33.49043	-34.093353	800000	1.1920929e-08	131.56285	-0.014410903	-93.22348	0.9171442	0.008964853	0.125	99.0	220.97722721099854
10	1.2981058	1.666449	5.1621995	-2.0808566	1000.0	70.2375	125.47074	552.0	0.0	-4.402746	7.620628	7.96957	-38.400585	880000	-2.9802323e-09	159.65256	-0.014303344	-109.52714	0.91769505	0.010387859	0.130525	99.0	242.51879000663757
11	1.0099598	1.6584098	5.2125726	-2.1827073	1000.0	37.875	79.987404	481.0	0.0	-3.0269446	5.370815	21.264984	-41.82399	960000	8.940697e-09	79.14443	-0.014647691	-46.483234	0.90803206	0.009996702	0.123399995	99.0	264.843368768692
12	0.42166296	1.999459	5.6982074	-5.2913203	1000.0	50.5875	92.74706	510.0	0.0	-1.7135067	3.1599317	16.900856	-25.582922	1040000	0.0	82.47395	-0.014762392	-61.183372	0.90348196	0.007947542	0.118062496	99.0	286.81457233428955
13	-0.07034008	1.7881974	5.991203	-7.9174128	1000.0	25.8875	50.676422	292.0	0.0	-2.6844666	5.8723435	6.862513	-32.439335	1120000	5.9604646e-09	55.68025	-0.014837605	-42.398243	0.9075054	0.010962078	0.12427501	99.0	309.11026883125305
14	0.36734134	2.2036107	7.0319796	-4.6758833	1000.0	43.025	104.071365	570.0	0.0	-1.6152918	3.629751	13.431176	-33.241814	1200000	2.9802323e-09	83.70656	-0.014127049	-69.313675	0.89587307	0.008746703	0.117287494	99.0	331.33148765563965
15	0.13988757	2.0109067	4.6019373	-5.100282	1000.0	33.3875	95.64498	616.0	0.0	-1.3289502	3.7024312	15.554578	-36.362934	1280000	-3.7252904e-10	67.43059	-0.013300079	-56.48752	0.8940202	0.007950572	0.1108125	99.0	353.7776074409485
16	0.33584672	1.898859	4.3612747	-4.4642797	1000.0	24.3875	76.38921	455.0	0.0	-1.4061595	4.6831408	1.9637564	-38.425755	1360000	0.0	57.092255	-0.013827553	-33.988075	0.88988256	0.011044366	0.13023749	99.0	376.16607427597046
17	0.10957439	1.930541	4.8661976	-4.506579	1000.0	23.8875	72.16318	555.0	0.0	-1.2592647	2.525554	28.328226	-31.08466	1440000	-5.9604646e-09	29.268774	-0.013016984	-20.37099	0.8812251	0.008198149	0.109500006	99.0	398.1653800010681
18	0.17634757	1.891245	5.18847	-4.2286167	1000.0	44.6875	82.30471	387.0	0.0	-1.0455536	2.5398982	7.980851	-29.587284	1520000	0.0	36.03802	-0.014727023	-21.664017	0.8822614	0.008827639	0.1218375	99.0	420.24469900131226
19	0.278997	2.4742427	6.4251776	-5.636248	1000.0	21.0	55.07926	306.0	0.0	-1.8793321	4.0181084	9.847992	-41.688175	1600000	5.9604646e-09	26.881311	-0.014553601	-17.999407	0.88236845	0.011364192	0.114875	99.0	442.5870590209961
20	0.18416202	2.173168	6.353089	-6.9195695	1000.0	13.45	49.323395	329.0	0.0	-0.97049266	1.8401394	4.9716525	-10.775781	1680000	-2.9802323e-09	7.6367598	-0.014957005	-5.040821	0.87303245	0.009294307	0.112625	99.0	464.5477066040039
21	0.20579414	1.9505326	5.563709	-5.004435	1000.0	19.75	59.17886	350.0	0.0	-0.38513353	1.0708874	3.718253	-20.969698	1760000	5.9604646e-09	1.451251	-0.011321131	-1.0948207	0.86352587	0.009314644	0.0992625	99.0	486.15768361091614
22	0.3282557	1.9806005	5.438528	-8.402376	1000.0	7.25	25.948748	181.0	0.0	-0.13602501	0.4321958	10.914888	-7.524338	1840000	-5.9604646e-09	0.27724692	-0.012196452	-0.13763902	0.8494983	0.008378405	0.10452499	99.0	508.4833357334137
23	0.47635803	2.3887515	6.4260654	-9.552433	1000.0	23.9375	57.68131	338.0	0.0	0.014049198	0.2836729	1.8231956	-2.1790476	1920000	-1.0430813e-08	0.16741571	-0.016930413	-0.034030553	0.8381082	0.009729029	0.1291375	99.0	530.9234945774078
24	1.2067275	2.6234276	8.497246	-6.9719496	1000.0	15.0625	35.377373	161.0	0.0	0.017923266	0.25611964	1.2296749	-1.5362396	2000000	-4.4703485e-09	0.18429193	-0.017137937	-0.04334823	0.82093364	0.010427893	0.13198748	99.0	552.7889180183411
25	1.6854025	2.3161101	8.129356	-2.4714506	1000.0	33.3	75.30976	331.0	0.0	0.11362251	0.27661318	2.0165534	-6.819093	2080000	4.4703485e-09	0.19857037	-0.016938213	-0.053198963	0.8006438	0.010562807	0.1297	99.0	574.5364549160004
26	1.651028	2.437953	9.570858	-4.507793	1000.0	39.525	79.94201	375.0	0.0	0.26068345	1.4507638	32.344086	-5.5526323	2160000	-2.9802323e-09	2.2085733	-0.006439303	-2.0769243	0.7823396	0.005229893	0.08145	99.0	596.5038690567017
27	2.2070794	2.427366	9.680993	-3.6515002	1000.0	26.525	52.06582	279.0	0.0	0.14893097	0.249865	5.2434697	-2.8153563	2240000	-4.4703485e-09	0.1703879	-0.01692954	-0.030395415	0.78039134	0.010097537	0.123312496	99.0	617.9449124336243
28	2.582827	2.5368564	8.74177	-2.484911	1000.0	31.625	74.866776	552.0	0.0	0.21558462	0.23666647	5.19467	-3.9439032	2320000	-5.9604646e-09	0.17155722	-0.017263142	-0.029674854	0.7634755	0.00959968	0.12741248	99.0	639.4090721607208
29	2.2202454	2.3103168	7.501674	-2.1673784	1000.0	39.05	70.018906	408.0	0.0	0.24426948	0.20127282	2.0724692	-1.7139491	2400000	-5.9604646e-09	0.14896095	-0.0189833	-0.024605636	0.74719566	0.009585439	0.128975	99.0	661.579675912857
30	2.8401623	2.6822243	11.230268	-2.628847	1000.0	54.1875	99.95075	666.0	0.0	0.21824887	0.18446967	1.363379	-2.4121473	2480000	-1.4901161e-08	0.1612554	-0.018338902	-0.031143066	0.7302916	0.01011805	0.12731251	99.0	683.7883446216583
