Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.7501536	0.9270865	0.42065108	-3.0423446	1000.0	32.2	65.77659	220.0	0.0	-0.0362652	0.108568214	0.20587143	-0.21035695	10000	-1.1920929e-08	231.77522	-0.014390903	-51.730644	0.9189385	0.005923051	0.115499996	99.0	9.582026243209839
1	-0.29628354	0.9900935	1.3614239	-1.799646	1000.0	35.9	60.683525	182.0	0.0	-5.189009	4.9651723	3.346021	-13.980365	20000	-9.536743e-08	43.781487	-0.018886084	-41.849724	0.9243716	0.010316162	0.1122	99.0	18.405601263046265
2	-1.0911578	1.0847166	0.7997255	-3.159616	1000.0	20.8	35.12207	107.0	0.0	-0.44733956	0.5311926	0.29362118	-1.5550172	30000	-5.9604646e-09	0.4249676	-0.019911278	-0.3696493	0.91050494	0.012036604	0.1415	99.0	27.151839017868042
3	0.15070458	0.79780775	1.4354424	-1.0919455	1000.0	40.0	109.52351	368.0	0.0	-0.113196276	0.15772398	0.6010013	-1.8854451	40000	2.9802323e-09	0.07473011	-0.02095059	-0.044526618	0.90228844	0.014410931	0.1638	99.0	35.89897537231445
4	-0.046269774	1.0588789	1.9350678	-1.608323	1000.0	89.2	104.22936	285.0	0.0	-0.004689644	0.07669348	0.42191908	-0.39586684	50000	5.9604646e-09	0.033010505	-0.022430437	-0.010426931	0.8766602	0.015211548	0.1815	99.0	44.613736152648926
5	0.11148457	1.8323523	2.7114384	-4.208681	1000.0	74.8	71.07152	206.0	0.0	-0.028477442	0.0839521	0.45015872	-0.43166047	60000	-8.940697e-09	25.773966	-0.02062663	-10.196925	0.8646816	0.003908134	0.1272	99.0	53.490540504455566
6	-0.08938487	1.5981858	2.2194772	-3.2331593	1000.0	53.6	74.07185	244.0	0.0	-1.7049762	1.5292587	1.118515	-5.9480567	70000	-1.1920929e-08	27.756842	-0.026826974	-21.625124	0.87739193	0.014284126	0.17300001	99.0	62.28809595108032
7	0.53349686	1.5693685	4.0608	-1.1391686	1000.0	44.4	57.85015	133.0	0.0	-1.7161933	3.1311412	0.59935	-14.518606	80000	0.0	32.109272	-0.02444519	-27.528605	0.89385664	0.017037582	0.21360001	99.0	71.00396132469177
8	-0.6002879	2.6066918	1.3463678	-8.204963	1000.0	223.1	302.56088	833.0	0.0	-1.3952825	2.8231971	1.6110618	-13.7047825	90000	-3.576279e-08	204.19836	-0.026696777	-189.44109	0.8967824	0.005758343	0.14320001	99.0	79.83173251152039
9	0.041874647	1.2947038	2.9388497	-1.7690275	1000.0	97.1	144.19185	488.0	0.0	-4.7579603	8.174637	0.3163593	-32.094902	100000	0.0	287.2755	-0.024498237	-241.0155	0.89525497	0.010395264	0.15969999	99.0	88.49308466911316
10	-0.75529253	2.206962	1.5324733	-6.7871175	1000.0	39.6	75.230576	205.0	0.0	-9.69951	13.79224	34.75512	-38.230667	110000	1.1920929e-08	260.14804	-0.024567848	-230.8884	0.89280665	0.02036376	0.1639	99.0	97.25411653518677
11	0.12169149	0.96870416	1.6755364	-1.9018866	1000.0	113.8	127.4667	362.0	0.0	-2.7146387	4.8297324	6.1534615	-27.620316	120000	-2.3841858e-08	311.53964	-0.022613581	-231.90332	0.89111006	0.009032628	0.1464	99.0	105.89945077896118
12	-0.90980625	1.9018182	1.2926382	-4.8618665	1000.0	30.8	52.959984	153.0	0.0	-9.626128	12.19367	1.2634566	-44.351074	130000	-1.1920929e-08	173.19516	-0.02254075	-149.6698	0.8967742	0.014342288	0.1415	99.0	114.79084324836731
13	-0.4934454	1.2951528	1.9854449	-2.614484	1000.0	62.9	112.996864	378.0	0.0	-1.6561358	2.094212	13.576269	-31.563696	140000	-1.1920929e-08	121.39321	-0.023014294	-72.6094	0.89034474	0.008234912	0.1349	99.0	123.6757321357727
14	-0.27049524	1.0264766	1.7580206	-1.571009	1000.0	61.9	101.772736	300.0	0.0	-4.7534294	8.305341	9.876336	-45.488945	150000	-1.1920929e-08	213.5507	-0.021829765	-140.2261	0.91000545	0.0156029	0.1814	99.0	132.43617367744446
15	-0.3090928	0.9479413	0.9144442	-1.7562938	1000.0	73.8	129.25386	398.0	0.0	-2.7939463	6.1207604	20.18303	-35.738777	160000	2.682209e-08	261.98462	-0.025168817	-185.48386	0.89505446	0.007835181	0.1692	99.0	141.2873396873474
16	-0.13575062	0.5408179	0.62332785	-1.3277242	1000.0	63.3	81.39048	265.0	0.0	-2.8101487	3.27786	6.6471615	-27.720613	170000	1.1920929e-08	135.91551	-0.021880211	-94.380356	0.887348	0.011239565	0.1744	99.0	149.8875241279602
17	-1.3928869	2.3469486	1.3318367	-7.1525974	1000.0	117.8	181.3807	523.0	0.0	-5.6409597	8.386198	3.6803327	-31.203325	180000	0.0	281.31177	-0.0211338	-233.7178	0.88327026	0.0041705393	0.124800004	99.0	158.64670395851135
18	-0.6159573	1.2194062	0.98351276	-3.3302553	1000.0	44.7	110.07547	373.0	0.0	-9.8352	16.744282	40.73532	-59.76801	190000	-1.1920929e-08	436.6541	-0.021430615	-383.7289	0.8721503	0.01734788	0.1401	99.0	167.43791556358337
19	-0.03944249	1.4544611	2.4627178	-1.6371286	1000.0	52.8	109.374405	371.0	0.0	-1.8138244	6.25888	54.634426	-22.522778	200000	-1.1920929e-08	239.86453	-0.02198829	-168.31915	0.85872924	0.010276057	0.13250001	99.0	176.2088224887848
20	0.61367846	1.6944151	3.599161	-2.5096824	1000.0	120.8	160.4642	456.0	0.0	-2.8757203	4.666418	14.452848	-27.444925	210000	5.9604646e-09	388.61124	-0.025187034	-282.02582	0.8731469	0.007189701	0.14070001	99.0	185.8366596698761
21	-0.7737299	1.1551157	1.1199366	-2.8839583	1000.0	90.5	108.92039	322.0	0.0	-6.648026	10.4962435	18.59109	-36.6574	220000	0.0	396.563	-0.023082104	-306.284	0.87367535	0.013405559	0.1652	99.0	195.27358484268188
22	-1.4703376	1.7084417	0.52130413	-5.5991254	1000.0	38.4	49.512016	151.0	0.0	-4.5180535	5.920627	7.7396417	-37.697247	230000	-1.359731e-08	89.73309	-0.026061635	-74.853836	0.8727352	0.018262928	0.20629999	99.0	204.92281818389893
23	-0.750779	1.1410744	0.29680556	-2.9825032	1000.0	36.0	52.308697	156.0	0.0	-2.707251	5.351813	14.012386	-35.65351	240000	0.0	92.900955	-0.028561747	-86.249245	0.868958	0.0202321	0.20079999	99.0	214.25158071517944
24	-0.73048675	2.0512083	2.8957474	-4.170264	1000.0	51.0	96.71504	323.0	0.0	-3.0486646	6.9439454	8.191435	-35.714287	250000	0.0	230.37045	-0.025655204	-198.49738	0.8559502	0.01475242	0.2157	99.0	223.83011960983276
25	-0.7437862	1.7509342	2.4045913	-4.104896	1000.0	45.1	70.995	238.0	0.0	-2.5528927	4.4394965	18.132736	-46.23803	260000	-7.450581e-09	78.1675	-0.023603842	-67.22955	0.84061015	0.011425177	0.1636	99.0	233.32049584388733
26	-0.42240968	1.446291	2.284955	-2.9831684	1000.0	66.3	102.67137	334.0	0.0	-0.6710289	2.7694771	28.320036	-45.045116	270000	0.0	240.42407	-0.025496181	-223.54471	0.8220712	0.0077748136	0.13929999	99.0	242.77126741409302
27	-1.0489575	2.689713	2.5528128	-6.0764337	1000.0	79.7	152.63751	525.0	0.0	-4.8283625	9.688526	9.686167	-59.660835	280000	-1.1920929e-08	399.00253	-0.023503993	-348.82925	0.8232091	0.016686207	0.1993	99.0	252.3278830051422
28	-0.69206333	2.131247	2.1131601	-4.6479154	1000.0	61.1	181.63945	606.0	0.0	-2.237532	3.5405211	5.914276	-15.190152	290000	-4.172325e-08	264.13065	-0.018497687	-215.79575	0.81024086	-0.0015413127	0.141	99.0	261.2584743499756
29	-0.9729249	2.0371563	2.7803519	-5.743919	1000.0	30.7	48.963356	155.0	0.0	-2.0022612	7.0090885	13.385974	-51.29375	300000	0.0	101.93712	-0.022018427	-95.96293	0.7969752	0.011754716	0.164	99.0	270.0133993625641
30	-0.7008922	1.7163674	2.0111597	-3.7344747	1000.0	52.0	144.71005	485.0	0.0	-4.8237906	10.071013	34.250637	-65.58529	310000	0.0	350.88855	-0.02161413	-293.2895	0.7870721	0.00865051	0.14140001	99.0	279.5568039417267
31	-0.6434454	1.6772853	1.8380073	-3.550334	1000.0	14.9	19.033916	48.0	0.0	-6.276411	12.282419	2.1414762	-45.390484	320000	0.0	183.3518	-0.021851331	-165.47925	0.7755184	0.026440646	0.16330001	99.0	288.9888858795166
32	-0.5029845	2.5685322	4.3795037	-4.9854884	1000.0	31.7	45.347656	137.0	0.0	-1.2857963	1.195299	7.7927837	-10.423413	330000	0.0	64.8797	-0.024888532	-37.962685	0.76720583	0.008121775	0.1379	99.0	297.6601366996765
33	-1.9313602	1.486376	0.08730464	-3.7447782	1000.0	5.2	9.599999	30.0	0.0	-1.7245809	1.8114066	0.8848734	-26.846981	340000	-5.9604646e-09	7.9101944	-0.01989996	-4.686137	0.7729821	0.017811283	0.1524	99.0	307.2580256462097
34	-1.0800693	2.346289	2.308585	-4.880823	1000.0	0.0	0.0	0.0	0.0	-0.6047825	1.13223	0.693321	-15.942379	350000	-5.401671e-09	1.5774628	-0.016213909	-1.46465	0.7713195	0.014338747	0.1332	99.0	316.72071528434753
35	-1.810038	1.7401342	0.57654715	-4.0726595	1000.0	154.4	219.89006	605.0	0.0	0.12410432	0.86784476	7.616081	-5.231748	360000	2.3841858e-08	701.06824	-0.024552241	-585.5554	0.7510545	0.0062299967	0.12299999	99.0	326.15566658973694
36	-0.72262657	2.369076	2.8394558	-3.9402907	1000.0	30.7	53.43978	163.0	0.0	-9.105086	13.346423	-0.4259907	-53.893517	370000	-1.1920929e-08	243.53769	-0.021208625	-195.81618	0.7640905	0.023808463	0.18110001	99.0	334.96808886528015
37	-0.6331123	1.8556852	2.56299	-3.8605895	1000.0	118.9	185.89053	567.0	0.0	-3.1002116	3.1468554	0.45401168	-12.266958	380000	-3.576279e-08	431.8771	-0.025708009	-115.92595	0.7549849	0.0075043202	0.1485	99.0	344.48838925361633
38	-1.0099032	1.3155789	0.54293686	-3.079792	1000.0	19.7	27.488361	83.0	0.0	-9.484456	4.968794	-0.15377915	-16.084671	390000	3.3527613e-08	98.26142	-0.025214305	-64.58612	0.76588595	0.008170849	0.1458	99.0	354.10711693763733
39	-1.6118736	1.8713504	1.6065223	-4.6946397	1000.0	1.5	4.5	15.0	0.0	-2.5600882	0.7936178	0.04369521	-3.9963336	400000	2.2351742e-08	6.157012	-0.013346612	-4.6289377	0.76812935	0.015389567	0.1322	99.0	363.44895100593567
40	-0.060267735	1.672281	3.1963823	-1.7044927	1000.0	5.8	14.211264	48.0	0.0	-0.3955858	0.76205796	1.1883557	-1.6393348	410000	-2.9802323e-09	7.082991	-0.013352817	-0.037287332	0.77104944	0.015209782	0.1748	99.0	372.9314794540405
41	-0.82242316	1.8834515	2.6336484	-4.3699617	1000.0	58.5	175.5	585.0	0.0	-0.5066657	0.7854153	1.8157893	-1.7434773	420000	2.9802323e-09	271.29413	-0.015934091	-73.45538	0.76473427	-0.0031988465	0.092	99.0	382.39432072639465
42	-0.66389817	1.465581	0.9100127	-3.4731064	1000.0	80.1	154.43733	483.0	0.0	-4.9586396	4.671545	0.20530164	-14.503409	430000	-1.1920929e-08	308.26337	-0.020294506	-238.42212	0.7782718	0.006256224	0.1397	99.0	391.06037306785583
43	-1.5114505	2.1316454	2.289942	-5.4040265	1000.0	4.3	8.944831	27.0	0.0	-6.958906	14.012262	2.7478576	-47.811115	440000	-1.4901161e-08	189.87183	-0.022509482	-173.12222	0.78939754	0.02503314	0.1497	99.0	400.2008295059204
44	-1.2369258	3.5810194	4.62299	-8.324297	1000.0	51.0	117.64523	397.0	0.0	-1.1166643	0.89544004	1.2802187	-2.8730521	450000	1.1920929e-08	192.47911	-0.021213632	-104.3004	0.7744105	0.004224683	0.1393	99.0	408.9389865398407
45	-1.2810545	2.7926764	3.751159	-7.9128776	1000.0	31.3	93.9	313.0	0.0	-3.6425009	3.9144967	0.7506561	-22.777622	460000	-1.1920929e-08	133.25491	-0.018894216	-102.92168	0.78619987	0.009314327	0.1507	99.0	417.8338806629181
46	-1.6209408	2.026929	0.7543243	-6.7080274	1000.0	33.6	75.5092	245.0	0.0	-0.5795052	1.2493244	1.9889851	-10.781789	470000	0.0	109.03335	-0.02053159	-77.16289	0.78985125	0.0090452405	0.151	99.0	426.60841488838196
47	-1.9014485	2.8989315	1.8580929	-8.912731	1000.0	18.5	33.061306	90.0	0.0	-2.2149477	5.1796536	2.7876396	-33.83647	480000	1.3411045e-08	49.091286	-0.02256491	-35.87862	0.8014038	0.02223756	0.1944	99.0	435.83810353279114
48	-0.7199653	1.6819191	3.1997726	-3.577228	1000.0	57.9	130.8491	445.0	0.0	-1.3179742	1.7173278	1.0289444	-11.176973	490000	-1.1920929e-08	219.72073	-0.024319382	-170.59412	0.7878733	0.004311175	0.1405	99.0	445.2867913246155
49	-0.36908665	1.230639	1.790392	-2.223399	1000.0	0.0	0.0	0.0	0.0	-1.6469274	4.2640777	5.0268297	-35.986378	500000	-1.4901161e-08	20.548498	-0.020398738	-20.357965	0.79655266	0.018160481	0.1618	99.0	454.3847005367279
50	-1.0531968	1.7370769	1.0566995	-4.237023	1000.0	21.2	29.925907	85.0	0.0	-0.79576236	4.4586062	2.829979	-31.545614	510000	4.4703485e-09	39.457718	-0.017932218	-35.857067	0.7648787	0.020604596	0.18329999	99.0	463.9354202747345
51	-1.5042148	1.8954687	1.8205054	-5.5029573	1000.0	0.0	0.0	0.0	0.0	-1.4422332	4.309281	4.2312055	-35.69452	520000	0.0	19.897638	-0.01746467	-19.438486	0.75482935	0.019011086	0.1627	99.0	473.4853823184967
52	-1.3347499	1.7870578	2.0188205	-4.782127	1000.0	12.9	38.7	129.0	0.0	-0.07839729	0.26632386	1.0700508	-1.5386633	530000	2.3841858e-08	27.120285	-0.017446097	-19.954338	0.7399076	0.03911084	0.16100001	99.0	482.8968913555145
53	-1.4650657	2.4370542	2.0323331	-7.215207	1000.0	20.1	56.41356	189.0	0.0	-0.28119722	0.76916796	1.158836	-9.136678	540000	2.9802323e-09	26.266073	-0.018284107	-22.137737	0.75937086	0.0072817416	0.12230001	99.0	492.27936363220215
