Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5505129	1.3744092	2.913989	-4.4854116	1000.0	52.1	88.736916	362.0	0.0	0.0038809464	0.073173605	0.24506423	-0.19393913	40000	0.0	399.5555	-0.011986154	-113.98888	0.9189385	0.0057584275	0.089324996	99.0	12.348779678344727
1	-0.37771326	1.2863142	2.14831	-3.5471768	1000.0	62.125	105.713806	510.0	0.0	-5.99927	6.2424655	8.268512	-17.77992	80000	2.3841858e-08	64.63427	-0.014054304	-61.690887	0.93185866	0.005839384	0.087850004	99.0	24.632776975631714
2	-1.1982429	1.6761478	1.9002044	-6.680043	1000.0	40.675	83.2137	376.0	0.0	-0.61581254	0.6539104	0.6360016	-3.4060767	120000	1.4901161e-08	2.315668	-0.0131634595	-0.6274328	0.9283721	0.0070841936	0.099249996	99.0	36.14943861961365
3	-0.54580164	1.0244542	1.9636347	-3.1531587	1000.0	50.5	101.05246	455.0	0.0	-0.5857702	0.50687253	0.9139441	-2.2744215	160000	-4.7683717e-08	0.5041627	-0.016593639	-0.31702682	0.937348	0.009190319	0.12115	99.0	48.174126863479614
4	0.021299511	1.5791858	4.4862742	-3.554336	1000.0	37.725	71.25552	286.0	0.0	-0.23261365	0.2315432	0.82836413	-1.4764946	200000	0.0	0.27296647	-0.017383303	-0.11215739	0.9265591	0.010757131	0.116799995	99.0	60.05311989784241
5	-0.118307844	1.415622	4.0632515	-4.0374827	1000.0	62.825	86.675804	303.0	0.0	-0.13878022	0.19151467	0.6052122	-0.78470266	240000	5.9604646e-09	0.09692297	-0.018921528	-0.052170195	0.93154633	0.010418571	0.124524996	99.0	72.15757608413696
6	0.18186375	1.2837389	3.3969984	-2.5001025	1000.0	77.5	117.90695	509.0	0.0	-0.01331842	0.13727659	0.5404279	-1.0363804	280000	-8.940697e-09	4.970191	-0.018592026	-2.292312	0.9283606	0.007305246	0.117125	99.0	83.80311179161072
7	0.8987427	1.3221263	4.7864637	-2.830839	1000.0	95.775	158.705	587.0	0.0	-0.8052515	1.059957	1.4223667	-5.1788783	320000	-1.7881394e-08	44.039665	-0.019536743	-32.384773	0.93549633	0.005409957	0.123600006	99.0	95.69048810005188
8	0.24632141	1.4110749	3.034852	-3.046999	1000.0	79.75	127.80997	540.0	0.0	-1.4984666	2.5933342	5.381705	-17.45545	360000	0.0	76.14015	-0.019993838	-57.878136	0.9414338	0.007319288	0.136125	99.0	107.62667465209961
9	0.41493154	1.7618691	4.950591	-3.090788	1000.0	88.225	138.22345	638.0	0.0	-2.3214219	4.140135	3.7728	-24.371712	400000	-1.1920929e-08	109.517136	-0.019215766	-83.902756	0.94131815	0.0073991306	0.14537501	99.0	119.87701559066772
10	-0.18887793	1.7084895	3.351103	-5.351684	1000.0	22.15	43.06016	218.0	0.0	-2.8378599	6.191861	3.141615	-32.488876	440000	-4.4703485e-09	40.249683	-0.018376706	-28.097672	0.9349844	0.013799255	0.14737499	99.0	132.12254691123962
11	-0.45113277	2.1285338	3.6360772	-7.869545	1000.0	37.6	77.55024	365.0	0.0	-1.4630672	3.2138798	2.4009302	-31.133795	480000	-5.9604646e-09	51.77993	-0.017591638	-39.6913	0.923689	0.007342239	0.129275	99.0	143.86868357658386
12	-0.61327285	2.8625426	9.133252	-8.936213	1000.0	53.3	85.43512	324.0	0.0	-1.2464508	3.0973358	1.9384563	-22.353722	520000	-2.9802323e-09	65.96273	-0.020288182	-53.078453	0.932073	0.008851083	0.143875	99.0	155.58751678466797
13	-0.3730185	2.3640234	5.9022317	-7.635273	1000.0	42.475	71.89367	300.0	0.0	-1.6134568	4.2289367	6.9278793	-29.148352	560000	8.940697e-09	52.664856	-0.019567791	-36.61419	0.947389	0.011365043	0.15805	99.0	167.88884663581848
14	-0.15132287	1.7896707	3.802677	-4.85301	1000.0	22.075	50.22469	196.0	0.0	-1.4855095	2.6491134	3.1873703	-17.362415	600000	-1.1920929e-08	21.656525	-0.020687375	-18.671316	0.93603194	0.014713931	0.161225	99.0	179.5080337524414
15	-0.81659764	2.2181892	3.7161782	-6.936423	1000.0	13.4	32.380394	185.0	0.0	-0.63749665	2.1772857	2.1037145	-27.12286	640000	2.9802323e-09	10.7725725	-0.017410731	-5.6070266	0.9323906	0.018249357	0.1937	99.0	191.32596468925476
16	-1.0396606	2.0660233	4.9340754	-5.884106	1000.0	13.95	39.501232	226.0	0.0	-0.7312569	1.4702157	3.112939	-13.012428	680000	1.1920929e-08	4.784237	-0.01799716	-2.9642901	0.90379393	0.015421363	0.153175	99.0	203.65358018875122
17	-0.38218766	1.8675677	5.666069	-4.231107	1000.0	36.925	60.969822	220.0	0.0	-0.49851617	1.126715	1.797656	-11.687032	720000	-2.9802323e-09	1.9725689	-0.019939028	-1.333132	0.89605033	0.013347158	0.13984999	99.0	215.54997205734253
18	0.08118951	1.8650986	4.3892574	-5.2352433	1000.0	18.775	59.071354	311.0	0.0	-0.36473584	0.556824	1.2866213	-5.3256207	760000	1.1920929e-08	0.491956	-0.02099896	-0.3942957	0.89258206	0.013133714	0.15845	99.0	227.8222155570984
19	-0.45694056	1.8066494	4.292282	-3.8511982	1000.0	7.925	32.196575	182.0	0.0	0.0043343995	0.2777792	1.5616467	-1.6783519	800000	-1.5646219e-08	0.15283325	-0.021250177	-0.078318655	0.8705245	0.0106834285	0.14114998	99.0	239.826753616333
20	-0.0064362762	1.6731594	5.250852	-4.5537114	1000.0	27.15	100.40432	628.0	0.0	-0.06585121	0.29200548	0.94196504	-2.122181	840000	5.9604646e-09	0.17084903	-0.021362877	-0.08066138	0.85125464	0.011386176	0.156425	99.0	252.24711322784424
21	0.17191555	2.2963834	9.465287	-4.022334	1000.0	12.5	37.163826	177.0	0.0	-0.024669893	0.19220664	1.1974306	-1.042427	880000	2.9802323e-09	0.14268908	-0.022690646	-0.045757085	0.83823985	0.012770383	0.15322499	99.0	264.3907175064087
22	0.22031769	2.204263	7.8331046	-5.2668214	1000.0	15.65	33.0776	125.0	0.0	0.02823772	0.19583064	1.1497083	-1.4373254	920000	-1.0058284e-08	0.17052051	-0.022345548	-0.052269064	0.83239686	0.010757704	0.14909999	99.0	275.94388365745544
23	0.032578785	1.7912676	3.2786412	-4.522711	1000.0	18.375	53.898373	295.0	0.0	0.035203982	0.16946873	1.0133203	-0.83381695	960000	1.0430813e-08	0.13389327	-0.022587543	-0.04571276	0.8144175	0.012735139	0.154	99.0	288.19414591789246
24	1.0055853	2.4695473	6.607074	-5.6001263	1000.0	23.225	50.325684	291.0	0.0	0.015471863	0.19577438	2.1563518	-0.81595945	1000000	-1.8626451e-09	0.13543318	-0.02381059	-0.057802282	0.80090284	0.012553674	0.16284999	99.0	300.37364506721497
25	1.4916337	2.5259688	8.427432	-1.9792114	1000.0	53.75	117.520584	596.0	0.0	0.07804899	0.25831398	0.96178985	-1.8711466	1040000	-1.3411045e-08	0.15765178	-0.023249242	-0.060533434	0.78343344	0.014485439	0.16185	99.0	312.30881237983704
26	0.9196852	2.0098457	4.25601	-5.663884	1000.0	29.45	100.486305	590.0	0.0	0.13637365	0.20007482	0.7891253	-0.85477066	1080000	2.9802323e-09	0.33187395	-0.021606889	-0.1499671	0.75854397	0.013118371	0.162275	99.0	324.1219131946564
27	1.0811245	2.7812514	13.144822	-3.8468351	1000.0	42.6	86.86765	450.0	0.0	-0.015127695	0.33923286	2.1849945	-2.1355	1120000	-4.4703485e-09	0.23717389	-0.023099186	-0.14116791	0.7559209	0.01343747	0.1685	99.0	335.9106276035309
28	1.773496	2.5404785	7.78702	-3.4130478	1000.0	40.675	89.75978	456.0	0.0	0.1045406	0.23155543	1.5251813	-1.3023272	1160000	2.9802323e-09	0.20860092	-0.024857007	-0.07425508	0.73806494	0.0149605125	0.17104998	99.0	347.8291437625885
29	1.5400127	2.3955655	7.7734885	-2.200615	1000.0	97.75	169.13956	766.0	0.0	0.15987256	0.2503571	1.0852557	-0.88853496	1200000	5.9604646e-09	0.14040874	-0.023709353	-0.05286186	0.7145171	0.015744222	0.17480001	99.0	359.87527227401733
30	1.3822138	2.752361	10.614613	-7.6988425	1000.0	53.7	102.01695	528.0	0.0	0.14864488	0.21964082	1.5776228	-0.45397973	1240000	-2.9802323e-09	24.038853	-0.018809404	-18.874336	0.69473606	0.0008079052	0.119525	99.0	371.8043384552002
31	1.6361263	2.7341487	8.702346	-5.0754094	1000.0	46.4	110.539085	597.0	0.0	-1.2688396	2.9543896	7.906808	-17.469763	1280000	2.9802323e-09	33.21174	-0.01930409	-28.7607	0.7023102	0.012912979	0.170275	99.0	383.8328347206116
32	1.7483698	3.2271569	11.516574	-5.195926	1000.0	39.6	97.62601	507.0	0.0	-0.9722217	2.3636804	1.7295346	-26.15367	1320000	-2.9802323e-09	24.313791	-0.017193666	-19.678719	0.6907146	0.0083017405	0.1495	99.0	395.5215497016907
33	1.4551092	2.9843423	12.058794	-7.0959663	1000.0	39.6	139.10065	838.0	0.0	-1.2038398	3.3296535	4.198931	-23.281408	1360000	-1.4901161e-09	14.888151	-0.018367989	-12.183258	0.6858968	0.0140348	0.14559999	99.0	407.4722774028778
34	1.0536461	2.672762	9.176715	-4.685225	1000.0	24.55	47.945774	219.0	0.0	-0.555943	1.6166668	2.1048493	-22.28551	1400000	-5.9604646e-09	5.2108636	-0.017380262	-3.3363159	0.67688	0.011695304	0.12974998	99.0	419.0612139701843
35	1.729538	3.4683557	11.591733	-5.017683	1000.0	30.2	70.13458	335.0	0.0	-1.2521936	4.2405214	2.3148067	-24.38204	1440000	-2.9802323e-09	17.68409	-0.0132215	-17.086597	0.6740857	0.016312378	0.118625	99.0	431.0305254459381
36	1.920866	3.7296731	13.885744	-5.7759833	1000.0	40.825	77.75856	299.0	0.0	0.024830444	0.47901252	1.7424227	-2.079682	1480000	2.0861625e-08	0.3681327	-0.023616144	-0.21914987	0.66243595	0.012556933	0.152375	99.0	443.0267279148102
37	2.3086562	3.4525075	11.152513	-5.3927855	1000.0	36.275	106.64965	588.0	0.0	0.1351756	0.3780838	1.5939014	-0.9876256	1520000	-5.9604646e-09	0.2243354	-0.025017727	-0.078013115	0.6487051	0.01105043	0.153875	99.0	455.1779456138611
38	1.8640738	3.199186	14.2745905	-2.0960002	1000.0	40.775	118.779305	713.0	0.0	0.28205892	0.31215733	1.4566529	-0.5607677	1560000	2.2351743e-09	0.17739873	-0.024265448	-0.06857608	0.6296704	0.01487221	0.16622499	99.0	467.47779846191406
39	2.1424243	3.2163086	14.148292	-2.0638378	1000.0	37.425	61.8239	232.0	0.0	0.18415678	0.31199047	1.5163537	-0.92179435	1600000	0.0	0.17760085	-0.024946082	-0.05927714	0.61551744	0.013141501	0.16544999	99.0	479.495566368103
40	2.7190888	3.1798463	10.6577215	-1.9986466	1000.0	36.575	51.69424	221.0	0.0	0.2002477	0.32818744	1.5399158	-1.4005979	1640000	0.0	0.24321108	-0.025269309	-0.092157	0.59626096	0.013578596	0.1753	99.0	491.0208914279938
41	2.3264732	3.7354808	12.326931	-6.0988574	1000.0	38.95	80.82077	440.0	0.0	0.23581165	0.24715047	1.2132602	-0.5617772	1680000	2.9802323e-09	0.212501	-0.02452828	-0.08345331	0.57201195	0.011180411	0.15867499	99.0	503.09253883361816
42	3.0098662	3.6819944	12.444589	-1.8505895	1000.0	68.7	104.36048	491.0	0.0	0.28043634	0.32434365	1.7737226	-1.2626386	1720000	-8.940697e-09	0.18969999	-0.025829876	-0.076291665	0.54982567	0.014416789	0.16767499	99.0	515.0167939662933
43	2.7868977	3.6417544	10.546521	-6.129067	1000.0	67.975	118.85841	533.0	0.0	0.30111766	0.3579006	2.3417506	-0.7066206	1760000	-1.1920929e-08	7.746686	-0.022162663	-5.934862	0.537755	0.004241134	0.132325	99.0	526.6784019470215
44	3.53615	3.0949154	11.619115	-2.058859	1000.0	38.45	73.86134	306.0	0.0	-0.8161217	1.687844	6.0664477	-9.157367	1800000	5.9604646e-09	9.706362	-0.022442171	-7.6614504	0.55076975	0.011936365	0.159675	99.0	538.4751486778259
45	2.9358091	3.2571821	11.442837	-3.3661783	1000.0	59.575	144.74113	871.0	0.0	-0.7646442	2.162584	1.9491649	-14.387079	1840000	-1.1920929e-08	13.789844	-0.02028374	-11.84786	0.5433267	0.01263655	0.16920002	99.0	550.5933248996735
46	2.9574478	3.6730583	13.168643	-3.1617522	1000.0	31.75	63.77333	282.0	0.0	-0.63614225	1.4115582	1.3132619	-15.406274	1880000	5.9604646e-09	7.586188	-0.017502654	-5.6779766	0.5260729	0.012795066	0.1615	99.0	562.3766841888428
47	3.073979	3.116288	11.503744	-3.0262146	1000.0	29.15	65.186485	319.0	0.0	-0.7340036	2.660544	5.8256383	-17.034256	1920000	-2.9802323e-09	8.729122	-0.01834126	-7.6027822	0.52708673	0.015568495	0.158175	99.0	574.3402516841888
48	2.501083	3.3685408	10.119045	-3.5920992	1000.0	51.4	132.46788	784.0	0.0	-0.08987469	0.64995456	1.7219329	-4.5450826	1960000	7.450581e-09	0.6414161	-0.02336445	-0.4648672	0.511641	0.014530329	0.1615	99.0	586.3659217357635
49	2.432443	3.83503	11.297878	-6.271383	1000.0	54.875	119.37152	575.0	0.0	0.15998825	0.49753824	1.8998553	-3.0510414	2000000	-7.450581e-09	0.39100763	-0.023965115	-0.18661554	0.49768704	0.0151518285	0.18682499	99.0	598.0612771511078
50	2.2171154	4.180521	13.122122	-5.8557687	1000.0	36.825	129.74088	694.0	0.0	0.17385067	0.36903816	1.9427683	-0.8085069	2040000	1.2665987e-08	0.9686076	-0.020072673	-0.6127105	0.4795105	0.008608588	0.15065	99.0	610.063898563385
51	3.6808746	4.1007094	17.717524	-1.5886438	1000.0	65.25	148.81578	890.0	0.0	-0.04627077	0.859475	1.5376512	-3.3722892	2080000	1.6391278e-08	0.810442	-0.02359193	-0.6161541	0.46919507	0.013814849	0.1674	99.0	622.0099630355835
52	3.7551265	4.3457837	17.840454	-0.81805676	1000.0	53.6	91.15175	386.0	0.0	0.3005001	0.33876887	1.4803027	-0.6169013	2120000	-1.1920929e-08	4.3292775	-0.021869693	-2.1328251	0.44998044	0.0069826073	0.1534	99.0	634.2957742214203
53	3.5719192	4.6866827	19.399075	-2.9467618	1000.0	59.2	142.29901	704.0	0.0	-0.16409907	0.968312	1.6222363	-4.472148	2160000	-3.7252903e-09	8.718218	-0.02022238	-6.7758436	0.45375776	0.007426885	0.14054999	99.0	645.7572283744812
54	3.2925506	4.0940065	13.152012	-7.9561625	1000.0	53.8	104.400246	598.0	0.0	-0.6961437	2.3379283	3.5826786	-12.798812	2200000	-1.3411045e-08	14.234334	-0.021471266	-11.580842	0.45725042	0.013287641	0.16832499	99.0	657.802295923233
55	3.2591443	3.714332	12.651354	-1.4405552	1000.0	44.625	78.23704	360.0	0.0	-0.8548371	1.9116765	1.8377523	-14.315964	2240000	-1.4901161e-09	9.98642	-0.022253975	-8.65101	0.44605464	0.01631586	0.1762	99.0	669.9471726417542
56	2.7085743	3.10634	16.242245	-2.070589	1000.0	62.5	114.26526	604.0	0.0	-0.91085964	2.2098556	2.2288086	-16.782764	2280000	0.0	9.253069	-0.021374634	-7.353728	0.43991894	0.01420675	0.16975	99.0	681.7627470493317
57	3.3126793	3.9185503	17.867498	-2.6636355	1000.0	79.35	129.89006	510.0	0.0	-1.0899197	2.1932192	2.1223757	-14.358764	2320000	1.1920929e-08	32.56549	-0.020795548	-27.829758	0.43304843	0.00953936	0.161625	99.0	694.0628635883331
58	2.7455695	3.0927906	11.366936	-1.2592481	1000.0	60.675	124.688286	660.0	0.0	-0.94879276	2.1649292	1.2182844	-22.095663	2360000	0.0	45.42201	-0.018621912	-36.99296	0.4287072	0.008269792	0.168575	99.0	706.1094698905945
