Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5277261	1.4063827	2.913989	-4.4854116	1000.0	59.8	108.38339	669.0	0.0	0.0042720926	0.07326501	0.2481898	-0.19393913	80000	-8.940697e-09	460.57846	-0.008808127	-120.004715	0.9189385	0.005202345	0.070875004	99.0	23.158056497573853
1	-0.8306729	1.383182	2.7217512	-5.308031	1000.0	64.375	103.279884	445.0	0.0	-4.760851	6.132043	7.8731356	-18.025236	160000	1.7881394e-08	51.689983	-0.011011542	-48.88279	0.92668724	0.0057769837	0.0722125	99.0	44.74273681640625
2	-0.9396411	1.7090102	4.1698794	-5.0682993	1000.0	40.7375	74.73432	306.0	0.0	-0.46839035	0.8347735	0.5838719	-3.2416892	240000	0.0	2.9829998	-0.010813321	-0.5216781	0.924518	0.0077958987	0.096824996	99.0	66.35215854644775
3	-0.69183517	1.4826342	3.3170028	-5.222303	1000.0	41.75	67.26561	333.0	0.0	-0.59537065	0.4663825	0.89862233	-1.8935906	320000	2.682209e-08	0.62267953	-0.0119929435	-0.26309818	0.9298911	0.007380253	0.094437495	99.0	88.8066794872284
4	-0.07550943	1.2933683	3.113396	-3.0471892	1000.0	62.625	118.15354	534.0	0.0	-0.31682187	0.23001137	0.8020343	-1.1289594	400000	-5.066395e-08	0.16717705	-0.013769965	-0.1150141	0.924894	0.007565661	0.102775	99.0	110.90974450111389
5	0.41872817	1.5490918	4.320529	-3.4511406	1000.0	63.0375	117.96253	562.0	0.0	-0.046250544	0.1372081	0.780111	-1.2065498	480000	-4.4703485e-09	3.7951953	-0.011772936	-0.9192039	0.9168726	0.004934562	0.0779875	99.0	132.54213953018188
6	0.74519545	1.5042155	4.656672	-2.2734826	1000.0	76.4875	121.178696	551.0	0.0	-0.64556116	0.60616964	1.1344584	-2.3146362	560000	0.0	15.273947	-0.013718367	-4.370618	0.9210156	0.0054040006	0.0899625	99.0	154.36592078208923
7	0.8120028	1.609957	5.3416348	-3.784692	1000.0	48.7125	73.961174	379.0	0.0	-1.4301113	1.4427078	1.5849004	-5.0307336	640000	-2.9802323e-09	20.474463	-0.014093667	-7.7218423	0.93049	0.0072514922	0.119425	99.0	176.88372540473938
8	0.61551005	2.0833561	8.03023	-3.4380512	1000.0	32.4375	71.96316	323.0	0.0	-1.3717473	2.0575368	2.695522	-9.492952	720000	4.842877e-09	16.982952	-0.014881538	-9.179738	0.92869747	0.008928193	0.116575	99.0	199.08578896522522
9	0.8869133	1.7660612	6.692358	-2.1174114	1000.0	51.2	97.96752	409.0	0.0	-0.82698786	1.4454167	1.5605311	-10.692218	800000	-5.9604646e-09	14.114255	-0.014065499	-8.588552	0.9312793	0.0071592866	0.115962505	99.0	221.22434210777283
