Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.20192258	0.6081703	0.6138232	-1.625713	1000.0	15.6	24.009167	58.0	0.0	0.003899263	0.08839447	0.1388693	-0.19393913	10000	-2.9802323e-09	52.330414	-0.015638117	-16.94531	0.9189385	0.012300536	0.1472	99.0	11.07888650894165
1	-0.5348301	1.1939261	0.84031683	-3.3049335	1000.0	48.3	68.38282	209.0	0.0	-1.3618702	2.6304348	0.47416547	-8.175181	20000	2.9802322e-08	7.273656	-0.015563035	-7.081636	0.9311601	0.010200156	0.0904	99.0	20.189562559127808
2	-0.3269183	1.1502697	2.8385947	-1.3485475	1000.0	42.3	61.263443	176.0	0.0	-0.33950403	0.633927	0.44996554	-2.5494573	30000	4.7683717e-08	0.49926654	-0.01686488	-0.44141394	0.92279184	0.010067597	0.124900006	99.0	29.0300931930542
3	-0.27379352	0.9970464	1.5792248	-2.2775657	1000.0	14.8	33.483727	109.0	0.0	-0.055676635	0.10209253	0.22573227	-0.55782014	40000	8.195639e-09	0.029850999	-0.021731392	-0.01372315	0.91260755	0.009678063	0.15290001	99.0	38.00797986984253
4	0.84818554	1.3716906	2.990061	-1.2608172	1000.0	108.4	108.762314	326.0	0.0	0.03266968	0.15769397	0.8997778	-0.27439696	50000	-2.9802323e-09	0.054541696	-0.02271426	-0.029837023	0.90474164	0.014465155	0.16999999	99.0	47.12110209465027
5	0.78951514	1.3013633	2.4167562	-1.9100955	1000.0	22.0	40.032486	124.0	0.0	0.010760707	0.14356302	0.5250249	-0.32121152	60000	-1.1920929e-08	8.71889	-0.017718125	-5.158166	0.89691114	0.013769491	0.1505	99.0	56.015737533569336
6	0.56078476	0.721847	2.1021023	-0.27806526	1000.0	117.5	167.81076	500.0	0.0	-0.8927797	1.0231451	0.79351914	-7.819095	70000	0.0	29.4844	-0.022034455	-27.342768	0.8994266	0.008228716	0.1268	99.0	64.99615025520325
7	1.061353	0.9452726	2.4698198	-0.29191744	1000.0	114.8	154.00052	452.0	0.0	-2.3902786	4.104418	3.8882432	-15.869644	80000	-1.1920929e-08	154.50916	-0.024356186	-144.78937	0.8942803	0.0057495297	0.1482	99.0	74.00936150550842
8	0.5114741	1.4041768	2.6283832	-2.8963025	1000.0	124.3	184.55789	602.0	0.0	-3.6197894	7.650862	0.7514876	-35.881237	90000	0.0	279.67148	-0.020549854	-256.2284	0.8943807	0.005174361	0.1275	99.0	82.87233138084412
9	0.24542446	1.3753808	2.5822277	-1.8325622	1000.0	49.8	51.91108	153.0	0.0	-2.911154	6.911766	41.8727	-41.758236	100000	5.9604646e-09	92.94843	-0.020770809	-77.734856	0.89284074	0.021156937	0.1877	99.0	91.62113952636719
